ID,agestrat,COMscoreP
202097,84,28
506009,84,25
508024,84,27
508034,84,28
517017,84,26
517026,84,28
602005,84,24
101021,96,28
101030,96,32
101032,96,33
102010,96,28
102011,96,30
109021,96,29
109061,96,34
109065,96,31
118016,96,29
120044,96,30
120046,96,34
138005,96,32
138017,96,29
148008,96,28
148025,96,31
202008,96,29
202048,96,30
202050,96,29
202051,96,33
202077,96,30
202091,96,33
202096,96,28
302001,96,33
508003,96,16
529008,96,32
529015,96,31
605002,96,23
612012,96,29
101001,108,31
109004,108,32
109016,108,32
116024,108,31
120024,108,30
120028,108,34
120043,108,32
120051,108,32
120058,108,28
138003,108,31
138013,108,32
148007,108,33
148022,108,28
148031,108,31
154028,108,31
202082,108,25
302002,108,34
508016,108,27
527004,108,20
607003,108,14
612008,108,31
612013,108,29
101010,120,32
101020,120,34
101035,120,32
109012,120,32
109015,120,30
109023,120,34
109042,120,32
118010,120,32
120071,120,32
127023,120,33
136005,120,33
138007,120,31
138016,120,30
154010,120,34
154018,120,31
202076,120,34
202094,120,27
506008,120,34
508026,120,23
517021,120,31
612007,120,28
612014,120,29
102018,132,34
109029,132,34
116011,132,31
116016,132,34
116022,132,34
120045,132,34
120066,132,34
138001,132,34
138010,132,34
138012,132,32
148009,132,31
148015,132,34
154017,132,31
154025,132,31
202012,132,31
302011,132,34
529022,132,34
529023,132,34
608008,132,31
109034,132,34
116015,132,34
116021,132,34
116037,132,34
116040,132,34
118004,132,34
118008,132,34
120025,132,30
120047,132,34
120072,132,31
127002,132,33
127034,132,33
136001,132,34
136004,132,34
148002,132,31
148006,132,34
148027,132,34
154021,132,34
154022,132,33
202001,132,32
202083,132,29
202085,132,28
101005,156,34
101012,156,34
102022,156,34
102027,156,34
102032,156,34
102040,156,34
105022,156,23
109044,156,34
116023,156,34
116029,156,34
116032,156,34
116034,156,34
116035,156,34
118003,156,34
120009,156,34
508005,156,33
601002,156,31
101006,156,34
101011,156,32
101022,156,34
101026,156,34
102015,156,34
102017,156,34
102020,156,34
102021,156,34
102024,156,34
102026,156,34
102034,156,34
102035,156,34
109011,156,34
109017,156,34
109041,156,34
109045,156,33
109062,156,34
118007,156,34
508017,156,34
508029,156,33
529010,156,31
102012,204,34
102013,204,34
102014,204,34
102019,204,34
105027,204,25
109001,204,33
109039,204,33
154001,204,34
154004,204,30
154007,204,34
154008,204,34
154011,204,34
154012,204,32
154013,204,34
154014,204,34
154015,204,34
154016,204,34
154019,204,34
154020,204,34
154023,204,34
154026,204,34
154027,204,34
101004,204,34
102016,204,34
102025,204,34
102028,204,34
102030,204,34
102031,204,34
102038,204,34
102039,204,34
105026,204,31
109024,204,34
109036,204,34
109040,204,34
116030,204,34
120010,204,34
302010,204,34
508007,204,25
529018,204,34
529020,204,33
529021,204,34
529024,204,34
601011,204,30
118014,NA,2
120019,NA,32
120033,NA,27
120034,NA,11
120035,NA,27
120055,NA,29
127041,NA,5
136022,NA,10
136026,NA,30
211019,NA,34
504002,NA,22
504005,NA,22
504007,NA,19
504008,NA,21
504009,NA,25
504016,NA,12
504030,NA,28
504031,NA,16
504032,NA,11
607001,NA,25
609001,NA,8
609007,NA,22
