ID,agestrat,TOTALscore,COMscore,COGscore,SOCscore,ADPscore,PHYscore
108006,16,46,9,6,9,8,14
108007,78,183,31,39,36,41,36
108008,120,190,34,42,36,41,37
108009,60,169,31,30,35,37,36
108010,60,176,31,37,35,37,36
108012,156,187,34,42,35,39,37
108013,96,165,30,33,32,33,37
108014,108,186,32,42,35,40,37
108015,54,144,26,27,27,32,32
108016,72,151,28,28,31,31,33
108017,28,69,15,14,12,14,14
108018,14,41,7,7,10,7,10
108019,204,188,34,42,35,41,36
108020,96,163,30,36,31,32,34
108021,16,50,10,11,8,7,14
108022,24,74,13,16,11,15,19
108023,156,186,34,42,33,40,37
108024,24,67,14,9,13,12,19
108025,60,141,23,31,29,28,30
108026,28,87,17,18,17,16,19
108027,144,174,29,42,29,37,37
108028,120,183,32,42,35,37,37
108029,28,90,20,17,18,15,20
108031,60,101,17,21,12,24,27
108033,48,134,26,27,27,24,30
108034,20,62,13,12,13,12,12
108037,78,144,29,31,25,30,29
108038,48,121,23,25,20,26,27
108039,96,184,32,42,33,40,37
108041,108,184,34,42,34,38,36
108042,156,186,34,42,33,40,37
108043,96,176,32,41,33,34,36
108044,180,189,34,42,35,41,37
108045,144,189,34,42,35,41,37
109001,228,181,34,42,32,36,37
109002,96,176,30,39,33,38,36
109003,78,153,30,33,29,28,33
109004,108,179,31,41,33,37,37
109005,60,131,26,30,30,27,18
109006,28,86,19,10,12,20,25
109007,72,138,27,34,25,25,27
109008,42,93,20,18,12,25,18
109009,36,124,25,23,18,28,30
109011,156,183,34,41,36,36,36
109012,120,188,34,41,36,41,36
109013,16,61,12,7,11,13,18
109014,48,114,19,16,20,26,33
109015,120,181,31,42,33,38,37
109016,108,180,31,42,31,39,37
109017,156,184,33,41,36,39,35
109018,42,125,25,22,25,26,27
109019,78,164,28,35,35,32,34
109020,78,160,26,37,32,30,35
109021,96,185,33,40,34,41,37
109022,32,125,22,19,25,26,33
109023,120,189,34,42,35,41,37
109024,204,189,34,42,36,40,37
109026,66,148,27,28,29,31,33
109027,144,188,34,42,35,41,36
109028,4,31,7,5,8,6,5
109029,144,182,32,42,31,40,37
109031,180,170,28,40,28,37,37
109032,14,51,12,6,11,8,14
109033,72,174,34,35,32,36,37
109034,132,190,34,42,36,41,37
109035,42,138,29,24,31,29,25
109036,204,190,34,42,36,41,37
109037,120,175,31,40,31,37,36
109038,48,101,21,18,16,22,24
109039,228,190,34,42,36,41,37
109040,204,190,34,42,36,41,37
109041,156,190,34,42,36,41,37
109042,120,189,34,42,36,40,37
109043,84,189,34,42,35,41,37
109044,180,187,34,42,34,40,37
109045,156,169,31,41,33,31,33
109046,84,156,24,31,25,39,37
109047,2,11,0,0,4,0,7
109048,132,179,27,42,35,39,36
109049,120,169,26,42,27,38,36
109050,108,182,30,41,35,39,37
109051,84,176,29,42,32,37,36
109052,108,169,33,41,29,36,30
109053,18,53,11,8,12,9,13
109054,42,124,25,23,20,29,27
109055,66,178,31,38,34,38,37
109056,180,182,34,42,29,41,36
109057,180,182,34,42,32,38,36
109058,228,188,34,42,34,41,37
109059,14,49,10,7,9,8,15
109060,48,143,24,27,27,32,33
109061,96,189,34,42,36,40,37
109062,156,190,34,42,36,41,37
109063,36,105,22,19,18,24,22
109064,72,148,27,27,31,30,33
109065,96,178,31,39,35,36,37
109066,48,118,24,23,20,24,27
109067,10,46,10,7,10,9,10
109068,108,183,31,40,35,40,37
109069,78,174,30,35,35,38,36
109070,156,185,34,41,35,38,37
109071,228,190,34,42,36,41,37
109072,204,177,34,41,27,38,37
109073,144,181,33,41,29,41,37
109075,180,189,34,42,36,40,37
109076,204,188,34,42,34,41,37
109077,156,190,34,42,36,41,37
109078,32,122,25,23,20,25,29
109079,108,176,32,40,32,35,37
109080,54,130,29,27,23,24,27
109081,36,120,25,24,25,21,25
109082,4,15,2,5,3,3,2
109083,156,190,34,42,36,41,37
109084,108,172,29,36,33,38,36
109085,84,172,32,35,34,36,35
109086,78,157,29,30,29,35,34
109087,32,83,19,15,14,15,20
109088,96,169,29,39,30,35,36
109089,84,175,30,39,34,36,36
109090,48,152,29,34,28,28,33
109091,66,158,29,35,31,30,33
109094,120,189,34,42,35,41,37
109095,108,180,30,40,33,41,36
109096,48,143,25,21,29,34,34
109097,72,170,31,32,34,37,36
109098,6,24,5,5,4,4,6
109102,156,184,31,42,35,41,35
110001,16,65,15,10,13,9,18
110002,12,46,10,7,11,8,10
110003,6,30,5,5,8,5,7
110004,96,179,31,40,31,40,37
110005,132,188,34,42,34,41,37
110006,84,170,30,38,33,34,35
110007,72,178,32,37,33,39,37
110008,78,163,28,36,28,34,37
110009,14,62,16,10,9,12,15
110010,12,42,9,6,10,7,10
111001,84,182,31,41,33,41,36
111002,42,117,26,24,20,22,25
111003,120,180,32,42,32,39,35
111004,36,113,23,20,18,25,27
111005,2,15,3,3,5,3,1
111006,78,161,30,33,32,33,33
111007,144,186,32,42,34,41,37
111008,14,63,13,9,14,10,17
111009,60,152,29,33,25,31,34
111010,42,127,27,25,20,26,29
111011,108,189,33,42,36,41,37
111012,36,124,26,23,18,27,30
111013,10,31,4,6,7,6,8
111014,120,189,33,42,36,41,37
111015,156,190,34,42,36,41,37
111016,204,189,34,42,35,41,37
111017,14,59,11,9,11,13,15
111018,156,186,34,42,35,38,37
111019,42,118,23,19,24,28,24
111020,42,94,20,18,12,25,19
111021,108,179,30,41,34,38,36
111022,36,106,22,20,19,22,23
111023,24,83,12,16,13,17,25
111024,42,125,25,23,23,24,30
111025,144,190,34,42,36,41,37
111026,180,190,34,42,36,41,37
111027,16,67,15,12,13,11,16
111028,48,147,28,28,29,32,30
111029,60,132,22,27,23,26,34
111030,48,130,25,25,25,24,31
111031,18,76,19,14,12,14,17
111032,60,150,28,29,31,29,33
111033,156,182,32,42,31,40,37
111034,144,188,32,42,36,41,37
111035,120,183,33,42,32,40,36
111036,132,187,33,42,35,41,36
111037,20,71,16,14,13,12,16
111038,54,161,28,34,28,36,35
111039,4,24,3,6,6,5,4
111040,204,190,34,42,36,41,37
111041,156,190,34,42,36,41,37
111042,144,186,32,42,35,40,37
111043,120,180,32,41,32,38,37
111044,72,155,28,36,29,30,32
111045,20,83,16,12,14,16,25
111046,4,14,1,5,4,2,2
111047,28,81,18,17,14,15,17
111048,10,32,5,5,7,7,8
111049,48,138,28,28,27,27,28
111050,16,61,12,13,11,10,15
111051,22,66,16,13,11,11,15
111052,60,146,27,33,25,29,32
111053,8,38,7,7,8,8,8
111054,32,88,21,17,14,14,22
111055,32,118,24,19,25,20,30
112001,32,122,26,28,21,21,26
112002,72,135,23,32,23,29,28
112003,84,137,24,29,24,28,32
112004,36,106,19,18,14,24,31
112005,204,188,34,42,34,41,37
112006,78,166,28,36,33,35,34
112007,66,150,27,30,28,31,34
112008,28,118,25,20,23,23,27
112009,36,108,23,20,18,21,26
112010,24,76,12,12,15,15,22
112011,24,120,25,21,28,22,24
112012,48,142,27,26,27,28,34
112013,132,181,33,39,32,40,37
112014,204,184,34,42,33,38,37
112015,204,180,33,40,32,38,37
112016,204,190,34,42,36,41,37
112017,96,144,25,34,21,30,34
112018,84,147,26,34,23,31,33
112019,204,188,34,42,34,41,37
112020,84,125,22,28,20,25,30
112021,36,123,24,22,20,26,31
112022,48,147,29,27,31,28,32
112023,54,140,29,29,23,30,29
112024,36,142,29,24,28,29,32
112025,32,100,22,23,15,18,22
112026,32,72,12,15,14,12,19
112027,156,190,34,42,36,41,37
112028,204,187,34,42,35,39,37
112029,180,190,34,42,36,41,37
112030,144,162,30,37,27,33,35
112031,66,123,26,28,21,23,25
112032,72,154,26,31,30,35,32
112033,84,144,24,36,25,28,31
112034,78,120,21,33,20,23,23
112035,120,161,27,37,26,34,37
112036,96,160,29,37,29,31,34
112037,228,190,34,42,36,41,37
112038,78,129,23,28,22,29,27
112039,180,185,34,37,36,41,37
112040,96,140,24,35,19,28,34
112041,120,157,27,38,25,33,34
112042,84,141,23,33,28,26,31
112043,180,189,34,42,35,41,37
112044,108,158,25,38,27,31,37
112045,108,149,27,34,29,29,30
112046,108,174,30,39,32,41,32
112047,96,164,28,39,30,32,35
112048,204,190,34,42,36,41,37
112049,204,190,34,42,36,41,37
112050,84,136,24,35,21,27,29
112051,84,133,22,31,22,27,31
112052,84,140,25,31,24,27,33
112053,132,179,32,40,32,38,37
112054,204,190,34,42,36,41,37
112055,180,190,34,42,36,41,37
112056,120,179,31,39,31,41,37
112057,204,190,34,42,36,41,37
112058,204,190,34,42,36,41,37
112059,204,190,34,42,36,41,37
112060,204,190,34,42,36,41,37
112061,204,189,34,42,35,41,37
112062,156,190,34,42,36,41,37
112063,204,190,34,42,36,41,37
112064,204,190,34,42,36,41,37
112065,204,190,34,42,36,41,37
112066,204,190,34,42,36,41,37
112067,144,190,34,42,36,41,37
112068,96,150,26,34,25,29,36
112069,132,176,31,38,29,41,37
112070,84,132,24,30,22,26,30
112071,120,165,26,36,30,36,37
112072,180,190,34,42,36,41,37
112073,204,190,34,42,36,41,37
112074,204,190,34,42,36,41,37
112075,180,190,34,42,36,41,37
113001,204,160,29,37,28,37,29
113002,180,186,33,42,35,41,35
113003,228,186,34,42,34,41,35
113004,108,190,34,42,36,41,37
113005,84,182,31,40,36,39,36
113006,60,119,24,24,21,24,26
113007,66,169,31,38,31,35,34
113008,96,183,31,42,32,41,37
113009,78,163,29,37,32,32,33
113010,48,134,25,25,24,29,31
113012,22,77,17,13,14,14,19
113013,108,151,24,37,18,36,36
113014,72,157,28,33,33,34,29
114001,54,126,24,25,22,25,30
114002,72,156,29,37,27,29,34
114003,132,179,32,40,35,36,36
114004,54,143,27,30,26,29,31
114005,4,17,2,5,5,1,4
114006,60,165,30,34,34,32,35
114007,54,144,28,29,28,28,31
114008,54,129,23,28,24,26,28
114009,54,139,28,28,26,28,29
114010,54,143,28,26,28,32,29
114011,2,9,2,2,3,2,0
114012,54,142,29,25,29,29,30
114013,28,115,25,22,19,24,25
114014,54,161,31,28,35,35,32
114015,54,134,28,21,28,32,25
114016,78,156,28,34,27,34,33
114017,78,171,30,41,30,36,34
114018,54,144,29,27,29,31,28
114020,24,88,21,13,15,19,20
114022,60,142,27,30,30,26,29
114023,84,169,32,38,32,30,37
115001,48,106,22,14,19,24,27
115002,84,169,30,37,31,38,33
115003,132,174,34,41,29,34,36
115004,156,187,34,42,34,41,36
115005,180,182,32,41,33,40,36
115006,32,95,20,16,16,20,23
115007,60,139,27,26,28,29,29
115008,132,179,31,40,33,39,36
115009,84,162,30,34,31,34,33
115010,4,20,3,5,5,3,4
115011,24,99,21,23,19,18,18
115012,156,184,34,41,35,38,36
115013,180,187,34,42,36,39,36
115014,228,187,34,42,36,39,36
115015,48,97,23,19,13,21,21
115029,60,152,30,29,31,31,31
115030,108,173,31,36,33,36,37
115031,36,115,24,19,25,22,25
115032,120,186,31,42,35,41,37
115033,60,173,31,39,33,36,34
115034,84,174,31,39,34,38,32
115035,108,162,29,37,25,36,35
115036,120,184,31,42,34,40,37
115037,42,91,18,17,14,19,23
115038,156,182,34,42,31,38,37
115039,180,186,34,42,33,40,37
115040,12,39,10,7,5,8,9
115041,180,190,34,42,36,41,37
115042,180,190,34,42,36,41,37
115043,78,166,29,35,33,33,36
115044,120,182,32,41,34,38,37
115045,156,187,32,42,35,41,37
115046,24,80,18,13,16,16,17
115047,42,125,25,23,22,25,30
115048,84,183,31,41,35,39,37
115049,108,184,31,42,35,39,37
115050,120,156,28,38,25,34,31
115116,14,48,9,7,10,9,13
115117,32,81,16,16,13,15,21
115118,42,125,23,20,22,30,30
115119,28,80,20,17,11,17,15
115120,54,138,28,29,27,28,26
115121,72,139,28,28,23,30,30
115122,108,181,33,42,30,40,36
115123,144,184,32,42,33,41,36
115124,156,187,33,42,34,41,37
115125,204,188,33,42,35,41,37
115126,60,159,31,29,36,29,34
115127,96,190,34,42,36,41,37
115128,120,190,34,42,36,41,37
116001,24,96,20,17,15,21,23
116002,36,102,20,14,15,23,30
116003,36,103,20,15,16,21,31
116004,36,107,21,19,18,20,29
116005,22,59,14,8,11,9,17
116006,32,104,22,13,18,23,28
116007,14,72,15,10,18,11,18
116008,42,115,21,21,17,23,33
116009,14,46,9,7,11,7,12
116010,28,84,18,13,13,17,23
116011,144,183,33,42,34,37,37
116012,12,49,11,8,13,7,10
116013,10,45,12,7,11,7,8
116014,28,91,18,14,15,21,23
116015,132,185,33,41,34,40,37
116016,144,190,34,42,36,41,37
116017,42,105,22,18,17,22,26
116018,12,47,10,7,11,7,12
116019,20,65,10,13,12,12,18
116020,32,122,24,24,19,21,34
116021,132,190,34,42,36,41,37
116022,144,190,34,42,36,41,37
116023,180,190,34,42,36,41,37
116024,108,171,31,36,31,36,37
116025,66,159,29,30,32,32,36
116026,32,67,12,11,13,11,20
116027,28,80,19,13,13,16,19
116028,6,13,0,5,2,4,2
116029,180,190,34,42,36,41,37
116030,204,190,34,42,36,41,37
116031,12,45,8,7,11,7,12
116032,180,190,34,42,36,41,37
116033,12,42,9,7,11,7,8
116034,180,190,34,42,36,41,37
116035,180,189,34,41,36,41,37
116036,66,147,28,34,22,29,34
116037,132,188,34,41,35,41,37
116038,8,26,4,5,5,6,6
116040,132,189,34,41,36,41,37
116041,108,171,31,38,31,34,37
116042,132,188,34,40,36,41,37
116043,72,126,22,26,15,30,33
116044,132,189,34,41,36,41,37
116045,132,190,34,42,36,41,37
116046,120,173,31,36,33,36,37
116047,228,190,34,42,36,41,37
116048,132,187,33,40,36,41,37
116049,28,95,20,16,18,19,22
116050,32,97,21,18,18,20,20
116051,132,184,34,38,34,41,37
116052,228,190,34,42,36,41,37
116053,228,190,34,42,36,41,37
116054,132,187,34,41,34,41,37
116055,28,92,20,16,18,18,20
116056,32,92,20,16,17,19,20
116057,144,187,34,40,35,41,37
116058,120,185,34,39,34,41,37
116059,132,186,34,41,33,41,37
116060,132,188,34,42,34,41,37
116061,120,179,33,37,35,37,37
116062,24,88,20,13,18,17,20
116063,24,75,18,5,14,18,20
116064,228,190,34,42,36,41,37
116065,228,190,34,42,36,41,37
116069,132,186,34,42,32,41,37
116071,132,188,34,40,36,41,37
116072,132,186,34,38,36,41,37
116073,32,89,20,15,14,20,20
116074,228,190,34,42,36,41,37
116075,228,190,34,42,36,41,37
116076,228,190,34,42,36,41,37
116077,132,189,34,42,35,41,37
116078,132,189,34,41,36,41,37
116079,28,90,19,17,14,20,20
116080,32,93,19,18,16,19,21
117001,32,83,16,18,15,13,21
117002,66,159,30,36,31,30,32
117003,120,183,32,42,35,39,35
117004,24,95,23,13,23,18,18
117005,120,188,34,42,35,40,37
117006,66,155,29,33,30,33,30
117007,132,181,32,40,33,39,37
117008,10,38,7,7,9,7,8
117009,42,154,28,27,32,35,32
117010,10,38,8,7,9,7,7
117011,6,29,5,6,9,5,4
117012,36,93,19,18,16,17,23
117013,24,74,16,13,13,12,20
117014,54,142,26,28,27,28,33
117015,28,85,20,16,16,12,21
117016,24,88,19,17,14,18,20
117017,4,16,1,5,3,4,3
117018,4,26,4,6,7,5,4
117019,4,19,1,5,4,5,4
117020,6,37,8,7,10,6,6
117021,10,44,10,7,10,7,10
117022,54,144,28,27,30,26,33
117023,54,143,28,26,29,27,33
117024,48,118,24,23,18,25,28
117025,4,18,3,5,3,3,4
117026,22,67,17,15,12,9,14
117027,4,19,2,5,5,3,4
117028,28,89,23,19,16,14,17
117029,48,114,26,25,20,20,23
117030,36,117,26,21,18,26,26
117031,14,55,12,12,10,10,11
117032,144,183,34,42,32,38,37
117033,4,16,3,5,5,2,1
117034,132,175,30,42,28,38,37
117035,108,176,30,41,30,40,35
117036,78,170,27,39,31,37,36
117037,66,129,25,31,17,28,28
117038,108,186,32,42,34,41,37
117040,8,41,7,7,10,8,9
117041,84,172,29,38,34,34,37
117042,36,100,23,15,17,20,25
117043,66,143,27,29,26,30,31
117044,8,37,8,8,9,6,6
117045,32,126,27,24,23,26,26
117046,0,0,0,0,0,0,0
117047,0,0,0,0,0,0,0
117048,96,172,30,40,32,36,34
117049,78,165,29,37,30,36,33
117050,132,166,31,42,26,33,34
117053,8,41,9,8,9,7,8
117054,84,165,28,37,31,32,37
117055,36,108,24,18,20,21,25
117056,18,65,14,11,13,12,15
117059,22,75,14,15,17,10,19
117060,8,33,5,6,8,7,7
117061,72,150,29,32,29,28,32
117062,42,125,26,23,24,24,28
117063,10,38,9,7,9,5,8
117064,60,152,27,34,31,28,32
117065,36,113,21,19,23,22,28
118001,66,149,28,33,31,25,32
118002,32,98,21,20,15,20,22
118003,180,189,34,42,35,41,37
118004,132,187,33,42,35,41,36
118005,2,16,2,4,6,3,1
118006,48,133,23,27,27,27,29
118007,156,189,34,41,36,41,37
118008,132,189,34,41,36,41,37
118009,42,110,19,18,24,23,26
118010,120,186,32,42,35,40,37
118011,78,168,30,37,33,33,35
118012,66,165,30,32,33,37,33
118015,2,11,2,4,4,1,0
118016,96,173,31,40,31,35,36
118017,66,154,30,33,30,30,31
118018,36,90,22,19,13,18,18
118019,2,11,1,3,4,2,1
119001,36,124,27,24,24,24,25
119002,132,188,32,42,36,41,37
119003,132,187,32,42,35,41,37
119004,108,184,32,41,33,41,37
119005,18,76,14,13,14,14,21
119006,12,45,9,9,10,9,8
119007,96,188,32,42,36,41,37
119008,36,123,26,22,20,25,30
119009,78,170,30,38,34,33,35
119010,10,45,11,9,10,7,8
119011,84,177,31,38,31,40,37
119012,108,184,32,42,33,40,37
119013,132,186,32,42,35,40,37
119014,96,187,32,42,35,41,37
119015,78,179,31,37,35,39,37
119016,84,169,30,38,31,34,36
119017,132,187,32,42,35,41,37
119018,96,176,31,39,31,38,37
119019,84,156,27,38,28,31,32
119020,60,133,26,24,28,27,28
119021,96,186,33,42,33,41,37
119022,2,13,3,5,3,2,0
119023,2,21,3,5,5,5,3
120009,180,189,34,42,35,41,37
120010,204,190,34,42,36,41,37
120011,36,108,22,19,17,21,29
120012,54,133,27,24,23,28,31
120013,12,46,6,9,10,11,10
120014,16,63,14,11,13,11,14
120015,42,120,24,25,21,23,27
120016,28,100,21,16,18,21,24
120017,48,136,27,23,24,28,34
120018,60,148,28,28,27,30,35
120020,84,181,31,38,35,41,36
120021,132,189,34,42,35,41,37
120022,20,47,9,6,8,11,13
120023,78,160,29,37,26,32,36
120024,108,172,28,37,34,37,36
120025,132,175,28,40,34,36,37
120026,18,74,13,14,14,14,19
120027,72,160,28,31,31,35,35
120028,108,183,31,42,33,40,37
120029,42,120,23,22,21,25,29
120030,72,156,27,34,32,29,34
120031,60,108,24,21,13,26,24
120032,66,151,29,27,29,30,36
120037,10,42,9,7,9,8,9
120038,72,161,30,36,29,32,34
120041,0,15,2,4,3,4,2
120042,48,128,25,24,24,24,31
120043,108,185,32,42,34,40,37
120044,96,169,30,40,27,35,37
120045,144,183,32,42,31,41,37
120046,96,186,32,41,35,41,37
120047,132,190,34,42,36,41,37
120048,28,130,25,26,21,28,30
120049,54,121,26,19,21,25,30
120050,72,170,29,37,31,36,37
120051,108,180,32,42,29,40,37
120052,32,114,22,21,22,26,23
120053,60,139,26,28,26,28,31
120056,78,137,24,26,26,27,34
120057,78,150,27,34,29,28,32
120058,108,164,28,39,30,32,35
120059,66,152,29,28,26,38,31
120061,8,37,6,7,9,8,7
120062,42,139,27,27,23,31,31
120063,6,26,3,5,6,6,6
120064,48,131,24,24,22,30,31
120065,72,155,29,30,29,34,33
120066,144,188,34,42,34,41,37
120067,66,159,29,33,31,34,32
120069,8,26,5,5,6,4,6
120070,78,142,26,26,25,33,32
120071,120,184,32,40,35,40,37
120072,132,181,31,40,35,39,36
120073,108,184,33,42,34,38,37
121001,10,51,11,9,8,10,13
121002,180,189,34,42,35,41,37
121003,180,190,34,42,36,41,37
121005,18,82,15,13,15,20,19
121006,6,27,5,6,7,5,4
121007,36,123,23,18,22,29,31
121009,20,76,12,13,13,17,21
121010,24,78,16,14,13,16,19
121011,10,41,8,8,7,10,8
121012,22,71,16,12,12,10,21
121013,2,14,2,4,4,3,1
121014,20,59,12,12,12,9,14
121015,20,64,15,12,12,10,15
121016,42,134,27,26,23,28,30
121017,12,50,12,8,11,9,10
121018,78,186,33,40,36,40,37
121019,144,190,34,42,36,41,37
121020,36,105,22,19,19,21,24
121022,14,49,11,7,12,9,10
121023,54,124,24,24,22,27,27
122001,36,123,24,24,26,25,24
122002,60,155,30,27,33,32,33
122003,20,76,18,16,12,13,17
122004,0,5,1,0,2,2,0
122005,60,152,29,29,29,34,31
122006,84,174,30,39,32,37,36
122007,120,176,30,39,33,37,37
122008,20,71,13,12,14,13,19
122010,96,164,30,37,33,29,35
122011,20,79,18,17,14,14,16
122012,48,111,24,25,15,22,25
122013,2,15,1,5,3,4,2
122015,78,150,25,27,30,37,31
122016,60,149,28,24,32,37,28
122017,24,72,16,12,15,13,16
