ID,agestrat,adpscore_teacher,adpscore_teacher_SS
137001,132,37,100
137003,66,32,111
137004,36,18,93
137005,120,34,91
137006,84,33,98
137007,28,16,97
137008,48,30,120
137010,36,17,90
137012,54,26,99
137017,72,30,96
137018,48,26,105
137020,96,38,123
137021,54,20,83
137026,66,38,140
137027,96,38,123
137028,72,34,115
137029,108,34,94
137030,78,28,86
137032,84,31,91
137033,108,36,102
137034,48,27,109
137035,108,38,119
137036,72,33,109
137037,96,38,123
137038,78,28,86
137039,54,29,110
137051,66,33,116
138003,108,37,111
138004,84,36,115
138005,96,36,109
138007,120,38,115
138008,78,32,98
138010,132,38,112
138011,24,13,95
138016,120,38,115
138017,96,38,123
138021,24,14,98
139009,48,27,109
139013,42,26,111
139018,48,26,105
139019,32,15,90
139020,60,30,108
139021,48,24,98
141026,28,23,118
141027,24,23,123
141028,32,23,112
141029,32,23,112
141030,28,19,106
141031,36,23,107
141032,36,24,110
141033,36,23,107
141034,42,24,104
141035,36,23,107
141036,42,25,107
141037,36,22,103
141038,42,19,90
141039,36,19,95
141040,42,22,98
141041,42,25,107
141042,42,24,104
141043,42,20,93
141044,54,23,91
141045,48,25,101
141046,54,25,96
141047,54,25,96
141048,48,25,101
141049,54,27,102
143001,132,38,112
143002,108,36,102
143003,48,31,124
143004,84,38,128
143005,84,35,108
143006,96,35,101
143007,72,33,109
143008,78,30,92
143009,60,32,117
143010,54,37,143
143011,32,33,145
143013,72,28,91
143017,60,29,104
143018,96,35,101
143019,132,38,112
143021,132,38,112
143022,132,38,112
143023,96,35,101
143024,32,23,112
143025,120,38,115
148001,84,30,88
148002,132,36,96
148003,66,26,90
148005,54,27,102
148006,132,38,112
148007,108,37,111
148009,132,36,96
148012,84,34,101
148013,84,33,98
148017,60,31,113
148018,28,20,109
148019,72,30,96
148022,108,33,91
148023,84,36,115
148024,48,26,105
148025,96,31,88
148026,78,35,114
148027,132,37,100
148028,60,27,97
148029,72,32,104
148030,84,33,98
148031,108,34,94
151001,156,34,87
151002,120,38,115
151003,108,37,111
151004,156,38,109
151005,48,26,105
151006,36,23,107
151008,78,33,103
151010,42,24,104
151011,42,21,95
151012,84,32,94
151013,132,38,112
151014,36,26,117
151015,108,33,91
151016,78,31,95
151017,36,19,95
151018,132,38,112
151019,120,38,115
151020,132,38,112
151021,108,38,119
151022,132,38,112
151023,120,38,115
151024,132,38,112
151025,132,38,112
151026,120,38,115
151027,60,29,104
151028,66,28,95
151029,54,25,96
151030,66,28,95
151031,96,38,123
151032,96,32,91
151033,120,38,115
151034,132,36,96
151035,54,19,80
151036,96,35,101
151037,96,38,123
151038,108,33,91
151039,120,38,115
151040,132,38,112
151041,36,16,88
151042,84,31,91
151043,84,33,98
151044,84,32,94
151045,36,18,93
151046,84,34,101
151047,96,34,97
151048,120,37,105
151049,96,38,123
151050,24,13,95
151051,108,37,111
151052,84,31,91
151053,84,31,91
151054,108,37,111
151055,120,34,91
151056,96,28,78
151057,84,38,128
151058,84,33,98
151059,84,35,108
151060,96,38,123
154002,42,30,126
154005,84,37,121
154010,120,37,105
154017,132,38,112
154018,120,38,115
154022,132,37,100
154028,108,38,119
154029,108,38,119
154030,132,38,112
154037,72,28,91
154040,84,31,91
154041,60,24,89
154042,42,18,88
154043,28,9,82
154047,120,36,98
154052,54,35,135
154055,66,35,125
154056,108,38,119
154057,132,38,112
154058,108,37,111
154076,132,38,112
154077,108,34,94
154078,84,31,91
154079,132,37,100
154080,120,38,115
154081,108,35,97
154959,78,37,126
201001,66,27,92
201002,54,28,106
201003,66,26,90
201004,66,29,98
201007,72,32,104
201008,72,37,131
201009,78,34,108
201010,78,37,126
201011,66,20,73
201012,72,37,131
201013,66,28,95
201014,72,28,91
201015,66,31,106
201016,78,26,80
201017,60,31,113
201018,60,32,117
201019,60,34,126
201020,54,32,123
201021,60,29,104
201022,72,35,120
201024,78,18,57
201028,72,25,82
201029,60,27,97
201039,66,30,101
201040,66,23,81
201044,66,26,90
201045,72,29,94
201051,66,27,92
201052,42,22,98
201053,66,23,81
201055,66,27,92
201056,60,28,99
202001,132,38,112
202002,108,37,111
202003,48,18,83
202004,108,38,119
202005,66,34,121
202006,54,28,106
202008,96,37,116
202009,42,33,136
202012,132,37,100
202014,42,12,73
202015,78,27,83
202017,120,35,95
202018,48,23,95
202021,54,30,114
202022,28,16,97
202024,24,22,120
202026,48,28,112
202027,78,32,98
202028,42,24,104
202029,60,30,108
202031,60,37,139
202032,42,26,111
202035,28,21,112
202037,42,34,140
202038,42,37,151
202039,78,31,95
202042,42,28,118
202043,32,19,100
202044,36,29,127
202047,48,23,95
202048,96,36,109
202049,42,23,100
202050,96,37,116
202051,96,37,116
202052,78,31,95
202055,32,21,106
202056,54,27,102
202058,48,25,101
202060,48,22,93
202061,48,23,95
202062,42,27,115
202066,42,23,100
202067,54,29,110
202068,28,22,115
202071,54,31,119
202073,72,35,120
202076,120,38,115
202077,96,25,68
202081,24,13,95
202082,108,35,97
202083,132,38,112
202085,132,35,92
202087,42,22,98
202088,48,26,105
202089,78,32,98
202090,72,36,125
202091,96,37,116
202092,42,25,107
202093,60,32,117
202094,120,38,115
202095,28,10,84
202096,96,36,109
202097,84,28,82
202098,108,38,119
202099,132,38,112
202101,48,26,105
202103,66,34,121
202105,24,17,105
202106,60,37,139
202107,132,38,112
202109,132,38,112
202110,132,38,112
206001,42,16,83
206005,84,29,85
206007,84,38,128
206008,84,28,82
206009,84,34,101
206010,84,38,128
206011,84,38,128
206013,84,36,115
206016,96,30,84
206017,84,33,98
206020,78,38,132
206024,84,32,94
207001,72,34,115
207004,96,38,123
207007,84,27,79
207009,120,34,91
207010,48,26,105
207013,24,13,95
207015,24,10,89
207017,120,35,95
207018,96,38,123
207021,60,30,108
207024,84,25,73
208001,54,21,86
208002,54,27,102
208003,54,29,110
208004,48,22,93
208005,48,26,105
208006,66,34,121
208007,60,27,97
208008,54,25,96
211002,60,30,108
211003,120,38,115
211004,132,38,112
211005,108,36,102
211006,54,32,123
211007,42,27,115
211008,132,38,112
211009,78,33,103
211012,24,15,100
211014,28,24,121
211020,108,36,102
215001,84,30,88
215002,48,29,116
215004,84,37,121
215005,120,35,95
216001,84,38,128
216009,84,35,108
216013,132,35,92
216016,96,36,109
216017,84,34,101
218003,66,35,125
218004,36,27,120
218007,24,19,111
218009,72,38,136
219001,78,37,126
219002,108,38,119
219003,54,35,135
219004,84,31,91
219005,84,34,101
219006,96,35,101
219007,72,34,115
219008,120,36,98
219009,96,32,91
219010,66,29,98
220001,108,35,97
220002,78,35,114
220003,42,24,104
220004,24,12,93
220005,132,38,112
220007,54,29,110
220008,108,36,102
220009,84,33,98
220011,66,30,101
220012,60,27,97
220013,66,24,84
220014,60,29,104
220015,60,30,108
220016,48,26,105
220017,66,35,125
220018,78,29,89
220020,78,29,89
220021,24,23,123
220022,24,19,111
220023,54,27,102
220028,96,38,123
220030,132,35,92
220031,132,38,112
220032,120,34,91
220034,132,38,112
220036,120,38,115
221001,36,22,103
221004,28,18,103
221005,72,36,125
221006,72,33,109
221007,32,18,97
221008,72,36,125
221009,72,34,115
221012,72,35,120
223001,42,27,115
223002,24,24,126
223004,72,35,120
223005,96,33,94
223006,36,20,97
223007,24,17,105
223008,96,30,84
223009,108,36,102
223010,28,12,88
224001,96,37,116
224002,78,36,120
224003,66,30,101
224004,32,18,97
224005,96,35,101
224006,72,35,120
224007,48,27,109
224008,28,17,100
224009,72,32,104
224010,96,36,109
224011,36,17,90
224012,36,13,81
224013,60,30,108
224014,60,23,86
224015,48,16,78
224016,42,18,88
224017,60,32,117
224018,48,19,85
224019,72,32,104
224020,66,34,121
227002,32,5,67
227003,66,33,116
227007,28,16,97
227010,28,17,100
227012,28,12,88
227014,24,17,105
227018,32,20,103
302001,96,38,123
302002,108,37,111
302005,78,34,108
302006,84,38,128
302007,120,38,115
302008,96,38,123
302009,78,35,114
302010,204,38,108
302011,132,37,100
501001,60,23,86
501002,48,24,98
501003,84,13,36
501006,48,20,88
501009,132,37,100
501021,72,36,125
501029,60,28,99
501032,48,30,120
503001,66,15,59
505005,60,27,97
505015,156,34,87
505016,66,14,56
505021,132,33,85
505024,42,17,85
505035,48,17,80
505036,54,15,70
505037,54,18,78
505038,42,9,66
505039,42,11,71
505040,60,17,70
506001,54,2,36
506003,78,21,66
506004,96,30,84
506005,72,27,88
506008,120,36,98
506009,84,30,88
506011,42,15,81
506014,54,22,88
506015,78,18,57
506016,42,13,76
506022,78,21,66
507005,54,18,78
508001,60,26,94
508002,60,24,89
508005,156,33,83
508007,204,35,90
508008,42,27,115
508009,72,24,79
508010,72,24,79
508011,66,29,98
508013,54,19,80
508014,120,28,70
508015,42,13,76
508016,108,30,81
508017,156,35,91
508019,36,9,71
508021,36,11,76
508022,42,10,68
508023,84,22,64
508024,84,24,70
508025,84,23,67
508026,120,33,88
508027,54,15,70
508028,96,22,59
508029,156,35,91
508030,132,23,49
508031,60,13,59
508032,54,10,57
508033,48,11,65
508034,84,34,101
510001,96,35,101
510004,72,26,85
510005,108,29,77
510007,132,35,92
510008,120,33,88
510009,156,37,98
510010,132,32,82
510014,132,30,74
510016,156,35,91
517001,78,25,77
517003,54,6,47
517004,108,36,102
517005,132,35,92
517007,156,35,91
517009,120,36,98
517010,156,35,91
517011,84,33,98
517012,96,30,84
517013,60,27,97
517017,84,29,85
517018,42,18,88
517020,78,33,103
517021,120,36,98
517022,156,36,95
517023,66,32,111
517024,156,35,91
517026,96,36,109
517028,66,28,95
526003,48,11,65
527002,132,3,-24
527004,108,25,64
527005,24,6,80
529001,72,27,88
529008,96,34,97
529015,96,33,94
529018,204,35,90
529020,204,38,108
529021,204,38,108
529022,132,37,100
529023,132,34,89
529024,204,38,108
529025,72,31,99
529026,66,28,95
529029,66,14,56
600001,132,32,82
600003,156,32,79
600006,96,28,78
600007,120,27,67
600008,120,28,70
600009,108,28,74
600010,108,25,64
601002,156,38,109
601007,156,35,91
601011,204,35,90
602001,120,30,77
602002,60,24,89
602003,66,21,76
602004,66,22,78
602005,84,23,67
602006,78,22,69
602007,72,18,62
602008,78,10,33
605002,96,12,27
605003,96,28,78
607004,78,33,103
608001,42,18,88
608002,54,19,80
608003,60,26,94
608004,78,32,98
608005,36,21,100
608006,28,10,84
608007,60,28,99
608008,132,34,89
608009,42,20,93
608010,42,21,95
608011,66,26,90
608012,78,25,77
608013,32,15,90
608014,66,29,98
609003,54,14,67
612001,60,29,104
612002,54,26,99
612003,36,12,78
612004,24,15,100
612005,28,12,88
612006,28,18,103
612007,120,22,49
612008,108,30,81
612009,24,9,87
612010,28,10,84
612012,96,30,84
612013,108,31,84
612014,120,36,98
612017,84,29,85
701004,132,27,63
705002,78,12,39
