ID,agestrat,GDS_parent,GDS_parent_SS
116001,24,592,114
116002,36,500,98
116003,36,478,94
116004,36,544,106
116005,22,400,80
116006,32,569,110
116007,14,625,120
116008,42,538,104
116009,14,463,91
116010,28,493,97
116011,132,505,99
116012,0,727,138
116013,10,529,103
116014,28,466,92
116015,132,530,103
116016,132,535,104
116017,42,500,98
116018,12,521,102
116019,20,464,92
116020,32,643,123
116021,132,535,104
116022,132,535,104
116023,156,518,101
116024,108,515,100
116025,66,647,124
116026,32,393,79
116027,28,456,90
116028,6,437,87
116029,156,514,100
116030,204,500,98
116031,12,532,103
116032,156,518,101
116033,12,509,99
116034,156,518,101
116035,156,518,101
116036,66,584,113
116037,132,535,104
116038,8,535,104
116040,132,523,102
118001,66,506,99
118002,32,461,91
118003,156,514,100
118004,132,528,103
118005,2,517,101
118006,48,583,112
118007,156,514,100
118008,132,522,102
118009,42,565,109
118010,120,539,105
118011,78,592,114
118012,66,613,118
118014,4,533,104
118015,2,484,95
118016,96,500,98
118017,66,539,105
118018,36,421,84
118019,2,503,98
120009,156,505,99
120010,204,500,98
120011,36,608,117
120012,54,603,116
120013,10,482,95
120014,16,514,100
120015,42,502,98
120016,32,476,94
120017,48,789,148
120018,60,703,133
120019,84,626,120
120020,84,561,109
120022,18,383,77
120023,78,594,114
120024,108,539,105
120025,132,483,95
120026,18,548,106
120027,72,611,117
120028,108,550,107
120029,48,467,92
120030,72,545,106
120031,60,382,77
120032,60,582,112
120033,66,478,94
120034,20,449,89
120035,60,469,92
120037,10,529,103
120038,72,618,119
120041,0,514,100
120042,54,408,82
120043,108,562,109
120044,108,551,107
120045,132,535,104
120046,96,612,117
120047,132,535,104
120048,28,583,112
120049,54,586,113
120050,72,656,125
120051,108,568,110
120052,32,551,107
120053,60,544,106
120055,60,646,123
120057,84,490,96
120058,108,475,93
120063,6,495,97
120064,48,546,106
120065,72,533,104
120066,132,529,103
120069,8,473,93
120070,78,455,90
120071,120,525,102
120072,132,492,96
127001,18,485,95
127002,132,519,101
127003,2,547,106
127004,78,621,119
127005,6,508,99
127006,36,699,133
127007,54,656,125
127008,14,607,117
127010,0,634,121
127011,66,461,91
127012,18,483,95
127013,12,588,113
127014,42,644,123
127015,48,554,107
127016,66,594,114
127017,42,511,100
127018,4,524,102
127019,24,467,92
127020,32,542,105
127021,24,468,92
127022,84,583,112
127023,120,531,103
127024,54,586,113
127025,20,498,97
127026,6,470,93
127027,24,399,80
127028,42,605,116
127029,66,540,105
127030,10,491,96
127031,48,543,105
127032,42,618,119
127033,78,607,117
127034,132,521,102
127035,84,551,107
127036,10,526,102
127037,10,586,113
127038,24,498,97
127039,2,543,105
127040,14,584,113
127041,6,517,101
127042,0,494,97
136001,132,535,104
136002,6,487,96
136003,14,538,104
136004,132,529,103
136005,120,526,102
136008,8,492,96
136011,60,618,119
136012,2,503,98
136013,4,479,94
136014,0,747,141
136015,28,447,89
136016,28,444,88
136017,28,442,88
136019,24,398,80
136020,8,397,80
136021,4,532,103
136022,12,520,101
136023,24,525,102
136024,6,519,101
136025,8,512,100
136026,66,641,123
136030,16,560,108
138001,132,530,103
138003,108,527,103
138004,84,574,111
138005,96,566,109
138007,120,529,103
138008,78,502,98
138009,54,466,92
138010,132,529,103
138011,28,561,109
138012,132,490,96
138013,108,534,104
138014,2,521,102
138015,4,528,103
138016,120,502,98
138017,96,538,104
138018,12,489,96
148001,84,445,88
148002,132,466,92
148003,66,445,88
148004,18,525,102
148005,48,633,121
148006,132,529,103
148007,108,557,108
148008,96,430,86
148009,132,488,96
148012,78,568,110
148013,84,524,102
148015,132,520,101
148016,48,504,99
148017,60,588,113
148018,28,512,100
148020,14,550,107
148021,48,535,104
148022,108,460,91
148023,78,582,112
148024,42,514,100
148025,96,540,105
148026,78,535,104
148027,132,523,102
148028,60,536,104
148029,72,493,97
148030,84,505,99
148031,108,514,100
148032,18,564,109
154001,204,500,98
154002,42,492,96
154003,10,452,89
154004,204,457,90
154005,84,593,114
154007,204,500,98
154008,204,497,97
154010,120,561,109
154011,204,500,98
154012,204,452,89
154013,204,500,98
154014,204,500,98
154015,204,500,98
154016,204,500,98
154017,132,472,93
154018,120,522,102
154019,204,500,98
154020,204,460,91
154021,132,535,104
154022,132,459,91
154023,204,489,96
154024,84,626,120
154025,132,492,96
154026,204,500,98
154027,204,500,98
154028,108,532,103
154052,54,742,140
202001,132,513,100
202006,54,624,120
202008,96,553,107
202009,42,656,125
202010,4,523,102
202011,8,518,101
202012,132,475,93
202020,6,520,101
202021,54,499,98
202022,28,431,86
202023,8,484,95
202024,24,572,110
202025,6,531,103
202026,48,600,115
202027,78,533,104
202028,42,578,111
202031,60,651,124
202039,78,657,125
202042,42,547,106
202043,32,617,118
202044,36,625,120
202045,20,555,107
202046,16,539,105
202047,48,525,102
202048,96,557,108
202049,42,572,110
202050,96,502,98
202051,96,575,111
202052,78,619,119
202054,6,544,106
202055,32,659,126
202056,54,705,134
202057,18,580,112
202059,18,424,85
202060,48,464,92
202061,48,470,93
202062,42,631,121
202063,20,477,94
202064,0,482,95
202065,14,528,103
202066,42,493,97
202067,54,568,110
202068,28,470,93
202069,24,504,99
202071,54,671,128
202072,10,548,106
202073,72,590,114
202074,18,532,103
202075,8,534,104
202076,120,549,106
202077,96,472,93
202078,12,440,87
202079,24,334,69
202080,36,347,71
202081,24,380,77
202082,108,461,91
202083,132,445,88
202085,132,427,85
202086,12,381,77
202087,42,294,62
202088,48,737,139
202089,78,664,127
202090,72,537,104
202091,96,589,113
202092,42,526,102
202093,60,493,97
202094,120,507,99
202095,28,370,75
202096,96,550,107
202097,84,542,105
211019,132,521,102
302001,96,615,118
302002,108,591,114
302010,204,500,98
302011,132,535,104
506003,78,372,75
506008,120,541,105
506009,84,432,86
506014,54,345,71
506015,72,285,60
506016,42,361,73
506022,78,294,62
508001,60,386,78
508002,60,383,77
508005,156,486,95
508007,204,416,83
508008,42,441,87
508009,72,455,90
508010,72,466,92
508011,66,443,88
508013,54,243,53
508016,108,488,96
508017,156,507,99
508019,36,286,60
508021,36,281,59
508022,36,270,58
508024,84,482,95
508026,120,391,79
508027,60,263,56
508029,156,479,94
508033,48,243,53
508034,84,540,105
517001,78,411,82
517017,84,435,86
517018,42,412,82
517021,120,515,100
517023,66,575,111
517026,96,514,100
517028,66,428,85
527001,36,250,54
527004,108,265,57
529001,72,461,91
529008,96,559,108
529015,96,514,100
529018,204,500,98
529020,204,497,97
529021,204,500,98
529022,132,524,102
529023,132,514,100
529024,204,500,98
529025,72,483,95
529026,66,592,114
529029,66,313,65
601002,156,380,77
601011,204,393,79
602005,84,355,72
602006,78,345,71
602007,72,396,80
605002,96,263,56
607004,78,523,102
607005,60,550,107
608001,42,547,106
608002,48,418,83
608003,54,567,110
608004,78,456,90
608005,36,682,130
608006,28,331,68
608007,54,622,119
608008,132,503,98
608009,42,572,110
608010,42,519,101
608011,66,547,106
608012,78,430,86
608013,32,440,87
612001,60,658,126
612002,54,576,111
612005,28,412,82
612006,28,497,97
612007,120,339,70
612008,108,494,97
612009,24,300,63
612010,28,365,74
612012,96,494,97
612013,108,471,93
612014,120,491,96
612017,78,475,93
