ID,agestrat,GDS_interview,GDS_interview_SS
109072,204,463,89
109073,132,495,96
109075,156,514,100
109076,204,496,96
109077,156,518,101
109078,32,627,123
109079,108,517,101
109080,54,507,99
109081,36,567,111
109082,4,486,94
109083,156,518,101
109084,108,487,94
109085,84,546,107
109086,78,499,97
109087,32,428,82
109088,96,505,98
109089,84,561,110
109090,48,672,133
109091,66,575,113
109094,120,556,109
109095,108,526,102
109096,48,617,121
109097,72,607,119
109098,6,506,98
109102,156,484,94
110001,16,556,109
110002,12,526,102
110003,6,541,106
110004,96,555,108
110005,132,526,102
110006,84,533,104
110007,72,658,130
110008,78,538,105
110009,14,581,114
110010,12,499,97
111001,84,602,118
111002,42,513,100
111003,120,502,97
111004,36,530,103
111005,2,522,102
111006,78,517,101
111007,132,510,99
111008,14,585,115
111009,60,586,115
111010,42,570,112
111011,108,582,114
111012,36,598,117
111013,10,480,93
111014,120,553,108
111015,156,518,101
111016,204,498,97
111017,14,561,110
111018,156,505,98
111019,42,514,100
111020,42,414,79
111021,108,521,101
111022,36,488,95
111023,24,500,97
111024,42,554,108
111025,132,535,104
111026,156,518,101
111027,16,568,111
111028,48,633,125
111029,60,487,94
111030,48,541,106
111031,18,578,113
111032,60,569,111
111033,156,488,95
111034,132,519,101
111035,120,524,102
111036,132,513,100
111037,20,507,99
111038,54,676,133
111039,4,539,105
111040,204,500,97
111041,156,518,101
111042,132,508,99
111043,120,508,99
111044,72,521,101
111045,20,577,113
111046,4,482,93
111047,28,448,86
111048,10,481,93
111049,48,583,114
111050,16,533,104
111051,22,448,86
111052,60,546,107
111053,8,555,108
111054,32,451,87
111055,32,603,118
112001,32,627,123
112002,72,436,84
112003,84,403,77
112004,36,510,99
112005,204,496,96
112006,78,542,106
112007,66,527,103
112008,28,645,127
112009,36,504,98
112010,24,461,89
112011,24,692,137
112012,48,612,120
112013,132,496,96
112014,204,486,94
112015,204,476,92
112016,204,500,97
112017,96,414,79
112018,84,441,85
112019,204,496,96
112020,84,362,69
112021,36,587,115
112022,48,638,126
112023,54,555,108
112024,36,700,138
112025,32,508,99
112026,32,381,73
112027,156,518,101
112028,204,493,96
112029,156,518,101
112030,132,424,81
112031,66,413,79
112032,72,513,100
112033,84,425,82
112034,78,360,68
112035,120,438,84
112036,96,469,91
112037,204,500,97
112038,78,396,76
112039,156,502,97
112040,96,395,75
112041,120,413,79
112042,84,414,79
112043,156,514,100
112044,108,448,86
112045,108,400,76
112046,108,492,95
112047,96,485,94
112048,204,500,97
112049,204,500,97
112050,84,398,76
112051,84,387,74
112052,84,412,79
112053,132,486,94
112054,204,500,97
112055,156,518,101
112056,120,507,99
112057,204,500,97
112058,204,500,97
112059,204,500,97
112060,204,500,97
112061,204,498,97
112062,156,518,101
112063,204,500,97
112064,204,500,97
112065,204,500,97
112066,204,500,97
112067,132,535,104
112068,96,429,82
112069,132,477,92
112070,84,385,73
112071,120,453,87
112072,156,518,101
112073,204,500,97
112074,204,500,97
112075,156,518,101
113001,204,391,75
113002,156,492,95
113003,204,483,94
113004,108,591,116
113005,84,601,118
113006,60,421,81
113007,66,642,126
113008,96,576,113
113009,78,529,103
113010,48,558,109
113012,22,498,97
113013,108,423,81
113014,72,529,103
114001,54,484,94
114002,72,536,105
114003,132,482,93
114004,54,569,111
114005,4,498,97
114006,60,660,130
114007,54,575,113
114008,54,492,95
114009,54,545,106
114010,54,565,110
114011,2,490,95
114012,54,567,111
114013,28,628,124
114014,54,672,133
114015,54,531,103
114016,78,492,95
114017,78,573,112
114018,54,574,112
114020,24,520,101
114022,60,525,102
114023,84,546,107
115001,48,435,84
115002,84,524,102
115003,132,476,92
115004,156,506,98
115005,156,483,94
115006,32,475,92
115007,60,507,99
115008,132,481,93
115009,84,491,95
115010,4,516,100
115011,24,579,113
115012,156,495,96
115013,156,506,98
115014,204,489,95
115015,48,398,76
115029,60,579,113
115030,108,500,97
115031,36,538,105
115032,120,535,104
115033,60,701,139
115034,84,557,109
115035,108,452,87
115036,120,525,102
115037,42,402,77
115038,156,496,96
115039,156,506,98
115040,12,483,94
115041,156,518,101
115042,156,518,101
115043,78,547,107
115044,120,514,100
115045,156,501,97
115046,24,475,92
115047,42,554,108
115048,84,610,120
115049,108,550,107
115050,120,407,78
115116,14,496,96
115117,32,416,80
115118,42,554,108
115119,28,443,85
115120,54,543,106
115121,72,453,87
115122,108,543,106
115123,132,500,97
115124,156,503,98
115125,204,497,96
115126,60,625,123
115127,96,623,122
115128,120,561,110
116001,24,562,110
116002,36,491,95
116003,36,496,96
116004,36,504,98
116005,22,415,80
116006,32,531,103
116007,14,636,125
116008,42,514,100
116009,14,481,93
116010,28,462,89
116011,132,504,98
116012,12,543,106
116013,10,559,109
116014,28,496,96
116015,132,507,99
116016,132,535,104
116017,42,455,88
116018,12,532,104
116019,20,478,93
116020,32,620,122
116021,132,535,104
116022,132,535,104
116023,156,518,101
116024,108,494,96
116025,66,583,114
116026,32,357,68
116027,28,443,85
116028,6,439,84
116029,156,518,101
116030,204,500,97
116031,12,521,101
116032,156,518,101
116033,12,504,98
116034,156,518,101
116035,156,514,100
116036,66,525,102
116037,132,524,102
116038,8,478,93
116040,132,530,103
116041,108,494,96
116042,132,527,103
116043,72,414,79
116044,132,530,103
116045,132,535,104
116046,120,483,94
116047,204,500,97
116048,132,518,101
116049,28,510,99
116050,32,483,94
116051,132,513,100
116052,204,500,97
116053,204,500,97
116054,132,521,101
116055,28,496,96
116056,32,461,89
116057,132,521,101
116058,120,536,105
116059,132,518,101
116060,132,526,102
116061,120,510,99
116062,24,517,101
116063,24,456,88
116064,204,500,97
116065,204,500,97
116069,132,521,101
116071,132,527,103
116072,132,522,102
116073,32,451,87
116074,204,500,97
116075,204,500,97
116076,204,500,97
116077,132,529,103
116078,132,530,103
116079,28,488,95
116080,32,467,90
117001,32,427,82
117002,66,582,114
117003,120,513,100
117004,24,560,109
117005,120,551,108
117006,66,556,109
117007,132,491,95
117008,10,519,101
117009,42,719,142
117010,10,519,101
117011,6,536,105
117012,36,438,84
117013,24,451,87
117014,54,564,110
117015,28,467,90
117016,24,516,100
117017,4,491,95
117018,4,550,107
117019,4,511,99
117020,6,580,114
117021,10,553,108
117022,54,581,114
117023,54,574,112
117024,48,478,93
117025,4,502,97
117026,22,453,87
117027,4,511,99
117028,28,494,96
117029,48,470,91
117030,36,554,108
117031,14,539,105
117032,132,510,99
117033,4,494,96
117034,132,471,91
117035,108,513,100
117036,78,571,112
117037,66,443,85
117038,108,563,110
117040,8,570,112
117041,84,550,107
117042,36,471,91
117043,66,490,95
117044,8,548,107
117045,32,647,127
117046,0,447,86
117047,0,447,86
117048,96,513,100
117049,78,535,104
117050,132,437,84
117053,8,572,112
117054,84,517,101
117055,36,503,98
117056,18,512,100
117059,22,489,95
117060,8,527,103
117061,72,497,96
117062,42,551,108
117063,10,517,101
117064,60,579,113
117065,36,528,103
118001,66,531,103
118002,32,491,95
118003,156,514,100
118004,132,513,100
118005,2,526,102
118006,48,551,108
118007,156,514,100
118008,132,530,103
118009,42,477,92
118010,120,534,104
118011,78,558,109
118012,66,611,120
118015,2,498,97
118016,96,523,102
118017,66,553,108
118018,36,424,81
118019,2,497,96
119001,36,590,116
119002,132,519,101
119003,132,513,100
119004,108,552,108
119005,18,577,113
119006,12,521,101
119007,96,606,119
119008,36,589,115
119009,78,569,111
119010,10,558,109
119011,84,575,113
119012,108,552,108
119013,132,508,99
119014,96,600,118
119015,78,622,122
119016,84,530,103
119017,132,513,100
119018,96,539,105
119019,84,479,93
119020,60,482,93
119021,96,598,117
119022,2,509,99
119023,2,551,108
120009,156,514,100
120010,204,500,97
120011,36,510,99
120012,54,520,101
120013,12,526,102
120014,16,544,106
120015,42,522,102
120016,28,540,105
120017,48,580,114
120018,60,563,110
120020,84,593,116
120021,132,529,103
120022,20,384,73
120023,78,528,103
120024,108,486,94
120025,132,468,90
120026,18,564,110
120027,72,547,107
120028,108,545,106
120029,42,523,102
120030,72,530,103
120031,60,390,74
120032,66,547,107
120037,10,541,106
120038,72,555,108
120041,0,543,106
120042,48,530,103
120043,108,557,109
120044,96,513,100
120045,132,503,98
120046,96,594,116
120047,132,535,104
120048,28,716,142
120049,54,468,90
120050,72,609,120
120051,108,541,106
120052,32,570,112
120053,60,504,98
120056,78,425,82
120057,78,466,90
120058,108,462,89
120059,66,542,106
120061,8,548,107
120062,42,636,125
120063,6,518,101
120064,48,542,106
120065,72,519,101
120066,132,526,102
120067,66,576,113
120069,8,482,93
120070,78,443,85
120071,120,522,102
120072,132,487,94
120073,108,555,108
121001,10,592,116
121002,156,514,100
121003,156,518,101
121005,18,608,119
121006,6,525,102
121007,36,589,115
121009,20,536,105
121010,24,467,90
121011,10,534,104
121012,22,472,91
121013,2,517,101
121014,20,445,86
121015,20,469,91
121016,42,607,119
121017,12,549,107
121018,78,668,132
121019,132,535,104
121020,36,484,94
121022,14,502,97
121023,54,471,91
122001,36,580,114
122002,60,601,118
122003,20,537,105
122004,0,486,94
122005,60,575,113
122006,84,555,108
122007,120,490,95
122008,20,509,99
122010,96,476,92
122011,20,553,108
122012,48,452,87
122013,2,518,101
122015,78,474,92
122016,60,567,111
122017,24,440,85
123001,204,500,97
123002,84,553,108
123003,156,514,100
123004,204,500,97
123005,156,509,99
123006,54,666,131
123007,54,590,116
123008,132,503,98
123009,84,545,106
123010,96,587,115
123011,204,475,92
123012,156,512,100
123013,156,514,100
123014,120,534,104
123015,78,443,85
123016,204,500,97
123017,156,499,97
123018,156,518,101
123019,132,474,92
123020,156,518,101
123021,36,508,99
123022,156,518,101
123023,120,540,105
123024,156,518,101
123025,156,512,100
123026,132,535,104
123027,66,537,105
123028,156,518,101
123029,132,510,99
123030,204,500,97
123031,156,514,100
123032,120,525,102
123033,42,471,91
123034,42,464,90
123035,132,520,101
123036,156,514,100
123037,132,513,100
123038,132,502,97
123039,96,540,105
123040,36,565,110
123041,132,514,100
123042,72,508,99
123043,132,510,99
123044,204,500,97
123045,204,500,97
123046,66,542,106
123047,132,524,102
123048,72,525,102
123049,120,507,99
123050,132,508,99
123051,132,529,103
123052,66,539,105
123053,78,484,94
123054,132,513,100
123055,132,513,100
123056,120,534,104
123057,72,535,104
123058,132,529,103
123059,132,514,100
123060,132,529,103
123061,120,528,103
123062,132,513,100
123063,42,460,89
123064,132,529,103
123065,108,514,100
123066,204,500,97
123067,132,529,103
123068,108,543,106
123069,120,534,104
123070,132,535,104
123071,36,454,88
123072,36,554,108
123073,42,636,125
123074,132,505,98
123075,132,513,100
123076,108,542,106
123077,132,529,103
123078,120,534,104
123079,54,570,112
123080,96,511,99
125001,108,535,104
125002,48,487,94
125003,48,475,92
125004,54,502,97
125005,60,604,119
125006,54,538,105
125007,60,576,113
125008,60,530,103
125009,54,632,124
125010,60,556,109
125011,66,575,113
125012,60,438,84
125013,60,514,100
125014,60,487,94
125015,54,559,109
125016,66,595,117
125017,72,574,112
125018,54,569,111
125019,60,503,98
125020,84,509,99
125021,60,542,106
125022,60,454,88
125023,60,455,88
125024,60,639,126
125025,0,482,93
125026,28,485,94
125027,14,516,100
125028,72,588,115
125029,10,512,100
125030,18,458,88
125031,60,592,116
125032,78,580,114
125033,60,517,101
125034,72,550,107
125035,20,544,106
125036,14,504,98
125037,72,680,134
125038,22,492,95
125039,2,525,102
125040,32,521,101
125041,14,533,104
125043,10,482,93
125044,10,488,95
125045,28,416,80
125046,60,459,89
125047,60,611,120
125048,60,539,105
125049,14,598,117
125053,8,496,96
125055,24,470,91
125057,14,500,97
125058,4,487,94
125059,28,543,106
125060,28,567,111
125061,4,556,109
125062,2,505,98
126001,66,594,116
126002,132,520,101
126003,108,529,103
126004,84,575,113
126005,60,508,99
126006,108,550,107
126007,96,407,78
126008,54,491,95
126009,54,522,102
126010,72,568,111
126011,66,509,99
126012,72,607,119
126013,60,579,113
126014,66,542,106
126015,132,521,101
126016,54,586,115
126017,132,515,100
126018,72,561,110
126019,108,564,110
126020,24,445,86
127001,18,498,97
127002,132,521,101
127003,2,547,107
127004,78,602,118
127005,6,537,105
127006,36,642,126
127007,54,650,128
127008,14,653,129
127009,16,505,98
127010,12,470,91
127011,66,485,94
127012,20,503,98
127013,12,587,115
127014,42,593,116
127015,48,522,102
127016,66,588,115
127017,42,511,99
127018,4,506,98
127019,24,455,88
127020,32,547,107
127021,22,482,93
127022,84,576,113
127023,120,529,103
127024,54,552,108
127025,20,490,95
127026,6,481,93
127027,24,386,74
127028,42,599,118
127029,66,538,105
127030,10,518,101
127031,48,567,111
127032,42,596,117
127033,78,633,125
127034,132,535,104
127035,84,518,101
127036,10,535,104
127037,10,598,117
127038,24,497,96
127039,2,541,106
127040,14,608,119
127042,0,502,97
127141,6,506,98
128001,96,565,110
128002,132,506,98
128003,132,497,96
128004,96,583,114
128005,120,496,96
128006,132,535,104
128007,108,585,115
128008,72,652,128
128009,132,523,102
128010,108,512,100
128011,120,525,102
128013,54,722,143
128014,120,534,104
128019,84,613,120
128020,72,604,119
128021,78,575,113
128022,108,568,111
128023,132,520,101
128024,96,591,116
128025,120,530,103
129001,120,506,98
129002,84,536,105
129003,8,515,100
129004,36,445,86
129005,36,536,105
129006,84,544,106
129007,42,500,97
129008,36,530,103
129009,28,574,112
129010,54,483,94
129011,108,574,112
129012,84,546,107
129013,120,548,107
129014,36,523,102
129015,48,477,92
129016,78,498,97
129017,66,522,102
129018,24,458,88
129019,48,623,122
129020,16,456,88
129021,48,487,94
129022,78,589,115
129023,36,627,123
129024,36,561,110
129025,48,532,104
129026,22,587,115
129027,108,556,109
129028,36,443,85
129029,78,408,78
129030,132,535,104
130001,60,598,117
130002,96,574,112
130003,60,626,123
130004,60,518,101
130005,72,610,120
130006,72,561,110
130007,84,550,107
130008,72,625,123
130009,72,580,114
130010,72,532,104
130011,84,539,105
130012,84,568,111
130013,84,573,112
130014,84,532,104
130015,54,650,128
130016,84,577,113
130017,84,511,99
130018,96,593,116
130019,96,584,114
130020,96,571,112
130021,96,600,118
130022,108,479,93
130023,108,579,113
130024,108,565,110
130025,108,571,112
130026,120,556,109
130027,120,561,110
130028,132,522,102
130029,132,526,102
131001,2,467,90
131002,10,518,101
131003,0,521,101
131004,66,537,105
131005,54,435,84
131006,36,432,83
131007,10,508,99
131008,42,464,90
131009,36,571,112
131010,28,528,103
131011,4,561,110
131012,84,608,119
131013,12,585,115
131014,42,520,101
131015,84,523,102
131016,96,535,104
131017,78,549,107
131018,132,505,98
131019,108,508,99
131020,20,428,82
131021,20,464,90
131022,36,494,96
131023,14,554,108
131024,48,599,118
131025,16,526,102
131026,0,447,86
131027,10,552,108
131028,96,557,109
131029,66,625,123
131030,12,528,103
131031,10,557,109
131032,10,552,108
131033,204,500,97
131034,36,583,114
131035,2,513,100
131036,22,535,104
131037,0,501,97
131038,4,504,98
131040,96,539,105
131041,42,562,110
131042,48,558,109
131043,42,528,103
131044,10,541,106
131045,2,526,102
131046,108,546,107
131047,84,550,107
131048,14,567,111
131049,0,455,88
131050,4,488,95
131051,14,495,96
131052,14,517,101
131053,6,536,105
131054,4,481,93
131055,42,507,99
131056,96,561,110
131057,72,556,109
131058,42,566,111
131059,84,591,116
131060,12,500,97
132002,6,506,98
132003,120,482,93
132006,78,645,127
132007,48,711,141
132008,22,554,108
132010,108,585,115
132011,32,496,96
132012,10,545,106
132015,72,600,118
132016,132,529,103
132017,132,510,99
132018,96,585,115
132019,54,566,111
132021,84,565,110
132022,96,611,120
132023,54,491,95
132024,132,503,98
132025,108,551,108
132026,108,557,109
132027,48,525,102
132028,16,449,87
132029,108,564,110
132030,42,662,131
133001,78,496,96
133002,120,501,97
133003,84,561,110
133004,42,541,106
133005,66,579,113
133006,96,623,122
133007,132,535,104
133010,24,522,102
133011,120,495,96
133012,84,529,103
133013,54,486,94
133015,78,623,122
133016,48,608,119
133019,96,587,115
133020,96,595,117
133022,32,488,95
133023,8,501,97
133025,96,552,108
133026,72,527,103
133028,108,535,104
133029,96,570,112
133030,78,522,102
134001,132,507,99
134002,132,523,102
134003,96,569,111
134004,96,561,110
134005,96,500,97
134006,84,604,119
134007,72,526,102
134008,132,519,101
134009,132,510,99
134010,96,491,95
134011,96,531,103
134012,96,475,92
134013,96,539,105
134014,96,556,109
134016,72,549,107
134017,72,448,86
134018,72,537,105
134019,78,564,110
134020,132,526,102
134021,132,508,99
134022,66,571,112
134023,96,589,115
134024,96,504,98
134025,96,495,96
134026,84,545,106
134027,22,579,113
134028,22,408,78
134029,22,416,80
134030,20,567,111
134031,24,484,94
134032,12,610,120
134033,28,473,91
134034,96,531,103
134035,72,611,120
134036,24,545,106
134037,24,476,92
134039,108,528,103
134040,22,468,90
134041,32,464,90
134042,24,500,97
134043,14,594,116
134044,108,576,113
134046,32,402,77
134047,10,590,116
135001,96,586,115
135002,36,571,112
135003,120,488,95
135004,66,548,107
135005,14,545,106
135006,54,656,129
135007,54,651,128
135008,78,563,110
135009,66,493,96
135010,96,566,111
135012,72,473,91
135013,42,428,82
135014,6,519,101
135015,96,547,107
135016,204,500,97
135017,132,529,103
135018,204,500,97
135019,66,510,99
135020,132,511,99
135021,120,521,101
135022,10,443,85
135023,132,518,101
135024,120,526,102
135025,204,479,93
135026,84,514,100
135027,60,581,114
135028,32,529,103
135029,24,539,105
135030,4,528,103
136001,132,501,97
136002,6,506,98
136003,14,532,104
136004,132,520,101
136005,120,529,103
136006,60,609,120
136007,96,578,113
136008,8,507,99
136011,60,585,115
136012,2,473,91
136013,4,501,97
136014,12,571,112
136015,28,451,87
136016,28,455,88
136017,28,454,88
136019,24,407,78
136020,8,457,88
136021,6,494,96
136023,24,536,105
136024,6,524,102
136025,8,509,99
136030,16,549,107
137001,132,529,103
137002,108,591,116
137003,66,394,75
137004,36,423,81
137005,120,539,105
137006,84,636,125
137007,28,413,79
137008,48,541,106
137009,66,515,100
137010,36,482,93
137011,28,479,93
137012,54,516,100
137013,4,556,109
137014,12,610,120
137015,60,571,112
137016,0,518,101
137017,72,518,101
137018,48,481,93
137019,28,442,85
137020,96,498,97
137021,54,473,91
137022,16,480,93
137023,32,351,66
137024,4,534,104
137025,14,596,117
137026,66,613,120
137027,96,572,112
137028,72,545,106
137029,108,555,108
137030,78,632,124
137031,32,590,116
137032,84,547,107
137033,108,568,111
137034,48,632,124
137035,108,591,116
137036,66,636,125
137037,96,623,122
137038,72,697,138
137039,54,675,133
137040,72,497,96
137041,36,478,93
137042,10,592,116
137043,84,531,103
137044,18,581,114
137045,36,516,100
137046,18,558,109
137047,0,497,96
137051,66,502,97
137052,0,504,98
138001,132,530,103
138003,108,517,101
138004,84,531,103
138005,96,526,102
138006,204,498,97
138007,120,561,110
138008,78,485,94
138009,54,461,89
138010,132,535,104
138011,28,563,110
138012,132,464,90
138013,108,518,101
138014,2,538,105
138015,4,534,104
138016,120,498,97
138017,96,542,106
138018,12,522,102
138019,6,541,106
138020,12,501,97
138021,24,553,108
139001,8,559,109
139002,22,526,102
139003,48,661,130
139004,42,555,108
139005,18,507,99
139006,22,514,100
139007,16,550,107
139008,18,490,95
139009,48,509,99
139010,24,508,99
139011,6,485,94
139012,24,467,90
139013,42,525,102
139014,10,524,102
139015,42,535,104
139016,14,496,96
139017,10,528,103
139018,48,630,124
139019,32,635,125
139020,60,639,126
139021,48,545,106
139022,28,560,109
141001,14,607,119
141002,20,621,122
141003,16,658,130
141004,18,502,97
141005,14,646,127
141006,18,551,108
141007,22,587,115
141008,24,553,108
141009,20,619,122
141010,20,575,113
141011,22,609,120
141012,20,494,96
141013,24,599,118
141014,14,608,119
141015,18,706,140
141016,16,609,120
141017,16,727,144
141018,16,639,126
141019,14,692,137
141021,18,666,131
141022,22,650,128
141023,20,573,112
141024,22,648,128
141025,20,685,135
141026,28,594,116
141027,24,639,126
141028,32,549,107
141029,32,543,106
141030,28,488,95
141031,36,484,94
141032,36,526,102
141033,36,527,103
141034,42,477,92
141035,32,601,118
141036,42,499,97
141037,36,514,100
141038,42,436,84
141039,36,436,84
141040,42,450,87
141041,42,511,99
141042,42,514,100
141043,42,442,85
141044,54,456,88
141045,48,527,103
141046,54,434,83
141047,54,459,89
141048,48,523,102
141049,54,504,98
142001,22,541,106
142002,14,555,108
142003,22,646,127
142004,24,484,94
142005,24,509,99
142006,20,534,104
142007,10,541,106
142008,32,635,125
142009,0,487,94
142010,2,546,107
142011,8,495,96
142012,6,541,106
142013,32,456,88
142014,16,569,111
142015,16,561,110
142016,6,509,99
142017,32,550,107
142018,42,575,113
142019,6,548,107
142020,14,479,93
142021,16,614,121
142022,36,627,123
142023,60,619,122
142024,8,544,106
142025,20,558,109
142026,24,480,93
142027,4,447,86
142028,54,510,99
142029,36,392,75
142030,8,501,97
143001,132,535,104
143002,108,582,114
143003,48,593,116
143004,84,601,118
143005,84,576,113
143006,96,564,110
143007,72,543,106
143008,78,488,95
143009,60,513,100
143010,54,641,126
143011,32,553,108
143013,72,477,92
143017,60,617,121
143018,96,574,112
143019,132,520,101
143021,132,495,96
143022,132,521,101
143023,96,562,110
143024,32,446,86
143025,120,540,105
146001,0,523,102
146002,10,591,116
148001,84,426,82
148002,132,459,89
148003,66,436,84
148004,20,487,94
148005,54,572,112
148006,132,529,103
148007,108,544,106
148008,96,424,81
148009,132,482,93
148012,84,531,103
148013,84,515,100
148015,132,518,101
148016,48,482,93
148017,60,563,110
148018,28,495,96
148019,72,490,95
148020,14,544,106
148021,48,532,104
148022,108,421,81
148023,84,541,106
148024,42,508,99
148025,96,532,104
148026,78,507,99
148027,132,521,101
148028,60,531,103
148029,72,462,89
148030,84,492,95
148031,108,505,98
148032,20,521,101
151001,156,518,101
151002,120,551,108
151003,108,573,112
151004,156,514,100
151005,48,517,101
151006,36,434,83
151007,48,498,97
151008,78,457,88
151009,108,567,111
151010,42,370,70
151011,42,485,94
151012,84,448,86
151013,132,512,100
151014,36,436,84
151015,108,591,116
151016,78,394,75
151017,36,581,114
151018,132,535,104
151019,120,544,106
151020,132,535,104
151021,108,568,111
151022,132,504,98
151023,120,555,108
151024,132,526,102
151025,120,561,110
151026,120,556,109
151027,60,516,100
151028,66,488,95
151029,48,557,109
151030,66,455,88
151031,96,615,121
151032,96,505,98
151033,120,548,107
151034,120,548,107
151035,54,479,93
151036,96,587,115
