agestrat,SOCscore,n,perc,cum_per,lag_tot,lag_cum_per
84,36,5,4.0984,100,35,95.9016
96,17,1,0.8264,0.8264,NA,NA
96,18,1,0.8264,1.6529,17,0.8264
96,19,2,1.6529,3.3058,18,1.6529
96,20,1,0.8264,4.1322,19,3.3058
96,21,2,1.6529,5.7851,20,4.1322
96,22,2,1.6529,7.438,21,5.7851
96,23,1,0.8264,8.2645,22,7.438
96,24,1,0.8264,9.0909,23,8.2645
96,25,1,0.8264,9.9174,24,9.0909
96,26,1,0.8264,10.7438,25,9.9174
96,27,2,1.6529,12.3967,26,10.7438
96,28,4,3.3058,15.7025,27,12.3967
96,29,1,0.8264,16.5289,28,15.7025
96,30,9,7.438,23.9669,29,16.5289
96,31,16,13.2231,37.1901,30,23.9669
96,32,10,8.2645,45.4545,31,37.1901
96,33,16,13.2231,58.6777,32,45.4545
96,34,18,14.876,73.5537,33,58.6777
96,35,24,19.8347,93.3884,34,73.5537
96,36,8,6.6116,100,35,93.3884
108,16,1,0.9174,0.9174,NA,NA
108,18,2,1.8349,2.7523,16,0.9174
108,19,1,0.9174,3.6697,18,2.7523
108,22,1,0.9174,4.5872,19,3.6697
108,25,1,0.9174,5.5046,22,4.5872
108,26,1,0.9174,6.422,25,5.5046
108,27,4,3.6697,10.0917,26,6.422
108,28,2,1.8349,11.9266,27,10.0917
108,29,7,6.422,18.3486,28,11.9266
108,30,7,6.422,24.7706,29,18.3486
108,31,5,4.5872,29.3578,30,24.7706
108,32,7,6.422,35.7798,31,29.3578
108,33,15,13.7615,49.5413,32,35.7798
108,34,23,21.1009,70.6422,33,49.5413
108,35,18,16.5138,87.156,34,70.6422
108,36,14,12.844,100,35,87.156
120,14,1,0.9615,0.9615,NA,NA
120,20,1,0.9615,1.9231,14,0.9615
120,22,1,0.9615,2.8846,20,1.9231
120,23,1,0.9615,3.8462,22,2.8846
120,24,1,0.9615,4.8077,23,3.8462
120,25,2,1.9231,6.7308,24,4.8077
120,26,1,0.9615,7.6923,25,6.7308
120,27,3,2.8846,10.5769,26,7.6923
120,28,1,0.9615,11.5385,27,10.5769
120,29,4,3.8462,15.3846,28,11.5385
120,30,3,2.8846,18.2692,29,15.3846
120,31,4,3.8462,22.1154,30,18.2692
120,32,12,11.5385,33.6538,31,22.1154
120,33,10,9.6154,43.2692,32,33.6538
120,34,12,11.5385,54.8077,33,43.2692
120,35,30,28.8462,83.6538,34,54.8077
120,36,17,16.3462,100,35,83.6538
132,16,1,0.5102,0.5102,NA,NA
132,17,2,1.0204,1.5306,16,0.5102
132,21,1,0.5102,2.0408,17,1.5306
132,22,1,0.5102,2.551,21,2.0408
132,23,2,1.0204,3.5714,22,2.551
132,25,1,0.5102,4.0816,23,3.5714
132,26,1,0.5102,4.5918,25,4.0816
132,27,2,1.0204,5.6122,26,4.5918
132,28,5,2.551,8.1633,27,5.6122
132,29,5,2.551,10.7143,28,8.1633
132,30,4,2.0408,12.7551,29,10.7143
132,31,9,4.5918,17.3469,30,12.7551
132,32,11,5.6122,22.9592,31,17.3469
132,33,12,6.1224,29.0816,32,22.9592
132,34,30,15.3061,44.3878,33,29.0816
132,35,61,31.1224,75.5102,34,44.3878
132,36,48,24.4898,100,35,75.5102
156,16,1,0.7937,0.7937,NA,NA
156,20,1,0.7937,1.5873,16,0.7937
156,22,1,0.7937,2.381,20,1.5873
156,24,1,0.7937,3.1746,22,2.381
156,27,2,1.5873,4.7619,24,3.1746
156,28,1,0.7937,5.5556,27,4.7619
156,29,4,3.1746,8.7302,28,5.5556
156,30,2,1.5873,10.3175,29,8.7302
156,31,6,4.7619,15.0794,30,10.3175
156,32,3,2.381,17.4603,31,15.0794
156,33,9,7.1429,24.6032,32,17.4603
156,34,11,8.7302,33.3333,33,24.6032
156,35,24,19.0476,52.381,34,33.3333
156,36,60,47.619,100,35,52.381
204,21,1,0.9259,0.9259,NA,NA
204,26,2,1.8519,2.7778,21,0.9259
204,27,1,0.9259,3.7037,26,2.7778
204,28,1,0.9259,4.6296,27,3.7037
204,31,1,0.9259,5.5556,28,4.6296
204,32,2,1.8519,7.4074,31,5.5556
204,33,3,2.7778,10.1852,32,7.4074
204,34,7,6.4815,16.6667,33,10.1852
204,35,9,8.3333,25,34,16.6667
204,36,81,75,100,35,25
