agestrat,PHYscore,n,perc,cum_per,lag_tot,lag_cum_per
48,17,1,1.0638,4.2553,13,3.1915
48,19,1,1.0638,5.3191,17,4.2553
48,20,2,2.1277,7.4468,19,5.3191
48,21,3,3.1915,10.6383,20,7.4468
48,22,3,3.1915,13.8298,21,10.6383
48,23,3,3.1915,17.0213,22,13.8298
48,24,2,2.1277,19.1489,23,17.0213
48,25,6,6.383,25.5319,24,19.1489
48,26,9,9.5745,35.1064,25,25.5319
48,27,9,9.5745,44.6809,26,35.1064
48,28,9,9.5745,54.2553,27,44.6809
48,29,8,8.5106,62.766,28,54.2553
48,30,7,7.4468,70.2128,29,62.766
48,31,10,10.6383,80.8511,30,70.2128
48,32,3,3.1915,84.0426,31,80.8511
48,33,7,7.4468,91.4894,32,84.0426
48,34,6,6.383,97.8723,33,91.4894
48,35,2,2.1277,100,34,97.8723
54,4,1,1.1111,1.1111,NA,NA
54,14,2,2.2222,3.3333,4,1.1111
54,16,1,1.1111,4.4444,14,3.3333
54,17,1,1.1111,5.5556,16,4.4444
54,18,1,1.1111,6.6667,17,5.5556
54,22,2,2.2222,8.8889,18,6.6667
54,23,3,3.3333,12.2222,22,8.8889
54,24,2,2.2222,14.4444,23,12.2222
54,25,5,5.5556,20,24,14.4444
54,26,4,4.4444,24.4444,25,20
54,27,8,8.8889,33.3333,26,24.4444
54,28,5,5.5556,38.8889,27,33.3333
54,29,6,6.6667,45.5556,28,38.8889
54,30,9,10,55.5556,29,45.5556
54,31,8,8.8889,64.4444,30,55.5556
54,32,10,11.1111,75.5556,31,64.4444
54,33,10,11.1111,86.6667,32,75.5556
54,34,6,6.6667,93.3333,33,86.6667
54,35,4,4.4444,97.7778,34,93.3333
54,36,1,1.1111,98.8889,35,97.7778
54,37,1,1.1111,100,36,98.8889
60,3,1,0.9174,0.9174,NA,NA
60,18,3,2.7523,3.6697,3,0.9174
60,19,1,0.9174,4.5872,18,3.6697
60,21,2,1.8349,6.422,19,4.5872
60,23,1,0.9174,7.3394,21,6.422
60,24,4,3.6697,11.0092,23,7.3394
60,25,2,1.8349,12.844,24,11.0092
60,26,2,1.8349,14.6789,25,12.844
60,27,4,3.6697,18.3486,26,14.6789
60,28,6,5.5046,23.8532,27,18.3486
60,29,3,2.7523,26.6055,28,23.8532
60,30,11,10.0917,36.6972,29,26.6055
60,31,9,8.2569,44.9541,30,36.6972
60,32,14,12.844,57.7982,31,44.9541
60,33,16,14.6789,72.4771,32,57.7982
60,34,21,19.2661,91.7431,33,72.4771
60,35,4,3.6697,95.4128,34,91.7431
60,36,5,4.5872,100,35,95.4128
66,8,1,1.0526,1.0526,NA,NA
66,17,2,2.1053,3.1579,8,1.0526
66,20,1,1.0526,4.2105,17,3.1579
66,21,2,2.1053,6.3158,20,4.2105
66,24,1,1.0526,7.3684,21,6.3158
66,25,2,2.1053,9.4737,24,7.3684
66,26,3,3.1579,12.6316,25,9.4737
66,27,4,4.2105,16.8421,26,12.6316
66,28,5,5.2632,22.1053,27,16.8421
66,29,1,1.0526,23.1579,28,22.1053
66,30,4,4.2105,27.3684,29,23.1579
66,31,9,9.4737,36.8421,30,27.3684
66,32,12,12.6316,49.4737,31,36.8421
66,33,16,16.8421,66.3158,32,49.4737
66,34,15,15.7895,82.1053,33,66.3158
66,35,6,6.3158,88.4211,34,82.1053
66,36,6,6.3158,94.7368,35,88.4211
66,37,5,5.2632,100,36,94.7368
72,18,2,1.8692,1.8692,NA,NA
72,19,3,2.8037,4.6729,18,1.8692
72,21,2,1.8692,6.5421,19,4.6729
72,25,1,0.9346,7.4766,21,6.5421
72,27,3,2.8037,10.2804,25,7.4766
72,28,2,1.8692,12.1495,27,10.2804
72,29,4,3.7383,15.8879,28,12.1495
72,30,3,2.8037,18.6916,29,15.8879
72,31,4,3.7383,22.4299,30,18.6916
72,32,11,10.2804,32.7103,31,22.4299
72,33,17,15.8879,48.5981,32,32.7103
72,34,17,15.8879,64.486,33,48.5981
72,35,15,14.0187,78.5047,34,64.486
72,36,8,7.4766,85.9813,35,78.5047
72,37,15,14.0187,100,36,85.9813
78,16,1,1.0753,1.0753,NA,NA
78,18,2,2.1505,3.2258,16,1.0753
78,20,1,1.0753,4.3011,18,3.2258
78,21,1,1.0753,5.3763,20,4.3011
78,23,1,1.0753,6.4516,21,5.3763
78,24,1,1.0753,7.5269,23,6.4516
78,27,2,2.1505,9.6774,24,7.5269
78,29,2,2.1505,11.828,27,9.6774
78,30,1,1.0753,12.9032,29,11.828
78,31,6,6.4516,19.3548,30,12.9032
78,32,7,7.5269,26.8817,31,19.3548
78,33,14,15.0538,41.9355,32,26.8817
78,34,16,17.2043,59.1398,33,41.9355
78,35,8,8.6022,67.7419,34,59.1398
78,36,18,19.3548,87.0968,35,67.7419
78,37,12,12.9032,100,36,87.0968
84,16,1,0.8065,0.8065,NA,NA
84,19,1,0.8065,1.6129,16,0.8065
84,24,1,0.8065,2.4194,19,1.6129
84,25,2,1.6129,4.0323,24,2.4194
84,26,2,1.6129,5.6452,25,4.0323
84,27,2,1.6129,7.2581,26,5.6452
84,28,1,0.8065,8.0645,27,7.2581
84,29,1,0.8065,8.871,28,8.0645
84,30,4,3.2258,12.0968,29,8.871
84,31,5,4.0323,16.129,30,12.0968
84,32,8,6.4516,22.5806,31,16.129
84,33,12,9.6774,32.2581,32,22.5806
84,34,6,4.8387,37.0968,33,32.2581
84,35,22,17.7419,54.8387,34,37.0968
84,36,25,20.1613,75,35,54.8387
84,37,31,25,100,36,75
96,13,1,0.8065,0.8065,NA,NA
96,17,1,0.8065,1.6129,13,0.8065
96,20,1,0.8065,2.4194,17,1.6129
96,25,1,0.8065,3.2258,20,2.4194
96,26,1,0.8065,4.0323,25,3.2258
96,30,1,0.8065,4.8387,26,4.0323
96,31,1,0.8065,5.6452,30,4.8387
96,32,2,1.6129,7.2581,31,5.6452
96,33,3,2.4194,9.6774,32,7.2581
96,34,9,7.2581,16.9355,33,9.6774
96,35,10,8.0645,25,34,16.9355
96,36,36,29.0323,54.0323,35,25
96,37,57,45.9677,100,36,54.0323
108,17,1,0.9009,0.9009,NA,NA
108,18,1,0.9009,1.8018,17,0.9009
108,21,1,0.9009,2.7027,18,1.8018
108,28,1,0.9009,3.6036,21,2.7027
108,30,3,2.7027,6.3063,28,3.6036
108,31,1,0.9009,7.2072,30,6.3063
108,32,1,0.9009,8.1081,31,7.2072
108,33,1,0.9009,9.009,32,8.1081
108,34,4,3.6036,12.6126,33,9.009
108,35,9,8.1081,20.7207,34,12.6126
108,36,20,18.018,38.7387,35,20.7207
108,37,68,61.2613,100,36,38.7387
120,8,1,0.9346,0.9346,NA,NA
120,20,1,0.9346,1.8692,8,0.9346
120,22,1,0.9346,2.8037,20,1.8692
120,23,1,0.9346,3.7383,22,2.8037
120,24,1,0.9346,4.6729,23,3.7383
120,26,1,0.9346,5.6075,24,4.6729
120,31,1,0.9346,6.5421,26,5.6075
120,34,3,2.8037,9.3458,31,6.5421
120,35,6,5.6075,14.9533,34,9.3458
120,36,15,14.0187,28.972,35,14.9533
120,37,76,71.028,100,36,28.972
132,25,1,0.5076,0.5076,NA,NA
132,26,3,1.5228,2.0305,25,0.5076
132,28,1,0.5076,2.5381,26,2.0305
132,31,1,0.5076,3.0457,28,2.5381
132,33,1,0.5076,3.5533,31,3.0457
132,34,5,2.5381,6.0914,33,3.5533
132,35,9,4.5685,10.6599,34,6.0914
132,36,25,12.6904,23.3503,35,10.6599
132,37,151,76.6497,100,36,23.3503
156,25,1,0.7812,0.7812,NA,NA
156,32,2,1.5625,2.3438,25,0.7812
156,33,2,1.5625,3.9062,32,2.3438
156,34,4,3.125,7.0312,33,3.9062
156,35,3,2.3438,9.375,34,7.0312
156,36,15,11.7188,21.0938,35,9.375
156,37,101,78.9062,100,36,21.0938
204,27,1,0.9174,0.9174,NA,NA
204,29,1,0.9174,1.8349,27,0.9174
204,33,1,0.9174,2.7523,29,1.8349
204,34,2,1.8349,4.5872,33,2.7523
204,35,3,2.7523,7.3394,34,4.5872
204,36,7,6.422,13.7615,35,7.3394
204,37,94,86.2385,100,36,13.7615
