agestrat,TOTALscore,n,perc,cum_per,lag_tot,lag_cum_per
10,43,1,2.381,64.2857,42,61.9048
10,44,3,7.1429,71.4286,43,64.2857
10,45,4,9.5238,80.9524,44,71.4286
10,46,1,2.381,83.3333,45,80.9524
10,49,2,4.7619,88.0952,46,83.3333
10,51,4,9.5238,97.619,49,88.0952
10,52,1,2.381,100,51,97.619
12,34,1,2.7027,2.7027,NA,NA
12,36,1,2.7027,5.4054,34,2.7027
12,37,1,2.7027,8.1081,36,5.4054
12,39,1,2.7027,10.8108,37,8.1081
12,42,4,10.8108,21.6216,39,10.8108
12,44,1,2.7027,24.3243,42,21.6216
12,45,4,10.8108,35.1351,44,24.3243
12,46,3,8.1081,43.2432,45,35.1351
12,47,2,5.4054,48.6486,46,43.2432
12,48,1,2.7027,51.3514,47,48.6486
12,49,1,2.7027,54.0541,48,51.3514
12,50,1,2.7027,56.7568,49,54.0541
12,51,1,2.7027,59.4595,50,56.7568
12,52,1,2.7027,62.1622,51,59.4595
12,53,2,5.4054,67.5676,52,62.1622
12,54,2,5.4054,72.973,53,67.5676
12,56,3,8.1081,81.0811,54,72.973
12,57,2,5.4054,86.4865,56,81.0811
12,58,1,2.7027,89.1892,57,86.4865
12,60,1,2.7027,91.8919,58,89.1892
12,61,2,5.4054,97.2973,60,91.8919
12,74,1,2.7027,100,61,97.2973
14,41,1,2.3256,2.3256,NA,NA
14,42,1,2.3256,4.6512,41,2.3256
14,44,3,6.9767,11.6279,42,4.6512
14,46,2,4.6512,16.2791,44,11.6279
14,47,2,4.6512,20.9302,46,16.2791
14,48,3,6.9767,27.907,47,20.9302
14,49,4,9.3023,37.2093,48,27.907
14,51,2,4.6512,41.8605,49,37.2093
14,52,1,2.3256,44.186,51,41.8605
14,54,2,4.6512,48.8372,52,44.186
14,55,1,2.3256,51.1628,54,48.8372
14,56,1,2.3256,53.4884,55,51.1628
14,57,1,2.3256,55.814,56,53.4884
14,58,2,4.6512,60.4651,57,55.814
14,59,1,2.3256,62.7907,58,60.4651
14,60,1,2.3256,65.1163,59,62.7907
14,62,1,2.3256,67.4419,60,65.1163
14,63,1,2.3256,69.7674,62,67.4419
14,65,5,11.6279,81.3953,63,69.7674
14,67,3,6.9767,88.3721,65,81.3953
14,70,1,2.3256,90.6977,67,88.3721
14,72,1,2.3256,93.0233,70,90.6977
14,74,1,2.3256,95.3488,72,93.0233
14,75,1,2.3256,97.6744,74,95.3488
14,82,1,2.3256,100,75,97.6744
16,46,1,3.0303,3.0303,NA,NA
16,47,3,9.0909,12.1212,46,3.0303
16,48,1,3.0303,15.1515,47,12.1212
16,50,2,6.0606,21.2121,48,15.1515
16,52,1,3.0303,24.2424,50,21.2121
16,55,1,3.0303,27.2727,52,24.2424
16,56,2,6.0606,33.3333,55,27.2727
16,58,1,3.0303,36.3636,56,33.3333
16,60,1,3.0303,39.3939,58,36.3636
16,61,2,6.0606,45.4545,60,39.3939
16,63,3,9.0909,54.5455,61,45.4545
16,64,3,9.0909,63.6364,63,54.5455
16,65,2,6.0606,69.697,64,63.6364
16,66,1,3.0303,72.7273,65,69.697
16,67,2,6.0606,78.7879,66,72.7273
16,68,1,3.0303,81.8182,67,78.7879
16,71,1,3.0303,84.8485,68,81.8182
16,75,2,6.0606,90.9091,71,84.8485
16,80,1,3.0303,93.9394,75,90.9091
16,83,1,3.0303,96.9697,80,93.9394
16,96,1,3.0303,100,83,96.9697
18,44,1,2.9412,2.9412,NA,NA
18,49,1,2.9412,5.8824,44,2.9412
18,50,1,2.9412,8.8235,49,5.8824
18,53,1,2.9412,11.7647,50,8.8235
18,55,1,2.9412,14.7059,53,11.7647
18,56,2,5.8824,20.5882,55,14.7059
18,61,2,5.8824,26.4706,56,20.5882
18,63,2,5.8824,32.3529,61,26.4706
18,64,1,2.9412,35.2941,63,32.3529
18,65,2,5.8824,41.1765,64,35.2941
18,68,1,2.9412,44.1176,65,41.1765
18,71,2,5.8824,50,68,44.1176
18,73,3,8.8235,58.8235,71,50
18,74,2,5.8824,64.7059,73,58.8235
18,76,2,5.8824,70.5882,74,64.7059
18,77,2,5.8824,76.4706,76,70.5882
18,78,1,2.9412,79.4118,77,76.4706
18,79,2,5.8824,85.2941,78,79.4118
18,82,1,2.9412,88.2353,79,85.2941
18,87,1,2.9412,91.1765,82,88.2353
18,92,2,5.8824,97.0588,87,91.1765
18,99,1,2.9412,100,92,97.0588
20,47,1,2.6316,2.6316,NA,NA
20,54,1,2.6316,5.2632,47,2.6316
20,56,1,2.6316,7.8947,54,5.2632
20,59,1,2.6316,10.5263,56,7.8947
20,62,1,2.6316,13.1579,59,10.5263
20,63,1,2.6316,15.7895,62,13.1579
20,64,1,2.6316,18.4211,63,15.7895
20,65,2,5.2632,23.6842,64,18.4211
20,67,3,7.8947,31.5789,65,23.6842
20,68,1,2.6316,34.2105,67,31.5789
20,69,1,2.6316,36.8421,68,34.2105
20,70,1,2.6316,39.4737,69,36.8421
20,71,2,5.2632,44.7368,70,39.4737
20,72,1,2.6316,47.3684,71,44.7368
20,73,3,7.8947,55.2632,72,47.3684
20,74,1,2.6316,57.8947,73,55.2632
20,76,3,7.8947,65.7895,74,57.8947
20,78,1,2.6316,68.4211,76,65.7895
20,79,2,5.2632,73.6842,78,68.4211
20,81,1,2.6316,76.3158,79,73.6842
20,82,1,2.6316,78.9474,81,76.3158
20,83,3,7.8947,86.8421,82,78.9474
20,88,1,2.6316,89.4737,83,86.8421
20,89,1,2.6316,92.1053,88,89.4737
20,91,2,5.2632,97.3684,89,92.1053
20,103,1,2.6316,100,91,97.3684
22,56,1,3.3333,3.3333,NA,NA
22,58,1,3.3333,6.6667,56,3.3333
22,59,1,3.3333,10,58,6.6667
22,60,1,3.3333,13.3333,59,10
22,66,2,6.6667,20,60,13.3333
22,67,1,3.3333,23.3333,66,20
22,69,1,3.3333,26.6667,67,23.3333
22,70,1,3.3333,30,69,26.6667
22,71,2,6.6667,36.6667,70,30
22,73,1,3.3333,40,71,36.6667
22,75,1,3.3333,43.3333,73,40
22,76,1,3.3333,46.6667,75,43.3333
22,77,1,3.3333,50,76,46.6667
22,79,2,6.6667,56.6667,77,50
22,80,1,3.3333,60,79,56.6667
22,82,1,3.3333,63.3333,80,60
22,83,1,3.3333,66.6667,82,63.3333
22,84,1,3.3333,70,83,66.6667
22,87,1,3.3333,73.3333,84,70
22,90,1,3.3333,76.6667,87,73.3333
22,91,1,3.3333,80,90,76.6667
22,93,2,6.6667,86.6667,91,80
22,97,1,3.3333,90,93,86.6667
22,103,1,3.3333,93.3333,97,90
22,104,2,6.6667,100,103,93.3333
24,37,1,1.4085,1.4085,NA,NA
24,40,1,1.4085,2.8169,37,1.4085
24,45,1,1.4085,4.2254,40,2.8169
24,50,1,1.4085,5.6338,45,4.2254
24,57,1,1.4085,7.0423,50,5.6338
24,60,1,1.4085,8.4507,57,7.0423
24,64,1,1.4085,9.8592,60,8.4507
24,66,2,2.8169,12.6761,64,9.8592
24,67,1,1.4085,14.0845,66,12.6761
24,69,2,2.8169,16.9014,67,14.0845
24,72,2,2.8169,19.7183,69,16.9014
24,73,1,1.4085,21.1268,72,19.7183
24,74,3,4.2254,25.3521,73,21.1268
24,75,4,5.6338,30.9859,74,25.3521
24,76,2,2.8169,33.8028,75,30.9859
24,77,1,1.4085,35.2113,76,33.8028
24,78,2,2.8169,38.0282,77,35.2113
24,79,3,4.2254,42.2535,78,38.0282
24,80,2,2.8169,45.0704,79,42.2535
24,81,4,5.6338,50.7042,80,45.0704
24,82,1,1.4085,52.1127,81,50.7042
24,83,1,1.4085,53.5211,82,52.1127
24,84,1,1.4085,54.9296,83,53.5211
24,85,3,4.2254,59.1549,84,54.9296
24,86,1,1.4085,60.5634,85,59.1549
24,87,1,1.4085,61.9718,86,60.5634
24,88,3,4.2254,66.1972,87,61.9718
24,89,2,2.8169,69.0141,88,66.1972
24,90,1,1.4085,70.4225,89,69.0141
24,91,1,1.4085,71.831,90,70.4225
24,92,1,1.4085,73.2394,91,71.831
24,93,2,2.8169,76.0563,92,73.2394
24,94,1,1.4085,77.4648,93,76.0563
24,95,4,5.6338,83.0986,94,77.4648
24,96,1,1.4085,84.507,95,83.0986
24,97,1,1.4085,85.9155,96,84.507
24,98,1,1.4085,87.3239,97,85.9155
24,99,1,1.4085,88.7324,98,87.3239
24,100,1,1.4085,90.1408,99,88.7324
24,103,2,2.8169,92.9577,100,90.1408
24,105,1,1.4085,94.3662,103,92.9577
24,108,1,1.4085,95.7746,105,94.3662
24,110,1,1.4085,97.1831,108,95.7746
24,119,1,1.4085,98.5915,110,97.1831
24,120,1,1.4085,100,119,98.5915
28,47,1,1.5625,1.5625,NA,NA
28,50,1,1.5625,3.125,47,1.5625
28,52,1,1.5625,4.6875,50,3.125
28,59,1,1.5625,6.25,52,4.6875
28,63,2,3.125,9.375,59,6.25
28,65,1,1.5625,10.9375,63,9.375
28,69,1,1.5625,12.5,65,10.9375
28,73,3,4.6875,17.1875,69,12.5
28,74,1,1.5625,18.75,73,17.1875
28,75,1,1.5625,20.3125,74,18.75
28,79,1,1.5625,21.875,75,20.3125
28,80,2,3.125,25,79,21.875
28,81,2,3.125,28.125,80,25
28,82,3,4.6875,32.8125,81,28.125
28,83,2,3.125,35.9375,82,32.8125
28,84,2,3.125,39.0625,83,35.9375
28,85,1,1.5625,40.625,84,39.0625
28,86,2,3.125,43.75,85,40.625
28,87,2,3.125,46.875,86,43.75
28,88,2,3.125,50,87,46.875
28,89,3,4.6875,54.6875,88,50
28,90,3,4.6875,59.375,89,54.6875
28,91,3,4.6875,64.0625,90,59.375
28,92,1,1.5625,65.625,91,64.0625
28,95,1,1.5625,67.1875,92,65.625
28,97,1,1.5625,68.75,95,67.1875
28,98,1,1.5625,70.3125,97,68.75
28,99,2,3.125,73.4375,98,70.3125
28,100,2,3.125,76.5625,99,73.4375
28,103,2,3.125,79.6875,100,76.5625
28,104,1,1.5625,81.25,103,79.6875
28,106,1,1.5625,82.8125,104,81.25
28,107,1,1.5625,84.375,106,82.8125
28,109,1,1.5625,85.9375,107,84.375
28,110,1,1.5625,87.5,109,85.9375
28,111,1,1.5625,89.0625,110,87.5
28,114,1,1.5625,90.625,111,89.0625
28,115,1,1.5625,92.1875,114,90.625
28,117,1,1.5625,93.75,115,92.1875
28,118,1,1.5625,95.3125,117,93.75
28,128,1,1.5625,96.875,118,95.3125
28,130,2,3.125,100,128,96.875
32,57,1,1.6949,1.6949,NA,NA
32,61,1,1.6949,3.3898,57,1.6949
32,63,1,1.6949,5.0847,61,3.3898
32,65,1,1.6949,6.7797,63,5.0847
32,67,1,1.6949,8.4746,65,6.7797
32,72,1,1.6949,10.1695,67,8.4746
32,76,1,1.6949,11.8644,72,10.1695
32,77,1,1.6949,13.5593,76,11.8644
32,78,1,1.6949,15.2542,77,13.5593
32,80,1,1.6949,16.9492,78,15.2542
32,81,1,1.6949,18.6441,80,16.9492
32,83,2,3.3898,22.0339,81,18.6441
32,87,2,3.3898,25.4237,83,22.0339
32,88,2,3.3898,28.8136,87,25.4237
32,89,3,5.0847,33.8983,88,28.8136
32,91,2,3.3898,37.2881,89,33.8983
32,92,2,3.3898,40.678,91,37.2881
32,93,1,1.6949,42.3729,92,40.678
32,95,1,1.6949,44.0678,93,42.3729
32,96,1,1.6949,45.7627,95,44.0678
32,97,3,5.0847,50.8475,96,45.7627
32,98,1,1.6949,52.5424,97,50.8475
32,99,2,3.3898,55.9322,98,52.5424
32,100,1,1.6949,57.6271,99,55.9322
32,102,1,1.6949,59.322,100,57.6271
32,103,1,1.6949,61.0169,102,59.322
32,104,2,3.3898,64.4068,103,61.0169
32,106,1,1.6949,66.1017,104,64.4068
32,107,1,1.6949,67.7966,106,66.1017
32,108,1,1.6949,69.4915,107,67.7966
32,109,3,5.0847,74.5763,108,69.4915
32,110,1,1.6949,76.2712,109,74.5763
32,113,1,1.6949,77.9661,110,76.2712
32,114,1,1.6949,79.661,113,77.9661
32,116,1,1.6949,81.3559,114,79.661
32,118,2,3.3898,84.7458,116,81.3559
32,119,1,1.6949,86.4407,118,84.7458
32,122,3,5.0847,91.5254,119,86.4407
32,123,1,1.6949,93.2203,122,91.5254
32,124,1,1.6949,94.9153,123,93.2203
32,125,1,1.6949,96.6102,124,94.9153
32,126,2,3.3898,100,125,96.6102
36,36,1,1.1905,1.1905,NA,NA
36,37,1,1.1905,2.381,36,1.1905
36,46,1,1.1905,3.5714,37,2.381
36,50,2,2.381,5.9524,46,3.5714
36,53,1,1.1905,7.1429,50,5.9524
36,63,1,1.1905,8.3333,53,7.1429
36,73,1,1.1905,9.5238,63,8.3333
36,82,2,2.381,11.9048,73,9.5238
36,83,1,1.1905,13.0952,82,11.9048
36,90,2,2.381,15.4762,83,13.0952
36,92,3,3.5714,19.0476,90,15.4762
36,93,3,3.5714,22.619,92,19.0476
36,94,1,1.1905,23.8095,93,22.619
36,95,1,1.1905,25,94,23.8095
36,96,1,1.1905,26.1905,95,25
36,97,1,1.1905,27.381,96,26.1905
36,99,2,2.381,29.7619,97,27.381
36,100,1,1.1905,30.9524,99,29.7619
36,102,2,2.381,33.3333,100,30.9524
36,103,2,2.381,35.7143,102,33.3333
36,105,5,5.9524,41.6667,103,35.7143
36,106,2,2.381,44.0476,105,41.6667
36,107,2,2.381,46.4286,106,44.0476
36,108,3,3.5714,50,107,46.4286
36,109,3,3.5714,53.5714,108,50
36,110,1,1.1905,54.7619,109,53.5714
36,111,1,1.1905,55.9524,110,54.7619
36,112,1,1.1905,57.1429,111,55.9524
36,113,6,7.1429,64.2857,112,57.1429
36,115,1,1.1905,65.4762,113,64.2857
36,117,5,5.9524,71.4286,115,65.4762
36,119,1,1.1905,72.619,117,71.4286
36,120,3,3.5714,76.1905,119,72.619
36,121,1,1.1905,77.381,120,76.1905
36,122,2,2.381,79.7619,121,77.381
36,123,5,5.9524,85.7143,122,79.7619
36,124,3,3.5714,89.2857,123,85.7143
36,126,1,1.1905,90.4762,124,89.2857
36,130,1,1.1905,91.6667,126,90.4762
36,131,1,1.1905,92.8571,130,91.6667
36,132,3,3.5714,96.4286,131,92.8571
36,133,1,1.1905,97.619,132,96.4286
36,137,1,1.1905,98.8095,133,97.619
36,142,1,1.1905,100,137,98.8095
42,49,1,1.0753,1.0753,NA,NA
42,50,1,1.0753,2.1505,49,1.0753
42,53,1,1.0753,3.2258,50,2.1505
42,55,1,1.0753,4.3011,53,3.2258
42,64,1,1.0753,5.3763,55,4.3011
42,67,1,1.0753,6.4516,64,5.3763
42,72,1,1.0753,7.5269,67,6.4516
42,75,1,1.0753,8.6022,72,7.5269
42,80,1,1.0753,9.6774,75,8.6022
42,81,1,1.0753,10.7527,80,9.6774
42,83,1,1.0753,11.828,81,10.7527
42,85,1,1.0753,12.9032,83,11.828
42,90,1,1.0753,13.9785,85,12.9032
42,91,1,1.0753,15.0538,90,13.9785
42,93,3,3.2258,18.2796,91,15.0538
42,94,1,1.0753,19.3548,93,18.2796
42,96,1,1.0753,20.4301,94,19.3548
42,98,1,1.0753,21.5054,96,20.4301
42,101,1,1.0753,22.5806,98,21.5054
42,102,1,1.0753,23.6559,101,22.5806
42,103,1,1.0753,24.7312,102,23.6559
42,104,1,1.0753,25.8065,103,24.7312
42,105,2,2.1505,27.957,104,25.8065
42,106,2,2.1505,30.1075,105,27.957
42,107,3,3.2258,33.3333,106,30.1075
42,109,1,1.0753,34.4086,107,33.3333
42,110,2,2.1505,36.5591,109,34.4086
42,111,2,2.1505,38.7097,110,36.5591
42,114,1,1.0753,39.7849,111,38.7097
42,115,4,4.3011,44.086,114,39.7849
42,116,4,4.3011,48.3871,115,44.086
42,117,4,4.3011,52.6882,116,48.3871
42,118,3,3.2258,55.914,117,52.6882
42,120,4,4.3011,60.2151,118,55.914
42,121,1,1.0753,61.2903,120,60.2151
42,122,1,1.0753,62.3656,121,61.2903
42,124,5,5.3763,67.7419,122,62.3656
42,125,6,6.4516,74.1935,124,67.7419
42,126,4,4.3011,78.4946,125,74.1935
42,127,2,2.1505,80.6452,126,78.4946
42,128,1,1.0753,81.7204,127,80.6452
42,129,1,1.0753,82.7957,128,81.7204
42,131,2,2.1505,84.9462,129,82.7957
42,133,1,1.0753,86.0215,131,84.9462
42,134,3,3.2258,89.2473,133,86.0215
42,135,1,1.0753,90.3226,134,89.2473
42,138,1,1.0753,91.3978,135,90.3226
42,139,1,1.0753,92.4731,138,91.3978
42,140,2,2.1505,94.6237,139,92.4731
42,143,2,2.1505,96.7742,140,94.6237
42,153,1,1.0753,97.8495,143,96.7742
42,154,2,2.1505,100,153,97.8495
48,79,1,1.087,1.087,NA,NA
48,82,1,1.087,2.1739,79,1.087
48,84,1,1.087,3.2609,82,2.1739
48,85,1,1.087,4.3478,84,3.2609
48,86,1,1.087,5.4348,85,4.3478
48,90,1,1.087,6.5217,86,5.4348
48,91,1,1.087,7.6087,90,6.5217
48,93,1,1.087,8.6957,91,7.6087
48,97,1,1.087,9.7826,93,8.6957
48,100,1,1.087,10.8696,97,9.7826
48,101,1,1.087,11.9565,100,10.8696
48,102,2,2.1739,14.1304,101,11.9565
48,104,2,2.1739,16.3043,102,14.1304
48,106,1,1.087,17.3913,104,16.3043
48,107,1,1.087,18.4783,106,17.3913
48,109,1,1.087,19.5652,107,18.4783
48,110,2,2.1739,21.7391,109,19.5652
48,111,2,2.1739,23.913,110,21.7391
48,114,2,2.1739,26.087,111,23.913
48,115,1,1.087,27.1739,114,26.087
48,116,1,1.087,28.2609,115,27.1739
48,117,1,1.087,29.3478,116,28.2609
48,118,5,5.4348,34.7826,117,29.3478
48,119,2,2.1739,36.9565,118,34.7826
48,120,1,1.087,38.0435,119,36.9565
48,121,1,1.087,39.1304,120,38.0435
48,122,2,2.1739,41.3043,121,39.1304
48,123,3,3.2609,44.5652,122,41.3043
48,124,1,1.087,45.6522,123,44.5652
48,125,2,2.1739,47.8261,124,45.6522
48,126,2,2.1739,50,125,47.8261
48,127,2,2.1739,52.1739,126,50
48,128,2,2.1739,54.3478,127,52.1739
48,129,3,3.2609,57.6087,128,54.3478
48,130,2,2.1739,59.7826,129,57.6087
48,131,3,3.2609,63.0435,130,59.7826
48,133,5,5.4348,68.4783,131,63.0435
48,134,4,4.3478,72.8261,133,68.4783
48,136,1,1.087,73.913,134,72.8261
48,138,1,1.087,75,136,73.913
48,140,4,4.3478,79.3478,138,75
48,141,2,2.1739,81.5217,140,79.3478
48,142,1,1.087,82.6087,141,81.5217
48,143,3,3.2609,85.8696,142,82.6087
48,144,2,2.1739,88.0435,143,85.8696
48,145,2,2.1739,90.2174,144,88.0435
48,147,4,4.3478,94.5652,145,90.2174
48,151,2,2.1739,96.7391,147,94.5652
48,152,1,1.087,97.8261,151,96.7391
48,156,1,1.087,98.913,152,97.8261
48,160,1,1.087,100,156,98.913
54,35,2,2.2222,2.2222,NA,NA
54,49,1,1.1111,3.3333,35,2.2222
54,64,1,1.1111,4.4444,49,3.3333
54,71,1,1.1111,5.5556,64,4.4444
54,72,1,1.1111,6.6667,71,5.5556
54,79,1,1.1111,7.7778,72,6.6667
54,91,1,1.1111,8.8889,79,7.7778
54,93,2,2.2222,11.1111,91,8.8889
54,108,1,1.1111,12.2222,93,11.1111
54,112,1,1.1111,13.3333,108,12.2222
54,113,1,1.1111,14.4444,112,13.3333
54,114,1,1.1111,15.5556,113,14.4444
54,115,1,1.1111,16.6667,114,15.5556
54,118,2,2.2222,18.8889,115,16.6667
54,120,1,1.1111,20,118,18.8889
54,121,3,3.3333,23.3333,120,20
54,122,1,1.1111,24.4444,121,23.3333
54,124,2,2.2222,26.6667,122,24.4444
54,125,1,1.1111,27.7778,124,26.6667
54,126,3,3.3333,31.1111,125,27.7778
54,127,1,1.1111,32.2222,126,31.1111
54,128,1,1.1111,33.3333,127,32.2222
54,129,1,1.1111,34.4444,128,33.3333
54,130,1,1.1111,35.5556,129,34.4444
54,131,3,3.3333,38.8889,130,35.5556
54,132,2,2.2222,41.1111,131,38.8889
54,133,3,3.3333,44.4444,132,41.1111
54,134,1,1.1111,45.5556,133,44.4444
54,136,2,2.2222,47.7778,134,45.5556
54,137,2,2.2222,50,136,47.7778
54,138,1,1.1111,51.1111,137,50
54,139,3,3.3333,54.4444,138,51.1111
54,140,1,1.1111,55.5556,139,54.4444
54,141,1,1.1111,56.6667,140,55.5556
54,142,5,5.5556,62.2222,141,56.6667
54,143,7,7.7778,70,142,62.2222
54,144,6,6.6667,76.6667,143,70
54,146,1,1.1111,77.7778,144,76.6667
54,147,2,2.2222,80,146,77.7778
54,148,1,1.1111,81.1111,147,80
54,149,1,1.1111,82.2222,148,81.1111
54,151,1,1.1111,83.3333,149,82.2222
54,152,1,1.1111,84.4444,151,83.3333
54,154,1,1.1111,85.5556,152,84.4444
54,155,1,1.1111,86.6667,154,85.5556
54,156,2,2.2222,88.8889,155,86.6667
54,157,2,2.2222,91.1111,156,88.8889
54,159,1,1.1111,92.2222,157,91.1111
54,161,3,3.3333,95.5556,159,92.2222
54,163,2,2.2222,97.7778,161,95.5556
54,169,1,1.1111,98.8889,163,97.7778
54,180,1,1.1111,100,169,98.8889
60,72,1,0.9346,0.9346,NA,NA
60,85,1,0.9346,1.8692,72,0.9346
60,89,1,0.9346,2.8037,85,1.8692
60,93,1,0.9346,3.7383,89,2.8037
60,101,1,0.9346,4.6729,93,3.7383
60,103,2,1.8692,6.5421,101,4.6729
60,108,2,1.8692,8.4112,103,6.5421
60,109,1,0.9346,9.3458,108,8.4112
60,110,2,1.8692,11.215,109,9.3458
60,111,1,0.9346,12.1495,110,11.215
60,117,1,0.9346,13.0841,111,12.1495
60,119,1,0.9346,14.0187,117,13.0841
60,123,1,0.9346,14.9533,119,14.0187
60,124,1,0.9346,15.8879,123,14.9533
60,125,1,0.9346,16.8224,124,15.8879
60,126,2,1.8692,18.6916,125,16.8224
60,127,3,2.8037,21.4953,126,18.6916
60,128,1,0.9346,22.4299,127,21.4953
60,129,1,0.9346,23.3645,128,22.4299
60,131,2,1.8692,25.2336,129,23.3645
60,132,2,1.8692,27.1028,131,25.2336
60,133,1,0.9346,28.0374,132,27.1028
60,134,3,2.8037,30.8411,133,28.0374
60,135,2,1.8692,32.7103,134,30.8411
60,137,1,0.9346,33.6449,135,32.7103
60,138,1,0.9346,34.5794,137,33.6449
60,139,3,2.8037,37.3832,138,34.5794
60,140,3,2.8037,40.1869,139,37.3832
60,141,5,4.6729,44.8598,140,40.1869
60,142,2,1.8692,46.729,141,44.8598
60,143,1,0.9346,47.6636,142,46.729
60,144,1,0.9346,48.5981,143,47.6636
60,145,2,1.8692,50.4673,144,48.5981
60,146,5,4.6729,55.1402,145,50.4673
60,147,1,0.9346,56.0748,146,55.1402
60,148,2,1.8692,57.9439,147,56.0748
60,149,5,4.6729,62.6168,148,57.9439
60,150,4,3.7383,66.3551,149,62.6168
60,151,1,0.9346,67.2897,150,66.3551
60,152,8,7.4766,74.7664,151,67.2897
60,153,2,1.8692,76.6355,152,74.7664
60,154,2,1.8692,78.5047,153,76.6355
60,155,4,3.7383,82.243,154,78.5047
60,157,4,3.7383,85.9813,155,82.243
60,158,1,0.9346,86.9159,157,85.9813
60,159,3,2.8037,89.7196,158,86.9159
60,160,1,0.9346,90.6542,159,89.7196
60,162,2,1.8692,92.5234,160,90.6542
60,164,2,1.8692,94.3925,162,92.5234
60,165,1,0.9346,95.3271,164,94.3925
60,167,1,0.9346,96.2617,165,95.3271
60,169,1,0.9346,97.1963,167,96.2617
60,173,1,0.9346,98.1308,169,97.1963
60,176,2,1.8692,100,173,98.1308
66,81,2,2.1505,2.1505,NA,NA
66,92,1,1.0753,3.2258,81,2.1505
