ID,agestrat,ADPscoreP,ADPscoreP_SS
136013,4,4,103
136014,0,10,142
136015,28,16,91
136016,28,16,91
136017,28,15,87
136019,24,12,81
136020,8,3,83
136021,4,5,109
136022,12,7,97
136023,24,16,97
136024,6,6,109
136025,8,6,104
136026,66,31,109
136030,16,11,104
138001,132,40,101
138003,108,39,107
138004,84,37,116
138005,96,36,104
138007,120,39,101
138008,78,31,96
138009,54,26,97
138010,132,41,106
138011,28,22,119
138012,132,38,97
138013,108,37,102
138014,2,2,95
138015,4,5,109
138016,120,37,98
138017,96,37,109
138018,12,8,103
148001,84,30,89
148002,132,39,98
148003,66,27,90
148004,18,11,96
148005,48,29,124
148006,132,41,106
148007,108,41,118
148008,96,31,88
148009,132,40,101
148012,78,34,108
148013,84,34,100
148015,132,38,97
148016,48,26,104
148017,60,30,112
148018,28,18,99
148020,14,9,101
148021,48,26,104
148022,108,33,90
148023,78,39,128
148024,42,26,113
148025,96,36,104
148026,78,36,118
148027,132,40,101
148028,60,25,85
148029,72,31,100
148030,84,36,111
148031,108,37,102
148032,18,16,122
154001,204,41,100
154002,42,21,91
154003,10,6,98
154004,204,39,95
154005,84,34,100
154006, ,8, 
154007,204,41,100
154008,204,41,100
154010,120,41,112
154011,204,41,100
154012,204,35,87
154013,204,41,100
154014,204,41,100
154015,204,41,100
154016,204,41,100
154017,132,36,93
154018,120,39,101
154019,204,41,100
154020,204,38,94
154021,132,41,106
154022,132,37,95
154023,204,39,95
154024,84,41,131
154025,132,40,101
154026,204,41,100
154027,204,41,100
154028,108,40,112
154052,54,35,147
202001,132,41,106
202006,54,31,126
202008,96,39,114
202009,42,32,149
202010,4,4,103
202011,8,6,104
202012,132,40,101
202020,6,7,115
202021,54,27,103
202022,28,16,91
202023,8,6,104
202024,24,21,123
202025,6,5,104
202026,48,27,112
202027,78,35,113
202028,42,27,121
202031,60,39,153
202039,78,41,139
202042,42,27,121
202043,32,20,100
202044,36,26,122
202045,20,13,99
202046,16,10,99
202047,48,24,96
202048,96,39,114
202049,42,20,87
202050,96,33,93
202051,96,40,119
202052,78,35,113
202054,6,6,109
202055,32,23,115
202056,54,33,136
202057,18,14,112
202059,18,8,76
202060,48,24,96
202061,48,23,92
202062,42,31,144
202063,20,10,82
202064,0,2,103
202065,14,9,101
202066,42,23,98
202067,54,32,131
202068,28,18,99
202069,24,18,107
202071,54,37,157
202072,10,7,104
202073,72,34,116
202074,18,12,101
202075,8,6,104
202076,120,40,107
202077,96,33,93
202078,12,6,87
202079,24,10,73
202080,36,11,60
202081,24,12,81
202082,108,35,96
202083,132,33,85
202085,132,36,93
202086,12,3,70
202087,42,10,51
202088,48,30,130
202089,78,41,139
202090,72,27,87
202091,96,37,109
202092,42,23,98
202093,60,32,122
202094,120,41,112
202095,28,13,79
202096,96,40,119
202097,84,37,116
211019,132,39,98
302001,96,41,124
302002,108,41,118
302010,204,41,100
302011,132,41,106
506003,78,21,55
506008,120,40,107
506009,84,31,91
506014,54,21,77
506015,72,26,82
506016,42,19,84
506022,78,15,40
508001,60,24,82
508002,60,23,79
508005,156,37,93
508007,204,34,85
508008,42,26,113
508009,72,32,105
508010,72,31,100
508011,66,31,109
508013,54,14,53
508016,108,36,98
508017,156,39,96
508019,36,10,56
508021,36,8,49
508022,36,8,49
508024,84,34,100
508026,120,31,82
508027,60,14,49
508029,156,40,98
508033,48,11,50
508034,84,39,121
517001,78,29,88
517017,84,29,84
517018,42,18,80
517021,120,39,101
517023,66,31,109
517026,96,37,109
517028,66,26,84
527001,36,8,49
527004,108,18,40
529001,72,26,82
529008,96,38,112
529015,96,33,93
529018,204,41,100
529020,204,41,100
529021,204,41,100
529022,132,40,101
529023,132,38,97
529024,204,41,100
