ID,agestrat,ADPscore,ADP_SS
109016,108,39,107
109017,156,39,96
109018,42,26,113
109019,78,32,96
109020,78,30,88
109021,96,41,124
109022,32,26,131
109023,120,41,112
109024,204,40,97
109026,66,31,103
109027,132,41,106
109028,4,6,114
109029,132,40,101
109031,156,37,91
109032,14,8,94
109033,72,36,121
109034,132,41,106
109035,42,29,128
109036,204,41,100
109037,120,37,95
109038,48,22,89
109039,204,41,100
109040,204,41,100
109041,156,41,102
109042,120,40,107
109043,84,41,131
109044,156,40,98
109045,156,31,73
109046,84,39,121
109047,2,0,81
109048,132,39,98
109049,120,38,98
109050,108,39,107
109051,84,37,111
109052,108,36,96
109053,18,9,80
109054,42,29,128
109055,66,38,140
109056,156,41,102
109057,156,38,93
109058,204,41,100
109059,14,8,94
109060,48,32,135
109061,96,40,119
109062,156,41,102
109063,36,24,111
109064,72,30,94
109065,96,36,99
109066,48,24,96
109067,10,9,114
109068,108,40,112
109069,78,38,123
109070,156,38,93
109071,204,41,100
109072,204,38,92
109073,132,41,106
109075,156,40,98
109076,204,41,100
109077,156,41,102
109078,32,25,126
109079,108,35,93
109080,54,24,88
109081,36,21,97
109082,4,3,97
109083,156,41,102
109084,108,38,102
109085,84,36,106
109086,78,35,108
109087,32,15,81
109088,96,35,96
109089,84,36,106
109090,48,28,114
109091,66,30,99
109094,120,41,112
109095,108,41,118
109096,48,34,145
109097,72,37,126
109098,6,4,99
109102,156,41,102
110001,16,9,91
110002,12,8,103
110003,6,5,104
110004,96,40,119
110005,132,41,106
110006,84,34,97
110007,72,39,136
110008,78,34,103
110009,14,12,117
110010,12,7,97
111001,84,41,131
111002,42,22,94
111003,120,39,101
111004,36,25,117
111005,2,3,102
111006,78,33,99
111007,132,41,106
111008,14,10,106
111009,60,31,112
111010,42,26,113
111011,108,41,118
111012,36,27,127
111013,10,6,98
111014,120,41,112
111015,156,41,102
111016,204,41,100
111017,14,13,122
111018,156,38,93
111019,42,28,123
111020,42,25,108
111021,108,38,102
111022,36,22,101
111023,24,17,102
111024,42,24,102
111025,132,41,106
111026,156,41,102
111027,16,11,104
111028,48,32,135
111029,60,26,91
111030,48,24,96
111031,18,14,112
111032,60,29,102
111033,156,40,98
111034,132,41,106
111035,120,40,107
111036,132,41,106
111037,20,12,94
111038,54,36,147
111039,4,5,109
111040,204,41,100
111041,156,41,102
111042,132,40,101
111043,120,38,98
111044,72,30,94
111045,20,16,114
111046,4,2,91
111047,28,15,87
111048,10,7,104
111049,48,27,109
111050,16,10,99
111051,22,11,83
111052,60,29,102
111053,8,8,115
111054,32,14,77
111055,32,20,100
112001,32,21,105
112002,72,29,91
112003,84,28,74
112004,36,24,111
112005,204,41,100
112006,78,35,108
112007,66,31,103
112008,28,23,124
112009,36,21,97
112010,24,15,93
112011,24,22,128
112012,48,28,114
112013,132,40,101
112014,204,38,92
112015,204,38,92
112016,204,41,100
112017,96,30,80
112018,84,31,89
112019,204,41,100
112020,84,25,64
112021,36,26,122
112022,48,28,114
112023,54,30,115
112024,36,29,138
112025,32,18,92
112026,32,12,69
112027,156,41,102
112028,204,39,95
112029,156,41,102
112030,132,33,82
112031,66,23,72
112032,72,35,116
112033,84,28,74
112034,78,23,62
112035,120,34,87
112036,96,31,85
112037,204,41,100
112038,78,29,84
112039,156,41,102
112040,96,28,67
112041,120,33,85
112042,84,26,67
112043,156,41,102
112044,108,31,82
112045,108,29,68
112046,108,41,118
112047,96,32,88
112048,204,41,100
112049,204,41,100
112050,84,27,70
112051,84,27,70
112052,84,27,70
112053,132,38,95
112054,204,41,100
112055,156,41,102
112056,120,41,112
112057,204,41,100
112058,204,41,100
112059,204,41,100
112060,204,41,100
112061,204,41,100
112062,156,41,102
112063,204,41,100
112064,204,41,100
112065,204,41,100
112066,204,41,100
112067,132,41,106
112068,96,29,72
112069,132,41,106
112070,84,26,67
112071,120,36,93
112072,156,41,102
112073,204,41,100
112074,204,41,100
112075,156,41,102
113001,204,37,90
113002,156,41,102
113003,204,41,100
113004,108,41,118
113005,84,39,121
113006,60,24,82
113007,66,35,124
113008,96,41,124
113009,78,32,96
113010,48,29,119
113012,22,14,96
113013,108,36,96
113014,72,34,111
114001,54,25,93
114002,72,29,91
114003,132,36,90
114004,54,29,110
114005,4,1,84
114006,60,32,117
114007,54,28,105
114008,54,26,97
114009,54,28,105
114010,54,32,126
114011,2,2,95
114012,54,29,110
114013,28,24,130
114014,54,35,141
114015,54,32,126
114016,78,34,103
114017,78,36,113
114018,54,31,121
114020,24,19,113
114022,60,26,91
114023,84,30,84
115001,48,24,96
115002,84,38,116
115003,132,34,85
115004,156,41,102
115005,156,40,98
115006,32,20,100
115007,60,29,102
115008,132,39,98
115009,84,34,97
115010,4,3,97
115011,24,18,107
115012,156,38,93
115013,156,39,96
115014,204,39,95
115015,48,21,85
115029,60,31,112
115030,108,36,96
115031,36,22,101
115032,120,41,112
115033,60,36,138
115034,84,38,116
115035,108,36,96
115036,120,40,107
115037,42,19,84
115038,156,38,93
115039,156,40,98
115040,12,8,103
115041,156,41,102
115042,156,41,102
115043,78,33,99
115044,120,38,98
115045,156,41,102
115046,24,16,97
115047,42,25,108
115048,84,39,121
115049,108,39,107
115050,120,34,87
115116,14,9,101
115117,32,15,81
115118,42,30,134
115119,28,17,95
115120,54,28,105
115121,72,30,94
115122,108,40,112
115123,132,41,106
115124,156,41,102
115125,204,41,100
115126,60,29,102
115127,96,41,124
115128,120,41,112
116001,24,21,123
116002,36,23,106
116003,36,21,97
116004,36,20,93
116005,22,9,72
116006,32,23,115
116007,14,11,111
116008,42,23,98
116009,14,7,87
116010,28,17,95
116011,132,37,93
116012,12,7,97
116013,10,7,104
116014,28,21,114
116015,132,40,101
116016,132,41,106
116017,42,22,94
116018,12,7,97
116019,20,12,94
116020,32,21,105
116021,132,41,106
116022,132,41,106
116023,156,41,102
116024,108,36,96
116025,66,32,109
116026,32,11,65
116027,28,16,91
116028,6,4,99
116029,156,41,102
116030,204,41,100
116031,12,7,97
116032,156,41,102
116033,12,7,97
116034,156,41,102
116035,156,41,102
116036,66,29,96
116037,132,41,106
116038,8,6,104
116040,132,41,106
116041,108,34,90
116042,132,41,106
116043,72,30,94
116044,132,41,106
116045,132,41,106
116046,120,36,93
116047,204,41,100
116048,132,41,106
116049,28,19,104
116050,32,20,100
116051,132,41,106
116052,204,41,100
116053,204,41,100
116054,132,41,106
116055,28,18,99
116056,32,19,96
116057,132,41,106
116058,120,41,112
116059,132,41,106
116060,132,41,106
116061,120,37,95
116062,24,17,102
116063,24,18,107
116064,204,41,100
116065,204,41,100
116069,132,41,106
116071,132,41,106
116072,132,41,106
116073,32,20,100
116074,204,41,100
116075,204,41,100
116076,204,41,100
116077,132,41,106
116078,132,41,106
116079,28,20,109
116080,32,19,96
117001,32,13,73
117002,66,30,99
117003,120,39,101
117004,24,18,107
117005,120,40,107
117006,66,33,114
117007,132,39,98
117008,10,7,104
117009,42,35,160
117010,10,7,104
117011,6,5,104
117012,36,17,82
117013,24,12,81
117014,54,28,105
117015,28,12,75
117016,24,18,107
117017,4,4,103
117018,4,5,109
117019,4,5,109
117020,6,6,109
117021,10,7,104
117022,54,26,97
117023,54,27,100
117024,48,25,99
117025,4,3,97
117026,22,9,72
117027,4,3,97
117028,28,14,83
117029,48,20,82
117030,36,26,122
117031,14,10,106
117032,132,38,95
117033,4,2,91
117034,132,38,95
117035,108,40,112
117036,78,37,118
117037,66,28,93
117038,108,41,118
117040,8,8,115
117041,84,34,97
117042,36,20,93
117043,66,30,99
117044,8,6,104
117045,32,26,131
117046,0,0,88
117047,0,0,88
117048,96,36,99
117049,78,36,113
117050,132,33,82
117053,8,7,110
117054,84,32,91
117055,36,21,97
117056,18,12,101
117059,22,10,76
117060,8,7,110
117061,72,28,88
117062,42,24,102
117063,10,5,91
117064,60,28,98
117065,36,22,101
118001,66,25,81
118002,32,20,100
118003,156,41,102
118004,132,41,106
118005,2,3,102
118006,48,27,109
118007,156,41,102
118008,132,41,106
118009,42,23,98
118010,120,40,107
118011,78,33,99
118012,66,37,134
118015,2,1,88
118016,96,35,96
118017,66,30,99
118018,36,18,86
118019,2,2,95
119001,36,24,111
119002,132,41,106
119003,132,41,106
119004,108,41,118
119005,18,14,112
119006,12,9,108
119007,96,41,124
119008,36,25,117
119009,78,33,99
119010,10,7,104
119011,84,40,126
119012,108,40,112
119013,132,40,101
119014,96,41,124
119015,78,39,128
119016,84,34,97
119017,132,41,106
119018,96,38,109
119019,84,31,89
119020,60,27,94
119021,96,41,124
119022,2,2,95
119023,2,5,112
120009,156,41,102
120010,204,41,100
120011,36,21,97
120012,54,28,105
120013,12,11,118
120014,16,11,104
120015,42,23,98
120016,28,21,114
120017,48,28,114
120018,60,30,107
120020,84,41,131
120021,132,41,106
120022,20,11,90
120023,78,32,96
120024,108,37,98
120025,132,36,90
120026,18,14,112
120027,72,35,116
120028,108,40,112
120029,42,25,108
120030,72,29,91
120031,60,26,91
120032,66,30,99
120037,10,8,109
120038,72,32,100
120041,0,4,110
120042,48,24,96
120043,108,40,112
120044,96,35,96
120045,132,41,106
120046,96,41,124
120047,132,41,106
120048,28,28,151
120049,54,25,93
120050,72,36,121
120051,108,40,112
120052,32,26,131
120053,60,28,98
120056,78,27,76
120057,78,28,80
120058,108,32,85
120059,66,38,140
120061,8,8,115
120062,42,31,139
120063,6,6,109
120064,48,30,124
120065,72,34,111
120066,132,41,106
120067,66,34,119
120069,8,4,93
120070,78,33,99
120071,120,40,107
120072,132,39,98
120073,108,38,102
121001,10,10,120
121002,156,41,102
121003,156,41,102
121005,18,20,143
121006,6,5,104
121007,36,29,138
121009,20,17,119
121010,24,16,97
121011,10,10,120
121012,22,10,76
121013,2,3,102
121014,20,9,77
121015,20,10,82
121016,42,28,123
121017,12,9,108
121018,78,40,134
121019,132,41,106
121020,36,21,97
121022,14,9,101
121023,54,27,100
122001,36,25,117
122002,60,32,117
122003,20,13,99
122004,0,2,103
122005,60,34,127
122006,84,37,111
122007,120,37,95
122008,20,13,99
122010,96,29,72
122011,20,14,104
122012,48,22,89
122013,2,4,107
122015,78,37,118
122016,60,37,143
122017,24,13,85
123001,204,41,100
123002,84,38,116
123003,156,41,102
123004,204,41,100
123005,156,41,102
123006,54,29,110
123007,54,29,110
123008,132,38,95
123009,84,39,121
123010,96,40,119
123011,204,39,95
123012,156,39,96
123013,156,41,102
123014,120,40,107
123015,78,32,96
123016,204,41,100
123017,156,38,93
123018,156,41,102
123019,132,38,95
123020,156,41,102
123021,36,22,101
123022,156,41,102
123023,120,39,101
123024,156,41,102
123025,156,41,102
123026,132,41,106
123027,66,32,109
123028,156,41,102
123029,132,41,106
123030,204,41,100
123031,156,41,102
123032,120,38,98
123033,42,23,98
123034,42,23,98
123035,132,41,106
123036,156,40,98
123037,132,41,106
123038,132,38,95
123039,96,36,99
123040,36,25,117
123041,132,41,106
123042,72,31,97
123043,132,41,106
123044,204,41,100
123045,204,41,100
123046,66,29,96
123047,132,41,106
123048,72,31,97
123049,120,37,95
123050,132,40,101
123051,132,41,106
123052,66,30,99
123053,78,29,84
123054,132,41,106
123055,132,41,106
123056,120,40,107
123057,72,30,94
123058,132,41,106
123059,132,40,101
123060,132,41,106
123061,120,39,101
123062,132,41,106
123063,42,22,94
123064,132,41,106
123065,108,38,102
123066,204,41,100
123067,132,41,106
123068,108,39,107
123069,120,40,107
123070,132,41,106
123071,36,20,93
123072,36,25,117
123073,42,29,128
123074,132,39,98
123075,132,41,106
123076,108,40,112
123077,132,41,106
123078,120,40,107
123079,54,29,110
123080,96,36,99
125001,108,38,102
125002,48,26,104
125003,48,25,99
125004,54,31,121
125005,60,34,127
125006,54,30,115
125007,60,32,117
125008,60,29,102
125009,54,33,131
125010,60,29,102
125011,66,32,109
125012,60,27,94
125013,60,29,102
125014,60,26,91
125015,54,30,115
125016,66,35,124
125017,72,33,105
125018,54,28,105
125019,60,29,102
125020,84,34,97
125021,60,30,107
125022,60,27,94
125023,60,29,102
125024,60,33,122
125025,0,3,107
125026,28,18,99
125027,14,11,111
125028,72,39,136
125029,10,9,114
125030,18,8,76
125031,60,33,122
125032,78,34,103
125033,60,30,107
125034,72,33,105
125035,20,15,109
125036,14,11,111
125037,72,40,142
125038,22,15,100
125039,2,2,95
125040,32,21,105
125041,14,9,101
125043,10,6,98
125044,10,7,104
125045,28,15,87
125046,60,29,102
125047,60,34,127
125048,60,30,107
125049,14,10,106
125053,8,6,104
125055,24,15,93
125057,14,9,101
125058,4,3,97
125059,28,20,109
125060,28,21,114
125061,4,6,114
125062,2,3,102
126001,66,34,119
126002,132,41,106
126003,108,35,93
126004,84,36,106
126005,60,28,98
126006,108,40,112
126007,96,28,67
126008,54,23,84
126009,54,25,93
126010,72,35,116
126011,66,29,96
126012,72,36,121
126013,60,33,122
126014,66,31,103
126015,132,40,101
126016,54,29,110
126017,132,40,101
126018,72,34,111
126019,108,41,118
126020,24,16,97
127001,18,9,80
127002,132,41,106
127003,2,4,107
127004,78,34,103
127005,6,4,99
127006,36,26,122
127007,54,32,126
127008,14,15,133
127009,16,9,91
127010,12,6,87
127011,66,27,87
127012,20,15,109
127013,12,10,113
127014,42,29,128
127015,48,24,96
127016,66,33,114
127017,42,26,113
127018,4,4,103
127019,24,12,81
127020,32,23,115
127021,22,11,83
127022,84,35,100
127023,120,40,107
127024,54,30,115
127025,20,12,94
127026,6,3,92
127027,24,9,68
127028,42,30,134
127029,66,32,109
127030,10,9,114
127031,48,24,96
127032,42,29,128
127033,78,39,128
127034,132,41,106
127035,84,34,97
127036,10,8,109
127037,10,10,120
127038,24,16,97
127039,2,4,107
127040,14,12,117
127042,0,2,103
127141,6,5,104
128001,96,38,109
128002,132,41,106
128003,132,40,101
128004,96,41,124
128005,120,40,107
128006,132,41,106
128007,108,41,118
128008,72,40,142
128009,132,40,101
128010,108,36,96
128011,120,38,98
128013,54,36,147
128014,120,41,112
128019,84,41,131
128020,72,39,136
128021,78,33,99
128022,108,41,118
128023,132,41,106
128024,96,41,124
128025,120,40,107
129001,120,40,107
129002,84,33,94
129003,8,6,104
129004,36,19,90
129005,36,23,106
129006,84,32,91
129007,42,23,98
129008,36,26,122
129009,28,21,114
129010,54,26,97
129011,108,41,118
129012,84,33,94
129013,120,41,112
129014,36,19,90
129015,48,22,89
129016,78,29,84
129017,66,30,99
129018,24,12,81
129019,48,29,119
129020,16,10,99
129021,48,26,104
129022,78,36,113
129023,36,27,127
129024,36,26,122
129025,48,29,119
129026,22,20,127
129027,108,41,118
129028,36,21,97
129029,78,27,76
129030,132,41,106
130001,60,34,127
130002,96,41,124
130003,60,33,122
130004,60,29,102
130005,72,35,116
130006,72,33,105
130007,84,39,121
130008,72,36,121
130009,72,33,105
130010,72,30,94
130011,84,35,100
130012,84,38,116
130013,84,38,116
130014,84,32,91
130015,54,32,126
130016,84,38,116
130017,84,35,100
130018,96,41,124
130019,96,40,119
130020,96,38,109
130021,96,41,124
130022,108,41,118
130023,108,40,112
130024,108,41,118
130025,108,41,118
130026,120,41,112
130027,120,41,112
130028,132,41,106
130029,132,41,106
131001,2,1,88
131002,10,6,98
131003,0,3,107
131004,66,36,129
131005,54,24,88
131006,36,17,82
131007,10,8,109
131008,42,20,87
131009,36,23,106
131010,28,19,104
131011,4,6,114
131012,84,41,131
131013,12,8,103
131014,42,21,91
131015,84,37,111
131016,96,40,119
131017,78,32,96
131018,132,40,101
131019,108,38,102
131020,20,10,82
131021,20,10,82
131022,36,19,90
131023,14,9,101
131024,48,30,124
131025,16,9,91
131026,0,0,88
131027,10,9,114
131028,96,38,109
131029,66,33,114
131030,12,9,108
131031,10,9,114
131032,10,9,114
131033,204,41,100
131034,36,26,122
131035,2,2,95
131036,22,15,100
131037,0,2,103
131038,4,2,91
131040,96,38,109
131041,42,23,98
131042,48,25,99
131043,42,24,102
131044,10,9,114
131045,2,4,107
131046,108,39,107
131047,84,37,111
131048,14,12,117
131049,0,1,96
131050,4,3,97
131051,14,9,101
131052,14,9,101
131053,6,6,109
131054,4,4,103
131055,42,24,102
131056,96,41,124
131057,72,34,111
131058,42,24,102
131059,84,40,126
131060,12,9,108
132002,6,5,104
132003,120,35,90
132006,78,38,123
132007,48,36,156
132008,22,18,116
132010,108,41,118
132011,32,21,105
132012,10,8,109
132015,72,34,111
132016,132,41,106
132017,132,41,106
132018,96,41,124
132019,54,26,97
132021,84,37,111
132022,96,41,124
132023,54,25,93
132024,132,41,106
132025,108,40,112
132026,108,40,112
132027,48,30,124
132028,16,9,91
132029,108,40,112
132030,42,31,139
133001,78,35,108
133002,120,39,101
133003,84,35,100
133004,42,25,108
133005,66,30,99
133006,96,41,124
133007,132,41,106
133010,24,15,93
133011,120,38,98
133012,84,34,97
133013,54,28,105
133015,78,38,123
133016,48,31,130
133019,96,41,124
133020,96,41,124
133022,32,17,88
133023,8,6,104
133025,96,38,109
133026,72,32,100
133028,108,36,96
133029,96,38,109
133030,78,31,93
134001,132,41,106
134002,132,41,106
134003,96,38,109
134004,96,38,109
134005,96,34,93
134006,84,41,131
134007,72,33,105
134008,132,41,106
134009,132,41,106
134010,96,35,96
134011,96,38,109
134012,96,31,85
134013,96,36,99
134014,96,38,109
134016,72,31,97
134017,72,30,94
134018,72,31,97
134019,78,36,113
134020,132,41,106
134021,132,40,101
134022,66,36,129
134023,96,41,124
134024,96,37,104
134025,96,35,96
134026,84,36,106
134027,22,17,111
134028,22,15,100
134029,22,15,100
134030,20,17,119
134031,24,18,107
134032,12,11,118
134033,28,19,104
134034,96,38,109
134035,72,37,126
134036,24,21,123
134037,24,12,81
134039,108,40,112
134040,22,15,100
134041,32,22,110
134042,24,17,102
134043,14,14,127
134044,108,41,118
134046,32,15,81
134047,10,10,120
135001,96,41,124
135002,36,27,127
135003,120,37,95
135004,66,33,114
135005,14,13,122
135006,54,30,115
135007,54,31,121
135008,78,34,103
135009,66,30,99
135010,96,39,114
135012,72,30,94
135013,42,19,84
135014,6,4,99
135015,96,37,104
135016,204,41,100
135017,132,41,106
135018,204,41,100
135019,66,31,103
135020,132,40,101
135021,120,40,107
135022,10,7,104
135023,132,40,101
135024,120,41,112
135025,204,40,97
135026,84,37,111
135027,60,32,117
135028,32,20,100
135029,24,16,97
135030,4,5,109
136001,132,40,101
136002,6,6,109
136003,14,8,94
136004,132,41,106
136005,120,36,93
136006,60,33,122
136007,96,40,119
136008,8,6,104
136011,60,29,102
136012,2,0,81
136013,4,5,109
136014,12,10,113
136015,28,13,79
136016,28,13,79
136017,28,13,79
136019,24,9,68
136020,8,5,99
136021,6,4,99
136023,24,18,107
136024,6,6,109
136025,8,6,104
136030,16,11,104
137001,132,41,106
137002,108,41,118
137003,66,26,84
137004,36,20,93
137005,120,41,112
137006,84,41,131
137007,28,11,71
137008,48,28,114
137009,66,26,84
137010,36,18,86
137011,28,21,114
137012,54,28,105
137013,4,6,114
137014,12,11,118
137015,60,28,98
137016,0,4,110
137017,72,29,91
137018,48,25,99
137019,28,15,87
137020,96,30,80
137021,54,16,59
137022,16,8,84
137023,32,9,57
137024,4,4,103
137025,14,10,106
137026,66,36,129
137027,96,41,124
137028,72,33,105
137029,108,41,118
137030,78,40,134
137031,32,22,110
137032,84,37,111
137033,108,40,112
137034,48,31,130
137035,108,41,118
137036,66,32,109
137037,96,41,124
137038,72,41,147
137039,54,36,147
137040,72,27,85
137041,36,19,90
137042,10,10,120
137043,84,35,100
137044,18,16,122
137045,36,23,106
137046,18,14,112
137047,0,1,96
137051,66,34,119
137052,0,1,96
138001,132,40,101
138003,108,39,107
138004,84,35,100
138005,96,35,96
138006,204,41,100
138007,120,41,112
138008,78,31,93
138009,54,26,97
138010,132,41,106
138011,28,22,119
138012,132,37,93
138013,108,37,98
138014,2,4,107
138015,4,5,109
138016,120,38,98
138017,96,36,99
138018,12,8,103
138019,6,5,104
138020,12,9,108
138021,24,17,102
139001,8,8,115
139002,22,18,116
139003,48,31,130
139004,42,23,98
139005,18,11,96
139006,22,16,106
139007,16,12,109
139008,18,10,86
139009,48,27,109
139010,24,18,107
139011,6,5,104
139012,24,11,77
139013,42,22,94
139014,10,8,109
139015,42,23,98
139016,14,8,94
139017,10,8,109
139018,48,29,119
139019,32,27,136
139020,60,34,127
139021,48,29,119
139022,28,22,119
141001,14,9,101
141002,20,18,125
141003,16,16,130
141004,18,7,69
141005,14,11,111
141006,18,15,117
141007,22,19,121
141008,24,22,128
141009,20,19,130
141010,20,16,114
141011,22,22,137
141012,20,12,94
141013,24,21,123
141014,14,8,94
141015,18,22,154
141016,16,19,146
141017,16,22,160
141018,16,15,125
141019,14,19,154
141021,18,19,138
141022,22,21,132
141023,20,18,125
141024,22,22,137
141025,20,23,151
141026,28,23,124
141027,24,24,139
141028,32,23,115
141029,32,23,115
141030,28,20,109
141031,36,24,111
141032,36,23,106
141033,36,23,106
141034,42,23,98
141035,32,25,126
141036,42,27,118
141037,36,24,111
141038,42,23,98
141039,36,18,86
141040,42,23,98
141041,42,24,102
141042,42,23,98
141043,42,21,91
141044,54,26,97
141045,48,27,109
141046,54,27,100
141047,54,27,100
141048,48,26,104
141049,54,27,100
142001,22,12,87
142002,14,8,94
142003,22,20,127
142004,24,20,118
142005,24,21,123
142006,20,15,109
142007,10,10,120
142008,32,23,115
142009,0,2,103
142010,2,3,102
142011,8,6,104
142012,6,7,115
142013,32,15,81
142014,16,15,125
142015,16,12,109
142016,6,5,104
142017,32,18,92
142018,42,22,94
142019,6,6,109
142020,14,8,94
142021,16,13,114
142022,36,27,127
142023,60,35,133
142024,8,7,110
142025,20,18,125
142026,24,16,97
142027,4,2,91
142028,54,27,100
142029,36,15,75
142030,8,6,104
143001,132,41,106
143002,108,41,118
143003,48,31,130
143004,84,41,131
143005,84,38,116
143006,96,40,119
143007,72,33,105
143008,78,35,108
143009,60,31,112
143010,54,33,131
143011,32,26,131
143013,72,32,100
143017,60,34,127
143018,96,37,104
143019,132,41,106
143021,132,39,98
143022,132,40,101
143023,96,33,91
143024,32,17,88
143025,120,39,101
146001,0,3,107
146002,10,8,109
148001,84,30,84
148002,132,38,95
148003,66,27,87
148004,20,11,90
148005,54,30,115
148006,132,41,106
148007,108,40,112
148008,96,31,85
148009,132,39,98
148012,84,35,100
148013,84,34,97
148015,132,38,95
148016,48,25,99
148017,60,30,107
148018,28,18,99
148019,72,30,94
148020,14,9,101
148021,48,25,99
148022,108,29,68
148023,84,39,121
148024,42,26,113
148025,96,36,99
148026,78,35,108
148027,132,40,101
148028,60,26,91
148029,72,31,97
148030,84,36,106
148031,108,37,98
148032,20,16,114
151001,156,41,102
151002,120,41,112
151003,108,40,112
151004,156,40,98
151005,48,27,109
151006,36,16,78
151007,48,26,104
151008,78,28,80
151009,108,41,118
151010,42,17,76
151011,42,23,98
151012,84,23,58
151013,132,39,98
151014,36,18,86
151015,108,41,118
151016,78,25,69
151017,36,24,111
151018,132,41,106
151019,120,41,112
151020,132,41,106
151021,108,41,118
151022,132,41,106
151023,120,41,112
151024,132,41,106
151025,120,41,112
151026,120,41,112
151027,60,30,107
151028,66,27,87
151029,48,27,109
151030,66,26,84
151031,96,41,124
151032,96,36,99
151033,120,41,112
151034,120,41,112
151035,54,22,81
151036,96,41,124
