ID,agestrat,COMscoreT,COMscoreT_SS
116065,204,31,108
116069,132,31,111
116071,132,31,111
116072,132,31,111
116073,32,20,99
116074,204,31,108
116075,204,31,108
116076,204,31,108
116077,132,31,111
116078,132,31,111
116079,28,21,109
116080,32,20,99
117001,32,20,99
117002,66,27,102
117003,120,31,115
117012,36,15,83
117014,54,25,100
117015,28,19,100
117022,54,29,126
117023,54,29,126
117024,48,27,118
117030,36,25,118
117038,108,31,119
117041,84,30,113
117042,36,23,107
117050,132,20,53
117061,72,20,75
117062,42,22,98
118001,66,26,98
118002,32,22,108
118003,156,31,109
118004,132,31,111
118006,48,25,106
118007,156,31,109
118008,132,31,111
118009,42,21,95
118010,120,28,91
118011,78,31,127
118016,96,31,121
118017,66,30,125
119002,132,28,90
119003,132,31,111
119004,108,28,93
119007,96,29,99
119009,78,27,96
119011,72,30,121
119013,132,31,111
119014,96,30,109
119015,78,29,108
119016,84,28,97
119017,132,29,94
119018,96,30,109
119019,84,28,97
119021,96,31,121
120009,156,31,109
120010,204,31,108
120011,36,20,96
120012,54,25,100
120015,42,25,112
120016,28,22,114
120017,48,21,92
120020,84,30,113
120021,132,30,99
120023,66,29,117
120024,108,28,93
120025,132,30,99
120027,78,28,99
120028,108,31,119
120029,48,20,89
120030,72,26,95
120031,60,20,82
120032,60,24,94
120033,66,23,88
120035,60,21,85
120036,60,25,97
120038,72,31,130
120042,54,22,91
120043,108,27,89
120044,108,30,105
120045,132,31,111
120046,96,31,121
120048,28,21,109
120049,54,23,94
120050,72,30,121
120051,108,30,105
120052,32,22,108
120053,60,28,115
120056,78,29,108
120057,78,29,108
120058,108,26,85
120059,72,23,85
120062,42,26,118
120064,48,29,130
120065,72,19,72
120067,72,30,121
120070,78,21,75
120072,132,21,58
120073,120,31,115
121002,156,31,109
121003,156,30,98
121007,36,21,98
121016,42,25,112
121018,84,31,124
121019,132,31,111
121020,36,22,102
122001,36,20,96
122002,60,29,122
122005,60,28,115
122006,84,31,124
122007,120,31,115
122010,96,26,88
123001,204,31,108
123002,84,28,97
123003,156,31,109
123004,204,31,108
123005,156,31,109
123006,54,21,89
123007,54,22,91
123008,132,29,94
123009,84,28,97
123010,96,31,121
123011,204,31,108
123012,156,31,109
123013,156,31,109
123014,120,31,115
123015,78,22,79
123016,204,31,108
123017,156,31,109
123018,156,31,109
123019,132,31,111
123020,156,31,109
123021,36,24,112
123022,156,31,109
123023,120,31,115
123024,156,31,109
123025,156,31,109
123026,132,31,111
123027,66,23,88
123028,156,31,109
123029,132,31,111
123030,204,31,108
123031,156,31,109
123032,120,31,115
123033,42,23,101
123034,42,22,98
123035,132,31,111
123036,156,31,109
123037,132,31,111
123038,132,31,111
123039,96,31,121
123040,36,22,102
123041,132,31,111
123042,72,26,95
123043,132,31,111
123044,204,31,108
123045,204,31,108
123046,66,26,98
123047,132,31,111
123048,72,26,95
123049,120,31,115
123050,132,31,111
123051,132,31,111
123052,66,26,98
123053,78,26,93
123054,132,31,111
123055,132,31,111
123056,120,31,115
123057,72,28,104
123058,132,31,111
123059,132,31,111
123060,132,31,111
123061,120,31,115
123062,132,31,111
123063,42,22,98
123064,132,31,111
123065,108,31,119
123066,204,31,108
123067,132,31,111
123068,108,31,119
123069,120,31,115
123070,132,31,111
123071,36,22,102
123072,36,22,102
123073,42,23,101
123074,132,31,111
123075,132,31,111
123076,108,31,119
123077,132,31,111
123078,120,31,115
123079,54,26,107
123080,96,30,109
125001,108,31,119
125002,48,29,130
125003,48,26,112
125004,54,22,91
125005,60,22,88
125006,54,21,89
125007,60,23,91
125008,60,24,94
125009,54,23,94
125010,60,27,108
125011,66,26,98
125012,60,21,85
125013,60,19,79
125014,60,24,94
125015,54,18,80
125016,66,24,91
125017,72,28,104
125018,54,28,120
125019,60,24,94
125020,84,30,113
125021,60,25,97
125022,60,21,85
125023,60,27,108
125024,60,27,108
125026,28,21,109
125028,72,19,72
125031,60,27,108
125033,60,26,101
125037,72,28,104
125040,32,21,103
125046,60,27,108
125047,48,27,118
125048,60,28,115
125051,32,20,99
125055,24,18,102
126001,66,27,102
126002,132,30,99
126003,108,31,119
126004,84,29,103
126005,60,29,122
126006,108,30,105
126007,96,31,121
126008,54,25,100
126009,54,22,91
126010,72,25,92
126011,66,25,95
126012,78,29,108
126013,60,29,122
126014,66,26,98
126015,132,31,111
126016,54,28,120
126017,132,30,99
126018,72,28,104
126019,108,30,105
126020,24,13,89
127002,132,31,111
127004,78,25,89
127006,36,23,107
127007,54,28,120
127011,66,25,95
127014,42,24,107
127015,48,24,100
127016,66,31,133
127017,42,28,129
127019,24,22,120
127020,32,26,128
127022,84,28,97
127023,120,28,91
127024,54,29,126
127028,42,26,118
127029,66,29,117
127031,48,25,106
127032,36,28,133
127033,78,30,117
127034,132,31,111
127035,84,30,113
128001,96,31,121
128002,132,31,111
128003,132,31,111
128004,96,30,109
128005,120,30,100
128006,132,31,111
128008,72,29,113
128009,132,29,94
128011,120,31,115
128012,132,31,111
128014,132,29,94
128019,84,31,124
128021,78,28,99
128023,132,31,111
128024,96,31,121
128025,120,30,100
129001,120,28,91
129002,84,29,103
129004,36,20,96
129005,42,23,101
129006,84,29,103
129007,42,24,107
129008,36,23,107
129009,28,23,119
129010,54,25,100
129011,108,31,119
129012,84,30,113
129013,120,31,115
129014,36,24,112
129015,48,23,97
129016,78,30,117
129017,66,29,117
129019,48,27,118
129021,48,27,118
129022,78,28,99
129023,36,26,123
129024,36,22,102
129025,48,26,112
129027,108,31,119
129028,36,20,96
129029,78,26,93
129030,132,31,111
130001,54,30,132
130002,96,30,109
130003,60,29,122
130004,60,29,122
130005,72,29,113
130006,72,31,130
130007,84,29,103
130008,72,30,121
130009,72,30,121
130010,72,27,98
130011,84,30,113
130012,84,30,113
130013,84,30,113
130014,84,30,113
130015,54,28,120
130016,84,31,124
130017,84,30,113
130018,96,30,109
130019,96,31,121
130020,96,31,121
130021,96,31,121
130022,108,31,119
130023,108,31,119
130024,108,31,119
130025,108,31,119
130026,120,31,115
130027,120,31,115
130028,132,31,111
130029,132,31,111
131004,72,29,113
131005,54,26,107
131006,36,18,91
131009,36,24,112
131012,84,29,103
131014,42,24,107
131015,84,31,124
131016,96,31,121
131018,132,31,111
131019,108,31,119
131028,96,24,80
131029,66,27,102
131033,204,31,108
131034,36,19,93
131040,96,29,99
131041,42,24,107
131042,48,28,124
131043,42,25,112
131046,108,31,119
131047,84,31,124
131055,42,25,112
131056,96,30,109
131057,72,31,130
131059,84,31,124
132010,108,30,105
132015,72,30,121
132021,84,31,124
132023,54,17,77
132024,132,31,111
132025,108,31,119
133002,120,31,115
133013,54,29,126
134001,132,31,111
134002,132,31,111
134003,96,30,109
134004,96,28,95
134005,96,25,84
134006,84,30,113
134007,72,25,92
134008,132,31,111
134009,132,31,111
134010,96,24,80
134011,96,31,121
134012,96,30,109
134013,96,31,121
134014,96,31,121
134015,132,31,111
134016,72,29,113
134017,72,27,98
134018,72,28,104
134019,78,28,99
134020,132,31,111
134021,132,31,111
134022,66,27,102
134023,96,30,109
134024,96,24,80
134025,96,31,121
134026,84,29,103
134031,24,18,102
134033,32,17,92
134034,96,31,121
134035,72,29,113
134038,108,29,97
134039,108,28,93
134041,32,18,94
134042,24,17,99
134044,108,30,105
135001,96,31,121
135004,66,30,125
135006,54,26,107
135007,54,28,120
135008,78,29,108
135009,66,26,98
135010,96,30,109
135019,54,27,113
135026,72,31,130
135027,60,30,129
136001,132,31,111
136004,132,31,111
136005,120,30,100
137001,132,24,72
137003,66,25,95
137004,36,17,88
137005,120,28,91
137006,84,28,97
137007,28,22,114
137008,48,30,136
137010,36,20,96
137012,54,25,100
137017,72,29,113
137018,48,24,100
137020,96,30,109
137021,54,23,94
137026,66,30,125
137027,96,31,121
137028,72,30,121
137029,108,30,105
137030,78,27,96
137032,84,30,113
137033,108,31,119
137034,48,27,118
137035,108,31,119
137036,72,29,113
137037,96,31,121
137038,78,30,117
137039,54,27,113
137051,66,29,117
138003,108,30,105
138004,84,31,124
138005,96,31,121
138007,120,31,115
138008,78,29,108
138010,132,31,111
138011,24,20,111
138016,120,29,96
138017,96,28,95
138021,24,19,106
139009,48,25,106
139013,42,24,107
139018,48,26,112
139019,32,21,103
139020,60,29,122
139021,48,25,106
141026,28,24,123
141027,24,23,124
141028,32,22,108
141029,32,21,103
141030,28,20,105
141031,36,21,98
141032,36,23,107
141033,36,22,102
141034,42,21,95
141035,36,22,102
141036,42,24,107
141037,36,21,98
141038,42,20,92
141039,36,20,96
141040,42,21,95
141041,42,24,107
141042,42,26,118
141043,42,21,95
141044,54,25,100
141045,48,23,97
141046,54,24,97
141047,54,25,100
141048,48,25,106
141049,54,27,113
143001,132,31,111
143002,108,31,119
143003,48,28,124
143004,84,29,103
143005,84,31,124
143006,96,28,95
143007,72,28,104
143008,78,27,96
143009,60,27,108
143010,54,27,113
143011,32,25,123
143013,72,29,113
143017,60,29,122
143018,96,30,109
143019,132,31,111
143021,132,31,111
143022,132,31,111
143023,96,29,99
143024,32,23,113
143025,120,31,115
148001,84,30,113
148002,132,30,99
148003,66,28,110
148005,54,27,113
148006,132,31,111
148007,108,30,105
148009,132,31,111
148012,84,31,124
148013,84,31,124
148017,60,29,122
148018,28,23,119
148019,72,28,104
148022,108,29,97
148023,84,30,113
148024,48,25,106
148025,96,31,121
148026,78,29,108
148027,132,31,111
148028,60,28,115
148029,72,28,104
148030,84,27,94
148031,108,30,105
151001,156,31,109
151002,120,31,115
151003,108,31,119
151004,156,30,98
151005,48,27,118
151006,36,20,96
151008,78,31,127
151010,42,22,98
151011,42,23,101
151012,84,31,124
151013,132,31,111
151014,36,24,112
151015,108,30,105
151016,78,26,93
151017,36,20,96
151018,132,31,111
151019,120,31,115
151020,132,30,99
151021,108,31,119
151022,132,30,99
151023,120,31,115
151024,132,31,111
151025,132,31,111
151026,120,31,115
151027,60,26,101
151028,66,29,117
151029,54,26,107
151030,66,28,110
151031,96,29,99
151032,96,28,95
151033,120,29,96
151034,132,31,111
151035,54,22,91
151036,96,30,109
151037,96,30,109
151038,108,30,105
151039,120,31,115
151040,132,31,111
151041,36,19,93
151042,84,30,113
151043,84,31,124
151044,84,29,103
151045,36,19,93
151046,84,29,103
151047,96,25,84
151048,120,31,115
151049,96,29,99
151050,24,14,92
151051,108,30,105
151052,84,27,94
151053,84,27,94
151054,108,31,119
151055,120,31,115
151056,96,25,84
151057,84,28,97
151058,84,28,97
151059,84,29,103
151060,96,31,121
154002,42,23,101
154005,84,30,113
154010,120,31,115
154017,132,28,90
154018,120,31,115
154022,132,29,94
154028,108,31,119
154029,108,31,119
154030,132,31,111
154037,72,14,56
154040,84,30,113
154041,60,26,101
154042,42,20,92
154043,28,13,86
154047,120,31,115
154052,54,30,132
154055,66,24,91
154056,108,31,119
154057,132,31,111
154058,108,31,119
154076,132,31,111
154077,108,25,81
154078,84,29,103
154079,132,31,111
154080,120,30,100
154081,108,31,119
154959,78,31,127
