ID,agestrat,COGscoreT,COGscoreT_SS
129019,48,27,118
129021,48,23,101
129022,78,40,134
129023,36,20,104
129024,36,20,104
129025,48,25,109
129027,108,42,118
129028,36,14,88
129029,78,26,76
129030,132,42,104
130001,54,38,158
130002,96,39,104
130003,60,31,117
130004,60,34,132
130005,72,37,127
130006,72,36,121
130007,84,36,98
130008,72,36,121
130009,72,37,127
130010,72,35,115
130011,84,38,109
130012,84,39,116
130013,84,39,116
130014,84,38,109
130015,54,30,122
130016,84,39,116
130017,84,39,116
130018,96,39,104
130019,96,42,127
130020,96,42,127
130021,96,42,127
130022,108,42,118
130023,108,42,118
130024,108,42,118
130025,108,42,118
130026,120,42,109
130027,120,42,109
130028,132,42,104
130029,132,42,104
131004,72,38,132
131005,54,21,89
131006,36,21,108
131009,36,21,108
131012,84,40,123
131014,42,20,98
131015,84,39,116
131016,96,41,119
131018,132,42,104
131019,108,42,118
131028,96,42,127
131029,66,38,142
131033,204,42,103
131034,36,16,93
131040,96,36,93
131041,42,26,121
131042,48,28,122
131043,42,25,117
131046,108,42,118
131047,84,36,98
131055,42,25,117
131056,96,41,119
131057,72,42,155
131059,84,39,116
132010,108,40,101
132015,72,37,127
132021,84,40,123
132023,54,14,71
132024,132,42,104
132025,108,42,118
133002,120,42,109
133013,54,31,127
134001,132,42,104
134002,132,42,104
134003,96,39,104
134004,96,37,96
134005,96,36,93
134006,84,41,130
134007,72,31,96
134008,132,42,104
134009,132,42,104
134010,96,35,90
134011,96,41,119
134012,96,39,104
134013,96,39,104
134014,96,40,112
134015,132,42,104
134016,72,32,99
134017,72,31,96
134018,72,31,96
134019,78,37,115
134020,132,42,104
134021,132,42,104
134022,66,32,111
134023,96,40,112
134024,96,37,96
134025,96,37,96
134026,84,39,116
134031,24,12,92
134033,32,15,95
134034,96,36,93
134035,72,34,110
134038,108,40,101
134039,108,41,109
134041,32,16,97
134042,24,14,97
134044,108,42,118
135001,96,41,119
135004,66,29,98
135006,54,28,113
135007,54,29,118
135008,78,39,128
135009,66,34,121
135010,96,40,112
135019,54,28,113
135026,72,37,127
135027,60,30,112
136001,132,42,104
136004,132,42,104
136005,120,42,109
137001,132,35,80
137003,66,26,89
137004,36,16,93
137005,120,42,109
137006,84,39,116
137007,28,17,103
137008,48,30,130
137010,36,17,96
137012,54,28,113
137017,72,34,110
137018,48,21,95
137020,96,40,112
137021,54,24,97
137026,66,40,153
137027,96,41,119
137028,72,37,127
137029,108,40,101
137030,78,34,98
137032,84,37,103
137033,108,42,118
137034,48,26,113
137035,108,41,109
137036,72,39,138
137037,96,40,112
137038,78,33,96
137039,54,30,122
137051,66,30,100
138003,108,39,97
138004,84,39,116
138005,96,40,112
138007,120,42,109
138008,78,33,96
138010,132,42,104
138011,24,18,109
138016,120,38,91
138017,96,41,119
138021,24,15,99
139009,48,21,95
139013,42,29,133
139018,48,25,109
139019,32,15,95
139020,60,29,107
139021,48,25,109
141026,28,22,120
141027,24,22,121
141028,32,22,117
141029,32,21,113
141030,28,19,110
141031,36,21,108
141032,36,22,112
141033,36,21,108
141034,42,22,105
141035,36,24,120
141036,42,22,105
141037,36,22,112
141038,42,18,93
141039,36,19,101
141040,42,21,101
141041,42,23,109
141042,42,25,117
