ID,agestrat,SOCscoreT,SOCscoreT_SS
107022,156,35,108
107023,156,35,108
107024,156,35,108
107025,156,35,108
107026,132,34,103
107027,132,35,111
107028,156,35,108
107029,156,35,108
107030,132,35,111
107031,156,35,108
107032,132,35,111
107033,156,35,108
107034,24,21,120
107035,32,25,120
107036,72,34,125
107037,60,32,122
107038,132,31,94
107039,84,33,112
107040,132,34,103
107041,132,35,111
107042,132,35,111
107044,156,35,108
107045,156,35,108
107046,54,24,97
107047,156,34,100
107048,60,24,94
107049,42,35,143
107051,24,27,135
107052,78,31,104
107053,204,35,106
107054,84,35,126
107055,108,35,119
107056,156,34,100
107057,156,35,108
107058,156,34,100
107059,204,31,93
107060,204,34,100
108003,84,28,93
108013,96,35,124
108015,54,28,110
108016,72,34,125
108031,60,16,76
109001,204,27,84
109002,96,24,82
109003,78,31,104
109004,108,34,111
109005,60,34,130
109006,28,20,112
109007,72,33,119
109008,42,11,76
109009,36,22,106
109011,156,33,98
109012,120,35,114
109014,48,31,126
109015,120,32,97
109016,108,32,99
109017,156,35,108
109018,42,19,94
109019,78,28,95
109020,78,29,97
109021,96,30,96
109022,32,29,132
109023,120,34,107
109024,204,35,106
109026,66,26,95
109027,132,35,111
109029,132,34,103
109031,156,34,100
109033,72,32,114
109034,132,35,111
109035,42,30,126
109036,204,35,106
109037,120,35,114
109038,54,14,75
109039,204,35,106
109040,204,35,106
109041,156,35,108
109042,120,35,114
109043,84,35,126
109044,156,35,108
109045,156,33,98
109046,84,23,82
109048,132,32,96
109049,120,18,66
109050,108,33,103
109051,84,33,112
109052,108,16,63
109054,42,22,100
109055,66,34,127
109056,156,35,108
109057,156,34,100
109058,204,35,106
109060,48,32,129
109061,96,35,124
109062,156,35,108
109063,36,12,82
109068,108,34,111
109069,78,34,122
109070,156,35,108
109071,204,35,106
109072,204,34,100
109073,132,34,103
109075,156,34,100
109076,204,34,100
109077,156,35,108
109078,32,19,103
109079,108,35,119
109080,54,28,110
109081,36,25,115
109083,156,35,108
109084,108,34,111
109085,84,34,119
109086,78,34,122
109087,32,21,109
109090,48,34,136
109091,66,35,132
109094,120,34,107
109095,108,32,99
109096,48,26,108
109097,72,33,119
109102,156,33,98
110004,96,33,108
111001,84,34,119
111002,42,29,123
111003,120,34,107
111006,84,30,97
111007,132,33,99
111009,60,29,110
111010,42,30,126
111011,108,34,111
111012,36,21,103
111014,120,35,114
111015,156,35,108
111016,204,35,106
111018,156,35,108
111019,42,17,89
111020,42,28,120
111021,108,34,111
111022,36,23,109
111024,42,31,130
111025,132,35,111
111026,156,35,108
111029,60,22,89
111030,48,30,122
111032,60,30,114
111033,156,19,67
111035,120,34,107
111036,132,34,103
111038,54,28,110
111040,204,35,106
111041,156,35,108
111042,132,34,103
111043,120,34,107
111044,72,32,114
111047,28,17,104
111049,48,31,126
111052,60,28,105
111054,32,15,94
111055,32,23,115
112001,32,20,106
112002,72,27,95
112003,84,22,80
112004,36,11,80
112005,204,35,106
112006,78,31,104
112007,72,26,93
112008,28,12,92
112009,36,17,93
112010,24,10,93
112011,24,9,91
112012,48,20,92
112013,132,25,81
112014,204,35,106
112015,204,35,106
112016,204,35,106
112017,96,25,85
112018,84,19,73
112019,204,35,106
112020,84,20,75
112021,36,20,100
112022,48,22,96
112023,54,18,84
112024,36,21,103
112025,32,20,106
112026,32,7,76
112027,156,35,108
112028,204,35,106
112029,156,31,93
112030,132,27,85
112031,66,17,75
112032,72,25,91
112033,84,22,80
112034,78,16,68
112035,120,25,82
112036,96,25,85
112037,204,35,106
112038,78,21,79
112039,156,35,108
112040,96,24,82
112041,120,28,89
112042,84,25,86
112043,156,35,108
112044,108,28,90
112045,108,25,83
112046,108,29,92
112047,96,29,93
112048,204,35,106
112049,204,35,106
112050,84,19,73
112051,84,28,93
112052,84,24,84
112053,132,33,99
112054,204,35,106
112055,156,29,89
112056,120,32,97
112057,204,35,106
112058,204,35,106
112059,204,35,106
112060,204,34,100
112061,204,35,106
112062,156,35,108
112063,204,35,106
112064,204,35,106
112065,204,35,106
112066,204,35,106
112067,132,32,96
112068,96,25,85
112069,132,35,111
112070,84,25,86
112071,120,28,89
112072,156,35,108
112073,204,35,106
112074,204,35,106
112075,156,35,108
114001,54,25,99
114002,72,27,95
114003,132,33,99
114004,54,32,126
114016,78,30,99
114021,54,27,107
114023,84,35,126
115001,48,17,85
115002,84,33,112
115003,132,32,96
115004,156,35,108
115007,60,32,122
115009,84,32,106
115012,156,32,96
115013,156,35,108
115015,48,17,85
115033,60,30,114
115034,84,30,97
115035,108,20,72
115036,120,34,107
115038,156,35,108
115043,78,28,95
115048,84,30,97
115049,108,28,90
115050,120,22,75
115120,54,19,86
116001,24,16,107
116002,36,17,93
116003,36,15,89
116004,36,17,93
116006,32,18,100
116008,42,17,89
116010,28,13,94
116011,132,35,111
116014,28,16,101
116015,132,35,111
116016,132,35,111
116017,42,18,91
116020,32,21,109
116021,132,35,111
116022,132,35,111
116023,156,35,108
116024,108,34,111
116025,66,29,104
116026,32,14,91
116027,28,14,96
116029,156,35,108
116030,204,35,106
116032,156,35,108
116034,156,35,108
116035,156,35,108
116036,66,28,100
116037,132,35,111
116040,132,34,103
116041,108,32,99
116042,132,35,111
116043,72,18,75
116044,132,35,111
116045,132,35,111
116046,120,33,100
116047,204,35,106
116048,132,35,111
116049,28,17,104
116050,32,18,100
116051,132,35,111
116052,204,35,106
116053,204,35,106
116054,132,34,103
116055,28,18,106
116056,32,16,96
116057,132,35,111
116058,120,34,107
116059,132,34,103
116060,132,35,111
116061,120,33,100
116062,24,13,100
116063,24,15,105
116064,204,35,106
116065,204,35,106
116069,132,34,103
116071,132,34,103
116072,132,35,111
116073,32,14,91
116074,204,35,106
116075,204,35,106
116076,204,35,106
116077,132,35,111
116078,132,35,111
116079,28,16,101
116080,32,14,91
117001,32,16,96
117002,66,28,100
117003,120,33,100
117012,36,12,82
117014,54,23,95
117015,28,11,90
117022,54,32,126
117023,54,31,122
117024,48,31,126
117030,36,21,103
117038,108,34,111
117041,84,27,91
117042,36,24,112
117050,132,16,61
117061,72,31,109
117062,42,24,107
118001,66,29,104
118002,32,22,112
118003,156,33,98
118004,132,34,103
118006,48,15,81
118007,156,35,108
118008,132,35,111
118009,42,29,123
118010,120,30,93
118011,78,34,122
118016,96,32,100
118017,66,33,123
119002,132,32,96
119003,132,34,103
119004,108,30,94
119007,96,33,108
119009,78,28,95
119011,72,33,119
119013,132,34,103
119014,96,32,100
119015,78,32,110
119016,84,31,100
119017,132,32,96
119018,96,32,100
119019,84,32,106
119021,96,32,100
120009,156,34,100
120010,204,35,106
120011,36,12,82
120012,54,23,95
120015,42,24,107
120016,28,28,133
120017,48,24,101
120020,84,34,119
120021,132,34,103
120023,66,32,118
120024,108,33,103
120025,132,34,103
120027,78,31,104
120028,108,29,92
120029,48,16,83
120030,72,31,109
120031,60,15,74
120032,60,24,94
120033,66,23,89
120035,60,17,78
120036,60,29,110
120038,72,30,104
120042,54,19,86
120043,108,23,79
120044,108,34,111
120045,132,34,103
120046,96,33,108
120048,28,16,101
120049,54,16,79
120050,72,31,109
120051,108,33,103
120052,32,23,115
120053,60,29,110
120056,78,33,116
120057,78,31,104
120058,108,22,76
120059,72,21,82
120062,42,23,104
120064,48,32,129
120065,72,24,88
120067,72,31,109
120070,78,29,97
120072,132,22,74
120073,120,33,100
121002,156,31,93
121003,156,32,96
121007,36,20,100
121016,42,24,107
121018,84,34,119
121019,132,34,103
121020,36,17,93
122001,36,23,109
122002,60,31,118
122005,60,32,122
122006,84,34,119
122007,120,35,114
122010,96,24,82
123001,204,34,100
123002,84,32,106
123003,156,34,100
123004,204,35,106
123005,156,35,108
123006,54,27,107
123007,54,15,77
123008,132,32,96
123009,84,31,100
123010,96,33,108
123011,204,35,106
123012,156,35,108
123013,156,35,108
123014,120,34,107
123015,78,24,86
123016,204,35,106
123017,156,35,108
123018,156,35,108
123019,132,35,111
123020,156,35,108
123021,36,26,118
123022,156,35,108
123023,120,30,93
123024,156,35,108
123025,156,34,100
123026,132,34,103
123027,66,29,104
123028,156,35,108
123029,132,34,103
123030,204,35,106
123031,156,35,108
123032,120,34,107
123033,42,20,96
123034,42,22,100
123035,132,35,111
123036,156,35,108
123037,132,34,103
123038,132,34,103
123039,96,33,108
123040,36,24,112
123041,132,35,111
123042,72,31,109
123043,132,34,103
123044,204,35,106
123045,204,35,106
123046,66,29,104
123047,132,35,111
123048,72,30,104
123049,120,33,100
123050,132,34,103
123051,132,35,111
123052,66,29,104
123053,78,31,104
123054,132,34,103
123055,132,35,111
123056,120,34,107
123057,72,31,109
123058,132,34,103
123059,132,34,103
123060,132,35,111
123061,120,34,107
123062,132,35,111
123063,42,19,94
123064,132,35,111
123065,108,33,103
123066,204,35,106
123067,132,35,111
123068,108,34,111
123069,120,34,107
123070,132,35,111
123071,36,19,98
123072,36,23,109
123073,42,29,123
123074,132,34,103
123075,132,35,111
123076,108,33,103
123077,132,35,111
123078,120,34,107
123079,54,28,110
123080,96,31,98
125001,108,34,111
125002,48,25,105
125003,48,29,119
125004,54,28,110
125005,60,27,101
125006,54,25,99
125007,60,28,105
125008,60,30,114
125009,54,26,103
125010,60,30,114
125011,66,32,118
125012,60,21,87
125013,60,26,98
125014,60,11,65
125015,54,19,86
125016,66,28,100
125017,72,33,119
125018,54,25,99
125019,60,27,101
125020,84,34,119
125021,60,29,110
125022,60,26,98
125023,60,32,122
125024,60,32,122
125026,28,20,112
125028,72,26,93
125031,60,32,122
125033,60,29,110
125037,72,33,119
125040,32,15,94
125046,60,28,105
125047,48,30,122
125048,60,27,101
125051,32,13,89
125055,24,13,100
126001,66,29,104
126002,132,35,111
126003,108,35,119
126004,84,33,112
126005,60,33,126
126006,108,34,111
126007,96,33,108
126008,54,27,107
126009,54,26,103
126010,72,31,109
126011,66,29,104
126012,78,33,116
126013,60,30,114
126014,66,30,109
126015,132,32,96
126016,54,28,110
126017,132,34,103
126018,72,33,119
126019,108,29,92
126020,24,12,97
127002,132,33,99
127004,78,31,104
127006,36,18,96
127007,54,33,129
127011,66,29,104
127014,42,31,130
127015,48,23,99
127016,66,34,127
127017,42,33,136
127019,24,22,122
127020,32,27,126
127022,84,29,95
127023,120,33,100
127024,54,32,126
127028,42,32,133
127029,66,33,123
127031,48,29,119
127032,36,29,127
127033,78,34,122
127034,132,32,96
127035,84,33,112
128001,96,34,116
128002,132,34,103
128003,132,35,111
128004,96,34,116
128005,120,34,107
128006,132,35,111
128008,72,32,114
128009,132,32,96
128011,120,35,114
128012,132,35,111
128014,132,30,92
128019,84,35,126
128021,78,33,116
128023,132,35,111
128024,96,34,116
128025,120,32,97
129001,120,34,107
129002,84,29,95
129004,36,22,106
129005,42,17,89
129006,84,26,89
129007,42,18,91
129008,36,18,96
129009,28,18,106
129010,54,19,86
129011,108,35,119
129012,84,29,95
129013,120,34,107
129014,36,26,118
129015,48,21,94
129016,78,30,99
129017,66,31,114
129019,48,26,108
129021,48,17,85
129022,78,31,104
129023,36,24,112
129024,36,20,100
129025,48,20,92
129027,108,33,103
129028,36,15,89
129029,78,20,77
129030,132,35,111
130001,54,34,133
130002,96,31,98
130003,60,33,126
130004,60,33,126
130005,72,32,114
130006,72,32,114
130007,84,31,100
130008,72,33,119
130009,72,32,114
130010,72,33,119
130011,84,35,126
130012,84,35,126
130013,84,35,126
130014,84,34,119
130015,54,30,118
130016,84,32,106
130017,84,33,112
130018,96,34,116
130019,96,32,100
130020,96,32,100
130021,96,33,108
130022,108,33,103
130023,108,34,111
130024,108,34,111
130025,108,33,103
130026,120,35,114
130027,120,35,114
130028,132,35,111
130029,132,35,111
131004,72,31,109
131005,54,24,97
131006,36,21,103
131009,36,21,103
131012,84,33,112
131014,42,24,107
131015,84,33,112
131016,96,28,91
131018,132,35,111
131019,108,34,111
131028,96,33,108
131029,66,28,100
131033,204,35,106
131034,36,18,96
131040,96,32,100
131041,42,24,107
131042,48,24,101
131043,42,24,107
131046,108,35,119
131047,84,33,112
131055,42,25,110
131056,96,30,96
131057,72,34,125
131059,84,34,119
132010,108,31,96
132015,72,31,109
132021,84,34,119
132023,54,26,103
132024,132,31,94
132025,108,34,111
133002,120,33,100
133013,54,27,107
134001,132,35,111
134002,132,35,111
134003,96,31,98
134004,96,32,100
134005,96,20,73
134006,84,34,119
134007,72,23,86
134008,132,35,111
134009,132,35,111
134010,96,29,93
134011,96,33,108
134012,96,33,108
134013,96,33,108
134014,96,33,108
134015,132,35,111
134016,72,33,119
134017,72,33,119
134018,72,34,125
134019,78,28,95
134020,132,35,111
134021,132,35,111
134022,66,31,114
134023,96,34,116
134024,96,28,91
134025,96,33,108
134026,84,34,119
134031,24,12,97
134033,32,14,91
134034,96,34,116
134035,72,30,104
134038,108,34,111
134039,108,34,111
134041,32,15,94
134042,24,13,100
134044,108,35,119
135001,96,32,100
135004,66,26,95
135006,54,31,122
135007,54,33,129
135008,78,28,95
135009,66,27,98
135010,96,29,93
135019,54,31,122
135026,72,35,130
135027,60,34,130
136001,132,35,111
136004,132,31,94
136005,120,33,100
137001,132,34,103
137003,66,31,114
137004,36,15,89
137005,120,32,97
137006,84,30,97
137007,28,23,120
137008,48,31,126
137010,36,14,87
137012,54,20,88
137017,72,28,97
137018,48,23,99
137020,96,34,116
137021,54,21,90
137026,66,34,127
137027,96,34,116
137028,72,29,100
137029,108,32,99
137030,78,29,97
137032,84,30,97
137033,108,34,111
137034,48,24,101
137035,108,34,111
137036,72,30,104
137037,96,34,116
137038,78,32,110
137039,54,29,114
137051,66,34,127
138003,108,34,111
138004,84,32,106
138005,96,33,108
138007,120,35,114
138008,78,33,116
138010,132,35,111
138011,24,13,100
138016,120,29,91
138017,96,30,96
138021,24,16,107
139009,48,26,108
139013,42,22,100
139018,48,28,115
139019,32,12,87
139020,60,31,118
139021,48,24,101
141026,28,18,106
141027,24,20,117
141028,32,19,103
141029,32,19,103
141030,28,18,106
141031,36,19,98
141032,36,21,103
141033,36,20,100
141034,42,20,96
141035,36,20,100
141036,42,20,96
141037,36,18,96
141038,42,18,91
141039,36,18,96
141040,42,19,94
141041,42,20,96
141042,42,22,100
141043,42,18,91
141044,54,20,88
141045,48,21,94
141046,54,21,90
141047,54,21,90
141048,48,25,105
141049,54,23,95
143001,132,35,111
143002,108,33,103
143003,48,25,105
143004,84,32,106
143005,84,31,100
143006,96,31,98
143007,72,29,100
143008,78,28,95
143009,60,32,122
143010,54,35,137
143011,32,31,137
143013,72,32,114
143017,60,28,105
143018,96,34,116
143019,132,35,111
143021,132,35,111
143022,132,35,111
143023,96,33,108
143024,32,24,117
143025,120,35,114
148001,84,31,100
148002,132,30,92
148003,66,21,84
148005,54,29,114
148006,132,35,111
148007,108,33,103
148009,132,32,96
148012,84,32,106
148013,84,33,112
148017,60,28,105
148018,28,17,104
148019,72,28,97
148022,108,28,90
148023,84,33,112
148024,48,20,92
148025,96,33,108
148026,78,30,99
148027,132,34,103
148028,60,32,122
148029,72,30,104
148030,84,32,106
148031,108,30,94
151001,156,32,96
151002,120,33,100
151003,108,33,103
151004,156,34,100
151005,48,21,94
151006,36,20,100
151008,78,32,110
151010,42,17,89
151011,42,17,89
151012,84,31,100
151013,132,35,111
151014,36,20,100
151015,108,30,94
151016,78,32,110
151017,36,12,82
151018,132,35,111
151019,120,34,107
151020,132,35,111
151021,108,33,103
151022,132,34,103
151023,120,34,107
151024,132,34,103
151025,132,34,103
151026,120,35,114
151027,60,30,114
151028,66,30,109
151029,54,26,103
151030,66,32,118
151031,96,34,116
151032,96,29,93
151033,120,31,95
151034,132,33,99
151035,54,15,77
151036,96,31,98
151037,96,34,116
151038,108,33,103
151039,120,35,114
151040,132,35,111
151041,36,12,82
151042,84,30,97
151043,84,32,106
151044,84,27,91
151045,36,12,82
151046,84,30,97
151047,96,24,82
151048,120,31,95
151049,96,28,91
151050,24,11,95
151051,108,33,103
151052,84,26,89
151053,84,21,77
151054,108,34,111
151055,120,32,97
151056,96,25,85
151057,84,31,100
151058,84,28,93
151059,84,32,106
151060,96,33,108
154002,42,24,107
154005,84,34,119
154010,120,30,93
154017,132,30,92
154018,120,34,107
154022,132,29,90
154028,108,34,111
154029,108,28,90
154030,132,35,111
154037,72,8,53
154040,84,26,89
154041,60,23,92
154042,42,14,82
154043,28,12,92
154047,120,35,114
154052,54,32,126
154055,66,25,93
154056,108,34,111
154057,132,34,103
154058,108,34,111
154076,132,33,99
154077,108,27,88
154078,84,28,93
154079,132,35,111
154080,120,34,107
154081,108,32,99
154959,78,34,122
201001,66,25,93
201002,54,30,118
201003,66,29,104
201004,66,31,114
201007,72,28,97
201008,72,33,119
201009,78,33,116
201010,78,33,116
201011,66,12,64
201012,72,34,125
201013,66,27,98
201014,72,31,109
201015,66,34,127
201016,78,21,79
201017,60,30,114
201018,60,33,126
201019,60,33,126
201020,54,33,129
201021,60,33,126
201022,72,33,119
201024,78,13,62
201028,72,22,84
201029,60,30,114
201039,66,32,118
201040,66,26,95
201044,66,29,104
201045,72,19,77
201051,66,28,100
201052,42,15,85
201053,66,25,93
201055,66,32,118
201056,60,25,96
202001,132,34,103
202002,108,34,111
202003,48,25,105
202004,108,32,99
202005,66,34,127
202006,54,30,118
202008,96,34,116
202009,42,28,120
202012,132,29,90
202014,42,6,64
202015,78,26,91
202017,120,27,86
202018,48,14,78
202021,54,30,118
202022,28,18,106
202024,24,27,135
202026,48,29,119
202027,78,31,104
202028,42,28,120
202029,60,17,78
202031,60,31,118
202032,42,25,110
202035,28,17,104
202037,42,33,136
202038,42,29,123
202039,78,33,116
202042,42,26,113
202043,32,26,123
202044,36,25,115
202047,48,22,96
202048,96,31,98
202049,42,30,126
202050,96,31,98
202051,96,31,98
202052,78,31,104
202055,32,23,115
202056,54,28,110
202058,48,19,90
202060,48,20,92
202061,48,20,92
202062,42,27,117
202066,42,20,96
202067,54,30,118
202068,28,29,136
202071,54,31,122
202073,72,31,109
202076,120,34,107
202077,96,15,62
202081,24,14,102
202082,108,33,103
202083,132,35,111
202085,132,29,90
202087,42,21,98
202088,48,31,126
202089,78,33,116
202090,72,32,114
202091,96,33,108
202092,42,30,126
202093,60,28,105
202094,120,32,97
202095,28,11,90
202096,96,33,108
202097,84,28,93
202098,108,35,119
202099,132,34,103
202101,48,32,129
202103,66,33,123
202105,24,15,105
202106,60,33,126
202107,132,35,111
202109,132,35,111
202110,132,33,99
206001,42,14,82
206005,84,26,89
206007,84,30,97
206008,84,18,71
206009,84,27,91
206010,84,33,112
206011,84,33,112
206013,84,34,119
206016,96,26,87
206017,84,24,84
206020,78,31,104
206024,84,14,62
207001,72,30,104
207004,96,35,124
207007,84,24,84
207009,120,30,93
207010,48,19,90
207013,24,15,105
207015,24,13,100
207017,120,35,114
207018,96,31,98
207021,60,28,105
207024,84,30,97
208001,54,24,97
208002,54,23,95
208003,54,26,103
208004,48,12,74
208005,48,26,108
208006,66,32,118
208007,60,25,96
208008,54,26,103
211002,60,33,126
211003,120,35,114
211004,132,32,96
211005,108,33,103
211006,54,32,126
211007,42,21,98
211008,132,35,111
211009,78,30,99
211012,24,14,102
211014,28,22,117
211020,108,28,90
215001,84,27,91
215002,48,30,122
215004,84,34,119
215005,120,29,91
216001,84,35,126
216009,84,34,119
216013,132,34,103
216016,96,30,96
216017,84,33,112
218003,66,34,127
218004,36,25,115
218007,24,18,112
218009,72,31,109
219001,78,33,116
219002,108,32,99
219003,54,28,110
219004,84,31,100
219005,84,33,112
219006,96,32,100
219007,72,29,100
219008,120,32,97
219009,96,24,82
219010,66,21,84
220001,108,30,94
220002,78,32,110
220003,42,23,104
220004,24,10,93
220005,132,34,103
220007,54,31,122
220008,108,32,99
220009,84,27,91
220011,66,26,95
220012,60,23,92
220013,66,21,84
220014,60,31,118
220015,60,31,118
220016,48,24,101
220017,66,31,114
220018,78,14,64
220020,78,29,97
220021,24,21,120
220022,24,15,105
220023,54,26,103
220028,96,31,98
220030,132,32,96
220031,132,33,99
220032,120,31,95
220034,132,33,99
220036,120,32,97
221001,36,21,103
221004,28,18,106
221005,72,31,109
221006,72,28,97
221007,32,15,94
221008,72,33,119
221009,72,33,119
221012,72,33,119
223001,42,20,96
223002,24,17,110
223004,72,21,82
223005,96,25,85
223006,36,17,93
223007,24,14,102
223008,96,21,76
223009,108,32,99
223010,28,10,87
224001,96,34,116
224002,78,33,116
224003,66,27,98
224004,32,16,96
224005,96,33,108
224006,72,33,119
224007,48,30,122
224008,28,15,99
224009,72,33,119
224010,96,34,116
224011,36,17,93
224012,36,15,89
224013,60,28,105
224014,60,29,110
224015,48,17,85
224016,42,17,89
224017,60,33,126
224018,48,18,87
224019,72,30,104
224020,66,32,118
227002,32,15,94
227003,66,31,114
227007,28,14,96
227010,28,14,96
227012,28,10,87
227014,24,15,105
227018,32,14,91
302001,96,35,124
302002,108,33,103
302005,78,28,95
302006,84,34,119
302007,120,35,114
302008,96,31,98
302009,78,31,104
302010,204,35,106
302011,132,34,103
501001,60,18,80
501002,48,21,94
501003,84,17,69
501006,48,18,87
501009,132,32,96
501021,72,34,125
501029,60,26,98
501032,48,23,99
503001,66,17,75
505005,60,29,110
505015,156,30,91
505016,66,19,80
505021,132,29,90
505024,42,30,126
505035,48,13,76
505036,54,3,50
505037,54,4,52
505038,42,8,69
505039,42,3,58
505040,60,16,76
506001,54,5,55
506003,78,17,70
506004,96,24,82
506005,72,20,79
506008,120,20,71
506009,84,25,86
506011,42,12,78
506014,54,22,93
506015,78,12,59
506016,42,6,64
506022,78,19,75
507005,54,14,75
508001,60,19,83
508002,60,23,92
508005,156,24,78
508007,204,32,95
508008,42,27,117
508009,72,14,66
508010,72,12,62
508011,66,19,80
508013,54,14,75
508014,120,18,66
508015,42,9,71
508016,108,24,81
508017,156,34,100
508019,36,7,71
508021,36,10,78
508022,42,10,73
508023,84,16,66
508024,84,17,69
508025,84,15,64
508026,120,31,95
508027,54,14,75
508028,96,12,56
508029,156,34,100
508030,132,11,50
508031,60,13,69
508032,54,8,61
508033,48,8,65
508034,84,34,119
510001,96,31,98
510004,72,18,75
510005,108,23,79
510007,132,31,94
510008,120,26,84
510009,156,33,98
510010,132,22,74
510014,132,26,83
510016,156,34,100
517001,78,23,84
517003,54,2,48
517004,108,34,111
517005,132,31,94
517007,156,27,85
517009,120,31,95
517010,156,29,89
517011,84,25,86
517012,96,24,82
517013,60,16,76
517017,84,25,86
517018,42,16,87
517020,78,25,88
517021,120,33,100
517022,156,34,100
517023,66,26,95
517024,156,33,98
517026,96,23,80
517028,66,23,89
526003,48,15,81
527002,132,9,46
527004,108,18,68
527005,24,11,95
529001,72,10,57
529008,96,32,100
529015,96,28,91
529018,204,33,97
529020,204,20,69
529021,204,35,106
529022,132,33,99
529023,132,35,111
529024,204,35,106
529025,72,19,77
529026,66,18,78
529029,66,14,69
600001,132,25,81
600003,156,33,98
600006,96,18,69
600007,120,23,77
600008,120,19,69
600009,108,17,65
600010,108,18,68
601002,156,33,98
601007,156,27,85
601011,204,26,82
602001,120,17,64
602002,60,21,87
602003,66,16,73
602004,66,13,66
602005,84,15,64
602006,78,18,73
602007,72,21,82
602008,78,18,73
605002,96,11,54
605003,96,23,80
607004,78,25,88
608001,42,20,96
608002,54,21,90
608003,60,29,110
608004,78,28,95
608005,36,20,100
608006,28,11,90
608007,60,27,101
608008,132,24,79
608009,42,20,96
608010,42,22,100
608011,66,24,91
608012,78,23,84
608013,32,10,82
608014,66,22,87
609003,54,13,73
612001,60,33,126
612002,54,29,114
612003,36,12,82
612004,24,13,100
612005,28,11,90
612006,28,15,99
612007,120,16,62
612008,108,20,72
612009,24,8,88
612010,28,8,83
612012,96,30,96
612013,108,22,76
612014,120,28,89
612017,84,21,77
701004,132,21,72
705002,78,16,68
