ID,agestrat,COGscoreP,COGscoreP_SS
109043,84,40,132
109044,156,42,102
109045,156,41,98
109059,14,7,91
109060,48,27,120
109061,96,41,125
109062,156,42,102
109064,72,26,84
109065,96,39,118
109066,48,21,87
109087,32,17,92
116001,24,20,126
116002,36,15,78
116003,36,13,70
116004,36,21,101
116005,22,8,75
116006,32,16,88
116007,14,10,112
116008,42,24,114
116009,14,6,82
116010,28,14,87
116011,132,42,104
116012,0,8,129
116013,10,7,107
116014,28,13,83
116015,132,42,104
116016,132,42,104
116017,42,24,114
116018,12,7,101
116019,20,13,105
116020,32,26,147
116021,132,42,104
116022,132,42,104
116023,156,42,102
116024,108,38,102
116025,66,33,123
116026,32,13,76
116027,28,14,87
116028,6,5,104
116029,156,41,98
116030,204,42,100
116031,12,7,101
116032,156,42,102
116033,12,7,101
116034,156,42,102
116035,156,42,102
116036,66,36,142
116037,132,42,104
116038,8,7,112
116040,132,40,98
118001,66,31,111
118002,32,19,100
118003,156,42,102
118004,132,42,104
118005,2,4,106
118006,48,27,120
118007,156,42,102
118008,132,41,99
118009,42,19,86
118010,120,42,112
118011,78,38,132
118012,66,33,123
118014,4,6,112
118015,2,3,101
118016,96,40,122
118017,66,36,142
118018,36,16,81
118019,2,4,106
120009,156,42,102
120010,204,42,100
120011,36,22,110
120012,54,30,127
120013,10,5,91
120014,16,10,105
120015,42,22,100
120016,32,16,88
120017,48,36,160
120018,60,35,146
120019,84,41,135
120020,84,37,116
120022,18,6,73
120023,78,37,126
120024,108,40,112
120025,132,40,98
120026,18,10,97
120027,72,33,112
120028,108,42,121
120029,48,22,93
120030,72,33,112
120031,60,22,78
120032,60,27,99
120033,66,26,89
120034,20,11,95
120035,60,26,95
120037,10,7,107
120038,72,37,137
120041,0,2,103
120042,54,21,81
120043,108,41,115
120044,108,41,115
120045,132,42,104
120046,96,42,131
120047,132,42,104
120048,28,13,83
120049,54,28,115
120050,72,38,143
120051,108,42,121
120052,32,19,100
120053,60,26,95
120055,60,32,128
120057,84,35,103
120058,108,37,98
120063,6,5,104
120064,48,22,93
120065,72,30,97
120066,132,42,104
120069,8,5,98
120070,78,26,78
120071,120,40,103
120072,132,40,98
127001,18,12,108
127002,132,42,104
127003,2,5,109
127004,78,40,142
127005,6,5,104
127006,36,26,136
127007,54,30,127
127008,14,11,117
127010,0,6,121
127011,66,32,117
127012,18,11,102
127013,12,11,123
127014,42,25,120
127015,48,27,120
127016,66,34,129
127017,42,22,100
127018,4,4,102
127019,24,15,98
127020,32,18,96
127021,24,14,94
127022,84,42,141
127023,120,41,106
127024,54,31,133
127025,20,13,105
127026,6,4,99
127027,24,13,90
127028,42,24,114
127029,66,31,111
127030,10,6,101
127031,48,25,109
127032,42,20,90
127033,78,38,132
127034,132,41,99
127035,84,40,132
127036,10,6,101
127037,10,7,107
127038,24,15,98
127039,2,5,109
127040,14,12,123
127041,6,5,104
127042,0,2,103
136001,132,42,104
136002,6,5,104
136003,14,11,117
136004,132,42,104
136005,120,42,112
136008,8,6,106
136011,60,33,134
136012,2,3,101
136013,4,5,107
136014,0,12,149
136015,28,16,95
136016,28,15,91
136017,28,15,91
136019,24,12,85
136020,8,3,84
136021,4,5,107
136022,12,7,101
136023,24,16,103
136024,6,5,104
136025,8,6,106
136026,66,35,135
136030,16,13,121
138001,132,42,104
138003,108,40,112
138004,84,38,122
138005,96,40,122
138007,120,42,112
138008,78,33,101
138009,54,22,86
138010,132,42,104
138011,28,20,116
138012,132,42,104
138013,108,42,121
138014,2,3,101
138015,4,5,107
138016,120,41,106
138017,96,41,125
138018,12,7,101
148001,84,32,92
148002,132,41,99
148003,66,26,89
148004,18,13,114
148005,48,30,138
148006,132,42,104
148007,108,40,112
148008,96,30,81
148009,132,42,104
148012,78,39,139
148013,84,33,95
148015,132,42,104
148016,48,20,83
148017,60,31,122
148018,28,19,111
148020,14,11,117
148021,48,28,126
148022,108,37,98
148023,78,35,114
148024,42,22,100
148025,96,39,118
148026,78,33,101
148027,132,42,104
148028,60,24,89
148029,72,24,75
148030,84,32,92
148031,108,41,115
148032,18,13,114
154001,204,42,100
154002,42,23,108
154003,10,6,101
154004,204,42,100
154005,84,42,141
154006, ,5, 
154007,204,42,100
154008,204,42,100
154010,120,42,112
154011,204,42,100
154012,204,42,100
154013,204,42,100
154014,204,42,100
154015,204,42,100
154016,204,42,100
154017,132,39,96
154018,120,42,112
154019,204,42,100
154020,204,41,97
154021,132,42,104
154022,132,40,98
154023,204,41,97
154024,84,41,135
154025,132,42,104
154026,204,42,100
154027,204,42,100
154028,108,40,112
154052,54,37,160
202001,132,42,104
202006,54,27,109
202008,96,41,125
202009,42,24,114
202010,4,5,107
202011,8,6,106
202012,132,40,98
202020,6,5,104
202021,54,22,86
202022,28,13,83
202023,8,5,98
202024,24,15,98
202025,6,5,104
202026,48,25,109
202027,78,35,114
202028,42,21,94
202031,60,31,122
202039,78,39,139
202042,42,23,108
202043,32,21,112
202044,36,21,101
202045,20,14,111
202046,16,12,116
202047,48,23,98
202048,96,42,131
202049,42,27,131
202050,96,41,125
202051,96,40,122
202052,78,42,151
202054,6,6,110
202055,32,24,135
202056,54,35,157
202057,18,16,130
202059,18,7,78
202060,48,19,80
202061,48,20,83
202062,42,21,94
202063,20,11,95
202064,0,3,107
202065,14,7,91
202066,42,19,86
202067,54,26,103
202068,28,10,71
202069,24,16,103
202071,54,27,109
202072,10,7,107
202073,72,33,112
202074,18,10,97
202075,8,5,98
202076,120,42,112
202077,96,36,100
202078,12,5,84
202079,24,6,60
202080,36,11,62
202081,24,12,85
202082,108,36,95
202083,132,39,96
202085,132,40,98
202086,12,5,84
202087,42,12,60
202088,48,35,160
202089,78,42,151
202090,72,35,125
202091,96,42,131
202092,42,21,94
202093,60,21,73
202094,120,42,112
202095,28,9,66
202096,96,39,118
202097,84,36,109
211019,132,42,104
302001,96,42,131
302002,108,42,121
302010,204,42,100
302011,132,42,104
506003,78,24,69
506008,120,42,112
506009,84,31,89
506014,54,16,61
506015,72,14,40
506016,42,14,68
506022,78,23,66
508001,60,21,73
508002,60,20,70
508005,156,41,98
508007,204,37,87
508008,42,20,90
508009,72,29,94
508010,72,33,112
508011,66,30,105
508013,54,10,41
508016,108,38,102
508017,156,42,102
508019,36,8,51
508021,36,10,58
508022,36,7,47
508024,84,32,92
508026,120,37,94
508027,60,13,44
508029,156,42,102
508033,48,11,51
508034,84,40,132
517001,78,23,66
517017,84,24,65
517018,42,14,68
517021,120,42,112
517023,66,35,135
517026,96,39,118
517028,66,21,66
527001,36,7,47
527004,108,27,66
529001,72,33,112
529008,96,39,118
529015,96,36,100
529018,204,42,100
529020,204,42,100
529021,204,42,100
529022,132,40,98
529023,132,41,99
529024,204,42,100
529025,72,30,97
529026,66,33,123
529029,66,16,50
601002,156,36,86
601011,204,41,97
602005,84,28,80
602006,78,25,73
602007,72,24,75
605002,96,21,49
607004,78,42,151
607005,60,27,99
608001,42,21,94
608002,48,23,98
608003,54,29,121
608004,78,31,94
608005,36,23,119
608006,28,10,71
608007,54,29,121
608008,132,40,98
608009,42,23,108
608010,42,19,86
608011,66,27,93
608012,78,25,73
608013,32,13,76
612001,60,34,140
612002,54,26,103
612005,28,14,87
612006,28,14,87
612007,120,25,57
612008,108,38,102
612009,24,11,81
612010,28,12,79
612012,96,37,106
612013,108,36,95
612014,120,40,103
612017,78,34,108
