ID,agestrat,COMscore,COM_SS
110001,16,15,117
110002,12,10,105
110003,6,5,103
110004,96,31,103
110005,132,34,114
110006,84,30,101
110007,72,32,129
110008,78,28,96
110009,14,16,132
110010,12,9,99
111001,84,31,109
111002,42,26,121
111003,120,32,101
111004,36,23,108
111005,2,3,111
111006,78,30,107
111007,132,32,98
111008,14,13,114
111009,60,29,120
111010,42,27,128
111011,108,33,114
111012,36,26,129
111013,10,4,81
111014,120,33,110
111015,156,34,110
111016,204,34,100
111017,14,11,102
111018,156,34,110
111019,42,23,100
111020,42,20,87
111021,108,30,95
111022,36,22,101
111023,24,12,73
111024,42,25,114
111025,132,34,114
111026,156,34,110
111027,16,15,117
111028,48,28,128
111029,60,22,83
111030,48,25,106
111031,18,19,133
111032,60,28,113
111033,156,32,97
111034,132,32,98
111035,120,33,110
111036,132,33,105
111037,20,16,105
111038,54,28,120
111039,4,3,101
111040,204,34,100
111041,156,34,110
111042,132,32,98
111043,120,32,101
111044,72,28,99
111045,20,16,105
111046,4,1,90
111047,28,18,94
111048,10,5,86
111049,48,28,128
111050,16,12,99
111051,22,16,97
111052,60,27,105
111053,8,7,106
111054,32,21,103
111055,32,24,123
112001,32,26,137
112002,72,23,80
112003,84,24,78
112004,36,19,88
112005,204,34,100
112006,78,28,96
112007,66,27,99
112008,28,25,138
112009,36,23,108
112010,24,12,73
112011,24,25,147
112012,48,27,120
112013,132,33,105
112014,204,34,100
112015,204,33,99
112016,204,34,100
112017,96,25,78
112018,84,26,85
112019,204,34,100
112020,84,22,70
112021,36,24,115
112022,48,29,135
112023,54,29,128
112024,36,29,150
112025,32,22,110
112026,32,12,62
112027,156,34,110
112028,204,34,100
112029,156,34,110
112030,132,30,89
112031,66,26,95
112032,72,26,91
112033,84,24,78
112034,78,21,69
112035,120,27,78
112036,96,29,94
112037,204,34,100
112038,78,23,77
112039,156,34,110
112040,96,24,73
112041,120,27,78
112042,84,23,74
112043,156,34,110
112044,108,25,74
112045,108,27,81
112046,108,30,95
112047,96,28,90
112048,204,34,100
112049,204,34,100
112050,84,24,78
112051,84,22,70
112052,84,25,81
112053,132,32,98
112054,204,34,100
112055,156,34,110
112056,120,31,97
112057,204,34,100
112058,204,34,100
112059,204,34,100
112060,204,34,100
112061,204,34,100
112062,156,34,110
112063,204,34,100
112064,204,34,100
112065,204,34,100
112066,204,34,100
112067,132,34,114
112068,96,26,81
112069,132,31,95
112070,84,24,78
112071,120,26,75
112072,156,34,110
112073,204,34,100
112074,204,34,100
112075,156,34,110
113001,204,29,79
113002,156,33,101
113003,204,34,100
113004,108,34,123
113005,84,31,109
113006,60,24,91
113007,66,31,128
113008,96,31,103
113009,78,29,100
113010,48,25,106
113012,22,17,103
113013,108,24,70
113014,72,28,99
114001,54,24,95
114002,72,29,106
114003,132,32,98
114004,54,27,113
114005,4,2,96
114006,60,30,128
114007,54,28,120
114008,54,23,91
114009,54,28,120
114010,54,28,120
114011,2,2,105
114012,54,29,128
114013,28,25,138
114014,54,31,142
114015,54,28,120
114016,78,28,96
114017,78,30,107
114018,54,29,128
114020,24,21,120
114022,60,27,105
114023,84,32,117
115001,48,22,91
115002,84,30,101
115003,132,34,114
115004,156,34,110
115005,156,32,97
115006,32,20,97
115007,60,27,105
115008,132,31,95
115009,84,30,101
115010,4,3,101
115011,24,21,120
115012,156,34,110
115013,156,34,110
115014,204,34,100
115015,48,23,95
115029,60,30,128
115030,108,31,99
115031,36,24,115
115032,120,31,97
115033,60,31,135
115034,84,31,109
115035,108,29,89
115036,120,31,97
115037,42,18,79
115038,156,34,110
115039,156,34,110
115040,12,10,105
115041,156,34,110
115042,156,34,110
115043,78,29,100
115044,120,32,101
115045,156,32,97
115046,24,18,100
115047,42,25,114
115048,84,31,109
115049,108,31,99
115050,120,28,82
115116,14,9,91
115117,32,16,80
115118,42,23,100
115119,28,20,105
115120,54,28,120
115121,72,28,99
115122,108,33,114
115123,132,32,98
115124,156,33,101
115125,204,33,99
115126,60,31,135
115127,96,34,128
115128,120,34,118
116001,24,20,113
116002,36,20,92
116003,36,20,92
116004,36,21,96
116005,22,14,88
116006,32,22,110
116007,14,15,126
116008,42,21,91
116009,14,9,91
116010,28,18,94
116011,132,33,105
116012,12,11,111
116013,10,12,126
116014,28,18,94
116015,132,33,105
116016,132,34,114
116017,42,22,96
116018,12,10,105
116019,20,10,75
116020,32,24,123
116021,132,34,114
116022,132,34,114
116023,156,34,110
116024,108,31,99
116025,66,29,113
116026,32,12,62
116027,28,19,99
116028,6,0,76
116029,156,34,110
116030,204,34,100
116031,12,8,94
116032,156,34,110
116033,12,9,99
116034,156,34,110
116035,156,34,110
116036,66,28,106
116037,132,34,114
116038,8,4,89
116040,132,34,114
116041,108,31,99
116042,132,34,114
116043,72,22,76
116044,132,34,114
116045,132,34,114
116046,120,31,97
116047,204,34,100
116048,132,33,105
116049,28,20,105
116050,32,21,103
116051,132,34,114
116052,204,34,100
116053,204,34,100
116054,132,34,114
116055,28,20,105
116056,32,20,97
116057,132,34,114
116058,120,34,118
116059,132,34,114
116060,132,34,114
116061,120,33,110
116062,24,20,113
116063,24,18,100
116064,204,34,100
116065,204,34,100
116069,132,34,114
116071,132,34,114
116072,132,34,114
116073,32,20,97
116074,204,34,100
116075,204,34,100
116076,204,34,100
116077,132,34,114
116078,132,34,114
116079,28,19,99
116080,32,19,93
117001,32,16,80
117002,66,30,121
117003,120,32,101
117004,24,23,133
117005,120,34,118
117006,66,29,113
117007,132,32,98
117008,10,7,97
117009,42,28,135
117010,10,8,102
117011,6,5,103
117012,36,19,88
117013,24,16,91
117014,54,26,105
117015,28,20,105
117016,24,19,107
117017,4,1,90
117018,4,4,107
117019,4,1,90
117020,6,8,121
117021,10,10,114
117022,54,28,120
117023,54,28,120
117024,48,24,99
117025,4,3,101
117026,22,17,103
117027,4,2,96
117028,28,23,125
117029,48,26,113
117030,36,26,129
117031,14,12,108
117032,132,34,114
117033,4,3,101
117034,132,30,89
117035,108,30,95
117036,78,27,92
117037,66,25,91
117038,108,32,106
117040,8,7,106
117041,84,29,97
117042,36,23,108
117043,66,27,99
117044,8,8,112
117045,32,27,144
117046,0,0,95
117047,0,0,95
117048,96,30,98
117049,78,29,100
117050,132,31,95
117053,8,9,118
117054,84,28,93
117055,36,24,115
117056,18,14,102
117059,22,14,88
117060,8,5,95
117061,72,29,106
117062,42,26,121
117063,10,9,108
117064,60,27,105
117065,36,21,96
118001,66,28,106
118002,32,21,103
118003,156,34,110
118004,132,33,105
118005,2,2,105
118006,48,23,95
118007,156,34,110
118008,132,34,114
118009,42,19,83
118010,120,32,101
118011,78,30,107
118012,66,30,121
118015,2,2,105
118016,96,31,103
118017,66,30,121
118018,36,22,101
118019,2,1,97
119001,36,27,136
119002,132,32,98
119003,132,32,98
119004,108,32,106
119005,18,14,102
119006,12,9,99
119007,96,32,111
119008,36,26,129
119009,78,30,107
119010,10,11,120
119011,84,31,109
119012,108,32,106
119013,132,32,98
119014,96,32,111
119015,78,31,115
119016,84,30,101
119017,132,32,98
119018,96,31,103
119019,84,27,89
119020,60,26,99
119021,96,33,120
119022,2,3,111
119023,2,3,111
120009,156,34,110
120010,204,34,100
120011,36,22,101
120012,54,27,113
120013,12,6,84
120014,16,14,111
120015,42,24,107
120016,28,21,111
120017,48,27,120
120018,60,28,113
120020,84,31,109
120021,132,34,114
120022,20,9,71
120023,78,29,100
120024,108,28,84
120025,132,28,80
120026,18,13,96
120027,72,28,99
120028,108,31,99
120029,42,23,100
120030,72,27,95
120031,60,24,91
120032,66,29,113
120037,10,9,108
120038,72,30,114
120041,0,2,109
120042,48,25,106
120043,108,32,106
120044,96,30,98
120045,132,32,98
120046,96,32,111
120047,132,34,114
120048,28,25,138
120049,54,26,105
120050,72,29,106
120051,108,32,106
120052,32,22,110
120053,60,26,99
120056,78,24,80
120057,78,27,92
120058,108,28,84
120059,66,29,113
120061,8,6,100
120062,42,27,128
120063,6,3,92
120064,48,24,99
120065,72,29,106
120066,132,34,114
120067,66,29,113
120069,8,5,95
120070,78,26,88
120071,120,32,101
120072,132,31,95
120073,108,33,114
121001,10,11,120
121002,156,34,110
121003,156,34,110
121005,18,15,108
121006,6,5,103
121007,36,23,108
121009,20,12,85
121010,24,16,91
121011,10,8,102
121012,22,16,97
121013,2,2,105
121014,20,12,85
121015,20,15,99
121016,42,27,128
121017,12,12,117
121018,78,33,131
121019,132,34,114
121020,36,22,101
121022,14,11,102
121023,54,24,95
122001,36,24,115
122002,60,30,128
122003,20,18,118
122004,0,1,102
122005,60,29,120
122006,84,30,101
122007,120,30,93
122008,20,13,90
122010,96,30,98
122011,20,18,118
122012,48,24,99
122013,2,1,97
122015,78,25,84
122016,60,28,113
122017,24,16,91
123001,204,34,100
123002,84,29,97
123003,156,34,110
123004,204,34,100
123005,156,33,101
123006,54,31,142
123007,54,26,105
123008,132,34,114
123009,84,27,89
123010,96,34,128
123011,204,34,100
123012,156,34,110
123013,156,34,110
123014,120,32,101
123015,78,23,77
123016,204,34,100
123017,156,34,110
123018,156,34,110
123019,132,30,89
123020,156,34,110
123021,36,23,108
123022,156,34,110
123023,120,34,118
123024,156,34,110
123025,156,34,110
123026,132,34,114
123027,66,26,95
123028,156,34,110
123029,132,31,95
123030,204,34,100
123031,156,34,110
123032,120,32,101
123033,42,22,96
123034,42,22,96
123035,132,33,105
123036,156,34,110
123037,132,32,98
123038,132,32,98
123039,96,31,103
123040,36,22,101
123041,132,32,98
123042,72,26,91
123043,132,32,98
123044,204,34,100
123045,204,34,100
123046,66,26,95
123047,132,34,114
123048,72,26,91
123049,120,32,101
123050,132,32,98
123051,132,34,114
123052,66,26,95
123053,78,26,88
123054,132,32,98
123055,132,32,98
123056,120,32,101
123057,72,28,99
123058,132,34,114
123059,132,32,98
123060,132,34,114
123061,120,32,101
123062,132,32,98
123063,42,22,96
123064,132,34,114
123065,108,31,99
123066,204,34,100
123067,132,34,114
123068,108,32,106
123069,120,32,101
123070,132,34,114
123071,36,22,101
123072,36,22,101
123073,42,23,100
123074,132,32,98
123075,132,32,98
123076,108,32,106
123077,132,34,114
123078,120,32,101
123079,54,25,99
123080,96,31,103
125001,108,31,99
125002,48,25,106
125003,48,25,106
125004,54,24,95
125005,60,26,99
125006,54,29,128
125007,60,29,120
125008,60,28,113
125009,54,28,120
125010,60,29,120
125011,66,30,121
125012,60,24,91
125013,60,27,105
125014,60,26,99
125015,54,26,105
125016,66,29,113
125017,72,29,106
125018,54,30,135
125019,60,26,99
125020,84,29,97
125021,60,27,105
125022,60,25,95
125023,60,24,91
125024,60,31,135
125025,0,1,102
125026,28,18,94
125027,14,10,96
125028,72,30,114
125029,10,8,102
125030,18,12,92
125031,60,28,113
125032,78,30,107
125033,60,27,105
125034,72,29,106
125035,20,16,105
125036,14,10,96
125037,72,31,122
125038,22,17,103
125039,2,3,111
125040,32,23,117
125041,14,10,96
125043,10,6,92
125044,10,6,92
125045,28,16,85
125046,60,24,91
125047,60,30,128
125048,60,27,105
125049,14,13,114
125053,8,4,89
125055,24,18,100
125057,14,8,86
125058,4,3,101
125059,28,23,125
125060,28,25,138
125061,4,4,107
125062,2,1,97
126001,66,29,113
126002,132,33,105
126003,108,32,106
126004,84,32,117
126005,60,25,95
126006,108,31,99
126007,96,28,90
126008,54,24,95
126009,54,27,113
126010,72,29,106
126011,66,28,106
126012,72,31,122
126013,60,27,105
126014,66,29,113
126015,132,34,114
126016,54,28,120
126017,132,33,105
126018,72,28,99
126019,108,33,114
126020,24,17,96
127001,18,14,102
127002,132,34,114
127003,2,4,117
127004,78,30,107
127005,6,7,115
127006,36,26,129
127007,54,28,120
127008,14,15,126
127009,16,14,111
127010,12,8,94
127011,66,25,91
127012,20,13,90
127013,12,10,105
127014,42,26,121
127015,48,27,120
127016,66,29,113
127017,42,25,114
127018,4,3,101
127019,24,18,100
127020,32,24,123
127021,22,17,103
127022,84,31,109
127023,120,32,101
127024,54,27,113
127025,20,17,112
127026,6,1,82
127027,24,13,77
127028,42,25,114
127029,66,29,113
127030,10,7,97
127031,48,29,135
127032,42,26,121
127033,78,32,123
127034,132,34,114
127035,84,30,101
127036,10,10,114
127037,10,12,126
127038,24,17,96
127039,2,4,117
127040,14,14,120
127042,0,2,109
127141,6,3,92
128001,96,32,111
128002,132,32,98
128003,132,31,95
128004,96,32,111
128005,120,32,101
128006,132,34,114
128007,108,34,123
128008,72,31,122
128009,132,34,114
128010,108,32,106
128011,120,32,101
128013,54,29,128
128014,120,32,101
128019,84,34,133
128020,72,31,122
128021,78,30,107
128022,108,32,106
128023,132,33,105
128024,96,32,111
128025,120,31,97
129001,120,34,118
129002,84,30,101
129003,8,4,89
129004,36,22,101
129005,36,22,101
129006,84,30,101
129007,42,24,107
129008,36,23,108
129009,28,23,125
129010,54,25,99
129011,108,32,106
129012,84,30,101
129013,120,33,110
129014,36,23,108
129015,48,24,99
129016,78,29,100
129017,66,27,99
129018,24,19,107
129019,48,29,135
129020,16,11,94
129021,48,26,113
129022,78,28,96
129023,36,27,136
129024,36,24,115
129025,48,26,113
129026,22,21,129
129027,108,31,99
129028,36,20,92
129029,78,26,88
129030,132,34,114
130001,60,27,105
130002,96,30,98
130003,60,29,120
130004,60,25,95
130005,72,30,114
130006,72,31,122
130007,84,30,101
130008,72,31,122
130009,72,31,122
130010,72,27,95
130011,84,30,101
130012,84,30,101
130013,84,30,101
130014,84,30,101
130015,54,29,128
130016,84,31,109
130017,84,26,85
130018,96,32,111
130019,96,32,111
130020,96,31,103
130021,96,32,111
130022,108,31,99
130023,108,34,123
130024,108,33,114
130025,108,33,114
130026,120,34,118
130027,120,34,118
130028,132,34,114
130029,132,33,105
131001,2,1,97
131002,10,8,102
131003,0,1,102
131004,66,28,106
131005,54,22,87
131006,36,18,83
131007,10,6,92
131008,42,21,91
131009,36,25,122
131010,28,18,94
131011,4,4,107
131012,84,31,109
131013,12,13,123
131014,42,24,107
131015,84,30,101
131016,96,31,103
131017,78,28,96
131018,132,32,98
131019,108,28,84
131020,20,12,85
131021,20,15,99
131022,36,21,96
131023,14,11,102
131024,48,29,135
131025,16,14,111
131026,0,0,95
131027,10,10,114
131028,96,31,103
131029,66,30,121
131030,12,11,111
131031,10,11,120
131032,10,11,120
131033,204,34,100
131034,36,22,101
131035,2,2,105
131036,22,19,116
131037,0,1,102
131038,4,3,101
131040,96,31,103
131041,42,26,121
131042,48,27,120
131043,42,26,121
131044,10,10,114
131045,2,2,105
131046,108,32,106
131047,84,31,109
131048,14,15,126
131049,0,0,95
131050,4,1,90
131051,14,10,96
131052,14,11,102
131053,6,5,103
131054,4,0,81
131055,42,23,100
131056,96,32,111
131057,72,27,95
131058,42,27,128
131059,84,29,97
131060,12,10,105
132002,6,3,92
132003,120,31,97
132006,78,32,123
132007,48,27,120
132008,22,18,109
132010,108,34,123
132011,32,18,89
132012,10,9,108
132015,72,30,114
132016,132,34,114
132017,132,31,95
132018,96,32,111
132019,54,29,128
132021,84,33,125
132022,96,34,128
132023,54,28,120
132024,132,32,98
132025,108,32,106
132026,108,32,106
132027,48,26,113
132028,16,9,84
132029,108,34,123
132030,42,27,128
133001,78,29,100
133002,120,32,101
133003,84,31,109
133004,42,24,107
133005,66,30,121
133006,96,34,128
133007,132,34,114
133010,24,19,107
133011,120,28,82
133012,84,32,117
133013,54,25,99
133015,78,31,115
133016,48,27,120
133019,96,31,103
133020,96,32,111
133022,32,22,110
133023,8,4,89
133025,96,33,120
133026,72,30,114
133028,108,32,106
133029,96,32,111
133030,78,30,107
134001,132,33,105
134002,132,34,114
134003,96,33,120
134004,96,32,111
134005,96,27,86
134006,84,32,117
134007,72,28,99
134008,132,32,98
134009,132,32,98
134010,96,29,94
134011,96,29,94
134012,96,30,98
134013,96,31,103
134014,96,33,120
134016,72,29,106
134017,72,25,87
134018,72,30,114
134019,78,30,107
134020,132,34,114
134021,132,32,98
134022,66,30,121
134023,96,32,111
134024,96,30,98
134025,96,28,90
134026,84,31,109
134027,22,20,122
134028,22,9,65
134029,22,9,65
134030,20,14,94
134031,24,15,86
134032,12,12,117
134033,28,18,94
134034,96,32,111
134035,72,30,114
134036,24,20,113
134037,24,18,100
134039,108,34,123
134040,22,13,83
134041,32,18,89
134042,24,19,107
134043,14,11,102
134044,108,33,114
134046,32,18,89
134047,10,9,108
135001,96,32,111
135002,36,23,108
135003,120,32,101
135004,66,27,99
135005,14,13,114
135006,54,30,135
135007,54,30,135
135008,78,29,100
135009,66,29,113
135010,96,32,111
135012,72,25,87
135013,42,22,96
135014,6,5,103
135015,96,32,111
135016,204,34,100
135017,132,34,114
135018,204,34,100
135019,66,26,95
135020,132,31,95
135021,120,31,97
135022,10,5,86
135023,132,34,114
135024,120,32,101
135025,204,33,99
135026,84,30,101
135027,60,26,99
135028,32,22,110
135029,24,24,140
135030,4,3,101
136001,132,32,98
136002,6,4,98
136003,14,12,108
136004,132,33,105
136005,120,33,110
136006,60,29,120
136007,96,31,103
136008,8,5,95
136011,60,29,120
136012,2,1,97
136013,4,2,96
136014,12,12,117
136015,28,20,105
136016,28,20,105
136017,28,19,99
136019,24,14,82
136020,8,2,79
136021,6,4,98
136023,24,20,113
136024,6,3,92
136025,8,4,89
136030,16,14,111
137001,132,34,114
137002,108,34,123
137003,66,24,87
137004,36,20,92
137005,120,32,101
137006,84,33,125
137007,28,16,85
137008,48,25,106
137009,66,28,106
137010,36,24,115
137011,28,19,99
137012,54,26,105
137013,4,5,113
137014,12,13,123
137015,60,28,113
137016,0,0,95
137017,72,28,99
137018,48,24,99
137019,28,20,105
137020,96,31,103
137021,54,31,142
137022,16,11,94
137023,32,18,89
137024,4,4,107
137025,14,16,132
137026,66,31,128
137027,96,31,103
137028,72,29,106
137029,108,31,99
137030,78,31,115
137031,32,23,117
137032,84,30,101
137033,108,32,106
137034,48,29,135
137035,108,34,123
137036,66,30,121
137037,96,34,128
137038,72,31,122
137039,54,28,120
137040,72,29,106
137041,36,23,108
137042,10,13,132
137043,84,29,97
137044,18,15,108
137045,36,24,115
137046,18,16,114
137047,0,0,95
137051,66,28,106
137052,0,0,95
138001,132,34,114
138003,108,31,99
138004,84,31,109
138005,96,31,103
138006,204,34,100
138007,120,34,118
138008,78,29,100
138009,54,25,99
138010,132,34,114
138011,28,22,118
138012,132,32,98
138013,108,32,106
138014,2,3,111
138015,4,3,101
138016,120,31,97
138017,96,31,103
138018,12,8,94
138019,6,6,109
138020,12,7,89
138021,24,19,107
139001,8,6,100
139002,22,19,116
139003,48,29,135
139004,42,26,121
139005,18,13,96
139006,22,16,97
139007,16,12,99
139008,18,15,108
139009,48,24,99
139010,24,20,113
139011,6,2,87
139012,24,19,107
139013,42,25,114
139014,10,9,108
139015,42,28,135
139016,14,13,114
139017,10,8,102
139018,48,28,128
139019,32,25,130
139020,60,28,113
139021,48,27,120
139022,28,24,132
141001,14,16,132
141002,20,21,137
141003,16,19,142
141004,18,14,102
141005,14,17,139
141006,18,18,127
141007,22,21,129
141008,24,20,113
141009,20,19,125
141010,20,18,118
141011,22,20,122
141012,20,17,112
141013,24,21,120
141014,14,18,145
141015,18,20,140
141016,16,14,111
141017,16,19,142
141018,16,18,136
141019,14,18,145
141021,18,18,127
141022,22,22,135
141023,20,17,112
141024,22,22,135
141025,20,22,144
141026,28,23,125
141027,24,22,127
141028,32,23,117
141029,32,23,117
141030,28,19,99
141031,36,20,92
141032,36,24,115
141033,36,24,115
141034,42,23,100
141035,32,24,123
141036,42,24,107
141037,36,23,108
141038,42,21,91
141039,36,20,92
141040,42,22,96
141041,42,25,114
141042,42,25,114
141043,42,23,100
141044,54,24,95
141045,48,26,113
141046,54,23,91
141047,54,25,99
141048,48,26,113
141049,54,26,105
142001,22,16,97
142002,14,13,114
142003,22,21,129
142004,24,17,96
142005,24,18,100
142006,20,17,112
142007,10,10,114
142008,32,27,144
142009,0,0,95
142010,2,5,122
142011,8,4,89
142012,6,5,103
142013,32,22,110
142014,16,14,111
142015,16,14,111
142016,6,2,87
142017,32,23,117
142018,42,29,142
142019,6,7,115
142020,14,9,91
142021,16,17,130
142022,36,25,122
142023,60,29,120
142024,8,8,112
142025,20,15,99
142026,24,17,96
142027,4,1,90
142028,54,26,105
142029,36,18,83
142030,8,7,106
143001,132,34,114
143002,108,33,114
143003,48,27,120
143004,84,29,97
143005,84,30,101
143006,96,30,98
143007,72,29,106
143008,78,29,100
143009,60,27,105
143010,54,29,128
143011,32,23,117
143013,72,27,95
143017,60,29,120
143018,96,32,111
143019,132,33,105
143021,132,32,98
143022,132,34,114
143023,96,32,111
143024,32,20,97
143025,120,34,118
146001,0,2,109
146002,10,12,126
148001,84,27,89
148002,132,31,95
148003,66,27,99
148004,20,13,90
148005,54,28,120
148006,132,34,114
148007,108,33,114
148008,96,28,90
148009,132,31,95
148012,84,29,97
148013,84,31,109
148015,132,34,114
148016,48,23,95
148017,60,29,120
148018,28,21,111
148019,72,28,99
148020,14,12,108
148021,48,26,113
148022,108,28,84
148023,84,29,97
148024,42,24,107
148025,96,31,103
148026,78,29,100
148027,132,34,114
148028,60,27,105
148029,72,28,99
148030,84,27,89
148031,108,31,99
148032,20,17,112
151001,156,34,110
151002,120,34,118
151003,108,34,123
151004,156,34,110
151005,48,27,120
151006,36,19,88
151007,48,26,113
151008,78,25,84
151009,108,31,99
151010,42,18,79
151011,42,22,96
151012,84,31,109
151013,132,33,105
151014,36,21,96
151015,108,34,123
151016,78,26,88
151017,36,26,129
151018,132,34,114
151019,120,32,101
151020,132,34,114
151021,108,32,106
151022,132,31,95
151023,120,34,118
151024,132,33,105
151025,120,34,118
151026,120,34,118
151027,60,26,99
151028,66,27,99
151029,48,24,99
151030,66,27,99
151031,96,33,120
151032,96,32,111
151033,120,33,110
151034,120,33,110
151035,54,26,105
151036,96,32,111
151037,96,34,128
