ID,agestrat,SOCscore,SOC_SS
108004,32,18,99
108005,16,10,98
108006,16,9,88
108007,78,36,136
108008,120,36,112
108009,60,35,152
108010,60,35,152
108012,156,35,99
108013,96,32,102
108014,108,35,112
108015,54,27,116
108016,72,31,116
108017,28,12,78
108018,14,10,104
108019,204,35,98
108020,96,31,99
108021,16,8,82
108022,24,11,78
108023,156,33,95
108024,24,13,90
108025,60,29,119
108026,28,17,100
108027,132,29,82
108028,120,35,107
108029,28,18,105
108031,60,12,59
108033,48,27,124
108034,20,13,100
108037,78,25,89
108038,48,20,92
108039,96,33,107
108041,108,34,107
108042,156,33,95
108043,96,33,107
108044,156,35,99
108045,132,35,102
109001,204,32,92
109002,96,33,107
109003,78,29,99
109004,108,33,102
109005,60,30,125
109006,28,12,78
109007,72,25,92
109008,42,12,67
109009,36,18,94
109011,156,36,103
109012,120,36,112
109013,16,11,103
109014,48,20,92
109015,120,33,98
109016,108,31,96
109017,156,36,103
109018,42,25,120
109019,78,35,131
109020,78,32,115
109021,96,34,113
109022,32,25,135
109023,120,35,107
109024,204,36,100
109026,66,29,112
109027,132,35,102
109028,4,8,118
109029,132,31,92
109031,156,28,78
109032,14,11,109
109033,72,32,121
109034,132,36,108
109035,42,31,153
109036,204,36,100
109037,120,31,94
109038,48,16,77
109039,204,36,100
109040,204,36,100
109041,156,36,103
109042,120,36,112
109043,84,35,124
109044,156,34,97
109045,156,33,95
109046,84,25,83
109047,2,4,102
109048,132,35,102
109049,120,27,77
109050,108,35,112
109051,84,32,108
109052,108,29,91
109053,18,12,102
109054,42,20,96
109055,66,34,139
109056,156,29,81
109057,156,32,93
109058,204,34,96
109059,14,9,98
109060,48,27,124
109061,96,36,124
109062,156,36,103
109063,36,18,94
109064,72,31,116
109065,96,35,118
109066,48,20,92
109067,10,10,115
109068,108,35,112
109069,78,35,131
109070,156,35,99
109071,204,36,100
109072,204,27,74
109073,132,29,82
109075,156,36,103
109076,204,34,96
109077,156,36,103
109078,32,20,109
109079,108,32,98
109080,54,23,97
109081,36,25,128
109082,4,3,88
109083,156,36,103
109084,108,33,102
109085,84,34,119
109086,78,29,99
109087,32,14,85
109088,96,30,96
109089,84,34,119
109090,48,28,129
109091,66,31,123
109094,120,35,107
109095,108,33,102
109096,48,29,134
109097,72,34,132
109098,6,4,90
109102,156,35,99
110001,16,13,114
110002,12,11,115
110003,6,8,114
110004,96,31,99
110005,132,34,99
110006,84,33,114
110007,72,33,127
110008,78,28,97
110009,14,9,98
110010,12,10,110
111001,84,33,114
111002,42,20,96
111003,120,32,96
111004,36,18,94
111005,2,5,106
111006,78,32,115
111007,132,34,99
111008,14,14,125
111009,60,25,99
111010,42,20,96
111011,108,36,118
111012,36,18,94
111013,10,7,99
111014,120,36,112
111015,156,36,103
111016,204,35,98
111017,14,11,109
111018,156,35,99
111019,42,24,115
111020,42,12,67
111021,108,34,107
111022,36,19,97
111023,24,13,90
111024,42,23,110
111025,132,36,108
111026,156,36,103
111027,16,13,114
111028,48,29,134
111029,60,23,91
111030,48,25,113
111031,18,12,102
111032,60,31,130
111033,156,31,90
111034,132,36,108
111035,120,32,96
111036,132,35,102
111037,20,13,100
111038,54,28,121
111039,4,6,108
111040,204,36,100
111041,156,36,103
111042,132,35,102
111043,120,32,96
111044,72,29,105
111045,20,14,106
111046,4,4,96
111047,28,14,89
111048,10,7,99
111049,48,27,124
111050,16,11,103
111051,22,11,87
111052,60,25,99
111053,8,8,110
111054,32,14,85
111055,32,25,135
112001,32,21,114
112002,72,23,83
112003,84,24,80
112004,36,14,80
112005,204,34,96
112006,78,33,120
112007,66,28,107
112008,28,23,132
112009,36,18,94
112010,24,15,98
112011,24,28,160
112012,48,27,124
112013,132,32,94
112014,204,33,94
112015,204,32,92
112016,204,36,100
112017,96,21,69
112018,84,23,77
112019,204,34,96
112020,84,20,70
112021,36,20,101
112022,48,31,145
112023,54,23,97
112024,36,28,144
112025,32,15,88
112026,32,14,85
112027,156,36,103
112028,204,35,98
112029,156,36,103
112030,132,27,76
112031,66,21,79
112032,72,30,111
112033,84,25,83
112034,78,20,73
112035,120,26,75
112036,96,29,94
112037,204,36,100
112038,78,22,79
112039,156,36,103
112040,96,19,65
112041,120,25,72
112042,84,28,94
112043,156,35,99
112044,108,27,83
112045,108,29,91
112046,108,32,98
112047,96,30,96
112048,204,36,100
112049,204,36,100
112050,84,21,72
112051,84,22,74
112052,84,24,80
112053,132,32,94
112054,204,36,100
112055,156,36,103
112056,120,31,94
112057,204,36,100
112058,204,36,100
112059,204,36,100
112060,204,36,100
112061,204,35,98
112062,156,36,103
112063,204,36,100
112064,204,36,100
112065,204,36,100
112066,204,36,100
112067,132,36,108
112068,96,25,78
112069,132,29,82
112070,84,22,74
112071,120,30,90
112072,156,36,103
112073,204,36,100
112074,204,36,100
112075,156,36,103
113001,204,28,77
113002,156,35,99
113003,204,34,96
113004,108,36,118
113005,84,36,130
113006,60,21,81
113007,66,31,123
113008,96,32,102
113009,78,32,115
113010,48,24,107
113012,22,14,99
113013,108,18,60
113014,72,33,127
114001,54,22,94
114002,72,27,97
114003,132,35,102
114004,54,26,111
114005,4,5,102
114006,60,34,146
114007,54,28,121
114008,54,24,100
114009,54,26,111
114010,54,28,121
114011,2,3,97
114012,54,29,127
114013,28,19,111
114014,54,35,159
114015,54,28,121
114016,78,27,94
114017,78,30,104
114018,54,29,127
114020,24,15,98
114022,60,30,125
114023,84,32,108
115001,48,19,89
115002,84,31,103
115003,132,29,82
115004,156,34,97
115005,156,33,95
115006,32,16,92
115007,60,28,114
115008,132,33,96
115009,84,31,103
115010,4,5,102
115011,24,19,118
115012,156,35,99
115013,156,36,103
115014,204,36,100
115015,48,13,67
115029,60,31,130
115030,108,33,102
115031,36,25,128
115032,120,35,107
115033,60,33,141
115034,84,34,119
115035,108,25,75
115036,120,34,102
115037,42,14,74
115038,156,31,90
115039,156,33,95
115040,12,5,77
115041,156,36,103
115042,156,36,103
115043,78,33,120
115044,120,34,102
115045,156,35,99
115046,24,16,102
115047,42,22,104
115048,84,35,124
115049,108,35,112
115050,120,25,72
115116,14,10,104
115117,32,13,77
115118,42,22,104
115119,28,11,74
115120,54,27,116
115121,72,23,83
115122,108,30,94
115123,132,33,96
115124,156,34,97
115125,204,35,98
115126,60,36,157
115127,96,36,124
115128,120,36,112
116001,24,15,98
116002,36,15,84
116003,36,16,87
116004,36,18,94
116005,22,11,87
116006,32,18,99
116007,14,18,147
116008,42,17,84
116009,14,11,109
116010,28,13,82
116011,132,34,99
116012,12,13,126
116013,10,11,121
116014,28,15,93
116015,132,34,99
116016,132,36,108
116017,42,17,84
116018,12,11,115
116019,20,12,96
116020,32,19,103
116021,132,36,108
116022,132,36,108
116023,156,36,103
116024,108,31,96
116025,66,32,128
116026,32,13,77
116027,28,13,82
116028,6,2,75
116029,156,36,103
116030,204,36,100
116031,12,11,115
116032,156,36,103
116033,12,11,115
116034,156,36,103
116035,156,36,103
116036,66,22,81
116037,132,35,102
116038,8,5,87
116040,132,36,108
116041,108,31,96
116042,132,36,108
116043,72,15,63
116044,132,36,108
116045,132,36,108
116046,120,33,98
116047,204,36,100
116048,132,36,108
116049,28,18,105
116050,32,18,99
116051,132,34,99
116052,204,36,100
116053,204,36,100
116054,132,34,99
116055,28,18,105
116056,32,17,95
116057,132,35,102
116058,120,34,102
116059,132,33,96
116060,132,34,99
116061,120,35,107
116062,24,18,113
116063,24,14,94
116064,204,36,100
116065,204,36,100
116069,132,32,94
116071,132,36,108
116072,132,36,108
116073,32,14,85
116074,204,36,100
116075,204,36,100
116076,204,36,100
116077,132,35,102
116078,132,36,108
116079,28,14,89
116080,32,16,92
117001,32,15,88
117002,66,31,123
117003,120,35,107
117004,24,23,140
117005,120,35,107
117006,66,30,118
117007,132,33,96
117008,10,9,110
117009,42,32,158
117010,10,9,110
117011,6,9,120
117012,36,16,87
117013,24,13,90
117014,54,27,116
117015,28,16,96
117016,24,14,94
117017,4,3,88
117018,4,7,113
117019,4,4,96
117020,6,10,125
117021,10,10,115
117022,54,30,132
117023,54,29,127
117024,48,18,84
117025,4,3,88
117026,22,12,91
117027,4,5,102
117028,28,16,96
117029,48,20,92
117030,36,18,94
117031,14,10,104
117032,132,32,94
117033,4,5,102
117034,132,28,80
117035,108,30,94
117036,78,31,109
117037,66,17,68
117038,108,34,107
117040,8,10,120
117041,84,34,119
117042,36,17,91
117043,66,26,98
117044,8,9,115
117045,32,23,125
117046,0,0,77
117047,0,0,77
117048,96,32,102
117049,78,30,104
117050,132,26,74
117053,8,9,115
117054,84,31,103
117055,36,20,101
117056,18,13,107
117059,22,17,115
117060,8,8,110
117061,72,29,105
117062,42,24,115
117063,10,9,110
117064,60,31,130
117065,36,23,117
118001,66,31,123
118002,32,15,88
118003,156,35,99
118004,132,35,102
118005,2,6,111
118006,48,27,124
118007,156,36,103
118008,132,36,108
118009,42,24,115
118010,120,35,107
118011,78,33,120
118012,66,33,134
118015,2,4,102
118016,96,31,99
118017,66,30,118
118018,36,13,74
118019,2,4,102
119001,36,24,123
119002,132,36,108
119003,132,35,102
119004,108,33,102
119005,18,14,112
119006,12,10,110
119007,96,36,124
119008,36,20,101
119009,78,34,125
119010,10,10,115
119011,84,31,103
119012,108,33,102
119013,132,35,102
119014,96,35,118
119015,78,35,131
119016,84,31,103
119017,132,35,102
119018,96,31,99
119019,84,28,94
119020,60,28,114
119021,96,33,107
119022,2,3,97
119023,2,5,106
120009,156,35,99
120010,204,36,100
120011,36,17,91
120012,54,23,97
120013,12,10,110
120014,16,13,114
120015,42,21,99
120016,28,18,105
120017,48,24,107
120018,60,27,109
120020,84,35,124
120021,132,35,102
120022,20,8,72
120023,78,26,92
120024,108,34,107
120025,132,34,99
120026,18,14,112
120027,72,31,116
120028,108,33,102
120029,42,21,99
120030,72,32,121
120031,60,13,61
120032,66,29,112
120037,10,9,110
120038,72,29,105
120041,0,3,100
120042,48,24,107
120043,108,34,107
120044,96,27,85
120045,132,31,92
120046,96,35,118
120047,132,36,108
120048,28,21,121
120049,54,21,89
120050,72,31,116
120051,108,29,91
120052,32,22,119
120053,60,26,103
120056,78,26,92
120057,78,29,99
120058,108,30,94
120059,66,26,98
120061,8,9,115
120062,42,23,110
120063,6,6,103
120064,48,22,98
120065,72,29,105
120066,132,34,99
120067,66,31,123
120069,8,6,96
120070,78,25,89
120071,120,35,107
120072,132,35,102
120073,108,34,107
121001,10,8,104
121002,156,35,99
121003,156,36,103
121005,18,15,118
121006,6,7,109
121007,36,22,112
121009,20,13,100
121010,24,13,90
121011,10,7,99
121012,22,12,91
121013,2,4,102
121014,20,12,96
121015,20,12,96
121016,42,23,110
121017,12,11,115
121018,78,36,136
121019,132,36,108
121020,36,19,97
121022,14,12,115
121023,54,22,94
122001,36,26,133
122002,60,33,141
122003,20,12,96
122004,0,2,94
122005,60,29,119
122006,84,32,108
122007,120,33,98
122008,20,14,106
122010,96,33,107
122011,20,14,106
122012,48,15,73
122013,2,3,97
122015,78,30,104
122016,60,32,136
122017,24,15,98
123001,204,36,100
123002,84,31,103
123003,156,36,103
123004,204,36,100
123005,156,36,103
123006,54,33,148
123007,54,32,143
123008,132,34,99
123009,84,33,114
123010,96,35,118
123011,204,36,100
123012,156,36,103
123013,156,35,99
123014,120,35,107
123015,78,29,99
123016,204,36,100
123017,156,35,99
123018,156,36,103
123019,132,34,99
123020,156,36,103
123021,36,21,106
123022,156,36,103
123023,120,34,102
123024,156,36,103
123025,156,34,97
123026,132,36,108
123027,66,30,118
123028,156,36,103
123029,132,35,102
123030,204,36,100
123031,156,35,99
123032,120,35,107
123033,42,19,93
123034,42,18,90
123035,132,35,102
123036,156,36,103
123037,132,35,102
123038,132,35,102
123039,96,34,113
123040,36,22,112
123041,132,36,108
123042,72,30,111
123043,132,34,99
123044,204,36,100
123045,204,36,100
123046,66,30,118
123047,132,35,102
123048,72,31,116
123049,120,33,98
123050,132,35,102
123051,132,35,102
123052,66,30,118
123053,78,30,104
123054,132,35,102
123055,132,35,102
123056,120,35,107
123057,72,32,121
123058,132,35,102
123059,132,36,108
123060,132,35,102
123061,120,35,107
123062,132,35,102
123063,42,18,90
123064,132,35,102
123065,108,33,102
123066,204,36,100
123067,132,35,102
123068,108,34,107
123069,120,35,107
123070,132,36,108
123071,36,18,94
123072,36,24,123
123073,42,30,147
123074,132,35,102
123075,132,35,102
123076,108,34,107
123077,132,35,102
123078,120,35,107
123079,54,29,127
123080,96,32,102
125001,108,33,102
125002,48,23,102
125003,48,21,95
125004,54,23,97
125005,60,33,141
125006,54,28,121
125007,60,33,141
125008,60,23,91
125009,54,29,127
125010,60,30,125
125011,66,31,123
125012,60,23,91
125013,60,26,103
125014,60,26,103
125015,54,27,116
125016,66,30,118
125017,72,32,121
125018,54,32,143
125019,60,28,114
125020,84,30,99
125021,60,28,114
125022,60,20,79
125023,60,24,96
125024,60,34,146
125025,0,1,86
125026,28,14,89
125027,14,11,109
125028,72,33,127
125029,10,5,82
125030,18,13,107
125031,60,28,114
125032,78,32,115
125033,60,28,114
125034,72,30,111
125035,20,13,100
125036,14,9,98
125037,72,35,138
125038,22,14,99
125039,2,4,102
125040,32,17,95
125041,14,13,120
125043,10,9,110
125044,10,9,110
125045,28,13,82
125046,60,22,84
125047,60,33,141
125048,60,26,103
125049,14,13,120
125053,8,8,110
125055,24,14,94
125057,14,10,104
125058,4,4,96
125059,28,14,89
125060,28,14,89
125061,4,6,108
125062,2,3,97
126001,66,33,134
126002,132,35,102
126003,108,34,107
126004,84,34,119
126005,60,25,99
126006,108,34,107
126007,96,22,72
126008,54,24,100
126009,54,23,97
126010,72,33,127
126011,66,28,107
126012,72,33,127
126013,60,27,109
126014,66,31,123
126015,132,34,99
126016,54,30,132
126017,132,35,102
126018,72,34,132
126019,108,35,112
126020,24,8,67
127001,18,16,123
127002,132,34,99
127003,2,5,106
127004,78,34,125
127005,6,9,120
127006,36,23,117
127007,54,33,148
127008,14,13,120
127009,16,10,98
127010,12,8,96
127011,66,23,85
127012,20,12,96
127013,12,13,126
127014,42,20,96
127015,48,21,95
127016,66,31,123
127017,42,22,104
127018,4,5,102
127019,24,13,90
127020,32,19,103
127021,22,12,91
127022,84,34,119
127023,120,34,102
127024,54,21,89
127025,20,12,96
127026,6,7,109
127027,24,12,83
127028,42,25,120
127029,66,25,95
127030,10,9,110
127031,48,25,113
127032,42,27,131
127033,78,35,131
127034,132,36,108
127035,84,30,99
127036,10,9,110
127037,10,11,121
127038,24,16,102
127039,2,5,106
127040,14,12,115
127042,0,2,94
127141,6,5,96
128001,96,34,113
128002,132,35,102
128003,132,32,94
128004,96,33,107
128005,120,33,98
128006,132,36,108
128007,108,35,112
128008,72,35,138
128009,132,36,108
128010,108,32,98
128011,120,35,107
128013,54,35,159
128014,120,34,102
128019,84,32,108
128020,72,33,127
128021,78,35,131
128022,108,35,112
128023,132,35,102
128024,96,35,118
128025,120,35,107
129001,120,27,77
129002,84,35,124
129003,8,7,104
129004,36,17,91
129005,36,15,84
129006,84,34,119
129007,42,24,115
129008,36,17,91
129009,28,19,111
129010,54,19,82
129011,108,36,118
129012,84,32,108
129013,120,35,107
129014,36,24,123
129015,48,22,98
129016,78,31,109
129017,66,27,102
129018,24,14,94
129019,48,30,140
129020,16,10,98
129021,48,18,84
129022,78,32,115
129023,36,25,128
129024,36,19,97
129025,48,21,95
129026,22,16,109
129027,108,34,107
129028,36,15,84
129029,78,20,73
129030,132,36,108
130001,60,28,114
130002,96,35,118
130003,60,33,141
130004,60,25,99
130005,72,34,132
130006,72,30,111
130007,84,32,108
130008,72,34,132
130009,72,30,111
130010,72,33,127
130011,84,36,130
130012,84,35,124
130013,84,34,119
130014,84,35,124
130015,54,30,132
130016,84,34,119
130017,84,30,99
130018,96,36,124
130019,96,33,107
130020,96,35,118
130021,96,35,118
130022,108,34,107
130023,108,35,112
130024,108,34,107
130025,108,34,107
130026,120,35,107
130027,120,36,112
130028,132,35,102
130029,132,36,108
131001,2,3,97
131002,10,8,104
131003,0,3,100
131004,66,27,102
131005,54,17,76
131006,36,16,87
131007,10,9,110
131008,42,15,77
131009,36,18,94
131010,28,17,100
131011,4,8,118
131012,84,34,119
131013,12,11,115
131014,42,16,80
131015,84,31,103
131016,96,32,102
131017,78,31,109
131018,132,34,99
131019,108,33,102
131020,20,12,96
131021,20,13,100
131022,36,18,94
131023,14,14,125
131024,48,22,98
131025,16,13,114
131026,0,0,77
131027,10,11,121
131028,96,33,107
131029,66,31,123
131030,12,10,110
131031,10,10,115
131032,10,10,115
131033,204,36,100
131034,36,21,106
131035,2,4,102
131036,22,10,79
131037,0,3,100
131038,4,5,102
131040,96,32,102
131041,42,23,110
131042,48,24,107
131043,42,21,99
131044,10,9,110
131045,2,5,106
131046,108,34,107
131047,84,32,108
131048,14,11,109
131049,0,0,77
131050,4,4,96
131051,14,10,104
131052,14,11,109
131053,6,7,109
131054,4,2,81
131055,42,19,93
131056,96,30,96
131057,72,28,100
131058,42,20,96
131059,84,34,119
131060,12,9,104
132002,6,4,90
132003,120,29,84
132006,78,33,120
132007,48,31,145
132008,22,16,109
132010,108,35,112
132011,32,17,95
132012,10,10,115
132015,72,35,138
132016,132,35,102
132017,132,35,102
132018,96,35,118
132019,54,32,143
132021,84,33,114
132022,96,35,118
132023,54,23,97
132024,132,31,92
132025,108,34,107
132026,108,34,107
132027,48,20,92
132028,16,10,98
132029,108,35,112
132030,42,24,115
133001,78,26,92
133002,120,31,94
133003,84,34,119
133004,42,25,120
133005,66,31,123
133006,96,36,124
133007,132,36,108
133010,24,17,107
133011,120,32,96
133012,84,33,114
133013,54,20,84
133015,78,33,120
133016,48,30,140
133019,96,34,113
133020,96,34,113
133022,32,18,99
133023,8,7,104
133025,96,31,99
133026,72,28,100
133028,108,34,107
133029,96,35,118
133030,78,33,120
134001,132,33,96
134002,132,33,96
134003,96,31,99
134004,96,34,113
134005,96,31,99
134006,84,32,108
134007,72,32,121
134008,132,36,108
134009,132,34,99
134010,96,28,91
134011,96,33,107
134012,96,27,85
134013,96,30,96
134014,96,32,102
134016,72,32,121
134017,72,26,95
134018,72,30,111
134019,78,33,120
134020,132,34,99
134021,132,35,102
134022,66,29,112
134023,96,34,113
134024,96,33,107
134025,96,26,81
134026,84,32,108
134027,22,15,104
134028,22,10,79
134029,22,10,79
134030,20,15,111
134031,24,14,94
134032,12,12,120
134033,28,17,100
134034,96,32,102
134035,72,36,143
134036,24,17,107
134037,24,12,83
134039,108,32,98
134040,22,11,87
134041,32,15,88
134042,24,15,98
134043,14,14,125
134044,108,35,112
134046,32,15,88
134047,10,13,131
135001,96,34,113
135002,36,20,101
135003,120,32,96
135004,66,29,112
135005,14,13,120
135006,54,32,143
135007,54,31,138
135008,78,33,120
135009,66,24,90
135010,96,34,113
135012,72,25,92
135013,42,14,74
135014,6,6,103
135015,96,33,107
135016,204,36,100
135017,132,35,102
135018,204,36,100
135019,66,28,107
135020,132,36,108
135021,120,33,98
135022,10,4,76
135023,132,33,96
135024,120,34,102
135025,204,34,96
135026,84,32,108
135027,60,33,141
135028,32,22,119
135029,24,17,107
135030,4,5,102
136001,132,35,102
136002,6,5,96
136003,14,9,98
136004,132,35,102
136005,120,35,107
136006,60,31,130
136007,96,35,118
136008,8,6,96
136011,60,27,109
136012,2,3,97
136013,4,4,96
136014,12,10,110
136015,28,14,89
136016,28,15,93
136017,28,14,89
136019,24,13,90
136020,8,4,81
136021,6,3,82
136023,24,17,107
136024,6,7,109
136025,8,7,104
136030,16,14,119
137001,132,35,102
137002,108,36,118
137003,66,17,68
137004,36,17,91
137005,120,35,107
137006,84,35,124
137007,28,12,78
137008,48,26,118
137009,66,28,107
137010,36,20,101
137011,28,16,96
137012,54,19,82
137013,4,6,108
137014,12,13,126
137015,60,31,130
137016,0,4,106
137017,72,29,105
137018,48,21,95
137019,28,15,93
137020,96,30,96
137021,54,17,76
137022,16,12,108
137023,32,10,67
137024,4,6,108
137025,14,12,115
137026,66,32,128
137027,96,33,107
137028,72,29,105
137029,108,35,112
137030,78,35,131
137031,32,22,119
137032,84,34,119
137033,108,36,118
137034,48,31,145
137035,108,36,118
137036,66,34,139
137037,96,36,124
137038,72,35,138
137039,54,30,132
137040,72,26,95
137041,36,23,117
137042,10,14,137
137043,84,30,99
137044,18,14,112
137045,36,18,94
137046,18,13,107
137047,0,2,94
137051,66,26,98
137052,0,4,106
138001,132,36,108
138003,108,32,98
138004,84,32,108
138005,96,32,102
138006,204,35,98
138007,120,36,112
138008,78,30,104
138009,54,22,94
138010,132,36,108
138011,28,22,127
138012,132,28,80
138013,108,31,96
138014,2,6,111
138015,4,6,108
138016,120,32,96
138017,96,31,99
138018,12,9,104
138019,6,8,114
138020,12,13,126
138021,24,22,134
139001,8,11,126
139002,22,14,99
139003,48,30,140
139004,42,24,115
139005,18,15,118
139006,22,15,104
139007,16,13,114
139008,18,11,97
139009,48,22,98
139010,24,13,90
139011,6,5,96
139012,24,14,94
139013,42,15,77
139014,10,7,99
139015,42,18,90
139016,14,6,78
139017,10,10,115
139018,48,27,124
139019,32,22,119
139020,60,32,136
139021,48,21,95
139022,28,18,105
141001,14,11,109
141002,20,14,106
141003,16,13,114
141004,18,13,107
141005,14,14,125
141006,18,13,107
141007,22,15,104
141008,24,17,107
141009,20,15,111
141010,20,12,96
141011,22,15,104
141012,20,12,96
141013,24,20,123
141014,14,12,115
141015,18,18,134
141016,16,11,103
141017,16,18,141
141018,16,17,135
141019,14,12,115
141021,18,16,123
141022,22,18,120
141023,20,16,116
141024,22,20,131
141025,20,19,132
141026,28,20,116
141027,24,20,123
141028,32,20,109
141029,32,20,109
141030,28,16,96
141031,36,20,101
141032,36,21,106
141033,36,20,101
141034,42,20,96
141035,32,18,99
141036,42,20,96
141037,36,20,101
141038,42,19,93
141039,36,17,91
141040,42,18,90
141041,42,22,104
141042,42,22,104
141043,42,18,90
141044,54,23,97
141045,48,26,118
141046,54,20,84
141047,54,21,89
141048,48,22,98
141049,54,25,105
142001,22,15,104
142002,14,12,115
142003,22,20,131
142004,24,13,90
142005,24,15,98
142006,20,14,106
142007,10,8,104
142008,32,23,125
142009,0,1,86
142010,2,6,111
142011,8,6,96
142012,6,8,114
142013,32,15,88
142014,16,13,114
142015,16,12,108
142016,6,7,109
142017,32,23,125
142018,42,25,120
142019,6,7,109
142020,14,10,104
142021,16,14,119
142022,36,28,144
142023,60,32,136
142024,8,8,110
142025,20,16,116
142026,24,13,90
142027,4,1,73
142028,54,24,100
142029,36,18,94
142030,8,5,87
143001,132,36,108
143002,108,36,118
143003,48,25,113
143004,84,35,124
143005,84,35,124
143006,96,34,113
143007,72,31,116
143008,78,29,99
143009,60,25,99
143010,54,30,132
143011,32,21,114
143013,72,27,97
143017,60,32,136
143018,96,35,118
143019,132,35,102
143021,132,34,99
143022,132,34,99
143023,96,34,113
143024,32,16,92
143025,120,34,102
146001,0,3,100
146002,10,14,137
148001,84,31,103
148002,132,30,88
148003,66,14,60
148004,20,13,100
148005,54,27,116
148006,132,35,102
148007,108,32,98
148008,96,28,91
148009,132,33,96
148012,84,30,99
148013,84,34,119
148015,132,35,102
148016,48,19,89
148017,60,31,130
148018,28,17,100
148019,72,27,97
148020,14,11,109
148021,48,23,102
148022,108,27,83
148023,84,34,119
148024,42,19,93
148025,96,34,113
148026,78,30,104
148027,132,34,99
148028,60,29,119
148029,72,28,100
148030,84,31,103
148031,108,29,91
148032,20,16,116
151001,156,36,103
151002,120,34,102
151003,108,35,112
151004,156,36,103
151005,48,23,102
151006,36,13,74
151007,48,21,95
151008,78,28,97
151009,108,36,118
151010,42,9,57
151011,42,13,70
151012,84,27,91
151013,132,35,102
151014,36,13,74
151015,108,36,118
151016,78,15,61
151017,36,16,87
151018,132,36,108
151019,120,36,112
151020,132,36,108
151021,108,35,112
151022,132,33,96
151023,120,36,112
151024,132,36,108
151025,120,36,112
151026,120,35,107
151027,60,22,84
151028,66,26,98
151029,48,23,102
151030,66,23,85
151031,96,36,124
151032,96,31,99
151033,120,35,107
151034,120,35,107
151035,54,26,111
151036,96,35,118
