ID,agestrat,PHYscore,PHY_SS
117009,42,32,140
117010,10,7,96
117011,6,4,99
117012,36,23,92
117013,24,20,99
117014,54,33,129
117015,28,21,96
117016,24,20,99
117017,4,3,103
117018,4,4,109
117019,4,4,109
117020,6,6,110
117021,10,10,113
117022,54,33,129
117023,54,33,129
117024,48,28,102
117025,4,4,109
117026,22,14,80
117027,4,4,109
117028,28,17,79
117029,48,23,80
117030,36,26,108
117031,14,11,98
117032,132,37,103
117033,4,1,93
117034,132,37,103
117035,108,35,97
117036,78,36,120
117037,66,28,86
117038,108,37,111
117040,8,9,117
117041,84,37,121
117042,36,25,101
117043,66,31,98
117044,8,6,100
117045,32,26,118
117046,0,0,100
117047,0,0,100
117048,96,34,96
117049,78,33,98
117050,132,34,82
117053,8,8,112
117054,84,37,121
117055,36,25,101
117056,18,15,100
117059,22,19,103
117060,8,7,106
117061,72,32,98
117062,42,28,111
117063,10,8,101
117064,60,32,112
117065,36,28,121
118001,66,32,104
118002,32,22,94
118003,156,37,101
118004,132,36,96
118005,2,1,102
118006,48,29,109
118007,156,37,101
118008,132,37,103
118009,42,26,98
118010,120,37,107
118011,78,35,112
118012,66,33,111
118015,2,0,97
118016,96,36,107
118017,66,31,98
118018,36,18,70
118019,2,1,102
119001,36,25,101
119002,132,37,103
119003,132,37,103
119004,108,37,111
119005,18,21,137
119006,12,8,92
119007,96,37,116
119008,36,30,135
119009,78,35,112
119010,10,8,101
119011,84,37,121
119012,108,37,111
119013,132,37,103
119014,96,37,116
119015,78,37,128
119016,84,36,113
119017,132,37,103
119018,96,37,116
119019,84,32,91
119020,60,28,90
119021,96,37,116
119022,2,0,97
119023,2,3,113
120009,156,37,101
120010,204,37,100
120011,36,29,128
120012,54,31,114
120013,12,10,102
120014,16,14,105
120015,42,27,104
120016,28,24,115
120017,48,34,145
120018,60,35,135
120020,84,36,113
120021,132,37,103
120022,20,13,83
120023,78,36,120
120024,108,36,102
120025,132,37,103
120026,18,19,125
120027,72,35,119
120028,108,37,111
120029,42,29,119
120030,72,34,111
120031,60,24,74
120032,66,36,134
120037,10,9,107
120038,72,34,111
120041,0,2,111
120042,48,31,123
120043,108,37,111
120044,96,37,116
120045,132,37,103
120046,96,37,116
120047,132,37,103
120048,28,30,155
120049,54,30,107
120050,72,37,135
120051,108,37,111
120052,32,23,98
120053,60,31,105
120056,78,34,104
120057,78,32,94
120058,108,35,97
120059,66,31,98
120061,8,7,106
120062,42,31,133
120063,6,6,110
120064,48,31,123
120065,72,33,103
120066,132,37,103
120067,66,32,104
120069,8,6,100
120070,78,32,94
120071,120,37,107
120072,132,36,96
120073,108,37,111
121001,10,13,130
121002,156,37,101
121003,156,37,101
121005,18,19,125
121006,6,4,99
121007,36,31,142
121009,20,21,127
121010,24,19,95
121011,10,8,101
121012,22,21,116
121013,2,1,102
121014,20,14,87
121015,20,15,92
121016,42,30,126
121017,12,10,102
121018,78,37,128
121019,132,37,103
121020,36,24,96
121022,14,10,93
121023,54,27,91
122001,36,24,96
122002,60,33,120
122003,20,17,102
122004,0,0,100
122005,60,31,105
122006,84,36,113
122007,120,37,107
122008,20,19,114
122010,96,35,99
122011,20,16,97
122012,48,25,88
122013,2,2,108
122015,78,31,90
122016,60,28,90
122017,24,16,81
123001,204,37,100
123002,84,37,121
123003,156,37,101
123004,204,37,100
123005,156,37,101
123006,54,32,121
123007,54,26,87
123008,132,36,96
123009,84,35,105
123010,96,37,116
123011,204,34,80
123012,156,37,101
123013,156,37,101
123014,120,37,107
123015,78,33,98
123016,204,37,100
123017,156,36,95
123018,156,37,101
123019,132,37,103
123020,156,37,101
123021,36,26,108
123022,156,37,101
123023,120,37,107
123024,156,37,101
123025,156,37,101
123026,132,37,103
123027,66,32,104
123028,156,37,101
123029,132,37,103
123030,204,37,100
123031,156,37,101
123032,120,37,107
123033,42,25,94
123034,42,24,90
123035,132,37,103
123036,156,37,101
123037,132,37,103
123038,132,37,103
123039,96,36,107
123040,36,29,128
123041,132,37,103
123042,72,35,119
123043,132,37,103
123044,204,37,100
123045,204,37,100
123046,66,36,134
123047,132,37,103
123048,72,36,127
123049,120,37,107
123050,132,37,103
123051,132,37,103
123052,66,36,134
123053,78,36,120
123054,132,37,103
123055,132,37,103
123056,120,37,107
123057,72,36,127
123058,132,37,103
123059,132,37,103
123060,132,37,103
123061,120,37,107
123062,132,37,103
123063,42,25,94
123064,132,37,103
123065,108,36,102
123066,204,37,100
123067,132,37,103
123068,108,36,102
123069,120,37,107
123070,132,37,103
123071,36,23,92
123072,36,29,128
123073,42,33,147
123074,132,37,103
123075,132,37,103
123076,108,36,102
123077,132,37,103
