ID,agestrat,PHYscoreT,PHYscoreT_SS
115004,156,34,106
115007,60,27,93
115009,84,33,106
115012,156,34,106
115013,156,33,96
115015,48,17,73
115033,60,30,105
115034,84,31,94
115035,108,32,94
115036,120,34,107
115038,156,34,106
115043,78,33,111
115048,84,34,117
115049,108,33,99
115050,120,28,70
115120,54,25,91
116001,24,26,126
116002,36,28,117
116003,36,30,126
116004,36,28,117
116006,32,26,115
116008,42,30,121
116010,28,21,103
116011,132,34,106
116014,28,20,100
116015,132,34,106
116016,132,34,106
116017,42,30,121
116020,32,32,138
116021,132,34,106
116022,132,34,106
116023,156,34,106
116024,108,34,109
116025,66,32,112
116026,32,18,90
116027,28,19,97
116029,156,34,106
116030,204,34,104
116032,156,34,106
116034,156,34,106
116035,156,34,106
116036,66,33,119
116037,132,34,106
116040,132,34,106
116041,108,34,109
116042,132,34,106
116043,72,31,100
116044,132,34,106
116045,132,34,106
116046,120,34,107
116047,204,34,104
116048,132,34,106
116049,28,21,103
116050,32,20,95
116051,132,34,106
116052,204,34,104
116053,204,34,104
116054,132,34,106
116055,28,20,100
116056,32,20,95
116057,132,34,106
116058,120,34,107
116059,132,34,106
116060,132,34,106
116061,120,34,107
116062,24,20,106
116063,24,20,106
116064,204,34,104
116065,204,34,104
116069,132,34,106
116071,132,34,106
116072,132,34,106
116073,32,20,95
116074,204,34,104
116075,204,34,104
116076,204,34,104
116077,132,34,106
116078,132,34,106
116079,28,20,100
116080,32,20,95
117001,32,21,98
117002,66,30,99
117003,120,34,107
117012,36,18,86
117014,54,29,105
117015,28,17,93
117022,54,32,121
117023,54,30,111
117024,48,28,106
117030,36,25,105
117038,108,34,109
117041,84,34,117
117042,36,27,113
117050,132,24,42
117061,72,27,85
117062,42,25,99
118001,66,30,99
118002,32,22,100
118003,156,34,106
118004,132,34,106
118006,48,30,116
118007,156,34,106
118008,132,34,106
118009,42,27,108
118010,120,33,98
118011,78,33,111
118016,96,34,112
118017,66,32,112
119002,132,33,97
119003,132,34,106
119004,108,34,109
119007,96,34,112
119009,78,32,102
119011,72,34,122
119013,132,34,106
119014,96,33,101
119015,78,34,119
119016,84,33,106
119017,132,32,91
119018,96,33,101
119019,84,33,106
119021,96,34,112
120009,156,34,106
120010,204,34,104
120011,36,22,96
120012,54,29,105
120015,42,28,112
120016,28,27,124
120017,48,20,81
120020,84,34,117
120021,132,34,106
120023,66,34,125
120024,108,34,109
120025,132,34,106
120027,78,31,97
120028,108,28,74
120029,48,27,101
120030,72,29,93
120031,60,28,96
120032,60,29,99
120033,66,22,73
120035,60,21,74
120036,60,30,105
120038,72,33,115
120042,54,25,91
120043,108,27,69
120044,108,34,109
120045,132,34,106
120046,96,34,112
120048,28,21,103
120049,54,20,76
120050,72,34,122
120051,108,33,99
120052,32,19,93
120053,60,29,99
120056,78,31,97
120057,78,32,102
120058,108,33,99
120059,72,27,85
120062,42,29,116
120064,48,31,121
120065,72,29,93
120067,72,30,96
120070,78,31,97
120072,132,33,97
120073,120,34,107
121002,156,33,96
121003,156,34,106
121007,36,29,121
121016,42,26,103
121018,84,31,94
121019,132,34,106
121020,36,23,98
122001,36,22,96
122002,60,32,117
122005,60,31,111
122006,84,33,106
122007,120,34,107
122010,96,32,96
123001,204,34,104
123002,84,33,106
123003,156,34,106
123004,204,34,104
123005,156,34,106
123006,54,26,94
123007,54,12,53
123008,132,34,106
123009,84,33,106
123010,96,34,112
123011,204,34,104
123012,156,34,106
123013,156,34,106
123014,120,34,107
123015,78,33,111
123016,204,34,104
123017,156,34,106
123018,156,34,106
123019,132,34,106
123020,156,34,106
123021,36,26,109
123022,156,34,106
123023,120,34,107
123024,156,34,106
123025,156,34,106
123026,132,34,106
123027,66,30,99
123028,156,34,106
123029,132,34,106
123030,204,34,104
123031,156,34,106
123032,120,34,107
123033,42,26,103
123034,42,25,99
123035,132,34,106
123036,156,34,106
123037,132,34,106
123038,132,34,106
123039,96,33,101
123040,36,30,126
123041,132,34,106
123042,72,33,115
123043,132,34,106
123044,204,34,104
123045,204,34,104
123046,66,33,119
123047,132,34,106
123048,72,33,115
123049,120,34,107
123050,132,34,106
123051,132,34,106
123052,66,33,119
123053,78,33,111
123054,132,34,106
123055,132,34,106
123056,120,34,107
123057,72,33,115
123058,132,34,106
123059,132,34,106
123060,132,34,106
123061,120,34,107
123062,132,34,106
123063,42,26,103
123064,132,34,106
123065,108,34,109
123066,204,34,104
123067,132,34,106
123068,108,34,109
123069,120,34,107
123070,132,34,106
123071,36,24,101
123072,36,26,109
123073,42,32,130
123074,132,34,106
123075,132,34,106
123076,108,34,109
123077,132,34,106
123078,120,34,107
123079,54,33,126
123080,96,33,101
125001,108,33,99
125002,48,26,98
125003,48,26,98
125004,54,28,100
125005,60,31,111
125006,54,26,94
125007,60,28,96
125008,60,31,111
125009,54,26,94
125010,60,31,111
125011,66,30,99
125012,60,26,90
125013,60,29,99
125014,60,24,84
125015,54,24,88
125016,66,33,119
125017,72,33,115
125018,54,31,116
125019,60,33,123
125020,84,34,117
125021,60,26,90
125022,60,25,87
125023,60,31,111
125024,60,31,111
125026,28,23,110
125028,72,25,78
125031,60,31,111
125033,60,31,111
125037,72,33,115
125040,32,21,98
125046,60,31,111
125047,48,32,125
125048,60,32,117
125051,32,22,100
125055,24,18,100
126001,66,33,119
126002,132,34,106
126003,108,34,109
126004,84,33,106
126005,60,33,123
126006,108,32,94
126007,96,34,112
126008,54,28,100
126009,54,27,97
126010,72,33,115
126011,66,25,83
126012,78,33,111
126013,60,31,111
126014,66,32,112
126015,132,30,79
126016,54,31,116
126017,132,34,106
126018,72,33,115
126019,108,34,109
126020,24,18,100
127002,132,34,106
127004,78,34,119
127006,36,24,101
127007,54,32,121
127011,66,26,86
127014,42,29,116
127015,48,27,101
127016,66,34,125
127017,42,29,116
127019,24,25,123
127020,32,29,126
127022,84,29,86
127023,120,33,98
127024,54,30,111
127028,42,28,112
127029,66,31,105
127031,48,31,121
127032,36,33,138
127033,78,33,111
127034,132,34,106
127035,84,34,117
128001,96,34,112
128002,132,34,106
128003,132,34,106
128004,96,34,112
128005,120,33,98
128006,132,34,106
128008,72,32,107
128009,132,34,106
128011,120,34,107
128012,132,34,106
128014,132,32,91
128019,84,34,117
128021,78,33,111
128023,132,34,106
128024,96,34,112
128025,120,34,107
129001,120,34,107
129002,84,32,98
129004,36,22,96
129005,42,23,94
129006,84,31,94
129007,42,19,83
129008,36,22,96
129009,28,22,106
129010,54,30,111
129011,108,34,109
129012,84,34,117
129013,120,34,107
129014,36,25,105
129015,48,25,95
129016,78,33,111
129017,66,29,96
129019,48,27,101
129021,48,24,92
129022,78,33,111
129023,36,30,126
129024,36,27,113
129025,48,27,101
129027,108,34,109
129028,36,24,101
129029,78,31,97
129030,132,34,106
130001,54,33,126
130002,96,34,112
130003,60,32,117
130004,60,32,117
130005,72,32,107
130006,72,34,122
130007,84,34,117
130008,72,32,107
130009,72,32,107
130010,72,33,115
130011,84,34,117
130012,84,33,106
130013,84,34,117
130014,84,33,106
130015,54,31,116
130016,84,34,117
130017,84,34,117
130018,96,34,112
130019,96,34,112
130020,96,34,112
130021,96,34,112
130022,108,34,109
130023,108,34,109
130024,108,34,109
130025,108,34,109
130026,120,34,107
130027,120,34,107
130028,132,34,106
130029,132,34,106
131004,72,31,100
131005,54,25,91
131006,36,28,117
131009,36,27,113
131012,84,34,117
131014,42,29,116
131015,84,32,98
131016,96,34,112
131018,132,34,106
131019,108,33,99
131028,96,34,112
131029,66,32,112
131033,204,34,104
131034,36,28,117
131040,96,34,112
131041,42,27,108
131042,48,28,106
131043,42,25,99
131046,108,34,109
131047,84,34,117
131055,42,30,121
131056,96,34,112
131057,72,31,100
131059,84,34,117
132010,108,33,99
132015,72,32,107
132021,84,34,117
132023,54,30,111
132024,132,33,97
132025,108,34,109
133002,120,34,107
133013,54,31,116
134001,132,34,106
134002,132,34,106
134003,96,33,101
134004,96,34,112
134005,96,31,92
134006,84,34,117
134007,72,25,78
134008,132,34,106
134009,132,34,106
134010,96,32,96
134011,96,34,112
134012,96,34,112
134013,96,33,101
134014,96,34,112
134015,132,34,106
134016,72,34,122
134017,72,34,122
134018,72,34,122
134019,78,33,111
134020,132,34,106
134021,132,34,106
134022,66,30,99
134023,96,34,112
134024,96,33,101
134025,96,34,112
134026,84,33,106
134031,24,23,116
134033,32,26,115
134034,96,33,101
134035,72,32,107
134038,108,34,109
134039,108,34,109
134041,32,25,111
134042,24,25,123
134044,108,34,109
135001,96,33,101
135004,66,31,105
135006,54,31,116
135007,54,32,121
135008,78,34,119
135009,66,32,112
135010,96,33,101
135019,54,30,111
135026,72,33,115
135027,60,32,117
136001,132,34,106
136004,132,34,106
136005,120,34,107
137001,132,29,73
137003,66,31,105
137004,36,17,83
137005,120,33,98
137006,84,33,106
137007,28,20,100
137008,48,32,125
137010,36,19,88
137012,54,24,88
137017,72,29,93
137018,48,27,101
137020,96,34,112
137021,54,23,85
137026,66,34,125
137027,96,34,112
137028,72,31,100
137029,108,33,99
137030,78,30,93
137032,84,33,106
137033,108,34,109
137034,48,28,106
137035,108,34,109
137036,72,32,107
137037,96,33,101
137038,78,32,102
137039,54,29,105
137051,66,30,99
138003,108,34,109
138004,84,34,117
138005,96,34,112
138007,120,34,107
138008,78,33,111
138010,132,33,97
138011,24,28,132
138016,120,34,107
138017,96,34,112
138021,24,18,100
139009,48,23,90
139013,42,29,116
139018,48,28,106
139019,32,20,95
139020,60,32,117
139021,48,25,95
141026,28,25,117
141027,24,23,116
141028,32,21,98
141029,32,22,100
141030,28,17,93
141031,36,20,91
141032,36,25,105
141033,36,22,96
141034,42,23,94
141035,36,23,98
141036,42,24,97
141037,36,19,88
141038,42,17,78
141039,36,18,86
141040,42,20,86
141041,42,25,99
141042,42,25,99
141043,42,20,86
141044,54,25,91
141045,48,23,90
141046,54,25,91
141047,54,24,88
141048,48,25,95
141049,54,25,91
143001,132,34,106
143002,108,34,109
143003,48,30,116
143004,84,34,117
143005,84,34,117
143006,96,34,112
143007,72,33,115
143008,78,32,102
143009,60,31,111
143010,54,34,132
143011,32,32,138
143013,72,29,93
143017,60,29,99
143018,96,34,112
143019,132,34,106
143021,132,34,106
143022,132,34,106
143023,96,34,112
143024,32,20,95
143025,120,34,107
148001,84,28,82
148002,132,33,97
148003,66,33,119
148005,54,27,97
148006,132,34,106
148007,108,34,109
148009,132,33,97
148012,84,34,117
148013,84,33,106
148017,60,27,93
148018,28,17,93
148019,72,31,100
148022,108,33,99
148023,84,32,98
148024,48,25,95
148025,96,32,96
148026,78,32,102
148027,132,34,106
148028,60,32,117
148029,72,31,100
148030,84,33,106
148031,108,33,99
151001,156,31,82
151002,120,34,107
151003,108,32,94
151004,156,34,106
151005,48,30,116
151006,36,28,117
151008,78,31,97
151010,42,24,97
151011,42,22,91
151012,84,34,117
151013,132,34,106
151014,36,26,109
151015,108,32,94
151016,78,31,97
151017,36,26,109
151018,132,34,106
151019,120,34,107
151020,132,34,106
151021,108,34,109
151022,132,34,106
151023,120,34,107
151024,132,34,106
151025,132,34,106
151026,120,34,107
151027,60,25,87
151028,66,30,99
151029,54,24,88
151030,66,30,99
151031,96,34,112
151032,96,33,101
151033,120,34,107
151034,132,34,106
151035,54,24,88
151036,96,34,112
151037,96,34,112
151038,108,34,109
151039,120,34,107
151040,132,34,106
151041,36,16,81
151042,84,32,98
151043,84,34,117
151044,84,33,106
151045,36,20,91
151046,84,34,117
151047,96,32,96
151048,120,32,92
151049,96,33,101
151050,24,14,91
151051,108,33,99
151052,84,30,90
151053,84,31,94
151054,108,31,89
151055,120,34,107
151056,96,23,55
151057,84,34,117
151058,84,33,106
151059,84,31,94
151060,96,33,101
154002,42,29,116
154005,84,34,117
154010,120,33,98
154017,132,34,106
154018,120,34,107
154022,132,31,85
154028,108,33,99
154029,108,34,109
154030,132,34,106
154037,72,32,107
154040,84,34,117
154041,60,31,111
154042,42,22,91
154043,28,15,88
154047,120,34,107
154052,54,31,116
154055,66,28,93
154056,108,34,109
154057,132,34,106
154058,108,34,109
154076,132,29,73
154077,108,32,94
154078,84,33,106
154079,132,34,106
154080,120,33,98
154081,108,34,109
154959,78,34,119
201001,66,27,89
201002,54,29,105
201003,66,27,89
201004,66,30,99
201007,72,31,100
201008,72,31,100
201009,78,32,102
201010,78,32,102
201011,66,25,83
201012,72,31,100
201013,66,28,93
201014,72,32,107
201015,66,33,119
201016,78,26,78
201017,60,32,117
201018,60,32,117
201019,60,32,117
201020,54,30,111
201021,60,31,111
201022,72,31,100
201024,78,15,40
201028,72,25,78
201029,60,29,99
201039,66,28,93
201040,66,22,73
201044,66,22,73
201045,72,23,71
201051,66,30,99
201052,42,20,86
201053,66,24,79
201055,66,31,105
201056,60,31,111
202001,132,34,106
202002,108,32,94
202003,48,21,84
202004,108,34,109
202005,66,32,112
202006,54,28,100
202008,96,34,112
202009,42,21,89
202012,132,34,106
202014,42,21,89
202015,78,29,89
202017,120,34,107
202018,48,26,98
202021,54,25,91
202022,28,17,93
202024,24,21,109
202026,48,27,101
202027,78,32,102
202028,42,27,108
202029,60,33,123
202031,60,32,117
202032,42,27,108
202035,28,23,110
202037,42,31,125
202038,42,32,130
202039,78,32,102
202042,42,29,116
202043,32,25,111
202044,36,29,121
202047,48,29,111
202048,96,32,96
202049,42,25,99
202050,96,33,101
202051,96,34,112
202052,78,33,111
202055,32,26,115
202056,54,30,111
202058,48,28,106
202060,48,26,98
202061,48,25,95
202062,42,29,116
202066,42,27,108
202067,54,27,97
202068,28,31,138
202071,54,33,126
202073,72,34,122
202076,120,34,107
202077,96,31,92
202081,24,12,86
202082,108,32,94
202083,132,32,91
202085,132,34,106
202087,42,25,99
202088,48,31,121
202089,78,33,111
202090,72,33,115
202091,96,34,112
202092,42,26,103
202093,60,32,117
202094,120,33,98
202095,28,17,93
202096,96,33,101
202097,84,34,117
202098,108,34,109
202099,132,34,106
202101,48,33,130
202103,66,32,112
202105,24,19,103
202106,60,31,111
202107,132,34,106
202109,132,34,106
202110,132,34,106
206001,42,17,78
206005,84,29,86
206007,84,34,117
206008,84,33,106
206009,84,34,117
206010,84,34,117
206011,84,34,117
206013,84,28,82
206016,96,34,112
206017,84,34,117
206020,78,33,111
206024,84,34,117
207001,72,32,107
207004,96,33,101
207007,84,33,106
207009,120,34,107
207010,48,31,121
207013,24,22,113
207015,24,18,100
207017,120,34,107
207018,96,32,96
207021,60,34,128
207024,84,33,106
208001,54,25,91
208002,54,32,121
208003,54,32,121
208004,48,25,95
208005,48,32,125
208006,66,33,119
208007,60,31,111
208008,54,34,132
211002,60,32,117
211003,120,34,107
211004,132,34,106
211005,108,34,109
211006,54,34,132
211007,42,31,125
211008,132,32,91
211009,78,34,119
211012,24,19,103
211014,28,25,117
211020,108,34,109
215001,84,31,94
215002,48,32,125
215004,84,33,106
215005,120,34,107
216001,84,34,117
216009,84,33,106
216013,132,33,97
216016,96,34,112
216017,84,33,106
218003,66,32,112
218004,36,23,98
218007,24,24,119
218009,72,30,96
219001,78,34,119
219002,108,30,84
219003,54,31,116
219004,84,33,106
219005,84,34,117
219006,96,33,101
219007,72,30,96
219008,120,34,107
219009,96,34,112
219010,66,28,93
220001,108,32,94
220002,78,32,102
220003,42,29,116
220004,24,18,100
220005,132,34,106
220007,54,30,111
220008,108,33,99
220009,84,29,86
220011,66,30,99
220012,60,29,99
220013,66,23,76
220014,60,30,105
220015,60,31,111
220016,48,23,90
220017,66,29,96
220018,78,34,119
220020,78,28,85
220021,24,24,119
220022,24,24,119
220023,54,30,111
220028,96,31,92
220030,132,34,106
220031,132,33,97
220032,120,33,98
220034,132,34,106
220036,120,33,98
221001,36,24,101
221004,28,23,110
221005,72,33,115
221006,72,31,100
221007,32,18,90
221008,72,33,115
221009,72,33,115
221012,72,32,107
223001,42,25,99
223002,24,20,106
223004,72,34,122
223005,96,34,112
223006,36,25,105
223007,24,15,93
223008,96,34,112
223009,108,34,109
223010,28,17,93
224001,96,34,112
224002,78,32,102
224003,66,31,105
224004,32,21,98
224005,96,34,112
224006,72,33,115
224007,48,28,106
224008,28,16,90
224009,72,31,100
224010,96,34,112
224011,36,23,98
224012,36,14,75
224013,60,30,105
224014,60,20,71
224015,48,17,73
224016,42,22,91
224017,60,28,96
224018,48,21,84
224019,72,32,107
224020,66,33,119
227002,32,17,88
227003,66,33,119
227007,28,21,103
227010,28,22,106
227012,28,16,90
227014,24,21,109
227018,32,17,88
302001,96,34,112
302002,108,33,99
302005,78,32,102
302006,84,34,117
302007,120,34,107
302008,96,34,112
302009,78,31,97
302010,204,34,104
302011,132,34,106
501001,60,25,87
501002,48,21,84
501003,84,12,40
501006,48,27,101
501009,132,34,106
501021,72,33,115
501029,60,30,105
501032,48,30,116
503001,66,15,49
505005,60,26,90
505015,156,32,89
505016,66,18,59
505021,132,34,106
505024,42,19,83
505035,48,22,87
505036,54,20,76
505037,54,23,85
505038,42,15,73
505039,42,16,75
505040,60,25,87
506001,54,5,40
506003,78,17,43
506004,96,23,55
506005,72,26,82
506008,120,32,92
506009,84,30,90
506011,42,11,62
506014,54,19,73
506015,78,18,47
506016,42,18,81
506022,78,24,70
507005,54,23,85
508001,60,25,87
508002,60,29,99
508005,156,33,96
508007,204,34,104
508008,42,28,112
508009,72,23,71
508010,72,26,82
508011,66,29,96
508013,54,16,64
508014,120,29,76
508015,42,14,70
508016,108,32,94
508017,156,34,106
508019,36,11,68
508021,36,10,65
508022,42,12,65
508023,84,25,69
508024,84,23,61
508025,84,31,94
508026,120,34,107
508027,54,17,67
508028,96,26,69
508029,156,34,106
508030,132,31,85
508031,60,18,65
508032,54,15,61
508033,48,12,59
508034,84,31,94
510001,96,33,101
510004,72,25,78
510005,108,33,99
510007,132,34,106
510008,120,34,107
510009,156,33,96
510010,132,28,66
510014,132,33,97
510016,156,34,106
517001,78,24,70
517003,54,11,50
517004,108,34,109
517005,132,34,106
517007,156,34,106
517009,120,34,107
517010,156,34,106
517011,84,33,106
517012,96,33,101
517013,60,31,111
517017,84,32,98
517018,42,21,89
517020,78,34,119
517021,120,34,107
517022,156,34,106
517023,66,33,119
517024,156,34,106
517026,96,34,112
517028,66,31,105
526003,48,5,40
527002,132,0,40
527004,108,20,40
527005,24,8,78
529001,72,34,122
529008,96,34,112
529015,96,34,112
529018,204,34,104
529020,204,34,104
529021,204,34,104
529022,132,34,106
529023,132,34,106
529024,204,34,104
529025,72,34,122
529026,66,34,125
529029,66,23,76
600001,132,34,106
600003,156,34,106
600006,96,34,112
600007,120,34,107
600008,120,32,92
600009,108,34,109
600010,108,32,94
601002,156,33,96
601007,156,34,106
601011,204,31,79
602001,120,34,107
602002,60,23,81
602003,66,18,59
602004,66,28,93
602005,84,29,86
602006,78,25,74
602007,72,27,85
602008,78,16,40
605002,96,10,40
605003,96,26,69
607004,78,34,119
608001,42,25,99
608002,54,29,105
608003,60,31,111
608004,78,34,119
608005,36,21,93
608006,28,15,88
608007,60,31,111
608008,132,33,97
608009,42,19,83
608010,42,24,97
608011,66,30,99
608012,78,32,102
608013,32,21,98
608014,66,33,119
609003,54,18,70
612001,60,32,117
612002,54,31,116
612003,36,13,73
612004,24,20,106
612005,28,21,103
612006,28,25,117
612007,120,22,40
612008,108,31,89
612009,24,14,91
612010,28,15,88
612012,96,33,101
612013,108,34,109
612014,120,32,92
612017,84,30,90
701004,132,26,54
705002,78,10,40
