ID,agestrat,COMscoreP,COMscoreP_SS
138017,96,29,94
138018,12,7,89
148001,84,27,89
148002,132,31,95
148003,66,27,99
148004,18,13,96
148005,48,28,128
148006,132,34,114
148007,108,33,114
148008,96,28,90
148009,132,31,95
148012,78,29,100
148013,84,31,109
148015,132,34,114
148016,48,23,95
148017,60,30,128
148018,28,22,118
148020,14,12,108
148021,48,25,106
148022,108,28,84
148023,78,29,100
148024,42,24,107
148025,96,31,103
148026,78,29,100
148027,132,34,114
148028,60,27,105
148029,72,28,99
148030,84,27,89
148031,108,31,99
148032,18,17,121
154001,204,34,100
154002,42,18,79
154003,10,7,97
154004,204,30,86
154005,84,32,117
154006, ,8, 
154007,204,34,100
154008,204,34,100
154010,120,34,118
154011,204,34,100
154012,204,32,96
154013,204,34,100
154014,204,34,100
154015,204,34,100
154016,204,34,100
154017,132,31,95
154018,120,31,97
154019,204,34,100
154020,204,34,100
154021,132,34,114
154022,132,33,105
154023,204,34,100
154024,84,31,109
154025,132,31,95
154026,204,34,100
154027,204,34,100
154028,108,31,99
154052,54,34,160
202001,132,32,98
202006,54,30,135
202008,96,29,94
202009,42,24,107
202010,4,4,107
202011,8,6,100
202012,132,31,95
202020,6,4,98
202021,54,22,87
202022,28,13,72
202023,8,4,89
202024,24,22,127
202025,6,7,115
202026,48,27,120
202027,78,27,92
202028,42,26,121
202031,60,30,128
202039,78,31,115
202042,42,26,121
202043,32,24,123
202044,36,29,150
202045,20,21,137
202046,16,12,99
202047,48,26,113
202048,96,30,98
202049,42,23,100
202050,96,29,94
202051,96,33,120
202052,78,31,115
202054,6,4,98
202055,32,26,137
202056,54,34,160
202057,18,16,114
202059,18,12,92
202060,48,24,99
202061,48,25,106
202062,42,26,121
202063,20,14,94
202064,0,0,95
202065,14,9,91
202066,42,24,107
202067,54,26,105
202068,28,17,90
202069,24,16,91
202071,54,26,105
202072,10,12,126
202073,72,30,114
202074,18,15,108
202075,8,8,112
202076,120,34,118
202077,96,30,98
202078,12,5,79
202079,24,7,50
202080,36,16,75
202081,24,9,59
202082,108,25,74
202083,132,29,83
202085,132,28,80
202086,12,5,79
202087,42,17,74
202088,48,29,135
202089,78,31,115
202090,72,27,95
202091,96,33,120
202092,42,23,100
202093,60,23,87
202094,120,27,78
202095,28,17,90
202096,96,28,90
202097,84,28,93
211019,132,34,114
302001,96,33,120
302002,108,34,123
302010,204,34,100
302011,132,34,114
506003,78,22,73
506008,120,34,118
506009,84,25,81
506014,54,15,58
506015,72,15,48
506016,42,14,62
506022,78,22,73
508001,60,23,87
508002,60,22,83
508005,156,33,101
508007,204,25,67
508008,42,23,100
508009,72,26,91
508010,72,25,87
508011,66,22,79
508013,54,15,58
508016,108,27,81
508017,156,34,110
508019,36,16,75
508021,36,15,70
508022,36,15,70
508024,84,27,89
508026,120,23,64
508027,60,17,62
508029,156,33,101
508033,48,13,53
508034,84,28,93
517001,78,24,80
517017,84,26,85
517018,42,20,87
517021,120,31,97
517023,66,28,106
517026,96,28,90
517028,66,22,79
527001,36,8,40
527004,108,20,57
529001,72,24,83
529008,96,32,111
529015,96,31,103
529018,204,34,100
529020,204,33,99
529021,204,34,100
529022,132,34,114
529023,132,34,114
529024,204,34,100
529025,72,27,95
529026,66,26,95
529029,66,20,71
601002,156,31,93
601011,204,30,86
602005,84,24,78
602006,78,22,73
602007,72,25,87
605002,96,23,69
607004,78,27,92
607005,60,27,105
608001,42,25,114
608002,48,21,87
608003,54,23,91
608004,78,22,73
608005,36,26,129
608006,28,10,58
608007,54,27,113
608008,132,31,95
608009,42,24,107
608010,42,21,91
608011,66,28,106
608012,78,24,80
608013,32,13,67
612001,60,31,135
612002,54,27,113
612005,28,15,81
612006,28,20,105
612007,120,28,82
612008,108,31,99
612009,24,8,55
612010,28,10,58
612012,96,29,94
612013,108,29,89
612014,120,29,86
612017,78,29,100
