ID,agestrat,COGscore,COG_SS
116006,32,13,76
116007,14,10,112
116008,42,21,94
116009,14,7,91
116010,28,13,83
116011,132,42,104
116012,12,8,107
116013,10,7,107
116014,28,14,87
116015,132,41,99
116016,132,42,104
116017,42,18,83
116018,12,7,101
116019,20,13,105
116020,32,24,129
116021,132,42,104
116022,132,42,104
116023,156,42,102
116024,108,36,92
116025,66,30,99
116026,32,11,68
116027,28,13,83
116028,6,5,104
116029,156,42,102
116030,204,42,100
116031,12,7,101
116032,156,42,102
116033,12,7,101
116034,156,42,102
116035,156,41,98
116036,66,34,123
116037,132,41,99
116038,8,5,98
116040,132,41,99
116041,108,38,98
116042,132,40,96
116043,72,26,78
116044,132,41,99
116045,132,42,104
116046,120,36,88
116047,204,42,100
116048,132,40,96
116049,28,16,95
116050,32,18,96
116051,132,38,91
116052,204,42,100
116053,204,42,100
116054,132,41,99
116055,28,16,95
116056,32,16,88
116057,132,40,96
116058,120,39,97
116059,132,41,99
116060,132,42,104
116061,120,37,91
116062,24,13,90
116063,24,5,56
116064,204,42,100
116065,204,42,100
116069,132,42,104
116071,132,40,96
116072,132,38,91
116073,32,15,84
116074,204,42,100
116075,204,42,100
116076,204,42,100
116077,132,42,104
116078,132,41,99
116079,28,17,99
116080,32,18,96
117001,32,18,96
117002,66,36,135
117003,120,42,112
117004,24,13,90
117005,120,42,112
117006,66,33,117
117007,132,40,96
117008,10,7,107
117009,42,27,126
117010,10,7,107
117011,6,6,110
117012,36,18,89
117013,24,13,90
117014,54,28,109
117015,28,16,95
117016,24,17,109
117017,4,5,107
117018,4,6,112
117019,4,5,107
117020,6,7,115
117021,10,7,107
117022,54,27,103
117023,54,26,98
117024,48,23,94
117025,4,5,107
117026,22,15,107
117027,4,5,107
117028,28,19,111
117029,48,25,103
117030,36,21,101
117031,14,12,123
117032,132,42,104
117033,4,5,107
117034,132,42,104
117035,108,41,115
117036,78,39,132
117037,66,31,105
117038,108,42,121
117040,8,7,112
117041,84,38,116
117042,36,15,78
117043,66,29,96
117044,8,8,117
117045,32,24,129
117046,0,0,87
117047,0,0,87
117048,96,40,118
117049,78,37,120
117050,132,42,104
117053,8,8,117
117054,84,37,109
117055,36,18,89
117056,18,11,102
117059,22,15,107
117060,8,6,106
117061,72,32,100
117062,42,23,102
117063,10,7,107
117064,60,34,134
117065,36,19,93
118001,66,33,117
118002,32,20,106
118003,156,42,102
118004,132,42,104
118005,2,4,106
118006,48,27,114
118007,156,41,98
118008,132,41,99
118009,42,18,83
118010,120,42,112
118011,78,37,120
118012,66,32,111
118015,2,4,106
118016,96,40,118
118017,66,33,117
118018,36,19,93
118019,2,3,101
119001,36,24,119
119002,132,42,104
119003,132,42,104
119004,108,41,115
119005,18,13,114
119006,12,9,112
119007,96,42,131
119008,36,22,107
119009,78,38,126
119010,10,9,118
119011,84,38,116
119012,108,42,121
119013,132,42,104
119014,96,42,131
119015,78,37,120
119016,84,38,116
119017,132,42,104
119018,96,39,112
119019,84,38,116
119020,60,24,85
119021,96,42,131
119022,2,5,109
119023,2,5,109
120009,156,42,102
120010,204,42,100
120011,36,19,93
120012,54,24,91
120013,12,9,112
120014,16,11,110
120015,42,25,114
120016,28,16,95
120017,48,23,94
120018,60,28,99
120020,84,38,116
120021,132,42,104
120022,20,6,68
120023,78,37,120
120024,108,37,95
120025,132,40,96
120026,18,14,119
120027,72,31,97
120028,108,42,121
120029,42,22,97
120030,72,34,112
120031,60,21,73
120032,66,27,89
120037,10,7,107
120038,72,36,125
120041,0,4,113
120042,48,24,98
120043,108,42,121
120044,96,40,118
120045,132,42,104
120046,96,41,125
120047,132,42,104
120048,28,26,151
120049,54,19,74
120050,72,37,131
120051,108,42,121
120052,32,21,112
120053,60,28,99
120056,78,26,73
120057,78,34,101
120058,108,39,102
120059,66,28,93
120061,8,7,112
120062,42,27,126
120063,6,5,104
120064,48,24,98
120065,72,30,94
120066,132,42,104
120067,66,33,117
120069,8,5,98
120070,78,26,73
120071,120,40,100
120072,132,40,96
120073,108,42,121
121001,10,9,118
121002,156,42,102
121003,156,42,102
121005,18,13,114
121006,6,6,110
121007,36,18,89
121009,20,13,105
121010,24,14,94
121011,10,8,112
121012,22,12,92
121013,2,4,106
121014,20,12,100
121015,20,12,100
121016,42,26,120
121017,12,8,107
121018,78,40,139
121019,132,42,104
121020,36,19,93
121022,14,7,91
121023,54,24,91
122001,36,24,119
122002,60,27,95
122003,20,16,122
122004,0,0,87
122005,60,29,104
122006,84,39,122
122007,120,39,97
122008,20,12,100
122010,96,37,100
122011,20,17,128
122012,48,25,103
122013,2,5,109
122015,78,27,78
122016,60,24,85
122017,24,12,85
123001,204,42,100
123002,84,38,116
123003,156,41,98
123004,204,42,100
123005,156,42,102
123006,54,34,145
123007,54,34,145
123008,132,41,99
123009,84,38,116
123010,96,38,106
123011,204,42,100
123012,156,42,102
123013,156,42,102
123014,120,42,112
123015,78,26,73
123016,204,42,100
123017,156,42,102
123018,156,42,102
123019,132,37,88
123020,156,42,102
123021,36,17,85
123022,156,42,102
123023,120,42,112
123024,156,42,102
123025,156,42,102
123026,132,42,104
123027,66,32,111
123028,156,42,102
123029,132,42,104
123030,204,42,100
123031,156,42,102
123032,120,42,112
123033,42,20,90
123034,42,20,90
123035,132,42,104
123036,156,42,102
123037,132,42,104
123038,132,42,104
123039,96,40,118
123040,36,22,107
123041,132,41,99
123042,72,29,90
123043,132,42,104
123044,204,42,100
123045,204,42,100
123046,66,30,99
123047,132,41,99
123048,72,30,94
123049,120,41,106
123050,132,42,104
123051,132,42,104
123052,66,28,93
123053,78,30,88
123054,132,42,104
123055,132,42,104
123056,120,42,112
123057,72,30,94
123058,132,42,104
123059,132,42,104
123060,132,42,104
123061,120,42,112
123062,132,42,104
123063,42,19,86
123064,132,42,104
123065,108,40,109
123066,204,42,100
123067,132,42,104
123068,108,42,121
123069,120,42,112
123070,132,42,104
123071,36,14,74
123072,36,17,85
123073,42,25,114
123074,132,42,104
123075,132,42,104
123076,108,41,115
123077,132,42,104
123078,120,42,112
123079,54,26,98
123080,96,37,100
125001,108,42,121
125002,48,20,83
125003,48,20,83
125004,54,26,98
125005,60,30,110
125006,54,24,91
125007,60,28,99
125008,60,29,104
125009,54,32,133
125010,60,29,104
125011,66,32,111
125012,60,22,76
125013,60,30,110
125014,60,29,104
125015,54,28,109
125016,66,35,129
125017,72,37,131
125018,54,25,95
125019,60,25,89
125020,84,36,103
125021,60,29,104
125022,60,19,66
125023,60,26,92
125024,60,31,116
125025,0,0,87
125026,28,16,95
125027,14,7,91
125028,72,32,100
125029,10,9,118
125030,18,8,83
125031,60,31,116
125032,78,42,151
125033,60,26,92
125034,72,36,125
125035,20,15,116
125036,14,9,106
125037,72,39,143
125038,22,12,92
125039,2,5,109
125040,32,19,100
125041,14,8,101
125043,10,5,91
125044,10,5,91
125045,28,12,79
125046,60,20,70
125047,60,31,116
125048,60,29,104
125049,14,10,112
125053,8,5,98
125055,24,10,77
125057,14,9,106
125058,4,3,95
125059,28,22,128
125060,28,19,111
125061,4,5,107
125062,2,3,101
126001,66,33,117
126002,132,42,104
126003,108,42,121
126004,84,40,128
126005,60,29,104
126006,108,42,121
126007,96,33,88
126008,54,26,98
126009,54,26,98
126010,72,32,100
126011,66,29,96
126012,72,35,118
126013,60,31,116
126014,66,30,99
126015,132,42,104
126016,54,27,103
126017,132,42,104
126018,72,32,100
126019,108,40,109
126020,24,13,90
127001,18,11,102
127002,132,41,99
127003,2,5,109
127004,78,40,139
127005,6,5,104
127006,36,25,125
127007,54,31,127
127008,14,14,134
127009,16,12,116
127010,12,7,101
127011,66,32,111
127012,20,12,100
127013,12,11,123
127014,42,24,108
127015,48,26,109
127016,66,32,111
127017,42,20,90
127018,4,4,102
127019,24,15,98
127020,32,21,112
127021,22,14,102
127022,84,41,135
127023,120,42,112
127024,54,30,121
127025,20,13,105
127026,6,4,99
127027,24,13,90
127028,42,26,120
127029,66,34,123
127030,10,6,101
127031,48,27,114
127032,42,22,97
127033,78,40,139
127034,132,42,104
127035,84,38,116
127036,10,6,101
127037,10,9,118
127038,24,16,103
127039,2,5,109
127040,14,14,134
127042,0,1,96
127141,6,5,104
128001,96,41,125
128002,132,42,104
128003,132,42,104
128004,96,41,125
128005,120,41,106
128006,132,42,104
128007,108,42,121
128008,72,37,131
128009,132,42,104
128010,108,41,115
128011,120,42,112
128013,54,34,145
128014,120,42,112
128019,84,40,128
128020,72,36,125
128021,78,38,126
128022,108,42,121
128023,132,42,104
128024,96,42,131
128025,120,42,112
129001,120,42,112
129002,84,39,122
129003,8,6,106
129004,36,18,89
129005,36,26,131
129006,84,40,128
129007,42,20,90
129008,36,21,101
129009,28,20,116
129010,54,26,98
129011,108,42,121
129012,84,39,122
129013,120,42,112
129014,36,21,101
129015,48,23,94
129016,78,34,101
129017,66,32,111
129018,24,13,90
129019,48,28,120
129020,16,8,90
129021,48,23,94
129022,78,41,145
129023,36,21,101
129024,36,17,85
129025,48,25,103
129026,22,17,119
129027,108,42,121
129028,36,14,74
129029,78,26,73
129030,132,42,104
130001,60,30,110
130002,96,40,118
130003,60,31,116
130004,60,30,110
130005,72,38,137
130006,72,34,112
130007,84,35,99
130008,72,37,131
130009,72,37,131
130010,72,35,118
130011,84,36,103
130012,84,39,122
130013,84,38,116
130014,84,36,103
130015,54,30,121
130016,84,41,135
130017,84,39,122
130018,96,40,118
130019,96,42,131
130020,96,41,125
130021,96,42,131
130022,108,41,115
130023,108,42,121
130024,108,41,115
130025,108,42,121
130026,120,42,112
130027,120,42,112
130028,132,42,104
130029,132,42,104
131001,2,1,88
131002,10,7,107
131003,0,3,107
131004,66,27,89
131005,54,22,84
131006,36,19,93
131007,10,6,101
131008,42,20,90
131009,36,22,107
131010,28,21,122
131011,4,5,107
131012,84,40,128
131013,12,10,118
131014,42,23,102
131015,84,36,103
131016,96,39,112
131017,78,37,120
131018,132,42,104
131019,108,40,109
131020,20,9,82
131021,20,12,100
131022,36,19,93
131023,14,11,117
131024,48,29,126
131025,16,9,99
131026,0,0,87
131027,10,7,107
131028,96,42,131
131029,66,38,148
131030,12,8,107
131031,10,7,107
131032,10,7,107
131033,204,42,100
131034,36,24,119
131035,2,5,109
131036,22,18,124
131037,0,1,96
131038,4,5,107
131040,96,40,118
131041,42,25,114
131042,48,26,109
131043,42,23,102
131044,10,7,107
131045,2,4,106
131046,108,41,115
131047,84,37,109
131048,14,10,112
131049,0,0,87
131050,4,5,107
131051,14,8,101
131052,14,10,112
131053,6,6,110
131054,4,5,107
131055,42,19,86
131056,96,42,131
131057,72,37,131
131058,42,25,114
131059,84,40,128
131060,12,6,91
132002,6,5,104
132003,120,42,112
132006,78,42,151
132007,48,31,138
132008,22,13,97
132010,108,42,121
132011,32,18,96
132012,10,8,112
132015,72,35,118
132016,132,42,104
132017,132,42,104
132018,96,41,125
132019,54,24,91
132021,84,40,128
132022,96,41,125
132023,54,26,98
132024,132,42,104
132025,108,41,115
132026,108,42,121
132027,48,23,94
132028,16,7,82
132029,108,41,115
132030,42,27,126
133001,78,36,114
133002,120,41,106
133003,84,40,128
133004,42,23,102
133005,66,33,117
133006,96,42,131
133007,132,42,104
133010,24,16,103
133011,120,42,112
133012,84,36,103
133013,54,22,84
133015,78,41,145
133016,48,26,109
133019,96,42,131
133020,96,42,131
133022,32,14,80
133023,8,5,98
133025,96,41,125
133026,72,30,94
133028,108,41,115
133029,96,41,125
133030,78,28,82
134001,132,42,104
134002,132,42,104
134003,96,41,125
134004,96,39,112
134005,96,38,106
134006,84,41,135
134007,72,29,90
134008,132,42,104
134009,132,42,104
134010,96,35,94
134011,96,41,125
134012,96,37,100
134013,96,41,125
134014,96,40,118
134016,72,33,106
134017,72,26,78
134018,72,34,112
134019,78,37,120
134020,132,42,104
134021,132,42,104
134022,66,31,105
134023,96,41,125
134024,96,33,88
134025,96,39,112
134026,84,37,109
134027,22,16,113
134028,22,8,75
134029,22,9,79
134030,20,16,122
134031,24,12,85
134032,12,11,123
134033,28,13,83
134034,96,41,125
134035,72,36,125
134036,24,16,103
134037,24,20,126
134039,108,38,98
134040,22,11,88
134041,32,17,92
134042,24,14,94
134043,14,10,112
134044,108,42,121
134046,32,13,76
134047,10,9,118
135001,96,42,131
135002,36,22,107
135003,120,42,112
135004,66,29,96
135005,14,7,91
135006,54,31,127
135007,54,30,121
135008,78,37,120
135009,66,31,105
135010,96,39,112
135012,72,31,97
135013,42,22,97
135014,6,7,115
135015,96,40,118
135016,204,42,100
135017,132,42,104
135018,204,42,100
135019,66,26,86
135020,132,42,104
135021,120,42,112
135022,10,5,91
135023,132,42,104
135024,120,42,112
135025,204,42,100
135026,84,35,99
135027,60,29,104
135028,32,18,96
135029,24,17,109
135030,4,5,107
136001,132,42,104
136002,6,5,104
136003,14,11,117
136004,132,42,104
136005,120,42,112
136006,60,30,110
136007,96,42,131
136008,8,6,106
136011,60,34,134
136012,2,3,101
136013,4,5,107
136014,12,12,129
136015,28,16,95
136016,28,16,95
136017,28,16,95
136019,24,13,90
136020,8,5,98
136021,6,6,110
136023,24,16,103
136024,6,5,104
136025,8,6,106
136030,16,11,110
137001,132,42,104
137002,108,42,121
137003,66,23,73
137004,36,17,85
137005,120,42,112
137006,84,41,135
137007,28,13,83
137008,48,23,94
137009,66,30,99
137010,36,19,93
137011,28,15,91
137012,54,27,103
137013,4,6,112
137014,12,11,123
137015,60,30,110
137016,0,3,107
137017,72,34,112
137018,48,22,91
137019,28,15,91
137020,96,39,112
137021,54,28,109
137022,16,10,105
137023,32,16,88
137024,4,5,107
137025,14,13,128
137026,66,33,117
137027,96,42,131
137028,72,37,131
137029,108,41,115
137030,78,39,132
137031,32,20,106
137032,84,36,103
137033,108,42,121
137034,48,28,120
137035,108,42,121
137036,66,38,148
137037,96,42,131
137038,72,41,155
137039,54,32,133
137040,72,36,125
137041,36,20,97
137042,10,7,107
137043,84,39,122
137044,18,13,114
137045,36,19,93
137046,18,16,130
137047,0,3,107
137051,66,28,93
137052,0,3,107
138001,132,42,104
138003,108,39,102
138004,84,37,109
138005,96,40,118
138006,204,42,100
138007,120,42,112
138008,78,32,94
138009,54,22,84
138010,132,42,104
138011,28,19,111
138012,132,42,104
138013,108,42,121
138014,2,3,101
138015,4,5,107
138016,120,40,100
138017,96,41,125
138018,12,8,107
138019,6,5,104
138020,12,6,91
138021,24,15,98
139001,8,6,106
139002,22,14,102
139003,48,29,126
139004,42,23,102
139005,18,10,97
139006,22,13,97
139007,16,10,105
139008,18,12,108
139009,48,23,94
139010,24,16,103
139011,6,5,104
139012,24,16,103
139013,42,25,114
139014,10,7,107
139015,42,24,108
139016,14,8,101
139017,10,6,101
139018,48,27,114
139019,32,21,112
139020,60,33,128
139021,48,26,109
139022,28,20,116
141001,14,17,150
141002,20,19,139
141003,16,18,149
141004,18,19,147
141005,14,18,156
141006,18,14,119
141007,22,19,130
141008,24,18,115
141009,20,20,145
141010,20,20,145
141011,22,19,130
141012,20,12,100
141013,24,22,138
141014,14,15,139
141015,18,20,153
141016,16,15,132
141017,16,19,155
141018,16,18,149
141019,14,17,150
141021,18,19,147
141022,22,22,147
141023,20,17,128
141024,22,22,147
141025,20,21,150
141026,28,22,128
141027,24,22,138
141028,32,22,118
141029,32,21,112
141030,28,18,105
141031,36,21,101
141032,36,22,107
141033,36,23,113
141034,42,22,97
141035,32,25,135
141036,42,22,97
141037,36,22,107
141038,42,20,90
141039,36,19,93
141040,42,22,97
141041,42,22,97
141042,42,24,108
141043,42,22,97
141044,54,23,88
141045,48,25,103
141046,54,22,84
141047,54,23,88
141048,48,28,120
141049,54,27,103
142001,22,18,124
142002,14,11,117
142003,22,20,136
142004,24,13,90
142005,24,15,98
142006,20,13,105
142007,10,7,107
142008,32,20,106
142009,0,2,103
142010,2,5,109
142011,8,6,106
142012,6,5,104
142013,32,17,92
142014,16,8,90
142015,16,12,116
142016,6,5,104
142017,32,22,118
142018,42,24,108
142019,6,6,110
142020,14,9,106
142021,16,12,116
142022,36,23,113
142023,60,30,110
142024,8,6,106
142025,20,15,116
142026,24,15,98
142027,4,3,95
142028,54,22,84
142029,36,14,74
142030,8,5,98
143001,132,42,104
143002,108,42,121
143003,48,27,114
143004,84,40,128
143005,84,39,122
143006,96,40,118
143007,72,35,118
143008,78,31,91
143009,60,26,92
143010,54,30,121
143011,32,20,106
143013,72,28,87
143017,60,32,122
143018,96,41,125
143019,132,42,104
143021,132,42,104
143022,132,42,104
143023,96,42,131
143024,32,16,88
143025,120,42,112
146001,0,3,107
146002,10,8,112
148001,84,30,83
148002,132,41,99
148003,66,26,86
148004,20,13,105
148005,54,30,121
148006,132,42,104
148007,108,40,109
148008,96,30,77
148009,132,42,104
148012,84,39,122
148013,84,33,92
148015,132,42,104
148016,48,18,76
148017,60,31,116
148018,28,19,111
148019,72,31,97
148020,14,11,117
148021,48,29,126
148022,108,37,95
148023,84,35,99
148024,42,22,97
148025,96,40,118
148026,78,31,91
148027,132,42,104
148028,60,25,89
148029,72,23,68
148030,84,32,89
148031,108,41,115
148032,20,13,105
151001,156,42,102
151002,120,42,112
151003,108,41,115
151004,156,42,102
151005,48,23,94
151006,36,19,93
151007,48,23,94
151008,78,33,98
151009,108,42,121
151010,42,21,94
151011,42,23,102
151012,84,35,99
151013,132,42,104
151014,36,20,97
151015,108,42,121
151016,78,27,78
151017,36,24,119
151018,132,42,104
151019,120,42,112
151020,132,42,104
151021,108,42,121
151022,132,42,104
151023,120,41,106
151024,132,42,104
151025,120,42,112
151026,120,42,112
151027,60,28,99
151028,66,28,93
151029,48,26,109
151030,66,31,105
151031,96,42,131
151032,96,36,97
151033,120,42,112
151034,120,42,112
151035,54,24,91
151036,96,40,118
151037,96,40,118
