rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
23,160,160,160,160,160,160,160,160,160,160,160,153,144,134,124,113,102,95,89,84,78,74,70,66,62,59,57,56,55,55
24,160,160,160,160,160,160,160,160,160,160,160,159,149,140,129,119,108,98,92,87,82,77,72,68,65,62,59,58,57,58
25,160,160,160,160,160,160,160,160,160,160,160,160,155,145,135,125,114,103,96,90,85,80,75,71,68,64,62,61,60,60
26,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,131,120,109,99,93,88,83,78,74,70,67,64,63,62,62
27,160,160,160,160,160,160,160,160,160,160,160,160,160,157,147,136,126,115,104,96,91,86,81,77,73,70,67,66,65,65
28,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,142,132,121,110,99,94,88,84,80,76,72,69,68,67,67
29,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,148,138,127,116,104,97,91,87,82,78,75,72,70,70,69
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,143,133,122,110,100,94,89,85,81,78,74,73,72,72
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,149,139,128,117,105,97,92,88,84,80,77,75,74,74
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,144,134,123,111,100,95,91,86,83,80,78,77,76
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,150,140,129,118,107,98,93,89,85,82,80,79,79
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,145,135,124,113,102,96,92,88,85,83,82,81
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,130,119,108,99,95,91,87,85,84,83
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,147,136,125,114,104,97,93,90,88,86,86
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,142,131,120,110,100,96,92,90,89,88
38,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,148,137,127,116,106,98,95,93,91,91
39,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,143,133,122,112,103,97,95,94,93
40,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,149,139,129,119,109,100,98,96,95
41,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,145,135,125,115,106,101,99,98
42,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,131,122,113,107,103,100
