SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
86,12,14,16,18,20,-,-,-,26,-,-,29,-,-,-,-,-,-
85,-,-,-,-,-,-,23,-,-,27,28,-,-,-,-,31,-,-
84,11,13,-,-,-,21,-,24,-,-,-,-,-,30,-,-,-,-
83,-,-,15,17,19,-,-,-,25,-,-,-,-,-,-,-,-,-
82,10,-,-,-,-,-,22,-,-,26,-,28,29,-,-,-,31,-
81,-,12,14,16,18,20,-,23,-,-,27,-,-,-,30,-,-,-
80,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,-,11,-,-,-,-,21,-,24,-,-,-,-,29,-,30,-,31
78,8,-,13,15,17,19,-,-,-,25,26,-,28,-,-,-,-,-
77,-,10,-,-,-,-,-,22,-,-,-,27,-,-,-,-,-,-
76,-,-,12,-,-,18,20,-,23,-,-,-,-,-,29,-,-,-
75,7,-,-,14,16,-,-,-,-,24,-,-,-,-,-,-,30,-
74,-,9,11,-,-,-,-,21,-,-,25,-,-,28,-,-,-,-
73,6,-,-,13,15,17,19,-,22,-,-,26,27,-,-,29,-,-
72,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,5,-,10,-,-,-,-,20,-,23,-,-,-,-,-,-,-,30
70,-,7,-,12,14,16,18,-,-,-,24,-,-,-,28,-,-,-
69,4,-,9,-,-,-,-,-,21,-,-,25,26,27,-,-,-,-
68,-,-,-,11,-,-,-,19,-,22,-,-,-,-,-,-,29,-
67,3,6,-,-,13,15,17,-,-,-,-,-,-,-,-,-,-,-
66,-,-,8,-,-,-,-,-,20,-,23,-,-,-,-,28,-,-
65,-,5,-,10,12,-,-,18,-,-,-,24,-,-,27,-,-,-
64,2,-,7,-,-,14,16,-,-,21,-,-,25,26,-,-,-,-
63,-,4,-,9,-,-,-,-,19,-,-,-,-,-,-,-,-,29
62,1,-,-,-,11,13,-,17,-,-,22,-,-,-,-,-,-,-
61,-,3,6,-,-,-,15,-,-,-,-,23,-,-,-,-,28,-
60,0,-,-,8,-,-,-,-,-,20,-,-,24,-,-,27,-,-
59,-,-,5,-,10,12,14,16,18,-,-,-,-,25,26,-,-,-
58,-,2,-,7,-,-,-,-,-,-,21,-,-,-,-,-,-,-
57,-,-,4,-,9,-,-,-,-,19,-,22,-,-,-,-,-,-
56,-,1,-,-,-,11,13,-,17,-,-,-,-,-,-,-,-,-
55,-,-,-,6,-,-,-,15,-,-,20,-,23,-,-,-,-,-
54,-,0,3,-,8,-,-,-,-,-,-,-,-,24,25,26,27,28
53,-,-,-,5,-,10,12,-,16,18,-,-,-,-,-,-,-,-
52,-,-,2,-,-,-,-,14,-,-,-,21,-,-,-,-,-,-
51,-,-,-,-,7,-,-,-,-,-,19,-,22,-,-,-,-,-
50,-,-,-,4,-,9,11,-,-,17,-,-,-,-,-,-,-,-
49,-,-,1,-,6,-,-,13,15,-,-,-,-,23,-,-,-,-
48,-,-,-,3,-,8,-,-,-,-,-,20,-,-,24,25,-,-
47,-,-,0,-,-,-,10,-,-,-,18,-,-,-,-,-,26,-
46,-,-,-,-,5,-,-,12,14,16,-,-,21,-,-,-,-,27
45,-,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,-,-,4,-,9,-,-,-,-,19,-,22,-,-,-,-
43,-,-,-,1,-,-,-,11,-,-,17,-,-,-,23,-,-,-
42,-,-,-,-,-,6,-,-,13,15,-,-,20,-,-,24,-,-
41,-,-,-,-,3,-,8,-,-,-,-,-,-,-,-,-,-,-
40,-,-,-,0,0--2,0--5,0--7,0--10,0--12,0--14,0--16,0--18,0--19,0--21,0--22,0--23,0--25,0--26
