SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
129,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
128,25,-,28,-,-,32,-,-,-,-,-,38,-,-,-,-,-,-
127,-,26,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-
126,24,-,-,-,30,-,-,34,-,-,37,-,-,-,-,-,-,-
125,-,-,27,-,-,-,-,-,35,36,-,-,-,-,-,-,-,-
124,-,25,-,28,-,31,-,-,-,-,-,-,-,-,-,-,-,-
123,23,-,-,-,-,-,32,-,-,-,-,-,38,-,-,-,-,-
122,-,-,26,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,24,-,-,-,-,-,33,34,-,-,37,-,-,-,-,-,-
120,22,-,-,27,-,30,-,-,-,35,36,-,-,-,-,-,-,-
119,-,-,25,-,-,-,31,-,-,-,-,-,-,38,-,-,-,-
118,-,23,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
117,21,-,-,26,-,-,-,32,-,-,-,-,-,-,-,-,-,-
116,-,-,24,-,-,29,-,-,33,-,-,-,37,-,-,-,-,-
115,-,22,-,-,27,-,-,-,-,34,-,36,-,-,38,-,-,-
114,20,-,-,-,-,-,30,-,-,-,35,-,-,-,-,-,-,-
113,-,-,-,25,-,-,-,31,-,-,-,-,-,-,-,-,-,-
112,-,21,23,-,-,28,-,-,-,-,-,-,-,-,-,38,-,-
111,19,-,-,-,26,-,-,-,32,-,-,-,-,37,-,-,-,-
110,-,-,-,24,-,-,29,-,-,-,-,-,-,-,-,-,-,-
109,-,20,22,-,-,27,-,-,-,33,-,-,36,-,-,-,-,-
108,18,-,-,-,-,-,-,30,-,-,34,35,-,-,-,-,-,-
107,-,-,-,23,25,-,-,-,-,-,-,-,-,-,-,-,38,-
106,-,19,21,-,-,-,28,-,31,-,-,-,-,-,-,-,-,-
105,17,-,-,-,-,26,-,-,-,-,-,-,-,-,37,-,-,38
104,-,-,-,-,24,-,-,29,-,32,-,-,-,-,-,-,-,-
103,16,18,20,22,-,-,-,-,-,-,33,-,-,-,-,-,-,-
102,-,-,-,-,-,-,27,-,-,-,-,-,-,36,-,-,-,-
101,-,-,-,-,-,25,-,-,30,-,-,34,35,-,-,-,-,-
100,15,17,19,21,23,-,-,-,-,-,-,-,-,-,-,37,-,-
99,-,-,-,-,-,-,26,28,-,31,-,-,-,-,-,-,-,-
98,14,-,-,-,22,24,-,-,29,-,32,33,-,-,36,-,37,37
97,-,16,18,20,-,-,-,27,-,-,-,-,34,35,-,-,-,-
96,-,-,-,-,-,-,25,-,-,30,-,-,-,-,-,36,-,-
95,13,15,17,19,21,23,-,-,28,-,31,-,-,-,35,-,36,-
94,-,-,-,-,-,-,-,26,-,29,-,32,33,34,-,-,-,36
93,12,14,16,18,20,22,24,-,-,-,-,-,-,-,-,-,-,-
92,-,-,-,-,-,-,-,-,27,-,30,-,-,-,-,35,-,-
91,11,13,-,-,-,-,23,25,-,28,-,31,32,33,34,-,35,-
90,-,-,15,17,19,21,-,-,26,-,-,-,-,-,-,-,-,35
89,10,-,-,-,-,-,-,24,-,-,29,-,-,-,-,34,-,-
88,-,12,14,16,18,20,22,-,-,27,-,30,31,-,33,-,-,-
87,9,-,-,-,-,-,-,-,25,-,-,-,-,32,-,-,34,-
86,-,11,13,15,-,-,21,23,-,-,28,-,-,-,-,-,-,34
85,-,-,-,-,17,19,-,-,-,26,-,29,-,-,-,33,-,-
84,8,10,12,-,-,-,-,-,24,-,-,-,30,31,32,-,-,-
83,-,-,-,14,16,18,20,22,-,-,27,-,-,-,-,-,33,-
82,7,9,-,-,-,-,-,-,-,25,-,28,-,-,-,32,-,33
81,-,-,11,13,15,-,-,21,23,-,-,-,29,30,31,-,-,-
80,6,8,-,-,-,17,19,-,-,-,26,-,-,-,-,-,-,-
79,-,-,10,-,-,-,-,-,-,24,-,27,-,-,-,-,32,-
78,5,-,-,12,14,16,18,20,22,-,-,-,28,-,-,31,-,32
77,-,7,9,-,-,-,-,-,-,-,25,-,-,29,30,-,-,-
76,4,-,-,11,13,-,-,-,21,23,-,26,-,-,-,-,-,-
75,-,6,-,-,-,15,17,19,-,-,-,-,27,-,-,-,31,-
74,3,-,8,10,-,-,-,-,-,-,24,-,-,28,29,30,-,31
73,-,5,-,-,12,14,16,18,20,22,-,25,-,-,-,-,-,-
72,-,-,7,-,-,-,-,-,-,-,-,-,26,-,-,-,30,-
71,2,4,-,9,11,-,-,-,-,21,23,-,-,27,-,29,-,-
70,-,-,6,-,-,13,15,17,19,-,-,24,-,-,28,-,-,30
69,1,-,-,8,-,-,-,-,-,-,22,-,-,-,-,-,-,-
68,-,3,-,-,10,12,-,-,-,20,-,-,25,-,-,-,29,-
67,0,-,5,7,-,-,14,16,18,-,-,23,-,26,27,28,-,-
66,-,2,-,-,9,-,-,-,-,-,21,-,-,-,-,-,-,29
65,-,-,4,-,-,11,13,15,17,19,-,-,24,-,-,-,-,-
64,-,1,-,6,-,-,-,-,-,-,-,22,-,25,-,-,28,-
63,-,-,3,-,8,10,-,-,-,-,20,-,-,-,26,27,-,-
62,-,0,-,5,-,-,12,14,16,18,-,-,23,-,-,-,-,28
61,-,-,2,-,7,-,-,-,-,-,-,21,-,24,-,-,-,-
60,-,-,-,4,-,9,11,-,-,-,19,-,-,-,25,26,27,-
59,-,-,-,-,6,-,-,13,15,17,-,-,22,-,-,-,-,-
58,-,-,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,27
57,-,-,-,3,-,-,10,-,-,-,18,20,-,23,-,-,-,-
56,-,-,0,-,5,-,-,12,14,16,-,-,21,-,24,25,26,-
55,-,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,4,-,9,11,-,-,17,19,-,22,-,-,-,26
53,-,-,-,-,-,6,-,-,13,15,-,-,-,-,23,-,25,-
52,-,-,-,1,-,-,8,-,-,-,-,-,20,-,-,24,-,-
51,-,-,-,-,3,-,-,10,12,-,16,18,-,21,-,-,-,-
50,-,-,-,0,-,5,-,-,-,14,-,-,-,-,-,-,-,25
49,-,-,-,-,2,-,7,-,-,-,-,-,19,-,22,23,24,-
48,-,-,-,-,-,4,-,9,11,13,15,17,-,-,-,-,-,-
47,-,-,-,-,-,-,6,-,-,-,-,-,-,20,-,-,-,-
46,-,-,-,-,1,-,-,8,-,-,-,-,18,-,21,-,-,24
45,-,-,-,-,-,3,-,-,10,12,14,16,-,-,-,22,23,-
44,-,-,-,-,0,-,5,-,-,-,-,-,-,19,-,-,-,-
43,-,-,-,-,-,2,-,7,-,-,-,-,17,-,-,-,-,-
42,-,-,-,-,-,-,-,-,9,11,13,15,-,-,20,21,-,23
41,-,-,-,-,-,-,4,-,-,-,-,-,-,18,-,-,22,-
40,-,-,-,-,-,0--1,0--3,0--6,0--8,0--10,0--12,0--14,0--16,0--17,0--19,0--20,0--21,0--22
