SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
131,25,-,26,27,-,-,32,-,-,-,-,-,-,-,-,-,-,-
130,-,25,-,-,-,30,-,-,-,-,-,41,-,-,-,-,-,-
129,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
128,24,-,25,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-
127,-,24,-,26,-,-,31,33,35,37,-,-,42,-,-,-,-,-
126,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-
125,23,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,23,-,25,-,-,-,-,-,-,-,40,-,-,-,-,-,-
122,-,-,-,-,-,28,30,32,-,-,-,-,-,-,-,-,-,-
121,22,-,-,-,26,-,-,-,34,36,38,-,-,-,-,-,-,-
120,-,22,23,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-
118,21,-,-,-,-,27,29,-,-,-,-,-,-,42,-,-,-,-
117,-,21,22,-,25,-,-,31,-,-,-,-,-,-,-,-,-,-
116,-,-,-,23,-,-,-,-,33,-,-,39,-,-,-,-,-,-
115,20,-,-,-,-,-,-,-,-,35,37,-,-,-,-,-,-,-
114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,20,21,-,24,26,28,-,-,-,-,-,-,-,-,-,-,-
112,19,-,-,22,-,-,-,30,-,-,-,-,40,-,-,-,-,-
111,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-
110,-,19,20,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
109,18,-,-,-,23,25,27,-,-,-,36,38,-,41,42,-,-,-
108,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,18,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-
106,-,-,19,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-
105,17,-,-,-,22,24,-,-,-,-,-,-,-,-,-,-,-,-
104,-,-,-,20,-,-,26,-,-,33,-,-,39,-,-,42,-,-
103,-,17,18,-,-,-,-,-,-,-,35,37,-,-,-,-,42,42
102,16,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-
101,-,-,-,19,21,23,-,-,-,-,-,-,-,40,-,-,-,-
100,-,16,-,-,-,-,25,-,30,-,-,-,-,-,41,-,-,-
99,15,-,17,-,-,-,-,27,-,32,-,-,38,-,-,-,-,-
98,-,-,-,18,20,22,-,-,29,-,34,36,-,-,-,41,41,41
97,14,15,16,-,-,-,24,-,-,-,-,-,-,39,40,-,-,-
96,-,-,-,17,19,-,-,26,-,31,33,-,37,-,-,-,-,-
95,13,14,15,-,-,21,23,-,28,-,-,35,-,-,-,40,40,-
94,-,-,-,-,-,-,-,-,-,30,-,-,-,38,39,-,-,40
93,-,13,-,16,18,20,-,25,-,-,32,34,36,-,-,-,-,-
92,12,-,14,-,-,-,22,-,27,-,-,-,-,-,-,39,-,-
91,-,-,-,15,17,-,-,24,-,29,-,-,-,37,38,-,39,39
90,11,12,13,-,-,19,-,-,-,-,31,33,35,-,-,-,-,-
89,-,-,-,-,-,-,21,-,26,-,-,-,-,-,-,38,-,-
88,10,11,-,14,16,18,-,23,-,28,-,-,-,36,37,-,38,38
87,-,-,12,-,-,-,20,-,25,-,30,32,34,-,-,-,-,-
86,-,10,-,13,15,-,-,-,-,27,-,-,-,-,-,37,-,-
85,9,-,11,-,-,17,-,22,-,-,29,-,-,35,36,-,37,37
84,-,-,-,-,-,-,19,-,24,-,-,31,33,-,-,-,-,-
83,8,9,-,12,14,16,-,21,-,26,-,-,-,-,-,36,-,-
82,-,-,10,-,-,-,18,-,-,-,28,-,-,34,35,-,36,36
81,-,8,-,11,13,-,-,-,23,-,-,30,32,-,-,-,-,-
80,7,-,9,-,-,15,-,20,-,25,-,-,-,33,-,35,-,-
79,-,-,-,-,-,-,17,-,22,-,27,-,-,-,34,-,35,-
78,6,7,8,10,12,14,-,19,-,-,-,29,31,-,-,-,-,35
77,-,-,-,-,-,-,-,-,-,24,-,-,-,32,-,-,-,-
76,5,6,-,9,11,-,16,-,21,-,26,28,30,-,33,34,34,-
75,-,-,7,-,-,13,-,18,-,23,-,-,-,-,-,-,-,34
74,-,5,-,-,-,-,15,-,-,-,-,-,-,31,-,-,-,-
73,4,-,6,8,10,-,-,-,20,-,25,27,29,-,32,33,33,-
72,-,-,-,-,-,12,-,17,-,22,-,-,-,-,-,-,-,33
71,3,4,-,7,9,-,14,-,19,-,24,-,-,30,-,-,-,-
70,-,-,5,-,-,11,-,16,-,-,-,26,28,-,31,32,-,-
69,2,3,-,-,-,-,13,-,-,21,-,-,-,-,-,-,32,32
68,-,-,4,6,8,-,-,-,18,-,23,-,-,29,-,-,-,-
67,-,2,-,-,-,10,-,15,-,-,-,25,27,-,30,31,-,-
66,1,-,3,5,7,-,12,-,-,20,-,-,-,-,-,-,31,-
65,-,-,-,-,-,9,-,-,17,-,22,-,-,28,-,-,-,31
64,0,1,-,4,-,-,-,14,-,19,-,24,26,-,29,30,-,-
63,-,-,2,-,6,-,11,-,16,-,-,-,-,-,-,-,30,-
62,-,0,-,-,-,8,-,13,-,-,21,-,-,27,-,-,-,30
61,-,-,1,3,5,-,10,-,-,18,-,23,25,-,28,29,-,-
60,-,-,-,-,-,7,-,-,15,-,-,-,-,-,-,-,29,-
59,-,-,-,2,-,-,-,12,-,-,20,-,-,26,-,-,-,29
58,-,-,0,-,4,-,9,-,-,17,-,22,24,-,27,28,-,-
57,-,-,-,-,-,6,-,11,14,-,19,-,-,-,-,-,28,-
56,-,-,-,1,3,-,8,-,-,-,-,21,-,25,-,-,-,28
55,-,-,-,-,-,5,-,-,13,16,-,-,23,-,26,27,-,-
54,-,-,-,0,-,-,-,10,-,-,18,-,-,-,-,-,27,-
53,-,-,-,-,2,-,7,-,-,15,-,20,-,24,-,-,-,27
52,-,-,-,-,-,4,-,-,12,-,-,-,22,-,25,26,-,-
51,-,-,-,-,1,-,6,9,-,-,17,-,-,-,-,-,26,-
50,-,-,-,-,-,3,-,-,-,14,-,19,21,23,-,-,-,-
49,-,-,-,-,-,-,-,8,11,-,-,-,-,-,24,25,-,26
48,-,-,-,-,0,-,5,-,-,-,16,-,-,-,-,-,-,-
47,-,-,-,-,-,2,-,-,10,13,-,18,20,22,-,-,25,-
46,-,-,-,-,-,-,-,7,-,-,15,-,-,-,23,24,-,25
45,-,-,-,-,-,1,4,-,-,12,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,9,-,-,17,19,21,-,-,24,-
43,-,-,-,-,-,-,3,6,-,-,14,-,-,-,22,23,-,24
42,-,-,-,-,-,0,-,-,-,11,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,5,8,-,-,16,18,20,-,-,23,-
40,-,-,-,-,-,-,0--2,0--4,0--7,0--10,0--13,0--15,0--17,0--19,0--21,0--22,0--22,0--23
