scale,form,agestrat,rawscore,SS,descrange,Percentile
PHY,interview,012,34,160,Well above average,>99.9
PHY,interview,012,35,160,Well above average,>99.9
PHY,interview,012,36,160,Well above average,>99.9
PHY,interview,012,37,160,Well above average,>99.9
PHY,interview,014,0,45,Delayed,<0.1
PHY,interview,014,1,50,Delayed,<0.1
PHY,interview,014,2,55,Delayed,0.1
PHY,interview,014,3,60,Delayed,0.4
PHY,interview,014,4,64,Delayed,1
PHY,interview,014,5,69,Delayed,2
PHY,interview,014,6,74,Below average,4
PHY,interview,014,7,79,Below average,8
PHY,interview,014,8,84,Below average,14
PHY,interview,014,9,88,Average,21
PHY,interview,014,10,93,Average,32
PHY,interview,014,11,98,Average,45
PHY,interview,014,12,103,Average,58
PHY,interview,014,13,109,Average,73
PHY,interview,014,14,115,Average,84
PHY,interview,014,15,122,Above average,93
PHY,interview,014,16,128,Above average,97
PHY,interview,014,17,134,Well above average,99
PHY,interview,014,18,140,Well above average,99.6
PHY,interview,014,19,146,Well above average,99.9
PHY,interview,014,20,152,Well above average,>99.9
PHY,interview,014,21,158,Well above average,>99.9
PHY,interview,014,22,160,Well above average,>99.9
PHY,interview,014,23,160,Well above average,>99.9
PHY,interview,014,24,160,Well above average,>99.9
PHY,interview,014,25,160,Well above average,>99.9
PHY,interview,014,26,160,Well above average,>99.9
PHY,interview,014,27,160,Well above average,>99.9
PHY,interview,014,28,160,Well above average,>99.9
PHY,interview,014,29,160,Well above average,>99.9
PHY,interview,014,30,160,Well above average,>99.9
PHY,interview,014,31,160,Well above average,>99.9
PHY,interview,014,32,160,Well above average,>99.9
PHY,interview,014,33,160,Well above average,>99.9
PHY,interview,014,34,160,Well above average,>99.9
PHY,interview,014,35,160,Well above average,>99.9
PHY,interview,014,36,160,Well above average,>99.9
PHY,interview,014,37,160,Well above average,>99.9
PHY,interview,016,0,40,Delayed,<0.1
PHY,interview,016,1,42,Delayed,<0.1
PHY,interview,016,2,47,Delayed,<0.1
PHY,interview,016,3,52,Delayed,0.1
PHY,interview,016,4,56,Delayed,0.2
PHY,interview,016,5,61,Delayed,0.5
PHY,interview,016,6,66,Delayed,1
PHY,interview,016,7,71,Below average,3
PHY,interview,016,8,75,Below average,5
PHY,interview,016,9,80,Below average,9
PHY,interview,016,10,85,Average,16
PHY,interview,016,11,89,Average,23
PHY,interview,016,12,94,Average,34
PHY,interview,016,13,99,Average,47
PHY,interview,016,14,105,Average,63
PHY,interview,016,15,111,Average,77
PHY,interview,016,16,117,Above average,87
PHY,interview,016,17,123,Above average,94
PHY,interview,016,18,129,Above average,97
PHY,interview,016,19,135,Well above average,99
PHY,interview,016,20,142,Well above average,99.7
PHY,interview,016,21,148,Well above average,99.9
PHY,interview,016,22,154,Well above average,>99.9
PHY,interview,016,23,160,Well above average,>99.9
PHY,interview,016,24,160,Well above average,>99.9
PHY,interview,016,25,160,Well above average,>99.9
PHY,interview,016,26,160,Well above average,>99.9
PHY,interview,016,27,160,Well above average,>99.9
PHY,interview,016,28,160,Well above average,>99.9
PHY,interview,016,29,160,Well above average,>99.9
PHY,interview,016,30,160,Well above average,>99.9
PHY,interview,016,31,160,Well above average,>99.9
PHY,interview,016,32,160,Well above average,>99.9
PHY,interview,016,33,160,Well above average,>99.9
PHY,interview,016,34,160,Well above average,>99.9
PHY,interview,016,35,160,Well above average,>99.9
PHY,interview,016,36,160,Well above average,>99.9
PHY,interview,016,37,160,Well above average,>99.9
PHY,interview,018,0,40,Delayed,<0.1
PHY,interview,018,1,40,Delayed,<0.1
PHY,interview,018,2,40,Delayed,<0.1
PHY,interview,018,3,44,Delayed,<0.1
PHY,interview,018,4,49,Delayed,<0.1
PHY,interview,018,5,53,Delayed,0.1
PHY,interview,018,6,58,Delayed,0.3
PHY,interview,018,7,63,Delayed,1
PHY,interview,018,8,67,Delayed,1
PHY,interview,018,9,72,Below average,3
PHY,interview,018,10,77,Below average,6
PHY,interview,018,11,81,Below average,10
PHY,interview,018,12,86,Average,18
PHY,interview,018,13,91,Average,27
PHY,interview,018,14,95,Average,37
PHY,interview,018,15,100,Average,50
PHY,interview,018,16,106,Average,66
PHY,interview,018,17,112,Average,79
PHY,interview,018,18,119,Above average,90
PHY,interview,018,19,125,Above average,95
PHY,interview,018,20,131,Well above average,98
PHY,interview,018,21,137,Well above average,99
PHY,interview,018,22,144,Well above average,99.8
PHY,interview,018,23,150,Well above average,>99.9
PHY,interview,018,24,156,Well above average,>99.9
PHY,interview,018,25,160,Well above average,>99.9
PHY,interview,018,26,160,Well above average,>99.9
PHY,interview,018,27,160,Well above average,>99.9
PHY,interview,018,28,160,Well above average,>99.9
PHY,interview,018,29,160,Well above average,>99.9
PHY,interview,018,30,160,Well above average,>99.9
PHY,interview,018,31,160,Well above average,>99.9
PHY,interview,018,32,160,Well above average,>99.9
PHY,interview,018,33,160,Well above average,>99.9
PHY,interview,018,34,160,Well above average,>99.9
PHY,interview,018,35,160,Well above average,>99.9
PHY,interview,018,36,160,Well above average,>99.9
PHY,interview,018,37,160,Well above average,>99.9
PHY,interview,020,0,40,Delayed,<0.1
PHY,interview,020,1,40,Delayed,<0.1
PHY,interview,020,2,40,Delayed,<0.1
PHY,interview,020,3,40,Delayed,<0.1
PHY,interview,020,4,41,Delayed,<0.1
PHY,interview,020,5,46,Delayed,<0.1
PHY,interview,020,6,51,Delayed,0.1
PHY,interview,020,7,55,Delayed,0.1
PHY,interview,020,8,60,Delayed,0.4
PHY,interview,020,9,64,Delayed,1
PHY,interview,020,10,69,Delayed,2
PHY,interview,020,11,74,Below average,4
PHY,interview,020,12,78,Below average,7
PHY,interview,020,13,83,Below average,13
PHY,interview,020,14,87,Average,19
PHY,interview,020,15,92,Average,30
PHY,interview,020,16,97,Average,42
PHY,interview,020,17,102,Average,55
PHY,interview,020,18,108,Average,70
PHY,interview,020,19,114,Average,82
PHY,interview,020,20,121,Above average,92
PHY,interview,020,21,127,Above average,96
PHY,interview,020,22,133,Well above average,99
PHY,interview,020,23,140,Well above average,99.6
PHY,interview,020,24,146,Well above average,99.9
PHY,interview,020,25,152,Well above average,>99.9
PHY,interview,020,26,159,Well above average,>99.9
PHY,interview,020,27,160,Well above average,>99.9
PHY,interview,020,28,160,Well above average,>99.9
PHY,interview,020,29,160,Well above average,>99.9
PHY,interview,020,30,160,Well above average,>99.9
PHY,interview,020,31,160,Well above average,>99.9
PHY,interview,020,32,160,Well above average,>99.9
PHY,interview,020,33,160,Well above average,>99.9
PHY,interview,020,34,160,Well above average,>99.9
PHY,interview,020,35,160,Well above average,>99.9
PHY,interview,020,36,160,Well above average,>99.9
PHY,interview,020,37,160,Well above average,>99.9
PHY,interview,022,0,40,Delayed,<0.1
PHY,interview,022,1,40,Delayed,<0.1
PHY,interview,022,2,40,Delayed,<0.1
PHY,interview,022,3,40,Delayed,<0.1
PHY,interview,022,4,40,Delayed,<0.1
PHY,interview,022,5,40,Delayed,<0.1
PHY,interview,022,6,43,Delayed,<0.1
PHY,interview,022,7,48,Delayed,<0.1
PHY,interview,022,8,52,Delayed,0.1
PHY,interview,022,9,57,Delayed,0.2
PHY,interview,022,10,62,Delayed,1
PHY,interview,022,11,66,Delayed,1
PHY,interview,022,12,71,Below average,3
PHY,interview,022,13,75,Below average,5
PHY,interview,022,14,80,Below average,9
PHY,interview,022,15,84,Below average,14
PHY,interview,022,16,89,Average,23
PHY,interview,022,17,93,Average,32
PHY,interview,022,18,98,Average,45
PHY,interview,022,19,103,Average,58
PHY,interview,022,20,110,Average,75
PHY,interview,022,21,116,Above average,86
PHY,interview,022,22,123,Above average,94
PHY,interview,022,23,129,Above average,97
PHY,interview,022,24,136,Well above average,99
PHY,interview,022,25,142,Well above average,99.7
PHY,interview,022,26,149,Well above average,99.9
PHY,interview,022,27,155,Well above average,>99.9
PHY,interview,022,28,160,Well above average,>99.9
PHY,interview,022,29,160,Well above average,>99.9
PHY,interview,022,30,160,Well above average,>99.9
PHY,interview,022,31,160,Well above average,>99.9
PHY,interview,022,32,160,Well above average,>99.9
PHY,interview,022,33,160,Well above average,>99.9
PHY,interview,022,34,160,Well above average,>99.9
PHY,interview,022,35,160,Well above average,>99.9
PHY,interview,022,36,160,Well above average,>99.9
PHY,interview,022,37,160,Well above average,>99.9
PHY,interview,024,0,40,Delayed,<0.1
PHY,interview,024,1,40,Delayed,<0.1
PHY,interview,024,2,40,Delayed,<0.1
PHY,interview,024,3,40,Delayed,<0.1
PHY,interview,024,4,40,Delayed,<0.1
PHY,interview,024,5,40,Delayed,<0.1
PHY,interview,024,6,40,Delayed,<0.1
PHY,interview,024,7,41,Delayed,<0.1
PHY,interview,024,8,46,Delayed,<0.1
PHY,interview,024,9,50,Delayed,<0.1
PHY,interview,024,10,55,Delayed,0.1
PHY,interview,024,11,59,Delayed,0.3
PHY,interview,024,12,63,Delayed,1
PHY,interview,024,13,68,Delayed,2
PHY,interview,024,14,72,Below average,3
PHY,interview,024,15,77,Below average,6
PHY,interview,024,16,81,Below average,10
PHY,interview,024,17,86,Average,18
PHY,interview,024,18,90,Average,25
PHY,interview,024,19,95,Average,37
PHY,interview,024,20,99,Average,47
PHY,interview,024,21,106,Average,66
PHY,interview,024,22,112,Average,79
PHY,interview,024,23,119,Above average,90
PHY,interview,024,24,125,Above average,95
PHY,interview,024,25,132,Well above average,98
PHY,interview,024,26,138,Well above average,99
PHY,interview,024,27,145,Well above average,99.9
PHY,interview,024,28,152,Well above average,>99.9
PHY,interview,024,29,158,Well above average,>99.9
PHY,interview,024,30,160,Well above average,>99.9
PHY,interview,024,31,160,Well above average,>99.9
PHY,interview,024,32,160,Well above average,>99.9
PHY,interview,024,33,160,Well above average,>99.9
PHY,interview,024,34,160,Well above average,>99.9
PHY,interview,024,35,160,Well above average,>99.9
PHY,interview,024,36,160,Well above average,>99.9
PHY,interview,024,37,160,Well above average,>99.9
PHY,interview,028,0,40,Delayed,<0.1
PHY,interview,028,1,40,Delayed,<0.1
PHY,interview,028,2,40,Delayed,<0.1
PHY,interview,028,3,40,Delayed,<0.1
PHY,interview,028,4,40,Delayed,<0.1
PHY,interview,028,5,40,Delayed,<0.1
PHY,interview,028,6,40,Delayed,<0.1
PHY,interview,028,7,40,Delayed,<0.1
PHY,interview,028,8,40,Delayed,<0.1
PHY,interview,028,9,43,Delayed,<0.1
PHY,interview,028,10,48,Delayed,<0.1
PHY,interview,028,11,52,Delayed,0.1
PHY,interview,028,12,57,Delayed,0.2
PHY,interview,028,13,61,Delayed,0.5
PHY,interview,028,14,66,Delayed,1
PHY,interview,028,15,70,Below average,2
PHY,interview,028,16,74,Below average,4
PHY,interview,028,17,79,Below average,8
PHY,interview,028,18,83,Below average,13
PHY,interview,028,19,88,Average,21
PHY,interview,028,20,92,Average,30
PHY,interview,028,21,96,Average,39
PHY,interview,028,22,101,Average,53
PHY,interview,028,23,108,Average,70
PHY,interview,028,24,115,Average,84
PHY,interview,028,25,121,Above average,92
PHY,interview,028,26,128,Above average,97
PHY,interview,028,27,135,Well above average,99
PHY,interview,028,28,142,Well above average,99.7
PHY,interview,028,29,148,Well above average,99.9
PHY,interview,028,30,155,Well above average,>99.9
PHY,interview,028,31,160,Well above average,>99.9
PHY,interview,028,32,160,Well above average,>99.9
PHY,interview,028,33,160,Well above average,>99.9
PHY,interview,028,34,160,Well above average,>99.9
PHY,interview,028,35,160,Well above average,>99.9
PHY,interview,028,36,160,Well above average,>99.9
PHY,interview,028,37,160,Well above average,>99.9
PHY,interview,032,0,40,Delayed,<0.1
PHY,interview,032,1,40,Delayed,<0.1
PHY,interview,032,2,40,Delayed,<0.1
PHY,interview,032,3,40,Delayed,<0.1
PHY,interview,032,4,40,Delayed,<0.1
PHY,interview,032,5,40,Delayed,<0.1
PHY,interview,032,6,40,Delayed,<0.1
PHY,interview,032,7,40,Delayed,<0.1
PHY,interview,032,8,40,Delayed,<0.1
PHY,interview,032,9,40,Delayed,<0.1
PHY,interview,032,10,42,Delayed,<0.1
PHY,interview,032,11,46,Delayed,<0.1
PHY,interview,032,12,50,Delayed,<0.1
PHY,interview,032,13,55,Delayed,0.1
PHY,interview,032,14,59,Delayed,0.3
PHY,interview,032,15,63,Delayed,1
PHY,interview,032,16,68,Delayed,2
PHY,interview,032,17,72,Below average,3
PHY,interview,032,18,76,Below average,5
PHY,interview,032,19,81,Below average,10
PHY,interview,032,20,85,Average,16
PHY,interview,032,21,90,Average,25
PHY,interview,032,22,94,Average,34
PHY,interview,032,23,98,Average,45
PHY,interview,032,24,104,Average,61
PHY,interview,032,25,111,Average,77
PHY,interview,032,26,118,Above average,88
PHY,interview,032,27,125,Above average,95
PHY,interview,032,28,131,Well above average,98
PHY,interview,032,29,138,Well above average,99
PHY,interview,032,30,145,Well above average,99.9
PHY,interview,032,31,152,Well above average,>99.9
PHY,interview,032,32,159,Well above average,>99.9
PHY,interview,032,33,160,Well above average,>99.9
PHY,interview,032,34,160,Well above average,>99.9
PHY,interview,032,35,160,Well above average,>99.9
PHY,interview,032,36,160,Well above average,>99.9
PHY,interview,032,37,160,Well above average,>99.9
PHY,interview,036,0,40,Delayed,<0.1
PHY,interview,036,1,40,Delayed,<0.1
PHY,interview,036,2,40,Delayed,<0.1
PHY,interview,036,3,40,Delayed,<0.1
PHY,interview,036,4,40,Delayed,<0.1
PHY,interview,036,5,40,Delayed,<0.1
PHY,interview,036,6,40,Delayed,<0.1
PHY,interview,036,7,40,Delayed,<0.1
PHY,interview,036,8,40,Delayed,<0.1
PHY,interview,036,9,40,Delayed,<0.1
PHY,interview,036,10,40,Delayed,<0.1
PHY,interview,036,11,40,Delayed,<0.1
PHY,interview,036,12,44,Delayed,<0.1
PHY,interview,036,13,49,Delayed,<0.1
PHY,interview,036,14,53,Delayed,0.1
PHY,interview,036,15,57,Delayed,0.2
PHY,interview,036,16,62,Delayed,1
PHY,interview,036,17,66,Delayed,1
PHY,interview,036,18,70,Below average,2
PHY,interview,036,19,74,Below average,4
PHY,interview,036,20,79,Below average,8
PHY,interview,036,21,83,Below average,13
PHY,interview,036,22,87,Average,19
PHY,interview,036,23,92,Average,30
PHY,interview,036,24,96,Average,39
PHY,interview,036,25,101,Average,53
PHY,interview,036,26,108,Average,70
PHY,interview,036,27,114,Average,82
PHY,interview,036,28,121,Above average,92
PHY,interview,036,29,128,Above average,97
PHY,interview,036,30,135,Well above average,99
PHY,interview,036,31,142,Well above average,99.7
PHY,interview,036,32,149,Well above average,99.9
PHY,interview,036,33,156,Well above average,>99.9
PHY,interview,036,34,160,Well above average,>99.9
PHY,interview,036,35,160,Well above average,>99.9
PHY,interview,036,36,160,Well above average,>99.9
PHY,interview,036,37,160,Well above average,>99.9
PHY,interview,042,0,40,Delayed,<0.1
PHY,interview,042,1,40,Delayed,<0.1
PHY,interview,042,2,40,Delayed,<0.1
PHY,interview,042,3,40,Delayed,<0.1
PHY,interview,042,4,40,Delayed,<0.1
PHY,interview,042,5,40,Delayed,<0.1
PHY,interview,042,6,40,Delayed,<0.1
PHY,interview,042,7,40,Delayed,<0.1
PHY,interview,042,8,40,Delayed,<0.1
PHY,interview,042,9,40,Delayed,<0.1
PHY,interview,042,10,40,Delayed,<0.1
PHY,interview,042,11,40,Delayed,<0.1
PHY,interview,042,12,40,Delayed,<0.1
PHY,interview,042,13,43,Delayed,<0.1
PHY,interview,042,14,47,Delayed,<0.1
PHY,interview,042,15,51,Delayed,0.1
PHY,interview,042,16,56,Delayed,0.2
PHY,interview,042,17,60,Delayed,0.4
PHY,interview,042,18,64,Delayed,1
PHY,interview,042,19,69,Delayed,2
PHY,interview,042,20,73,Below average,4
PHY,interview,042,21,77,Below average,6
PHY,interview,042,22,81,Below average,10
PHY,interview,042,23,86,Average,18
PHY,interview,042,24,90,Average,25
PHY,interview,042,25,94,Average,34
PHY,interview,042,26,98,Average,45
PHY,interview,042,27,104,Average,61
PHY,interview,042,28,111,Average,77
PHY,interview,042,29,119,Above average,90
PHY,interview,042,30,126,Above average,96
PHY,interview,042,31,133,Well above average,99
PHY,interview,042,32,140,Well above average,99.6
PHY,interview,042,33,147,Well above average,99.9
PHY,interview,042,34,154,Well above average,>99.9
PHY,interview,042,35,160,Well above average,>99.9
PHY,interview,042,36,160,Well above average,>99.9
PHY,interview,042,37,160,Well above average,>99.9
PHY,interview,048,0,40,Delayed,<0.1
PHY,interview,048,1,40,Delayed,<0.1
PHY,interview,048,2,40,Delayed,<0.1
