SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
97,-,-,-,5,-,-,-,-,-,11,-,-,-,16,-,-,20,-,23,24,-,-,28,29,30,31,32,33,34,34
96,3,-,-,-,-,-,-,-,-,-,12,-,-,-,17,-,-,21,-,-,25,-,-,-,-,-,-,-,-,-
95,-,-,4,-,-,-,-,-,-,-,-,13,-,-,-,18,-,-,22,-,-,26,27,28,29,30,31,32,33,33
94,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,19,-,-,23,-,-,-,-,-,-,-,-,32,-
93,-,-,-,-,-,6,7,8,9,10,-,-,-,15,-,-,-,20,-,-,24,25,26,-,-,-,30,31,-,32
92,-,-,-,-,5,-,-,-,-,-,11,-,-,-,16,-,-,-,21,-,-,-,-,27,28,29,-,-,31,-
91,-,3,-,-,-,-,-,-,-,-,-,12,-,-,-,17,18,-,-,22,23,24,-,-,-,-,29,30,-,31
90,-,-,-,4,-,-,-,-,-,-,-,-,13,14,-,-,-,19,-,-,-,-,25,26,27,28,-,-,30,-
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,20,21,-,-,-,-,-,-,28,29,-,30
88,-,-,-,-,-,-,6,7,8,9,10,-,-,-,-,16,17,-,-,-,22,23,24,25,26,27,-,-,29,-
87,-,-,3,-,-,5,-,-,-,-,-,11,12,-,-,-,-,18,19,-,-,-,-,-,-,-,27,28,-,29
86,-,-,-,-,-,-,-,-,-,-,-,-,-,13,14,-,-,-,-,20,21,22,23,24,25,26,-,-,28,-
85,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,15,16,-,-,-,-,-,-,-,-,-,26,27,-,28
84,-,-,-,-,-,-,-,-,7,8,9,10,-,-,-,-,-,17,18,19,-,-,-,-,24,25,-,-,27,-
83,-,-,-,3,-,-,-,6,-,-,-,-,11,12,-,-,-,-,-,-,20,21,22,23,-,-,-,26,-,27
82,-,2,-,-,-,-,5,-,-,-,-,-,-,-,13,14,15,-,-,-,-,-,-,-,23,24,25,-,26,26
81,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,16,17,18,19,20,21,22,-,-,-,25,-,-
80,-,-,-,-,-,-,-,-,-,-,8,9,10,-,-,-,-,-,-,-,-,-,-,-,-,23,24,-,25,25
79,-,-,2,-,3,-,-,-,6,7,-,-,-,11,12,13,14,15,-,-,-,-,20,21,22,-,-,24,-,-
78,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,16,17,18,19,-,-,-,22,23,-,24,24
77,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,21,-,-,23,-,-
76,-,-,-,-,-,-,-,-,-,-,7,8,9,10,11,12,13,14,15,16,17,18,19,-,-,21,22,-,23,23
75,-,-,-,2,-,3,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,22,-,-
