ID,agestrat,ADPscoreP
508034,84,39
517017,84,29
517026,84,37
602005,84,22
101021,96,39
101030,96,39
101032,96,41
102010,96,31
102011,96,36
109021,96,39
109061,96,40
109065,96,34
118016,96,32
120044,96,41
120046,96,40
138005,96,36
138017,96,37
148008,96,31
148025,96,36
202008,96,39
202048,96,39
202050,96,33
202051,96,40
202077,96,33
202091,96,37
202096,96,40
302001,96,41
508003,96,19
529008,96,38
529015,96,33
605002,96,19
612012,96,34
101001,108,41
109004,108,38
109016,108,39
116024,108,35
120024,108,41
120028,108,38
120043,108,41
120051,108,41
120058,108,34
138003,108,39
138013,108,37
148007,108,41
148022,108,33
148031,108,37
154028,108,40
202082,108,35
302002,108,41
508016,108,36
527004,108,18
607003,108,20
612008,108,34
612013,108,36
101010,120,40
101020,120,41
101035,120,41
109012,120,40
109015,120,39
109023,120,37
109042,120,38
118010,120,41
120071,120,40
127023,120,39
136005,120,38
138007,120,39
138016,120,37
154010,120,41
154018,120,39
202076,120,40
202094,120,41
506008,120,40
508026,120,31
517021,120,39
612007,120,30
612014,120,39
102018,132,41
109029,132,41
116011,132,37
116016,132,41
116022,132,41
120045,132,41
120066,132,41
138001,132,40
138010,132,41
138012,132,38
148009,132,40
148015,132,38
154017,132,36
154025,132,40
202012,132,40
302011,132,41
529022,132,40
529023,132,38
608008,132,41
109034,132,41
116015,132,40
116021,132,41
116037,132,41
116040,132,41
118004,132,41
118008,132,39
120025,132,39
120047,132,41
120072,132,40
127002,132,41
127034,132,41
136001,132,41
136004,132,41
148002,132,39
148006,132,41
148027,132,40
154021,132,41
154022,132,37
202001,132,41
202083,132,33
202085,132,36
101005,156,41
101012,156,41
102022,156,41
102027,156,41
102032,156,41
102040,156,41
105022,156,34
109044,156,38
116023,156,41
116029,156,41
116032,156,41
116034,156,41
116035,156,41
118003,156,41
120009,156,41
508005,156,37
601002,156,33
101006,156,41
101011,156,41
101022,156,41
101026,156,41
102015,156,41
102017,156,41
102020,156,41
102021,156,41
102024,156,41
102026,156,41
102034,156,41
102035,156,41
109011,156,39
109017,156,41
109041,156,41
109045,156,36
109062,156,40
118007,156,40
508017,156,39
508029,156,40
529010,156,41
102012,204,41
102013,204,41
102014,204,41
102019,204,41
105027,204,36
109001,204,39
109039,204,41
154001,204,41
154004,204,39
154007,204,41
154008,204,41
154011,204,41
154012,204,35
154013,204,41
154014,204,41
154015,204,41
154016,204,41
154019,204,41
154020,204,38
154023,204,39
154026,204,41
154027,204,41
101004,204,41
102016,204,41
102025,204,41
102028,204,41
102030,204,41
102031,204,41
102038,204,41
102039,204,41
105026,204,32
109024,204,41
109036,204,41
109040,204,41
116030,204,41
120010,204,41
302010,204,41
508007,204,34
529018,204,41
529020,204,41
529021,204,41
529024,204,41
601011,204,38
118014,NA,4
120019,NA,41
120033,NA,28
120034,NA,9
120035,NA,27
120055,NA,32
127041,NA,5
136022,NA,7
136026,NA,31
211019,NA,39
504002,NA,25
504005,NA,14
504007,NA,19
504008,NA,27
504009,NA,27
504016,NA,16
504030,NA,28
504031,NA,18
504032,NA,21
607001,NA,37
609001,NA,9
609007,NA,18
