ID,cogscore_teacher,agestrat
134017,31,72
134018,31,72
134019,37,78
134020,42,132
134021,42,132
134022,32,66
134023,40,96
134024,37,96
134025,37,96
134026,39,84
134031,12,24
134033,15,32
134034,36,96
134035,34,72
134038,40,108
134039,41,108
134041,16,32
134042,14,24
134044,42,108
135001,41,96
135004,29,66
135006,28,54
135007,29,54
135008,39,78
135009,34,66
135010,40,96
135019,28,54
135026,37,72
135027,30,60
136001,42,132
136004,42,132
136005,42,120
137001,35,132
137003,26,66
137004,16,36
137005,42,120
137006,39,84
137007,17,28
137008,30,48
137010,17,36
137012,28,54
137017,34,72
137018,21,48
137020,40,96
137021,24,54
137026,40,66
137027,41,96
137028,37,72
137029,40,108
137030,34,78
137032,37,84
137033,42,108
137034,26,48
137035,41,108
137036,39,72
137037,40,96
137038,33,78
137039,30,54
137051,30,66
138003,39,108
138004,39,84
138005,40,96
138007,42,120
138008,33,78
138010,42,132
138011,18,24
138016,38,120
138017,41,96
138021,15,24
139009,21,48
139013,29,42
139018,25,48
139019,15,32
139020,29,60
139021,25,48
141026,22,28
141027,22,24
141028,22,32
141029,21,32
141030,19,28
141031,21,36
141032,22,36
141033,21,36
141034,22,42
141035,24,36
141036,22,42
141037,22,36
141038,18,42
141039,19,36
141040,21,42
141041,23,42
141042,25,42
141043,22,42
141044,23,54
141045,22,48
141046,24,54
141047,23,54
141048,25,48
141049,27,54
143001,42,132
143002,40,108
143003,28,48
143004,40,84
143005,41,84
143006,38,96
143007,34,72
143008,35,78
143009,31,60
143010,34,54
143011,32,32
143013,30,72
143017,31,60
143018,41,96
143019,42,132
143021,42,132
143022,42,132
143023,40,96
143024,20,32
143025,42,120
148001,29,84
148002,40,132
148003,29,66
148005,31,54
148006,42,132
148007,41,108
148009,42,132
148012,38,84
148013,33,84
148017,32,60
148018,19,28
148019,31,72
148022,39,108
148023,34,84
148024,25,48
148025,41,96
148026,34,78
148027,42,132
148028,26,60
148029,25,72
148030,33,84
148031,41,108
151001,39,156
151002,42,120
151003,42,108
151004,42,156
151005,25,48
151006,20,36
151008,41,78
151010,21,42
151011,22,42
151012,39,84
151013,42,132
151014,16,36
151015,38,108
151016,33,78
151017,14,36
151018,42,132
151019,42,120
151020,41,132
151021,42,108
151022,42,132
151023,42,120
151024,42,132
151025,42,132
151026,42,120
151027,31,60
151028,31,66
151029,26,54
151030,31,66
151031,42,96
151032,40,96
151033,41,120
151034,42,132
151035,22,54
151036,39,96
151037,41,96
151038,36,108
151039,42,120
151040,42,132
151041,21,36
151042,40,84
151043,40,84
151044,37,84
151045,19,36
151046,41,84
151047,36,96
151048,42,120
151049,40,96
151050,16,24
151051,39,108
151052,34,84
151053,39,84
151054,41,108
151055,41,120
151056,31,96
151057,40,84
151058,39,84
151059,39,84
151060,42,96
154002,23,42
154005,40,84
154010,41,120
154017,40,132
154018,42,120
154022,38,132
154028,41,108
154029,42,108
154030,42,132
154037,21,72
154040,33,84
154041,22,60
154042,15,42
154043,9,28
154047,42,120
154052,28,54
154055,22,66
154056,42,108
154057,42,132
154058,42,108
154076,42,132
154077,33,108
154078,37,84
154079,42,132
154080,35,120
154081,39,108
154959,34,78
201001,30,66
201002,24,54
201003,31,66
201004,32,66
201007,31,72
201008,39,72
201009,36,78
201010,39,78
201011,19,66
201012,39,72
201013,32,66
201014,32,72
201015,33,66
201016,21,78
201017,30,60
201018,36,60
201019,36,60
201020,27,54
201021,29,60
201022,35,72
201024,23,78
201028,21,72
201029,22,60
201039,32,66
201040,29,66
