ID,agestrat,COMscore
119002,132,32
119003,132,32
119004,108,32
119005,18,14
119006,12,9
119007,96,32
119008,36,26
119009,78,30
119010,10,11
119011,84,31
119012,108,32
119013,132,32
119014,96,32
119015,78,31
119016,84,30
119017,132,32
119018,96,31
119019,84,27
119020,60,26
119021,96,33
119022,2,3
119023,2,3
120009,156,34
120010,204,34
120011,36,22
120012,54,27
120013,12,6
120014,16,14
120015,42,24
120016,28,21
120017,48,27
120018,60,28
120020,84,31
120021,132,34
120022,20,9
120023,78,29
120024,108,28
120025,132,28
120026,18,13
120027,72,28
120028,108,31
120029,42,23
120030,72,27
120031,60,24
120032,66,29
120037,10,9
120038,72,30
120041,0,2
120042,48,25
120043,108,32
120044,96,30
120045,132,32
120046,96,32
120047,132,34
120048,28,25
120049,54,26
120050,72,29
120051,108,32
120052,32,22
120053,60,26
120056,78,24
120057,78,27
120058,108,28
120059,66,29
120061,8,6
120062,42,27
120063,6,3
120064,48,24
120065,72,29
120066,132,34
120067,66,29
120069,8,5
120070,78,26
120071,120,32
120072,132,31
120073,108,33
121001,10,11
121002,156,34
121003,156,34
121005,18,15
121006,6,5
121007,36,23
121009,20,12
121010,24,16
121011,10,8
121012,22,16
121013,2,2
121014,20,12
121015,20,15
121016,42,27
121017,12,12
121018,78,33
121019,132,34
121020,36,22
121022,14,11
121023,54,24
122001,36,24
122002,60,30
122003,20,18
122004,0,1
122005,60,29
122006,84,30
122007,120,30
122008,20,13
122010,96,30
122011,20,18
122012,48,24
122013,2,1
122015,78,25
122016,60,28
122017,24,16
123001,204,34
123002,84,29
123003,156,34
123004,204,34
123005,156,33
123006,54,31
123007,54,26
123008,132,34
123009,84,27
123010,96,34
123011,204,34
123012,156,34
123013,156,34
123014,120,32
123015,78,23
123016,204,34
123017,156,34
123018,156,34
123019,132,30
123020,156,34
123021,36,23
123022,156,34
123023,120,34
123024,156,34
123025,156,34
123026,132,34
123027,66,26
123028,156,34
123029,132,31
123030,204,34
123031,156,34
123032,120,32
123033,42,22
123034,42,22
123035,132,33
123036,156,34
123037,132,32
123038,132,32
123039,96,31
123040,36,22
123041,132,32
123042,72,26
123043,132,32
123044,204,34
123045,204,34
123046,66,26
123047,132,34
123048,72,26
123049,120,32
123050,132,32
123051,132,34
123052,66,26
123053,78,26
123054,132,32
123055,132,32
123056,120,32
123057,72,28
123058,132,34
123059,132,32
123060,132,34
123061,120,32
123062,132,32
123063,42,22
123064,132,34
123065,108,31
123066,204,34
123067,132,34
123068,108,32
123069,120,32
123070,132,34
123071,36,22
123072,36,22
123073,42,23
123074,132,32
123075,132,32
123076,108,32
123077,132,34
123078,120,32
123079,54,25
123080,96,31
125001,108,31
125002,48,25
125003,48,25
125004,54,24
125005,60,26
125006,54,29
125007,60,29
125008,60,28
125009,54,28
125010,60,29
125011,66,30
125012,60,24
125013,60,27
125014,60,26
125015,54,26
125016,66,29
125017,72,29
125018,54,30
125019,60,26
125020,84,29
125021,60,27
125022,60,25
125023,60,24
125024,60,31
125025,0,1
125026,28,18
125027,14,10
125028,72,30
125029,10,8
125030,18,12
125031,60,28
125032,78,30
125033,60,27
125034,72,29
125035,20,16
125036,14,10
125037,72,31
125038,22,17
125039,2,3
125040,32,23
125041,14,10
125043,10,6
125044,10,6
125045,28,16
125046,60,24
125047,60,30
125048,60,27
125049,14,13
125053,8,4
125055,24,18
125057,14,8
125058,4,3
125059,28,23
125060,28,25
125061,4,4
125062,2,1
126001,66,29
126002,132,33
126003,108,32
126004,84,32
126005,60,25
126006,108,31
126007,96,28
126008,54,24
126009,54,27
126010,72,29
126011,66,28
126012,72,31
126013,60,27
126014,66,29
126015,132,34
126016,54,28
126017,132,33
126018,72,28
126019,108,33
126020,24,17
127001,18,14
127002,132,34
127003,2,4
127004,78,30
127005,6,7
127006,36,26
127007,54,28
127008,14,15
127009,16,14
127010,12,8
127011,66,25
127012,20,13
127013,12,10
127014,42,26
127015,48,27
127016,66,29
127017,42,25
127018,4,3
127019,24,18
127020,32,24
127021,22,17
127022,84,31
127023,120,32
127024,54,27
127025,20,17
127026,6,1
127027,24,13
127028,42,25
127029,66,29
127030,10,7
127031,48,29
127032,42,26
127033,78,32
127034,132,34
127035,84,30
127036,10,10
127037,10,12
127038,24,17
127039,2,4
127040,14,14
127042,0,2
127141,6,3
128001,96,32
128002,132,32
128003,132,31
128004,96,32
128005,120,32
128006,132,34
128007,108,34
128008,72,31
128009,132,34
128010,108,32
128011,120,32
128013,54,29
128014,120,32
128019,84,34
128020,72,31
128021,78,30
128022,108,32
128023,132,33
128024,96,32
128025,120,31
129001,120,34
129002,84,30
129003,8,4
129004,36,22
129005,36,22
129006,84,30
129007,42,24
129008,36,23
129009,28,23
129010,54,25
129011,108,32
129012,84,30
129013,120,33
129014,36,23
129015,48,24
129016,78,29
129017,66,27
129018,24,19
129019,48,29
129020,16,11
129021,48,26
129022,78,28
129023,36,27
129024,36,24
129025,48,26
129026,22,21
129027,108,31
129028,36,20
129029,78,26
129030,132,34
130001,60,27
130002,96,30
130003,60,29
130004,60,25
130005,72,30
130006,72,31
130007,84,30
130008,72,31
130009,72,31
130010,72,27
130011,84,30
130012,84,30
130013,84,30
130014,84,30
130015,54,29
130016,84,31
130017,84,26
130018,96,32
130019,96,32
130020,96,31
130021,96,32
130022,108,31
130023,108,34
130024,108,33
130025,108,33
130026,120,34
130027,120,34
130028,132,34
130029,132,33
131001,2,1
131002,10,8
131003,0,1
131004,66,28
131005,54,22
131006,36,18
131007,10,6
131008,42,21
131009,36,25
131010,28,18
131011,4,4
131012,84,31
131013,12,13
131014,42,24
131015,84,30
131016,96,31
131017,78,28
131018,132,32
131019,108,28
131020,20,12
131021,20,15
131022,36,21
131023,14,11
131024,48,29
131025,16,14
131026,0,0
131027,10,10
131028,96,31
131029,66,30
131030,12,11
131031,10,11
131032,10,11
131033,204,34
131034,36,22
131035,2,2
131036,22,19
131037,0,1
131038,4,3
131040,96,31
131041,42,26
131042,48,27
131043,42,26
131044,10,10
131045,2,2
131046,108,32
131047,84,31
131048,14,15
131049,0,0
131050,4,1
131051,14,10
131052,14,11
131053,6,5
131054,4,0
131055,42,23
131056,96,32
131057,72,27
131058,42,27
131059,84,29
131060,12,10
132002,6,3
132003,120,31
132006,78,32
132007,48,27
132008,22,18
132010,108,34
132011,32,18
132012,10,9
132015,72,30
132016,132,34
132017,132,31
132018,96,32
132019,54,29
132021,84,33
132022,96,34
132023,54,28
132024,132,32
132025,108,32
132026,108,32
132027,48,26
132028,16,9
132029,108,34
132030,42,27
133001,78,29
133002,120,32
133003,84,31
133004,42,24
133005,66,30
133006,96,34
133007,132,34
133010,24,19
133011,120,28
133012,84,32
133013,54,25
133015,78,31
133016,48,27
133019,96,31
133020,96,32
133022,32,22
133023,8,4
133025,96,33
133026,72,30
133028,108,32
133029,96,32
133030,78,30
134001,132,33
134002,132,34
134003,96,33
134004,96,32
134005,96,27
134006,84,32
134007,72,28
134008,132,32
134009,132,32
134010,96,29
134011,96,29
134012,96,30
134013,96,31
134014,96,33
134016,72,29
134017,72,25
134018,72,30
134019,78,30
134020,132,34
134021,132,32
134022,66,30
134023,96,32
134024,96,30
134025,96,28
134026,84,31
134027,22,20
134028,22,9
134029,22,9
134030,20,14
134031,24,15
134032,12,12
134033,28,18
134034,96,32
134035,72,30
134036,24,20
134037,24,18
134039,108,34
134040,22,13
134041,32,18
134042,24,19
134043,14,11
134044,108,33
134046,32,18
134047,10,9
135001,96,32
135002,36,23
135003,120,32
135004,66,27
135005,14,13
135006,54,30
135007,54,30
135008,78,29
135009,66,29
135010,96,32
135012,72,25
135013,42,22
135014,6,5
135015,96,32
135016,204,34
135017,132,34
135018,204,34
135019,66,26
135020,132,31
135021,120,31
135022,10,5
135023,132,34
135024,120,32
135025,204,33
135026,84,30
135027,60,26
135028,32,22
135029,24,24
135030,4,3
136001,132,32
136002,6,4
136003,14,12
136004,132,33
136005,120,33
136006,60,29
136007,96,31
136008,8,5
136011,60,29
136012,2,1
136013,4,2
136014,12,12
136015,28,20
136016,28,20
136017,28,19
136019,24,14
136020,8,2
136021,6,4
136023,24,20
136024,6,3
136025,8,4
136030,16,14
137001,132,34
137002,108,34
137003,66,24
137004,36,20
137005,120,32
137006,84,33
137007,28,16
137008,48,25
137009,66,28
137010,36,24
137011,28,19
137012,54,26
137013,4,5
137014,12,13
137015,60,28
137016,0,0
137017,72,28
137018,48,24
137019,28,20
137020,96,31
137021,54,31
137022,16,11
137023,32,18
137024,4,4
137025,14,16
137026,66,31
137027,96,31
137028,72,29
137029,108,31
137030,78,31
137031,32,23
137032,84,30
137033,108,32
137034,48,29
137035,108,34
137036,66,30
137037,96,34
137038,72,31
137039,54,28
137040,72,29
137041,36,23
137042,10,13
137043,84,29
137044,18,15
137045,36,24
137046,18,16
137047,0,0
137051,66,28
137052,0,0
138001,132,34
138003,108,31
138004,84,31
138005,96,31
138006,204,34
138007,120,34
138008,78,29
138009,54,25
138010,132,34
138011,28,22
138012,132,32
138013,108,32
138014,2,3
138015,4,3
138016,120,31
138017,96,31
138018,12,8
138019,6,6
138020,12,7
138021,24,19
139001,8,6
139002,22,19
139003,48,29
139004,42,26
139005,18,13
139006,22,16
139007,16,12
139008,18,15
139009,48,24
139010,24,20
139011,6,2
139012,24,19
139013,42,25
139014,10,9
139015,42,28
139016,14,13
139017,10,8
139018,48,28
139019,32,25
139020,60,28
139021,48,27
139022,28,24
141001,14,16
141002,20,21
141003,16,19
141004,18,14
141005,14,17
141006,18,18
141007,22,21
141008,24,20
141009,20,19
141010,20,18
141011,22,20
141012,20,17
141013,24,21
141014,14,18
141015,18,20
141016,16,14
141017,16,19
141018,16,18
141019,14,18
141021,18,18
141022,22,22
141023,20,17
141024,22,22
141025,20,22
141026,28,23
141027,24,22
141028,32,23
141029,32,23
141030,28,19
141031,36,20
141032,36,24
141033,36,24
141034,42,23
141035,32,24
141036,42,24
141037,36,23
141038,42,21
141039,36,20
141040,42,22
141041,42,25
141042,42,25
141043,42,23
141044,54,24
141045,48,26
141046,54,23
141047,54,25
141048,48,26
141049,54,26
142001,22,16
142002,14,13
142003,22,21
142004,24,17
142005,24,18
142006,20,17
142007,10,10
142008,32,27
142009,0,0
142010,2,5
142011,8,4
142012,6,5
142013,32,22
142014,16,14
142015,16,14
142016,6,2
142017,32,23
142018,42,29
142019,6,7
142020,14,9
142021,16,17
142022,36,25
142023,60,29
142024,8,8
142025,20,15
142026,24,17
142027,4,1
142028,54,26
142029,36,18
142030,8,7
143001,132,34
143002,108,33
143003,48,27
143004,84,29
143005,84,30
143006,96,30
143007,72,29
143008,78,29
143009,60,27
143010,54,29
143011,32,23
143013,72,27
143017,60,29
143018,96,32
143019,132,33
143021,132,32
143022,132,34
143023,96,32
143024,32,20
143025,120,34
146001,0,2
146002,10,12
148001,84,27
148002,132,31
148003,66,27
148004,20,13
148005,54,28
148006,132,34
148007,108,33
148008,96,28
148009,132,31
148012,84,29
148013,84,31
148015,132,34
148016,48,23
148017,60,29
148018,28,21
148019,72,28
148020,14,12
148021,48,26
148022,108,28
148023,84,29
148024,42,24
148025,96,31
148026,78,29
148027,132,34
148028,60,27
148029,72,28
148030,84,27
148031,108,31
148032,20,17
151001,156,34
151002,120,34
151003,108,34
151004,156,34
151005,48,27
151006,36,19
151007,48,26
151008,78,25
151009,108,31
151010,42,18
151011,42,22
151012,84,31
151013,132,33
151014,36,21
151015,108,34
151016,78,26
151017,36,26
151018,132,34
151019,120,32
151020,132,34
151021,108,32
151022,132,31
151023,120,34
151024,132,33
151025,120,34
151026,120,34
151027,60,26
151028,66,27
151029,48,24
151030,66,27
151031,96,33
151032,96,32
151033,120,33
151034,120,33
151035,54,26
151036,96,32
151037,96,34
151038,108,32
151039,120,34
151040,132,34
151041,36,28
151042,84,28
151043,84,29
151044,84,30
151045,36,19
151046,96,33
151047,96,30
151048,120,34
151049,96,34
151050,24,16
151051,108,32
151052,84,31
151053,84,30
151054,108,32
151055,120,34
151056,96,25
151057,84,29
151058,84,29
151059,84,30
151060,96,31
154001,204,34
154002,32,22
154003,10,10
154004,204,34
154005,84,30
154006,10,9
154007,204,34
154008,204,34
154009,42,21
154010,120,34
154011,204,34
154012,204,34
154013,204,33
154014,204,34
154015,204,34
154016,204,34
154017,132,32
154018,120,30
154019,204,34
154020,204,34
154021,132,34
154022,132,34
154023,204,34
154024,84,32
154025,132,31
154026,204,34
154027,204,34
154028,108,31
154029,108,34
154030,132,31
154031,36,22
154032,12,10
154033,8,2
154035,20,10
154036,60,24
154037,72,23
154038,84,23
154039,132,31
154040,84,32
154041,66,28
154042,42,22
154043,28,16
154044,132,32
154045,132,32
154046,108,32
154047,120,32
154048,132,33
154049,78,30
154050,60,27
154051,6,3
154052,54,30
154054,8,2
154055,66,22
154056,108,32
154057,132,32
154058,120,32
154059,78,27
154060,120,32
154061,72,27
154062,14,11
154063,84,29
154064,48,26
154065,0,0
154066,0,0
154067,84,29
154068,132,32
154069,132,30
154070,132,29
154071,132,32
154072,78,29
154073,48,26
154074,28,22
154075,18,10
154076,132,34
154077,108,28
154078,84,29
154079,132,32
154080,120,31
154081,108,29
201003,66,29
201004,66,25
201005,60,24
201006,60,25
201007,72,26
201008,72,29
201009,72,31
201010,72,31
201011,66,28
201012,72,30
201013,66,29
201014,72,31
201015,66,31
201016,78,28
201020,54,27
201022,66,26
201030,72,32
201031,72,29
201033,66,28
201034,60,28
201040,66,28
201041,60,29
201043,54,29
201047,66,27
201050,72,30
201052,42,24
201053,66,31
201054,66,27
201056,54,29
202001,132,31
202002,108,32
202003,48,22
202004,108,34
202005,66,31
202006,54,27
202007,4,4
202008,96,32
202009,42,26
202010,4,4
202011,8,11
202012,132,32
202013,22,17
202014,42,18
202015,78,28
202016,10,8
202017,120,33
202018,48,18
202019,8,6
202020,6,5
202021,54,24
202022,28,17
202023,8,3
202024,24,22
202025,4,5
202026,42,25
202027,78,29
202028,42,25
202029,60,28
202030,2,2
202031,60,30
202032,42,26
202033,4,3
202034,6,4
202035,28,18
202036,20,15
202037,42,27
202038,42,28
202039,78,31
202040,6,3
202041,18,14
202042,42,27
202043,32,24
202044,36,27
202045,20,21
202046,16,12
202047,48,27
202048,96,31
202049,42,23
202050,96,34
202051,96,32
202052,78,31
202053,2,1
202054,6,3
202055,32,26
202056,54,27
202057,18,16
202058,48,26
202059,18,12
202060,48,24
202061,48,25
202062,42,23
202063,20,11
202064,0,1
202065,14,8
202066,42,24
202067,54,29
202068,28,10
202069,24,16
202070,6,9
202071,54,26
202072,8,12
202073,72,30
202074,18,15
202075,8,8
202076,120,33
202077,96,29
202078,12,4
202079,24,5
202080,36,15
202081,24,4
202082,108,28
202083,132,30
202085,132,28
202086,12,5
202087,42,19
202088,48,20
202089,78,28
202090,72,29
202091,96,32
202092,42,24
202093,60,24
202094,120,30
202095,28,12
202096,96,27
202097,84,26
202098,108,31
202099,132,34
202100,0,1
202101,48,25
202102,0,1
202103,66,33
202104,16,9
202105,24,18
202106,60,28
202107,132,34
202108,8,4
202109,132,34
202110,132,34
206001,42,16
206002,66,23
206003,78,27
206004,22,15
206005,84,30
206006,84,28
206008,84,31
206010,84,29
206015,72,30
206017,84,32
206019,78,30
206020,78,29
206024,84,23
207001,72,27
207002,60,25
207003,10,8
207004,96,31
207005,8,3
207006,20,13
207007,84,27
207008,10,10
207009,120,32
207010,48,26
207011,20,14
207012,48,20
207013,24,22
207014,8,2
207015,24,23
207016,12,12
207017,120,29
207018,96,31
207019,6,3
207020,32,20
207021,60,27
207022,8,6
207023,36,21
207024,84,27
207025,18,13
208001,54,11
208002,48,27
208003,54,31
208004,48,19
208005,48,25
208006,66,31
208007,60,24
208008,54,25
208009,54,29
208117,66,31
208118,66,26
211002,60,24
211003,120,33
211004,132,34
211005,108,33
211006,54,21
211007,42,19
211008,132,33
211009,84,29
211012,24,18
211014,28,24
211015,16,15
211016,78,31
211017,60,28
211018,28,22
211020,108,32
211021,72,28
211022,156,31
211023,108,29
211024,66,29
213001,32,23
213002,54,25
213003,72,16
215001,84,31
215002,48,28
215003,18,15
215004,84,30
215005,120,32
215006,2,3
215007,24,11
215008,4,1
215009,18,15
215010,24,21
216001,84,32
216002,132,32
216003,132,33
216004,48,27
216005,96,31
216006,66,26
216007,36,26
216008,108,32
216009,84,31
216011,132,34
216012,120,32
216013,132,32
216014,8,8
216015,42,19
216016,96,32
216017,84,30
216018,48,26
216019,18,16
218001,16,11
218003,60,28
218004,48,28
218005,84,29
218006,4,4
218007,24,22
218008,6,3
218009,72,29
218010,20,14
218011,10,6
218012,24,18
218013,8,8
218014,8,8
218015,18,16
218016,6,6
218017,12,9
218018,14,12
218019,20,13
218020,4,3
218021,12,9
218022,4,3
218023,6,1
218024,6,1
218025,4,2
218026,18,14
218027,4,2
218028,18,16
218030,10,7
218031,10,9
218032,18,11
218033,4,2
218034,16,12
218035,16,12
218036,12,11
218037,12,11
219001,78,29
219002,108,31
219003,60,26
219004,84,28
219005,84,27
219006,96,30
219007,72,34
219008,120,34
219009,96,30
219010,66,29
220001,108,31
220002,78,31
220003,42,27
220004,24,20
220005,132,32
220006,22,14
220007,54,24
220008,108,34
220009,84,25
220010,66,25
220011,66,27
220012,60,26
220013,66,29
220015,60,24
220016,48,28
220017,66,30
220018,78,31
220019,96,30
220020,78,29
220021,24,18
220022,24,17
220023,54,28
220024,78,32
220025,108,32
220026,4,2
220027,6,4
220028,96,32
220029,14,7
220030,132,32
220031,132,29
220032,120,31
220033,48,29
220034,132,31
220035,132,33
220036,120,32
220037,72,30
220038,20,17
220039,12,17
220040,28,23
220041,32,21
220042,8,6
220043,28,19
220044,72,30
221001,36,22
221002,18,9
221003,18,12
221004,28,22
221005,72,31
221006,72,27
221007,32,18
221008,72,31
221009,72,26
221010,12,13
221011,22,19
221012,66,27
221013,12,10
221014,4,3
221015,2,3
223001,42,23
223002,24,19
223003,6,2
