ID,agestrat,TOTALscoreP
101029,60,153
101031,60,130
101034,60,120
101037,60,172
101043,60,181
101050,60,128
109005,60,166
120018,60,169
120031,60,106
120053,60,143
136011,60,156
148017,60,150
148028,60,140
202031,60,163
202093,60,131
508001,60,108
508002,60,107
517002,60,64
607005,60,145
608007,60,149
612001,60,162
105033,66,177
105043,66,120
109026,66,151
116025,66,168
116036,66,154
118001,66,142
118012,66,162
118017,66,148
120032,66,149
127011,66,132
127016,66,158
127029,66,149
148003,66,127
508011,66,126
517023,66,154
517028,66,125
529026,66,157
529029,66,95
608011,66,150
101023,72,169
101024,72,136
101047,72,157
102001,72,153
105034,72,140
105035,72,112
109007,72,148
109033,72,183
109064,72,147
120027,72,170
120030,72,157
120038,72,169
120050,72,175
120065,72,155
148029,72,146
202073,72,164
202090,72,154
506015,72,90
508009,72,135
508010,72,139
529001,72,130
529025,72,139
602007,72,121
101002,78,174
101018,78,190
101045,78,176
109019,78,174
109020,78,176
118011,78,172
120023,78,171
120057,78,158
120070,78,142
127004,78,177
127033,78,174
138008,78,155
148026,78,162
202027,78,161
202039,78,184
202052,78,177
202089,78,186
506003,78,121
506022,78,97
517001,78,130
602006,78,113
607004,78,156
607007,78,115
608004,78,141
608012,78,134
612017,78,146
101009,84,175
101014,84,155
101038,84,181
109043,84,172
120020,84,172
127022,84,177
127035,84,170
138004,84,174
148001,84,146
148012,84,167
148013,84,166
148023,84,172
148030,84,161
154005,84,177
154024,84,186
202097,84,168
506009,84,142
508024,84,156
508034,84,169
517017,84,142
517026,84,166
602005,84,119
101021,96,176
101030,96,180
101032,96,182
102010,96,163
102011,96,173
109021,96,178
109061,96,186
109065,96,175
118016,96,164
120044,96,184
120046,96,188
138005,96,178
138017,96,172
148008,96,147
148025,96,175
202008,96,178
202048,96,180
202050,96,165
202051,96,181
202077,96,159
202091,96,182
202096,96,176
302001,96,189
508003,96,79
529008,96,177
529015,96,168
605002,96,95
612012,96,165
101001,108,183
109004,108,183
109016,108,180
116024,108,174
120024,108,182
120028,108,182
120043,108,186
120051,108,187
120058,108,166
138003,108,178
138013,108,177
148007,108,183
148022,108,161
148031,108,175
154028,108,179
202082,108,161
302002,108,190
508016,108,168
527004,108,102
607003,108,83
612008,108,170
612013,108,164
101010,120,185
101020,120,190
101035,120,188
109012,120,185
109015,120,175
109023,120,184
109042,120,183
118010,120,187
120071,120,184
127023,120,185
136005,120,183
138007,120,185
138016,120,177
154010,120,190
154018,120,183
202076,120,187
202094,120,179
506008,120,186
508026,120,148
517021,120,181
612007,120,132
612014,120,177
102018,132,190
109029,132,190
116011,132,183
116016,132,190
116022,132,190
120045,132,190
120066,132,189
138001,132,189
138010,132,189
138012,132,178
148009,132,181
148015,132,186
154017,132,174
154025,132,181
202012,132,176
302011,132,190
529022,132,187
529023,132,184
608008,132,183
109034,132,190
116015,132,189
116021,132,190
116037,132,190
116040,132,187
118004,132,188
118008,132,187
120025,132,180
120047,132,190
120072,132,182
127002,132,187
127034,132,188
136001,132,190
136004,132,189
148002,132,175
148006,132,189
148027,132,187
154021,132,190
154022,132,171
202001,132,187
202083,132,166
202085,132,161
101005,156,189
101012,156,190
102022,156,190
102027,156,190
102032,156,190
102040,156,190
105022,156,148
109044,156,184
116023,156,190
116029,156,189
116032,156,190
116034,156,190
116035,156,190
118003,156,189
120009,156,188
508005,156,179
601002,156,147
101006,156,190
101011,156,188
101022,156,190
101026,156,189
102015,156,189
102017,156,190
102020,156,190
102021,156,190
102024,156,190
102026,156,190
102034,156,190
102035,156,190
109011,156,186
109017,156,190
109041,156,187
109045,156,178
109062,156,188
118007,156,189
508017,156,186
508029,156,180
529010,156,172
102012,204,190
102013,204,190
102014,204,190
102019,204,190
105027,204,148
109001,204,183
109039,204,185
154001,204,190
154004,204,178
154007,204,190
154008,204,188
154011,204,190
154012,204,174
154013,204,190
154014,204,190
154015,204,190
154016,204,190
154019,204,190
154020,204,178
154023,204,185
154026,204,190
154027,204,190
101004,204,188
102016,204,190
102025,204,190
102028,204,190
102030,204,190
102031,204,190
102038,204,190
102039,204,190
105026,204,147
109024,204,190
109036,204,190
109040,204,187
116030,204,190
120010,204,190
302010,204,190
508007,204,160
529018,204,190
529020,204,188
529021,204,190
529024,204,190
601011,204,156
118014,NA,24
120019,NA,186
120033,NA,136
120034,NA,60
120035,NA,128
120055,NA,160
127041,NA,27
136022,NA,45
136026,NA,166
211019,NA,187
504002,NA,116
504005,NA,93
504007,NA,91
504008,NA,114
504009,NA,130
504016,NA,75
504030,NA,147
504031,NA,81
504032,NA,77
607001,NA,167
609001,NA,50
609007,NA,95
