ID,agestrat,GDS_interview
113010,48,558
113012,22,498
113013,108,423
113014,72,529
114001,54,484
114002,72,536
114003,132,482
114004,54,569
114005,4,498
114006,60,660
114007,54,575
114008,54,492
114009,54,545
114010,54,565
114011,2,490
114012,54,567
114013,28,628
114014,54,672
114015,54,531
114016,78,492
114017,78,573
114018,54,574
114020,24,520
114022,60,525
114023,84,546
115001,48,435
115002,84,524
115003,132,476
115004,156,506
115005,156,483
115006,32,475
115007,60,507
115008,132,481
115009,84,491
115010,4,516
115011,24,579
115012,156,495
115013,156,506
115014,204,489
115015,48,398
115029,60,579
115030,108,500
115031,36,538
115032,120,535
115033,60,701
115034,84,557
115035,108,452
115036,120,525
115037,42,402
115038,156,496
115039,156,506
115040,12,483
115041,156,518
115042,156,518
115043,78,547
115044,120,514
115045,156,501
115046,24,475
115047,42,554
115048,84,610
115049,108,550
115050,120,407
115116,14,496
115117,32,416
115118,42,554
115119,28,443
115120,54,543
115121,72,453
115122,108,543
115123,132,500
115124,156,503
115125,204,497
115126,60,625
115127,96,623
115128,120,561
116001,24,562
116002,36,491
116003,36,496
116004,36,504
116005,22,415
116006,32,531
116007,14,636
116008,42,514
116009,14,481
116010,28,462
116011,132,504
116012,12,543
116013,10,559
116014,28,496
116015,132,507
116016,132,535
116017,42,455
116018,12,532
116019,20,478
116020,32,620
116021,132,535
116022,132,535
116023,156,518
116024,108,494
116025,66,583
116026,32,357
116027,28,443
116028,6,439
116029,156,518
116030,204,500
116031,12,521
116032,156,518
116033,12,504
116034,156,518
116035,156,514
116036,66,525
116037,132,524
116038,8,478
116040,132,530
116041,108,494
116042,132,527
116043,72,414
116044,132,530
116045,132,535
116046,120,483
116047,204,500
116048,132,518
116049,28,510
116050,32,483
116051,132,513
116052,204,500
116053,204,500
116054,132,521
116055,28,496
116056,32,461
116057,132,521
116058,120,536
116059,132,518
116060,132,526
116061,120,510
116062,24,517
116063,24,456
116064,204,500
116065,204,500
116069,132,521
116071,132,527
116072,132,522
116073,32,451
116074,204,500
116075,204,500
116076,204,500
116077,132,529
116078,132,530
116079,28,488
116080,32,467
117001,32,427
117002,66,582
117003,120,513
117004,24,560
117005,120,551
117006,66,556
117007,132,491
117008,10,519
117009,42,719
117010,10,519
117011,6,536
117012,36,438
117013,24,451
117014,54,564
117015,28,467
117016,24,516
117017,4,491
117018,4,550
117019,4,511
117020,6,580
117021,10,553
117022,54,581
117023,54,574
117024,48,478
117025,4,502
117026,22,453
117027,4,511
117028,28,494
117029,48,470
117030,36,554
117031,14,539
117032,132,510
117033,4,494
117034,132,471
117035,108,513
117036,78,571
117037,66,443
117038,108,563
117040,8,570
117041,84,550
117042,36,471
117043,66,490
117044,8,548
117045,32,647
117046,0,447
117047,0,447
117048,96,513
117049,78,535
117050,132,437
117053,8,572
117054,84,517
117055,36,503
117056,18,512
117059,22,489
117060,8,527
117061,72,497
117062,42,551
117063,10,517
117064,60,579
117065,36,528
118001,66,531
118002,32,491
118003,156,514
118004,132,513
118005,2,526
118006,48,551
118007,156,514
118008,132,530
118009,42,477
118010,120,534
118011,78,558
118012,66,611
118015,2,498
118016,96,523
118017,66,553
118018,36,424
118019,2,497
119001,36,590
119002,132,519
119003,132,513
119004,108,552
119005,18,577
119006,12,521
119007,96,606
119008,36,589
119009,78,569
119010,10,558
119011,84,575
119012,108,552
119013,132,508
119014,96,600
119015,78,622
119016,84,530
119017,132,513
119018,96,539
119019,84,479
119020,60,482
119021,96,598
119022,2,509
119023,2,551
120009,156,514
120010,204,500
120011,36,510
120012,54,520
120013,12,526
120014,16,544
120015,42,522
120016,28,540
120017,48,580
120018,60,563
120020,84,593
120021,132,529
120022,20,384
120023,78,528
120024,108,486
120025,132,468
120026,18,564
120027,72,547
120028,108,545
120029,42,523
120030,72,530
120031,60,390
120032,66,547
120037,10,541
120038,72,555
120041,0,543
120042,48,530
120043,108,557
120044,96,513
120045,132,503
120046,96,594
120047,132,535
120048,28,716
120049,54,468
120050,72,609
120051,108,541
120052,32,570
120053,60,504
120056,78,425
120057,78,466
120058,108,462
120059,66,542
120061,8,548
120062,42,636
120063,6,518
120064,48,542
120065,72,519
120066,132,526
120067,66,576
120069,8,482
120070,78,443
120071,120,522
120072,132,487
120073,108,555
121001,10,592
121002,156,514
121003,156,518
121005,18,608
121006,6,525
121007,36,589
121009,20,536
121010,24,467
121011,10,534
121012,22,472
121013,2,517
121014,20,445
121015,20,469
121016,42,607
121017,12,549
121018,78,668
121019,132,535
121020,36,484
121022,14,502
121023,54,471
122001,36,580
122002,60,601
122003,20,537
122004,0,486
122005,60,575
122006,84,555
122007,120,490
122008,20,509
122010,96,476
122011,20,553
122012,48,452
122013,2,518
122015,78,474
122016,60,567
122017,24,440
123001,204,500
123002,84,553
123003,156,514
123004,204,500
123005,156,509
123006,54,666
123007,54,590
123008,132,503
123009,84,545
123010,96,587
123011,204,475
123012,156,512
123013,156,514
123014,120,534
123015,78,443
123016,204,500
123017,156,499
123018,156,518
123019,132,474
123020,156,518
123021,36,508
123022,156,518
123023,120,540
123024,156,518
123025,156,512
123026,132,535
123027,66,537
123028,156,518
123029,132,510
123030,204,500
123031,156,514
123032,120,525
123033,42,471
123034,42,464
123035,132,520
123036,156,514
123037,132,513
123038,132,502
123039,96,540
123040,36,565
123041,132,514
123042,72,508
123043,132,510
123044,204,500
123045,204,500
123046,66,542
123047,132,524
123048,72,525
123049,120,507
123050,132,508
123051,132,529
123052,66,539
123053,78,484
123054,132,513
123055,132,513
123056,120,534
123057,72,535
123058,132,529
123059,132,514
123060,132,529
123061,120,528
123062,132,513
123063,42,460
123064,132,529
123065,108,514
123066,204,500
123067,132,529
123068,108,543
123069,120,534
123070,132,535
123071,36,454
123072,36,554
123073,42,636
123074,132,505
123075,132,513
123076,108,542
123077,132,529
123078,120,534
123079,54,570
123080,96,511
125001,108,535
125002,48,487
125003,48,475
125004,54,502
125005,60,604
125006,54,538
125007,60,576
125008,60,530
125009,54,632
125010,60,556
125011,66,575
125012,60,438
125013,60,514
125014,60,487
125015,54,559
125016,66,595
125017,72,574
125018,54,569
125019,60,503
125020,84,509
125021,60,542
125022,60,454
125023,60,455
125024,60,639
125025,0,482
125026,28,485
125027,14,516
125028,72,588
125029,10,512
125030,18,458
125031,60,592
125032,78,580
125033,60,517
125034,72,550
125035,20,544
125036,14,504
125037,72,680
125038,22,492
125039,2,525
125040,32,521
125041,14,533
125043,10,482
125044,10,488
125045,28,416
125046,60,459
125047,60,611
125048,60,539
125049,14,598
125053,8,496
125055,24,470
125057,14,500
125058,4,487
125059,28,543
125060,28,567
125061,4,556
125062,2,505
126001,66,594
126002,132,520
126003,108,529
126004,84,575
126005,60,508
126006,108,550
126007,96,407
126008,54,491
126009,54,522
126010,72,568
126011,66,509
126012,72,607
126013,60,579
126014,66,542
126015,132,521
126016,54,586
126017,132,515
126018,72,561
126019,108,564
126020,24,445
127001,18,498
127002,132,521
127003,2,547
127004,78,602
127005,6,537
127006,36,642
127007,54,650
127008,14,653
127009,16,505
127010,12,470
127011,66,485
127012,20,503
127013,12,587
127014,42,593
127015,48,522
127016,66,588
127017,42,511
127018,4,506
127019,24,455
127020,32,547
127021,22,482
127022,84,576
127023,120,529
127024,54,552
127025,20,490
127026,6,481
127027,24,386
127028,42,599
127029,66,538
127030,10,518
127031,48,567
127032,42,596
127033,78,633
127034,132,535
127035,84,518
127036,10,535
127037,10,598
127038,24,497
127039,2,541
127040,14,608
127042,0,502
127141,6,506
128001,96,565
128002,132,506
128003,132,497
128004,96,583
128005,120,496
128006,132,535
128007,108,585
128008,72,652
128009,132,523
128010,108,512
128011,120,525
128013,54,722
128014,120,534
128019,84,613
128020,72,604
128021,78,575
128022,108,568
128023,132,520
128024,96,591
128025,120,530
129001,120,506
129002,84,536
129003,8,515
129004,36,445
129005,36,536
129006,84,544
129007,42,500
129008,36,530
129009,28,574
129010,54,483
129011,108,574
129012,84,546
129013,120,548
129014,36,523
129015,48,477
129016,78,498
129017,66,522
129018,24,458
129019,48,623
129020,16,456
129021,48,487
129022,78,589
129023,36,627
129024,36,561
129025,48,532
129026,22,587
129027,108,556
129028,36,443
129029,78,408
129030,132,535
130001,60,598
130002,96,574
130003,60,626
130004,60,518
130005,72,610
130006,72,561
130007,84,550
130008,72,625
130009,72,580
130010,72,532
130011,84,539
130012,84,568
130013,84,573
130014,84,532
130015,54,650
130016,84,577
130017,84,511
130018,96,593
130019,96,584
130020,96,571
130021,96,600
130022,108,479
130023,108,579
130024,108,565
130025,108,571
130026,120,556
130027,120,561
130028,132,522
130029,132,526
131001,2,467
131002,10,518
131003,0,521
131004,66,537
131005,54,435
131006,36,432
131007,10,508
131008,42,464
131009,36,571
131010,28,528
131011,4,561
131012,84,608
131013,12,585
131014,42,520
131015,84,523
131016,96,535
131017,78,549
131018,132,505
131019,108,508
131020,20,428
131021,20,464
131022,36,494
131023,14,554
131024,48,599
131025,16,526
131026,0,447
131027,10,552
131028,96,557
131029,66,625
131030,12,528
131031,10,557
131032,10,552
131033,204,500
131034,36,583
131035,2,513
131036,22,535
131037,0,501
131038,4,504
131040,96,539
131041,42,562
131042,48,558
131043,42,528
131044,10,541
131045,2,526
131046,108,546
131047,84,550
131048,14,567
131049,0,455
131050,4,488
131051,14,495
131052,14,517
131053,6,536
131054,4,481
131055,42,507
131056,96,561
131057,72,556
131058,42,566
131059,84,591
131060,12,500
132002,6,506
132003,120,482
132006,78,645
132007,48,711
132008,22,554
132010,108,585
132011,32,496
132012,10,545
132015,72,600
132016,132,529
132017,132,510
132018,96,585
132019,54,566
132021,84,565
132022,96,611
132023,54,491
132024,132,503
132025,108,551
132026,108,557
132027,48,525
132028,16,449
132029,108,564
132030,42,662
133001,78,496
133002,120,501
133003,84,561
133004,42,541
133005,66,579
133006,96,623
133007,132,535
133010,24,522
133011,120,495
133012,84,529
133013,54,486
133015,78,623
133016,48,608
133019,96,587
133020,96,595
133022,32,488
133023,8,501
133025,96,552
133026,72,527
133028,108,535
133029,96,570
133030,78,522
134001,132,507
134002,132,523
134003,96,569
134004,96,561
134005,96,500
134006,84,604
134007,72,526
134008,132,519
134009,132,510
134010,96,491
134011,96,531
134012,96,475
134013,96,539
134014,96,556
134016,72,549
134017,72,448
134018,72,537
134019,78,564
134020,132,526
134021,132,508
134022,66,571
134023,96,589
134024,96,504
134025,96,495
134026,84,545
134027,22,579
134028,22,408
134029,22,416
134030,20,567
134031,24,484
134032,12,610
134033,28,473
134034,96,531
134035,72,611
134036,24,545
134037,24,476
134039,108,528
134040,22,468
134041,32,464
134042,24,500
134043,14,594
134044,108,576
134046,32,402
134047,10,590
135001,96,586
135002,36,571
135003,120,488
135004,66,548
135005,14,545
135006,54,656
135007,54,651
135008,78,563
135009,66,493
135010,96,566
135012,72,473
135013,42,428
135014,6,519
135015,96,547
135016,204,500
135017,132,529
135018,204,500
135019,66,510
135020,132,511
135021,120,521
135022,10,443
135023,132,518
135024,120,526
135025,204,479
135026,84,514
135027,60,581
135028,32,529
135029,24,539
135030,4,528
136001,132,501
136002,6,506
136003,14,532
136004,132,520
136005,120,529
136006,60,609
136007,96,578
136008,8,507
136011,60,585
136012,2,473
136013,4,501
136014,12,571
136015,28,451
136016,28,455
136017,28,454
136019,24,407
136020,8,457
136021,6,494
136023,24,536
136024,6,524
136025,8,509
136030,16,549
137001,132,529
137002,108,591
137003,66,394
137004,36,423
137005,120,539
137006,84,636
137007,28,413
137008,48,541
137009,66,515
137010,36,482
137011,28,479
137012,54,516
137013,4,556
137014,12,610
137015,60,571
137016,0,518
137017,72,518
137018,48,481
137019,28,442
137020,96,498
137021,54,473
137022,16,480
137023,32,351
137024,4,534
137025,14,596
137026,66,613
137027,96,572
137028,72,545
137029,108,555
137030,78,632
137031,32,590
137032,84,547
137033,108,568
137034,48,632
137035,108,591
137036,66,636
137037,96,623
137038,72,697
137039,54,675
137040,72,497
137041,36,478
137042,10,592
137043,84,531
137044,18,581
137045,36,516
137046,18,558
137047,0,497
137051,66,502
137052,0,504
138001,132,530
138003,108,517
138004,84,531
138005,96,526
138006,204,498
138007,120,561
138008,78,485
138009,54,461
138010,132,535
138011,28,563
138012,132,464
138013,108,518
138014,2,538
138015,4,534
138016,120,498
138017,96,542
138018,12,522
138019,6,541
138020,12,501
138021,24,553
139001,8,559
139002,22,526
139003,48,661
139004,42,555
139005,18,507
139006,22,514
139007,16,550
139008,18,490
139009,48,509
139010,24,508
139011,6,485
139012,24,467
139013,42,525
139014,10,524
139015,42,535
139016,14,496
139017,10,528
139018,48,630
139019,32,635
139020,60,639
139021,48,545
139022,28,560
141001,14,607
141002,20,621
141003,16,658
141004,18,502
141005,14,646
141006,18,551
141007,22,587
141008,24,553
141009,20,619
141010,20,575
141011,22,609
141012,20,494
141013,24,599
141014,14,608
141015,18,706
141016,16,609
141017,16,727
141018,16,639
141019,14,692
141021,18,666
141022,22,650
141023,20,573
141024,22,648
141025,20,685
141026,28,594
141027,24,639
141028,32,549
141029,32,543
141030,28,488
141031,36,484
141032,36,526
141033,36,527
141034,42,477
141035,32,601
141036,42,499
141037,36,514
141038,42,436
141039,36,436
141040,42,450
141041,42,511
141042,42,514
141043,42,442
141044,54,456
141045,48,527
141046,54,434
141047,54,459
141048,48,523
141049,54,504
142001,22,541
142002,14,555
142003,22,646
142004,24,484
142005,24,509
142006,20,534
142007,10,541
142008,32,635
142009,0,487
142010,2,546
142011,8,495
142012,6,541
142013,32,456
142014,16,569
142015,16,561
142016,6,509
142017,32,550
142018,42,575
142019,6,548
142020,14,479
142021,16,614
142022,36,627
142023,60,619
142024,8,544
142025,20,558
142026,24,480
142027,4,447
142028,54,510
142029,36,392
142030,8,501
143001,132,535
143002,108,582
143003,48,593
143004,84,601
143005,84,576
143006,96,564
143007,72,543
143008,78,488
143009,60,513
143010,54,641
143011,32,553
143013,72,477
143017,60,617
143018,96,574
143019,132,520
143021,132,495
143022,132,521
143023,96,562
143024,32,446
143025,120,540
146001,0,523
146002,10,591
148001,84,426
148002,132,459
148003,66,436
148004,20,487
148005,54,572
148006,132,529
148007,108,544
148008,96,424
148009,132,482
148012,84,531
148013,84,515
148015,132,518
148016,48,482
148017,60,563
148018,28,495
148019,72,490
148020,14,544
148021,48,532
148022,108,421
148023,84,541
148024,42,508
148025,96,532
148026,78,507
148027,132,521
148028,60,531
148029,72,462
148030,84,492
148031,108,505
148032,20,521
151001,156,518
151002,120,551
151003,108,573
151004,156,514
151005,48,517
151006,36,434
151007,48,498
151008,78,457
151009,108,567
151010,42,370
151011,42,485
151012,84,448
151013,132,512
151014,36,436
151015,108,591
151016,78,394
151017,36,581
151018,132,535
151019,120,544
151020,132,535
151021,108,568
151022,132,504
151023,120,555
151024,132,526
151025,120,561
151026,120,556
151027,60,516
151028,66,488
151029,48,557
151030,66,455
151031,96,615
151032,96,505
151033,120,548
151034,120,548
151035,54,479
151036,96,587
151037,96,599
151038,108,557
151039,120,556
151040,132,535
151041,36,670
151042,84,457
151043,84,501
151044,84,499
151045,36,398
151046,96,564
151047,96,498
151048,120,550
151049,96,550
151050,24,380
151051,108,488
151052,84,500
151053,84,517
151054,108,490
151055,120,524
151056,96,337
151057,84,490
151058,84,514
151059,84,515
151060,96,552
154001,204,494
154002,32,542
154003,10,514
154004,204,493
154005,84,529
154006,10,579
154007,204,500
154008,204,495
154009,42,533
154010,120,541
154011,204,494
154012,204,500
154013,204,499
154014,204,500
154015,204,500
154016,204,497
154017,132,486
154018,120,511
154019,204,500
154020,204,483
154021,132,524
154022,132,447
154023,204,497
154024,84,616
154025,132,492
154026,204,500
154027,204,500
154028,108,533
154029,108,555
154030,132,476
154031,36,504
154032,12,532
154033,8,474
154035,20,422
154036,60,389
154037,72,423
154038,84,408
154039,132,489
154040,84,576
154041,66,544
154042,42,464
154043,28,419
154044,132,480
154045,132,510
154046,108,495
154047,120,526
154048,132,499
154049,78,521
154050,60,567
154051,6,492
154052,54,690
154054,8,452
154055,66,404
154056,108,568
154057,132,504
154058,120,509
154059,78,474
154060,120,494
154061,72,541
154062,14,496
154063,84,516
154064,48,560
154065,0,479
154066,0,487
154067,84,503
154068,132,485
154069,132,455
154070,132,439
154071,132,494
154072,78,500
154073,48,539
154074,28,590
154075,18,424
154076,132,513
154077,108,468
154078,84,481
154079,132,492
154080,120,490
154081,108,481
201003,66,572
201004,66,549
201005,60,486
201006,60,547
201007,72,498
201008,72,575
201009,72,621
201010,72,613
201011,66,528
201012,72,539
201013,66,560
201014,72,601
201015,66,601
201016,78,503
201020,54,531
201022,66,495
201030,72,697
201031,72,519
201033,66,500
201034,60,590
201040,66,601
201041,60,592
201043,54,569
201047,66,554
201050,72,626
201052,42,516
201053,66,525
201054,66,558
201056,54,679
202001,132,507
202002,108,535
202003,48,416
202004,108,493
202005,66,613
202006,54,559
202007,4,550
202008,96,567
202009,42,547
202010,4,528
202011,8,516
202012,132,476
202013,22,508
202014,42,344
202015,78,470
202016,10,534
202017,120,492
202018,48,409
202019,8,481
202020,6,530
202021,54,535
202022,28,414
202023,8,479
202024,24,627
202025,4,573
202026,42,603
202027,78,535
202028,42,544
202029,60,585
202030,2,503
202031,60,644
202032,42,572
202033,4,533
202034,6,503
202035,28,469
202036,20,522
202037,42,709
202038,42,720
202039,78,638
202040,6,514
202041,18,563
202042,42,643
202043,32,606
202044,36,606
202045,20,555
202046,16,545
202047,48,560
202048,96,549
202049,42,578
202050,96,558
202051,96,556
202052,78,600
202053,2,501
202054,6,535
202055,32,647
202056,54,593
202057,18,587
202058,48,510
202059,18,424
202060,48,448
202061,48,519
202062,42,600
202063,20,478
202064,0,480
202065,14,484
202066,42,482
202067,54,597
202068,28,375
202069,24,479
202070,6,570
202071,54,620
202072,8,572
202073,72,580
202074,18,532
202075,8,548
202076,120,539
202077,96,373
202078,12,461
202079,24,320
202080,36,355
202081,24,291
202082,108,463
202083,132,467
202085,132,434
202086,12,450
202087,42,362
202088,48,437
202089,78,445
202090,72,500
202091,96,557
202092,42,507
202093,60,461
202094,120,522
202095,28,353
202096,96,551
202097,84,529
202098,108,561
202099,132,526
202100,0,478
202101,48,601
202102,0,492
202103,66,710
202104,16,457
202105,24,469
202106,60,573
202107,132,529
202108,8,495
202109,132,523
202110,132,529
206001,42,380
206002,66,441
206003,78,456
206004,22,397
206005,84,513
206006,84,336
206008,84,478
206010,84,553
206015,72,577
206017,84,618
206019,78,582
206020,78,557
206024,84,489
207001,72,497
207002,60,511
207003,10,556
207004,96,552
207005,8,467
207006,20,487
207007,84,424
207008,10,535
207009,120,510
207010,48,510
207011,20,511
207012,48,423
207013,24,556
207014,8,480
207015,24,617
207016,12,567
207017,120,470
207018,96,549
207019,6,514
207020,32,492
207021,60,527
207022,8,549
207023,36,461
207024,84,469
207025,18,466
208001,54,454
208002,48,561
208003,54,757
208004,48,462
208005,48,613
208006,66,704
208007,60,493
208008,54,568
208009,54,625
208117,66,702
208118,66,477
211002,60,561
211003,120,531
211004,132,524
211005,108,576
211006,54,470
211007,42,446
211008,132,512
211009,84,487
211012,24,459
211014,28,634
211015,16,565
211016,78,628
211017,60,608
211018,28,602
211020,108,552
211021,72,592
211022,156,469
211023,108,526
211024,66,661
213001,32,567
213002,54,428
213003,72,288
215001,84,569
215002,48,637
215003,18,490
215004,84,540
215005,120,517
215006,2,548
215007,24,448
215008,4,441
215009,18,548
215010,24,545
216001,84,623
216002,132,510
216003,132,517
216004,48,600
216005,96,552
216006,66,520
216007,36,519
216008,108,546
216009,84,593
216011,132,529
216012,120,499
216013,132,491
216014,8,524
216015,42,468
216016,96,575
216017,84,544
216018,48,606
216019,18,636
218001,16,556
218003,60,602
218004,48,511
218005,84,524
218006,4,546
218007,24,605
218008,6,471
218009,72,519
218010,20,520
218011,10,504
218012,24,563
218013,8,577
218014,8,530
218015,18,663
218016,6,553
218017,12,571
218018,14,591
218019,20,497
218020,4,490
218021,12,555
218022,4,522
218023,6,492
218024,6,498
218025,4,512
218026,18,582
218027,4,501
218028,18,560
218030,10,497
218031,10,540
218032,18,597
218033,4,500
218034,16,504
218035,16,499
218036,12,604
218037,12,582
219001,78,483
219002,108,537
219003,60,595
219004,84,538
219005,84,566
219006,96,562
219007,72,730
219008,120,544
219009,96,522
219010,66,597
220001,108,541
220002,78,565
220003,42,556
220004,24,456
220005,132,497
220006,22,444
220007,54,470
220008,108,580
220009,84,332
220010,66,488
220011,66,540
220012,60,472
220013,66,543
220015,60,547
220016,48,537
220017,66,568
220018,78,594
220019,96,548
220020,78,518
220021,24,591
220022,24,534
220023,54,602
220024,78,632
220025,108,574
220026,4,485
220027,6,541
220028,96,538
220029,14,496
220030,132,487
220031,132,475
220032,120,500
220033,48,661
220034,132,453
220035,132,526
220036,120,544
220037,72,609
220038,20,606
220039,12,686
220040,28,700
220041,32,443
220042,8,478
220043,28,484
220044,72,536
221001,36,449
221002,18,391
221003,18,458
221004,28,499
221005,72,622
221006,72,494
221007,32,516
221008,72,612
221009,72,528
221010,12,593
221011,22,514
221012,66,498
221013,12,566
221014,4,528
221015,2,526
223001,42,459
223002,24,501
