ID,TOTALscore,agestrat
117006,155,66
117007,181,132
117008,38,10
117009,154,42
117010,38,10
117011,29,6
117012,93,36
117013,74,24
117014,142,54
117015,85,28
117016,88,24
117017,16,4
117018,26,4
117019,19,4
117020,37,6
117021,44,10
117022,144,54
117023,143,54
117024,118,48
117025,18,4
117026,67,22
117027,19,4
117028,89,28
117029,114,48
117030,117,36
117031,55,14
117032,183,144
117033,16,4
117034,175,132
117035,176,108
117036,170,78
117037,129,66
117038,186,108
117040,41,8
117041,172,84
117042,100,36
117043,143,66
117044,37,8
117045,126,32
117046,0,0
117047,0,0
117048,172,96
117049,165,78
117050,166,132
117053,41,8
117054,165,84
117055,108,36
117056,65,18
117059,75,22
117060,33,8
117061,150,72
117062,125,42
117063,38,10
117064,152,60
117065,113,36
118001,149,66
118002,98,32
118003,189,180
118004,187,132
118005,16,2
118006,133,48
118007,189,156
118008,189,132
118009,110,42
118010,186,120
118011,168,78
118012,165,66
118015,11,2
118016,173,96
118017,154,66
118018,90,36
118019,11,2
119001,124,36
119002,188,132
119003,187,132
119004,184,108
119005,76,18
119006,45,12
119007,188,96
119008,123,36
119009,170,78
119010,45,10
119011,177,84
119012,184,108
119013,186,132
119014,187,96
119015,179,78
119016,169,84
119017,187,132
119018,176,96
119019,156,84
119020,133,60
119021,186,96
119022,13,2
119023,21,2
120009,189,180
120010,190,204
120011,108,36
120012,133,54
120013,46,12
120014,63,16
120015,120,42
120016,100,28
120017,136,48
120018,148,60
120020,181,84
120021,189,132
120022,47,20
120023,160,78
120024,172,108
120025,175,132
120026,74,18
120027,160,72
120028,183,108
120029,120,42
120030,156,72
120031,108,60
120032,151,66
120037,42,10
120038,161,72
120041,15,0
120042,128,48
120043,185,108
120044,169,96
120045,183,144
120046,186,96
120047,190,132
120048,130,28
120049,121,54
120050,170,72
120051,180,108
120052,114,32
120053,139,60
120056,137,78
120057,150,78
120058,164,108
120059,152,66
120061,37,8
120062,139,42
120063,26,6
120064,131,48
120065,155,72
120066,188,144
120067,159,66
120069,26,8
120070,142,78
120071,184,120
120072,181,132
120073,184,108
121001,51,10
121002,189,180
121003,190,180
121005,82,18
121006,27,6
121007,123,36
121009,76,20
121010,78,24
121011,41,10
121012,71,22
121013,14,2
121014,59,20
121015,64,20
121016,134,42
121017,50,12
121018,186,78
121019,190,144
121020,105,36
121022,49,14
121023,124,54
122001,123,36
122002,155,60
122003,76,20
122004,5,0
122005,152,60
122006,174,84
122007,176,120
122008,71,20
122010,164,96
122011,79,20
122012,111,48
122013,15,2
122015,150,78
122016,149,60
122017,72,24
123001,190,204
123002,173,84
123003,189,156
123004,190,204
123005,189,180
123006,159,54
123007,147,54
123008,183,144
123009,172,84
123010,184,96
123011,185,204
123012,188,156
123013,189,156
123014,186,120
123015,143,78
123016,190,204
123017,185,180
123018,190,156
123019,176,144
123020,190,180
123021,109,36
123022,190,180
123023,186,120
123024,190,180
123025,188,180
123026,190,144
123027,152,66
123028,190,180
123029,186,144
123030,190,204
123031,189,180
123032,184,120
123033,109,42
123034,107,42
123035,188,144
123036,189,156
123037,187,132
123038,184,132
123039,177,96
123040,120,36
123041,187,144
123042,151,72
123043,186,144
123044,190,204
123045,190,204
123046,151,66
123047,188,132
123048,154,72
123049,180,120
123050,186,132
123051,189,132
123052,150,66
123053,151,78
123054,187,144
123055,187,144
123056,186,120
123057,156,72
123058,189,132
123059,187,132
123060,189,144
123061,185,120
123062,187,144
123063,106,42
123064,189,144
123065,178,108
123066,190,228
123067,189,144
123068,183,108
123069,186,120
123070,190,144
123071,97,36
123072,117,36
123073,140,42
123074,185,144
123075,187,132
123076,183,108
123077,189,144
123078,186,120
123079,143,54
123080,172,96
125001,181,108
125002,120,48
125003,117,48
125004,131,54
125005,157,60
125006,136,54
125007,152,60
125008,142,60
125009,154,54
125010,148,60
125011,158,66
125012,123,60
125013,141,60
125014,135,60
125015,142,54
125016,162,66
125017,165,72
125018,142,54
125019,138,60
125020,165,84
125021,146,60
125022,124,60
125023,127,60
125024,162,60
125025,5,0
125026,89,28
125027,52,14
125028,168,72
125029,38,10
125030,56,18
125031,154,60
125032,172,78
125033,141,60
125034,161,72
125035,78,20
125036,49,14
125037,182,72
125038,76,22
125039,16,2
125040,104,32
125041,54,14
125043,32,10
125044,33,10
125045,74,28
125046,127,60
125047,158,60
125048,145,60
125049,65,14
125053,28,8
125055,78,24
125057,48,14
125058,15,4
125059,99,28
125060,103,28
125061,27,4
125062,12,2
126001,162,66
126002,188,132
126003,179,108
126004,177,84
126005,139,60
126006,184,108
126007,144,96
126008,128,54
126009,133,54
126010,164,72
126011,146,66
126012,170,72
126013,152,60
126014,153,66
126015,187,132
126016,146,54
126017,187,132
126018,163,72
126019,186,108
126020,73,24
127001,63,18
127002,187,132
127003,20,2
127004,175,78
127005,29,6
127006,132,36
127007,157,54
127008,75,14
127009,56,16
127010,37,12
127011,140,66
127012,70,20
127013,57,12
127014,131,42
127015,126,48
127016,160,66
127017,117,42
127018,18,4
127019,75,24
127020,109,32
127021,73,22
127022,177,84
127023,185,120
127024,139,54
127025,67,20
127026,19,6
127027,60,24
127028,134,42
127029,151,66
127030,38,10
127031,134,48
127032,133,42
127033,181,78
127034,190,132
127035,167,84
127036,41,10
127037,52,10
127038,85,24
127039,19,2
127040,67,14
127042,7,0
127141,24,6
128001,181,96
128002,186,132
128003,182,132
128004,184,96
128005,180,120
128006,190,132
128007,189,108
128008,178,72
128009,188,132
128010,176,108
128011,184,120
128013,169,54
128014,186,120
128019,183,84
128020,170,72
128021,171,78
128022,187,108
128023,188,132
128024,186,96
128025,185,120
129001,178,120
129002,170,84
129003,31,8
129004,95,36
129005,113,36
129006,171,84
129007,115,42
129008,113,36
129009,106,28
129010,126,54
129011,188,108
129012,171,84
129013,188,120
129014,112,36
129015,118,48
129016,157,78
129017,149,66
129018,75,24
129019,145,48
129020,47,16
129021,119,48
129022,173,78
129023,130,36
129024,117,36
129025,129,48
129026,93,22
129027,185,108
129028,94,36
129029,132,78
129030,190,132
130001,155,60
130002,183,96
130003,160,60
130004,141,60
130005,171,72
130006,162,72
130007,173,84
130008,173,72
130009,165,72
130010,157,72
130011,172,84
130012,177,84
130013,177,84
130014,169,84
130015,156,54
130016,178,84
130017,165,84
130018,186,96
130019,184,96
130020,182,96
130021,187,96
130022,165,108
130023,188,108
130024,186,108
130025,187,108
130026,189,120
130027,190,120
130028,188,144
130029,189,132
131001,6,2
131002,38,10
131003,11,0
131004,151,66
131005,114,54
131006,92,36
131007,36,10
131008,105,42
131009,119,36
131010,98,28
131011,28,4
131012,183,84
131013,56,12
131014,116,42
131015,169,84
131016,177,96
131017,165,78
131018,185,144
131019,176,108
131020,56,20
131021,63,20
131022,105,36
131023,58,14
131024,140,48
131025,60,16
131026,0,0
131027,44,10
131028,180,96
131029,166,66
131030,46,12
131031,45,10
131032,44,10
131033,190,204
131034,123,36
131035,14,2
131036,83,22
131037,7,0
131038,18,4
131040,177,96
131041,126,42
131042,133,48
131043,121,42
131044,42,10
131045,16,2
131046,183,108
131047,173,84
131048,60,14
131049,1,0
131050,15,4
131051,47,14
131052,51,14
131053,29,6
131054,15,4
131055,115,42
131056,180,96
131057,161,72
131058,126,42
131059,180,84
131060,42,12
132002,24,6
132003,173,120
132006,182,78
132007,160,48
132008,87,22
132010,189,108
132011,99,32
132012,43,10
132015,169,72
132016,189,144
132017,186,132
132018,185,96
132019,141,54
132021,174,84
132022,188,96
132023,127,54
132024,183,132
132025,184,108
132026,185,108
132027,127,48
132028,47,16
132029,186,108
132030,143,42
133001,155,78
133002,179,120
133003,175,84
133004,124,42
133005,158,66
133006,190,96
133007,190,132
133010,89,24
133011,177,120
133012,169,84
133013,126,54
133015,179,78
133016,143,48
133019,185,96
133020,186,96
133022,96,32
133023,29,8
133025,178,96
133026,155,72
133028,180,108
133029,182,96
133030,158,78
134001,185,144
134002,187,144
134003,180,96
134004,180,96
134005,167,96
134006,182,84
134007,156,72
134008,188,144
134009,186,132
134010,164,96
134011,175,96
134012,161,96
134013,175,96
134014,179,96
134016,160,72
134017,138,72
134018,158,72
134019,170,78
134020,188,144
134021,186,144
134022,158,66
134023,185,96
134024,169,96
134025,165,96
134026,172,84
134027,91,22
134028,58,22
134029,60,22
134030,82,20
134031,81,24
134032,61,12
134033,87,28
134034,175,96
134035,172,72
134036,94,24
134037,79,24
134039,179,108
134040,70,22
134041,92,32
134042,85,24
134043,65,14
134044,188,108
134046,77,32
134047,51,10
135001,185,96
135002,121,36
135003,177,120
135004,153,66
135005,57,14
135006,157,54
135007,156,54
135008,169,78
135009,142,66
135010,181,96
135012,144,72
135013,98,42
135014,26,6
135015,178,96
135016,190,228
135017,189,132
135018,190,228
135019,145,66
135020,186,144
135021,183,120
135022,26,10
135023,186,132
135024,185,120
135025,184,228
135026,167,84
135027,153,60
135028,106,32
135029,91,24
135030,22,4
136001,185,132
136002,24,6
136003,54,14
136004,188,132
136005,183,120
136006,157,60
136007,184,96
136008,30,8
136011,152,60
136012,7,2
136013,17,4
136014,54,12
136015,81,28
136016,82,28
136017,82,28
136019,64,24
136020,22,8
136021,22,6
136023,92,24
136024,27,6
136025,30,8
136030,64,16
137001,189,132
137002,190,108
137003,117,66
137004,90,36
137005,187,120
137006,187,84
137007,73,28
137008,131,48
137009,146,66
137010,103,36
137011,88,28
137012,132,54
137013,27,4
137014,61,12
137015,150,60
137016,11,0
137017,154,72
137018,119,48
137019,79,28
137020,166,96
137021,118,54
137022,52,16
137023,65,32
137024,23,4
137025,65,14
137026,165,66
137027,183,96
137028,160,72
137029,185,108
137030,181,78
137031,116,32
137032,173,84
137033,187,108
137034,147,48
137035,190,108
137036,168,66
137037,190,96
137038,185,72
137039,161,54
137040,147,72
137041,102,36
137042,51,10
137043,169,84
137044,77,18
137045,110,36
137046,73,18
137047,7,0
137051,144,66
137052,8,0
138001,189,144
138003,178,108
138004,170,84
138005,174,96
138006,189,228
138007,190,120
138008,154,78
138009,121,54
138010,190,144
138011,104,28
138012,174,144
138013,177,108
138014,18,2
138015,23,4
138016,178,120
138017,176,96
138018,45,12
138019,30,6
138020,42,12
138021,95,24
139001,39,8
139002,82,22
139003,151,48
139004,125,42
139005,64,18
139006,80,22
139007,64,16
139008,61,18
139009,125,48
139010,86,24
139011,20,6
139012,77,24
139013,117,42
139014,39,10
139015,120,42
139016,48,14
139017,40,10
139018,145,48
139019,124,32
139020,162,60
139021,131,48
139022,103,28
141001,67,14
141002,91,20
141003,83,16
141004,63,18
141005,74,14
141006,71,18
141007,93,22
141008,95,24
141009,91,20
141010,83,20
141011,97,22
141012,68,20
141013,103,24
141014,67,14
141015,99,18
141016,75,16
141017,96,16
141018,80,16
141019,82,14
141021,92,18
141022,104,22
141023,83,20
141024,104,22
141025,103,20
141026,110,28
141027,110,24
141028,109,32
141029,108,32
141030,90,28
141031,105,36
141032,113,36
141033,113,36
141034,111,42
141035,118,32
141036,115,42
141037,111,36
141038,101,42
141039,93,36
141040,104,42
141041,118,42
141042,118,42
141043,102,42
141044,120,54
141045,128,48
141046,115,54
141047,121,54
141048,127,48
141049,132,54
142001,84,22
142002,58,14
142003,103,22
142004,81,24
142005,87,24
142006,76,20
142007,42,10
142008,123,32
142009,5,0
142010,20,2
142011,28,8
142012,30,6
142013,89,32
142014,68,16
142015,66,16
142016,24,6
142017,109,32
142018,128,42
142019,31,6
142020,44,14
142021,75,16
142022,131,36
142023,159,60
142024,36,8
142025,81,20
142026,81,24
142027,9,4
142028,131,54
142029,82,36
142030,30,8
143001,190,132
143002,189,108
143003,140,48
143004,182,84
143005,178,84
143006,181,96
143007,160,72
143008,155,78
143009,140,60
143010,155,54
143011,110,32
143013,146,72
143017,159,60
143018,182,96
143019,188,144
143021,183,144
143022,187,132
143023,178,96
143024,88,32
143025,186,120
146001,11,0
146002,51,10
148001,144,84
148002,174,132
148003,126,66
148004,67,20
148005,144,54
148006,189,132
148007,182,108
148008,148,96
148009,180,144
148012,169,84
148013,166,84
148015,186,144
148016,116,48
148017,149,60
148018,91,28
148019,149,72
148020,56,14
148021,129,48
148022,155,108
148023,172,84
148024,117,42
148025,176,96
148026,159,78
148027,187,132
148028,141,60
148029,142,72
148030,161,84
148031,174,108
148032,73,20
151001,190,180
151002,188,120
151003,187,108
151004,189,156
151005,126,48
151006,92,36
151007,122,48
151008,147,78
151009,187,108
151010,83,42
151011,110,42
151012,148,84
151013,186,132
151014,93,36
151015,190,108
151016,126,78
151017,120,36
151018,190,144
151019,188,120
151020,190,132
151021,187,108
151022,184,132
151023,189,120
151024,189,132
151025,190,120
151026,189,120
151027,140,60
151028,141,66
151029,133,48
151030,134,66
151031,189,96
151032,170,96
151033,188,120
151034,188,120
151035,125,54
151036,185,96
151037,186,96
151038,185,108
151039,189,120
151040,190,132
151041,137,36
151042,153,84
151043,162,84
151044,161,84
151045,83,36
151046,180,96
151047,167,96
151048,188,120
151049,177,96
151050,57,24
151051,168,108
151052,163,84
151053,167,84
151054,170,108
151055,182,120
151056,126,96
151057,161,84
151058,166,84
151059,164,84
151060,179,96
154001,187,228
154002,107,32
154003,37,10
154004,188,228
154005,170,84
154006,49,10
154007,190,228
154008,188,228
154009,120,42
154010,186,120
154011,189,228
154012,190,228
154013,189,228
154014,190,228
154015,190,228
154016,189,228
154017,179,144
154018,181,120
154019,190,228
154020,184,228
154021,188,132
154022,166,132
154023,189,228
154024,184,84
154025,181,144
154026,190,228
154027,190,228
154028,180,108
154029,182,108
154030,175,132
154031,107,36
154032,47,12
154033,25,8
154035,54,20
154036,109,60
154037,131,72
154038,139,84
154039,179,144
154040,176,84
154041,151,66
154042,107,42
154043,75,28
154044,179,144
154045,186,132
154046,172,108
154047,185,120
154048,182,144
154049,160,78
154050,150,60
154051,22,6
154052,163,54
154054,21,8
154055,121,66
154056,187,108
154057,185,132
154058,182,120
154059,150,78
154060,175,120
154061,157,72
154062,49,14
154063,167,84
154064,134,48
154065,4,0
154066,5,0
154067,162,84
154068,181,144
154069,169,132
154070,167,132
154071,184,144
154072,157,78
154073,130,48
154074,109,28
154075,50,18
154076,185,132
154077,165,108
154078,158,84
154079,180,132
154080,175,120
154081,169,108
201003,157,66
201004,151,66
201005,134,60
201006,146,60
201007,148,72
201008,163,72
201009,172,72
201010,171,72
201011,148,66
201012,159,72
201013,154,66
201014,168,72
201015,162,66
201016,158,78
201020,136,54
201022,143,66
201030,185,72
201031,154,72
201033,144,66
201034,153,60
201040,163,66
201041,155,60
201043,143,54
201047,155,66
201050,173,72
201052,116,42
201053,147,66
201054,156,66
201056,163,54
202001,185,132
202002,181,108
202003,102,48
202004,171,108
202005,163,66
202006,142,54
202007,26,4
202008,181,96
202009,124,42
202010,22,4
202011,32,8
202012,178,144
202013,79,22
202014,75,42
202015,149,78
202016,41,10
202017,175,120
202018,100,48
202019,27,8
202020,28,6
202021,137,54
202022,73,28
202023,26,8
202024,108,24
202025,30,4
202026,135,42
202027,165,78
202028,124,42
202029,150,60
202030,12,2
202031,164,60
202032,129,42
202033,23,4
202034,23,6
202035,86,28
202036,74,20
202037,153,42
202038,154,42
202039,182,78
202040,25,6
202041,74,18
202042,140,42
202043,119,32
202044,126,36
202045,79,20
202046,63,16
202047,133,48
202048,179,96
202049,131,42
202050,178,96
202051,180,96
202052,175,78
202053,13,2
202054,29,6
202055,126,32
202056,147,54
202057,78,18
202058,125,48
202059,49,18
202060,110,48
202061,123,48
202062,134,42
202063,65,20
202064,4,0
202065,46,14
202066,111,42
202067,148,54
202068,63,28
202069,81,24
202070,35,6
202071,152,54
202072,41,8
202073,165,72
202074,68,18
202075,37,8
202076,186,120
202077,133,96
202078,36,12
202079,45,24
202080,73,36
202081,37,24
202082,165,108
202083,175,132
202085,168,132
202086,34,12
202087,80,42
202088,107,48
202089,142,78
202090,149,72
202091,180,96
202092,116,42
202093,126,60
202094,183,120
202095,59,28
202096,177,96
202097,168,84
202098,186,108
202099,188,144
202100,4,0
202101,141,48
202102,6,0
202103,180,66
202104,48,16
202105,79,24
202106,151,60
202107,189,144
202108,29,8
202109,188,132
202110,189,132
206001,85,42
206002,130,66
206003,145,78
206004,56,22
206005,167,84
206006,117,84
206008,156,84
206010,172,84
206015,162,72
206017,184,84
206019,172,78
206020,169,78
206024,159,84
207001,150,72
207002,137,60
207003,45,10
207004,179,96
207005,24,8
207006,67,20
207007,141,84
207008,41,10
207009,180,120
207010,123,48
207011,72,20
207012,104,48
207013,95,24
207014,25,8
207015,105,24
207016,53,12
207017,170,120
207018,179,96
207019,25,6
207020,99,32
207021,143,60
207022,37,8
207023,99,36
207024,154,84
207025,56,18
208001,112,54
208002,133,48
208003,180,54
208004,115,48
208005,144,48
208006,180,66
208007,135,60
208008,143,54
208117,180,66
208118,139,66
211002,149,60
211003,185,120
211004,188,144
211005,188,108
211006,122,54
211007,103,42
211008,185,144
211009,158,84
211012,76,24
211014,117,28
211015,67,16
211016,180,78
211017,157,60
211018,111,28
211020,184,108
211021,166,72
211022,180,156
211023,180,108
211024,173,66
213001,113,32
213002,113,54
213003,96,72
215001,176,84
215002,147,48
215003,61,18
215004,171,84
215005,183,120
215006,20,2
215007,74,24
215008,8,4
215009,71,18
215010,93,24
216001,185,84
216002,186,132
216003,187,144
216004,140,48
216005,179,96
216006,148,66
216007,109,36
216008,183,108
216009,180,84
216011,189,132
216012,177,120
216013,180,132
216014,33,8
216015,107,42
216016,183,96
216017,172,84
216018,141,48
216019,87,18
218001,65,16
218003,157,60
218004,124,48
218005,169,84
218006,25,4
218007,103,24
218008,18,6
218009,154,72
218010,73,20
218011,36,10
218012,97,24
218013,42,8
218014,34,8
218015,92,18
218016,32,6
218017,54,12
218018,65,14
218019,69,20
218020,17,4
218021,51,12
218022,21,4
218023,21,6
218024,22,6
218025,19,4
218026,77,18
218027,17,4
218028,73,18
218030,35,10
218031,42,10
218032,79,18
218033,17,4
218034,56,16
218035,55,16
218036,60,12
218037,56,12
219001,152,78
219002,180,108
219003,154,60
219004,170,84
219005,175,84
219006,180,96
219007,190,72
219008,187,120
219009,174,96
219010,161,66
220001,182,108
220002,170,78
220003,124,42
220004,75,24
220005,182,132
220006,66,22
220007,124,54
220008,188,108
220009,114,84
220010,141,66
220011,153,66
220012,131,60
220013,153,66
220015,146,60
220016,129,48
220017,157,66
220018,174,78
220019,178,96
220020,162,78
220021,100,24
220022,89,24
220023,149,54
220024,180,78
220025,188,108
220026,14,4
220027,30,6
220028,174,96
220029,47,14
220030,179,132
220031,179,144
220032,179,120
220033,151,48
220034,173,132
220035,189,144
220036,188,120
220037,171,72
220038,89,20
220039,74,12
220040,128,28
220041,87,32
220042,26,8
220043,88,28
220044,158,72
221001,96,36
221002,44,18
221003,55,18
221004,91,28
221005,172,72
221006,149,72
221007,102,32
221008,170,72
221009,157,72
221010,58,12
221011,79,22
221012,144,66
221013,53,12
221014,22,4
221015,16,2
223001,106,42
223002,85,24
