PHYscore,ADPscore,SOCscore,COGscore,COMscore,TOTALscore,PHYscoreP,ADPscoreP,SOCscoreP,COGscoreP,COMscoreP,TOTALscoreP,PHYscoreT,ADPscoreT,SOCscoreT,COGscoreT,COMscoreT,TOTALscoreT,PHYscoreCR,ADPscoreCR,SOCscoreCR,COGscoreCR,COMscoreCR,TOTALscoreCR,ID,agestrat
37,41,30,42,34,184, , , , , , ,32,34,28,38,28,160, , , , , , ,302005,78
35,37,26,38,30,166, , , , , , ,31,35,31,39,30,166, , , , , , ,302009,78
31,17,17,23,18,106, , , , , , , , , , , , , , , , , , ,501012,78
34,31,28,29,28,150, , , , , , , , , , , , , , , , , , ,501025,78
18,19,6,8,10,61, , , , , , , , , , , , , , , , , , ,503004,78
27,26,22,24,25,124,32,21,22,24,22,121,17,21,17,10,10,75, , , , , , ,506003,78
20,13,13,20,25,91,22,15,15,23,22,97,24,21,19,25,21,110, , , , , , ,506022,78
32,29,21,22,24,128,33,29,21,23,24,130,24,25,23,25,25,122, , , , , , ,517001,78
36,33,29,36,27,161, , , , , , ,34,33,25,36,27,155, , , , , , ,517020,78
21,22,22,26,26,117,25,26,15,25,22,113,25,22,18,24,22,111, , , , , , ,602006,78
16,13,18,22,23,92, , , , , , ,16,10,18,24,23,91, , , , , , ,602008,78
34,27,16,41,26,144,33,33,21,42,27,156,34,33,25,40,26,158, , , , , , ,607004,78
32,31,17,20,18,118,25,28,19,22,21,115, , , , , , , , , , , , ,607007,78
33,34,24,33,26,150,35,29,24,31,22,141,34,32,28,34,25,153, , , , , , ,608004,78
34,34,22,27,28,145,33,34,18,25,24,134,32,25,23,22,24,126, , , , , , ,608012,78
31,17,7,24,13,92, , , , , , , , , , , , , , , , , , ,611003,78
32,36,27,28,29,152, , , , , , , , , , , , , , , , , , ,611007,78
31,29,20,34,26,140,33,31,19,34,29,146,30,29,21,32,29,141, , , , , , ,612017,78
18,18,19,21,23,99, , , , , , ,10,12,16,17,17,72, , , , , , ,705002,78
33,37,31,36,32,169,33,37,31,37,31,169,32,35,29,37,31,164,35,32,14,35,22,138,101023,72
33,27,20,32,25,137,31,27,26,28,24,136,31,30,33,32,28,154,36,34,26,41,34,171,101024,72
36,33,26,32,30,157,31,31,33,33,29,157, , , , , , ,34,26,21,35,23,139,101047,72
35,30,33,35,30,163,36,28,25,34,30,153,31,33,27,32,30,153,37,39,34,40,31,181,102001,72
33,25,18,22,24,122, , , , , , ,32,26,21,24,24,127,12,10,5,11,9,47,102009,72
33,34,33,35,32,167, , , , , , ,31,34,33,36,27,161,28,25,22,16,20,111,104004,72
31,31,31,31,26,150,32,33,24,27,24,140,30,31,26,27,25,139,33,31,28,36,25,153,105034,72
19,25,11,20,22,97,20,25,19,24,24,112,30,31,23,27,28,139,36,36,29,36,32,169,105035,72
31,33,29,35,30,158, , , , , , ,29,30,33,30,29,151,36,34,26,32,25,153,107021,72
37,41,36,40,34,188, , , , , , ,34,35,34,31,30,164,37,38,32,42,32,181,107036,72
33,31,31,28,28,151, , , , , , ,30,35,34,35,29,163,37,39,36,42,34,188,108016,72
27,25,25,34,27,138,30,30,25,35,28,148,34,34,33,36,30,167,20,13,12,12,11,68,109007,72
37,36,32,35,34,174,35,39,36,40,33,183,34,37,32,40,31,174, , , , , , ,109033,72
33,30,31,27,27,148,33,29,31,26,28,147,28,29,30,27,24,138, , , , , , ,109064,72
36,37,34,32,31,170, , , , , , ,33,34,33,35,31,166, , , , , , ,109097,72
37,39,33,37,32,178, , , , , , , , , , , , , , , , , , ,110007,72
32,30,29,36,28,155, , , , , , ,30,32,32,31,28,153, , , , , , ,111044,72
28,29,23,32,23,135, , , , , , ,34,33,27,36,28,158, , , , , , ,112002,72
32,35,30,31,26,154, , , , , , ,29,26,25,31,21,132, , , , , , ,112032,72
29,34,33,33,28,157, , , , , , , , , , , , , , , , , , ,113014,72
