ID,agestrat,SOCscoreT
221001,36,21
223006,36,17
224011,36,17
224012,36,15
506011,36,12
508019,36,7
508021,36,10
608005,36,20
612003,36,12
101039,42,24
105013,42,11
105014,42,12
105042,42,11
107049,42,35
109008,42,11
109018,42,19
109035,42,30
109054,42,22
111002,42,29
111010,42,30
111019,42,17
111020,42,28
111024,42,31
116008,42,17
116017,42,18
117062,42,24
118009,42,29
120015,42,24
120029,42,16
120062,42,23
121016,42,24
123033,42,20
123034,42,22
123063,42,19
123073,42,29
127014,42,31
127017,42,33
127028,42,32
127032,42,29
129007,42,18
131008,42,24
131014,42,24
131041,42,24
131043,42,24
131055,42,25
131058,42,26
139013,42,22
141034,42,20
141036,42,20
141038,42,18
141040,42,19
141041,42,20
141042,42,22
141043,42,18
148024,42,20
151010,42,17
151011,42,17
154042,42,14
201052,42,15
202009,42,28
202014,42,6
202026,42,29
202028,42,28
202032,42,25
202037,42,33
202038,42,29
202042,42,26
202049,42,30
202062,42,27
202066,42,20
202087,42,21
202092,42,30
206001,42,14
211007,42,21
220003,42,23
223001,42,20
224016,42,17
505024,42,30
505038,42,8
505039,42,3
506016,42,6
508008,42,27
508015,42,9
508022,42,10
508033,42,8
517018,42,16
608001,42,20
608009,42,20
608010,42,22
101019,48,26
101027,48,27
101036,48,28
105002,48,25
105012,48,12
105020,48,15
109014,48,31
109038,48,14
109060,48,32
109066,48,22
109090,48,34
109096,48,26
111030,48,30
111049,48,31
112012,48,20
112022,48,22
115001,48,17
115015,48,17
117024,48,31
118006,48,15
120017,48,24
120042,48,19
120064,48,32
125002,48,25
125003,48,29
127015,48,23
127031,48,29
129015,48,21
129019,48,26
129021,48,17
129025,48,20
131024,48,31
131042,48,24
137008,48,31
137018,48,23
137034,48,24
139009,48,26
139018,48,28
139021,48,24
141045,48,21
141048,48,25
143003,48,25
151005,48,21
151029,48,26
202003,48,25
202018,48,14
202047,48,22
202058,48,19
202060,48,20
202061,48,20
202088,48,31
202101,48,32
207010,48,19
207012,48,24
208002,48,23
208004,48,12
208005,48,26
215002,48,30
218004,48,25
220016,48,24
224007,48,30
224015,48,17
224018,48,18
501002,48,21
501006,48,18
501032,48,23
505035,48,13
507001,48,7
526001,48,6
526003,48,15
608002,48,21
101025,54,27
104003,54,31
105006,54,12
105010,54,7
107046,54,24
108015,54,28
109080,54,28
111038,54,28
112023,54,18
114001,54,25
114004,54,32
114012,54,26
114018,54,34
115120,54,19
117014,54,23
117022,54,32
117023,54,31
120012,54,23
120049,54,16
123006,54,27
123007,54,15
123079,54,28
125004,54,28
125006,54,25
125009,54,26
125015,54,19
125018,54,25
126008,54,27
126009,54,26
126016,54,28
127007,54,33
127024,54,32
129010,54,19
130015,54,30
131005,54,24
132023,54,26
133013,54,27
135006,54,31
135007,54,33
137012,54,20
137021,54,21
137039,54,29
141044,54,20
141046,54,21
141047,54,21
141049,54,23
143010,54,35
148005,54,29
151035,54,15
154052,54,32
201020,54,33
201056,54,25
202006,54,30
202021,54,30
202056,54,28
202067,54,30
202071,54,31
208001,54,24
208003,54,26
208008,54,26
211006,54,32
220007,54,31
220023,54,26
505036,54,3
505037,54,4
506001,54,5
506014,54,22
507005,54,14
508013,54,14
508027,54,14
508032,54,8
517003,54,2
608003,54,29
609003,54,13
612002,54,29
101015,60,33
101029,60,29
101031,60,25
101034,60,27
101037,60,34
104005,60,23
104024,60,27
104025,60,26
107037,60,32
107048,60,24
108025,60,31
108031,60,16
109005,60,34
111009,60,29
111029,60,22
111032,60,30
111052,60,28
115007,60,32
115033,60,30
120031,60,15
120053,60,29
122002,60,31
122005,60,32
125005,60,27
125007,60,28
125008,60,30
125010,60,30
125012,60,21
125013,60,26
125014,60,11
125019,60,27
125021,60,29
125022,60,26
125023,60,32
125024,60,32
125031,60,32
125033,60,29
125046,60,28
125047,60,30
125048,60,27
126005,60,33
126013,60,30
130001,60,34
130003,60,33
130004,60,33
135027,60,34
136006,60,35
137015,60,30
139020,60,31
143009,60,32
143017,60,28
148017,60,28
148028,60,32
151027,60,30
202029,60,17
202031,60,31
202093,60,28
202106,60,33
207002,60,28
207021,60,28
208007,60,25
211002,60,33
218003,60,34
219003,60,28
220012,60,23
220015,60,31
224013,60,28
224014,60,29
224017,60,33
501001,60,18
501029,60,26
505005,60,29
505040,60,16
508001,60,19
508002,60,23
508031,60,13
517002,60,8
517013,60,16
602002,60,21
608007,60,27
612001,60,33
105033,66,29
105043,66,30
109026,66,26
109055,66,34
109091,66,35
112007,66,26
112031,66,17
116025,66,29
116036,66,28
117002,66,28
118001,66,29
118017,66,33
120032,66,24
120059,66,21
120067,66,31
123027,66,29
123046,66,29
123052,66,29
125011,66,32
125016,66,28
126001,66,29
126011,66,29
126014,66,30
127011,66,29
127016,66,34
127029,66,33
129017,66,31
131004,66,31
131029,66,28
134022,66,31
135004,66,26
135009,66,27
135019,66,31
137003,66,31
137009,66,24
137026,66,34
137036,66,30
137051,66,34
148003,66,21
151028,66,30
151030,66,32
154041,66,23
154055,66,25
201003,66,29
201004,66,31
201011,66,12
201013,66,27
201015,66,34
201022,66,33
201040,66,26
201053,66,25
202005,66,34
202103,66,33
208006,66,32
219010,66,21
220011,66,26
220013,66,21
220017,66,31
221012,66,33
224003,66,27
224020,66,32
227003,66,31
503001,66,17
503006,66,8
505016,66,19
508011,66,19
517023,66,26
517028,66,23
529026,66,18
529029,66,14
602003,66,16
602004,66,13
608011,66,24
608014,66,22
101023,72,29
101024,72,33
102001,72,27
102009,72,21
104004,72,33
105034,72,26
105035,72,23
107021,72,33
107036,72,34
108016,72,34
109007,72,33
109033,72,32
109064,72,30
109097,72,33
111044,72,32
112002,72,27
112032,72,25
114002,72,27
116043,72,18
117061,72,31
120027,72,31
120030,72,31
120038,72,30
120050,72,31
120065,72,24
123042,72,31
123048,72,30
123057,72,31
125017,72,33
125028,72,26
125037,72,33
126010,72,31
126012,72,33
126018,72,33
128008,72,32
130005,72,32
130006,72,32
130008,72,33
130009,72,32
130010,72,33
131057,72,34
132015,72,31
134007,72,23
134016,72,33
134017,72,33
134018,72,34
134035,72,30
137017,72,28
137028,72,29
137038,72,32
137040,72,29
143007,72,29
143013,72,32
148019,72,28
148029,72,30
154037,72,8
201007,72,28
201008,72,33
201009,72,33
201010,72,33
201012,72,34
201014,72,31
202073,72,31
202090,72,32
207001,72,30
218009,72,31
219007,72,29
221005,72,31
221006,72,28
221008,72,33
221009,72,33
223004,72,21
224006,72,33
224009,72,33
224019,72,30
501021,72,34
506005,72,20
506015,72,12
508009,72,14
508010,72,12
510004,72,18
517006,72,6
529001,72,10
529025,72,19
602007,72,21
611004,72,7
101002,78,34
101018,78,27
107008,78,32
107052,78,31
109003,78,31
109019,78,28
109020,78,29
109069,78,34
109086,78,34
111006,78,30
112006,78,31
112034,78,16
112038,78,21
114016,78,30
114017,78,33
115043,78,28
118011,78,34
119009,78,28
119015,78,32
120023,78,32
120056,78,33
120057,78,31
120070,78,29
121018,78,34
123015,78,24
123053,78,31
127004,78,31
127033,78,34
128021,78,33
129016,78,30
129022,78,31
129029,78,20
134019,78,28
135008,78,28
137030,78,29
138008,78,33
143008,78,28
148026,78,30
151008,78,32
151016,78,32
201016,78,21
202015,78,26
202027,78,31
202039,78,33
202052,78,31
202089,78,33
206020,78,31
219001,78,33
220002,78,32
220018,78,14
220020,78,29
224002,78,33
302005,78,28
302009,78,31
506003,78,17
506022,78,19
517001,78,23
517020,78,25
602006,78,18
602008,78,18
607004,78,25
608004,78,28
608012,78,23
612017,78,21
705002,78,16
101009,84,34
104017,84,33
107039,84,33
107054,84,35
108003,84,28
109043,84,35
109046,84,23
109051,84,33
109085,84,34
109089,84,32
111001,84,34
112003,84,22
112018,84,19
112020,84,20
112033,84,22
112042,84,25
112050,84,19
112051,84,28
112052,84,24
112070,84,25
114023,84,35
115002,84,33
115009,84,32
115034,84,30
115048,84,30
117041,84,27
119011,84,33
119016,84,31
119019,84,32
120020,84,34
122006,84,34
123002,84,32
123009,84,31
125020,84,34
126004,84,33
127022,84,29
127035,84,33
128019,84,35
129002,84,29
129006,84,26
129012,84,29
130007,84,31
130011,84,35
130012,84,35
130013,84,35
130014,84,34
130016,84,32
130017,84,33
131012,84,33
131015,84,33
131047,84,33
131059,84,34
132021,84,34
134006,84,34
134026,84,34
135026,84,35
137006,84,30
137032,84,30
137043,84,26
138004,84,32
143004,84,32
143005,84,31
148001,84,31
148012,84,32
148013,84,33
148023,84,33
148030,84,32
151012,84,31
151042,84,30
151043,84,32
151044,84,27
151052,84,26
151053,84,21
151057,84,31
151058,84,28
151059,84,32
154005,84,34
154040,84,26
154078,84,28
202097,84,28
206005,84,26
206008,84,18
206010,84,33
206017,84,24
206024,84,14
207007,84,24
207024,84,30
211009,84,30
215001,84,27
215004,84,34
216001,84,35
216009,84,34
216017,84,33
219004,84,31
219005,84,33
220009,84,27
302006,84,34
501003,84,17
506009,84,25
508023,84,16
508024,84,17
508025,84,15
508028,84,12
508034,84,34
517011,84,25
517017,84,25
517026,84,23
602005,84,15
605004,84,22
705004,84,16
101021,96,33
101030,96,35
101032,96,33
102010,96,22
102011,96,31
104023,96,33
108013,96,35
109002,96,24
109021,96,30
109061,96,35
109065,96,32
109088,96,31
110004,96,33
112017,96,25
112036,96,25
112040,96,24
112047,96,29
112068,96,25
118016,96,32
119007,96,33
119014,96,32
119018,96,32
119021,96,32
120044,96,34
120046,96,33
122010,96,24
123010,96,33
123039,96,33
123080,96,31
126007,96,33
128001,96,34
128004,96,34
128024,96,34
130002,96,31
130018,96,34
130019,96,32
130020,96,32
130021,96,33
131016,96,28
131028,96,33
131040,96,32
131056,96,30
134003,96,31
134004,96,32
134005,96,20
134010,96,29
134011,96,33
134012,96,33
134013,96,33
134014,96,33
134023,96,34
134024,96,28
134025,96,33
134034,96,34
135001,96,32
135010,96,29
136007,96,35
137020,96,34
137027,96,34
137037,96,34
138005,96,33
138017,96,30
143006,96,31
143018,96,34
143023,96,33
148025,96,33
151031,96,34
151032,96,29
151036,96,31
151037,96,34
151046,96,30
151047,96,24
151049,96,28
151056,96,25
151060,96,33
202008,96,34
202048,96,31
202050,96,31
202051,96,31
202077,96,15
202091,96,33
202096,96,33
207004,96,35
207018,96,31
216016,96,30
219006,96,32
219009,96,24
220028,96,31
223005,96,25
223008,96,21
224001,96,34
224005,96,33
224010,96,34
302001,96,35
302008,96,31
503002,96,12
506004,96,24
508003,96,12
510001,96,31
517012,96,24
529008,96,32
529015,96,28
600006,96,18
605002,96,11
605003,96,23
609009,96,9
612012,96,30
101001,108,34
107020,108,35
107055,108,35
109004,108,34
109016,108,32
109050,108,33
109052,108,16
109068,108,34
109079,108,35
109084,108,34
109095,108,32
111011,108,34
111021,108,34
112044,108,28
112045,108,25
112046,108,29
115035,108,20
115049,108,28
116024,108,34
116041,108,32
117038,108,34
119004,108,30
120024,108,33
120028,108,29
120043,108,23
120051,108,33
120058,108,22
120073,108,33
123065,108,33
123068,108,34
123076,108,33
125001,108,34
126003,108,35
126006,108,34
126019,108,29
129011,108,35
129027,108,33
130022,108,33
130023,108,34
130024,108,34
130025,108,33
131019,108,34
131046,108,35
132010,108,31
132025,108,34
134039,108,34
134044,108,35
137002,108,35
137029,108,32
137033,108,34
137035,108,34
138003,108,34
143002,108,33
148007,108,33
148022,108,28
148031,108,30
151003,108,33
151015,108,30
151021,108,33
151038,108,33
151051,108,33
151054,108,34
154028,108,34
154029,108,28
154056,108,34
154077,108,27
154081,108,32
202002,108,34
202004,108,32
202082,108,33
202098,108,35
211005,108,33
211020,108,28
219002,108,32
220001,108,30
220008,108,32
223009,108,32
302002,108,33
505010,108,15
508016,108,24
510005,108,23
517004,108,34
527004,108,18
600009,108,17
600010,108,18
612008,108,20
612013,108,22
101010,120,33
101035,120,35
107019,120,33
109012,120,35
109015,120,32
109023,120,34
109037,120,35
109042,120,35
109049,120,18
109094,120,34
111003,120,34
111014,120,35
111035,120,34
111043,120,34
112035,120,25
112041,120,28
112056,120,32
112071,120,28
115036,120,34
115050,120,22
116046,120,33
116058,120,34
116061,120,33
117003,120,33
118010,120,30
120071,120,33
122007,120,35
123014,120,34
123023,120,30
123032,120,34
123049,120,33
123056,120,34
123061,120,34
123069,120,34
123078,120,34
127023,120,33
128005,120,34
128011,120,35
128014,120,30
128025,120,32
129001,120,34
129013,120,34
130026,120,35
130027,120,35
133002,120,33
136005,120,33
137005,120,32
138007,120,35
138016,120,29
143025,120,35
151002,120,33
151019,120,34
151023,120,34
151025,120,34
151026,120,35
151033,120,31
151034,120,33
151039,120,35
151048,120,31
151055,120,32
154010,120,30
154018,120,34
154047,120,35
154058,120,34
154080,120,34
202017,120,27
202076,120,34
202094,120,32
207009,120,30
207017,120,35
211003,120,35
215005,120,29
219008,120,32
220032,120,31
220036,120,32
302007,120,35
505011,120,13
506008,120,20
506013,120,17
508014,120,18
508026,120,31
510008,120,26
517009,120,31
517021,120,33
527002,120,9
600007,120,23
600008,120,19
602001,120,17
611001,120,11
612007,120,16
612014,120,28
102018,132,35
107004,132,29
107016,132,32
107026,132,34
107027,132,35
107030,132,35
107032,132,35
107040,132,34
107041,132,35
107042,132,35
109027,132,35
109029,132,34
109073,132,34
111007,132,33
111025,132,35
111042,132,34
112030,132,27
112067,132,32
116011,132,35
116016,132,35
116022,132,35
116057,132,35
120045,132,34
121019,132,34
123008,132,32
123019,132,35
123026,132,34
123029,132,34
123035,132,35
123041,132,35
123043,132,34
123054,132,34
123055,132,35
123060,132,35
123062,132,35
123064,132,35
123067,132,35
123070,132,35
123074,132,34
123077,132,35
130028,132,35
131018,132,35
134001,132,35
134002,132,35
134008,132,35
134020,132,35
134021,132,35
138010,132,35
143019,132,35
143021,132,35
148009,132,32
151018,132,35
154017,132,30
202012,132,29
202099,132,34
202107,132,35
211004,132,32
211008,132,35
220031,132,33
302011,132,34
501009,132,32
505021,132,29
529022,132,33
529023,132,35
600001,132,25
608008,132,24
701004,132,21
104002,132,32
107006,132,35
107038,132,31
109034,132,35
109048,132,32
111036,132,34
112013,132,25
112053,132,33
112069,132,35
114003,132,33
115003,132,32
116015,132,35
116021,132,35
116037,132,35
116040,132,34
116042,132,35
116044,132,35
116045,132,35
116048,132,35
116051,132,35
116054,132,34
116059,132,34
116060,132,35
116069,132,34
116071,132,34
116072,132,35
116077,132,35
116078,132,35
117050,132,16
118004,132,34
118008,132,35
119002,132,32
119003,132,34
119013,132,34
119017,132,32
120021,132,34
120025,132,34
120072,132,22
123037,132,34
123038,132,34
123047,132,35
123050,132,34
123051,132,35
123058,132,34
123059,132,34
123075,132,35
126002,132,35
126015,132,32
126017,132,34
127002,132,33
127034,132,32
128002,132,34
128003,132,35
128006,132,35
128009,132,32
128023,132,35
129030,132,35
130029,132,35
132024,132,31
134009,132,35
136001,132,35
136004,132,31
137001,132,34
143001,132,35
143022,132,35
148002,132,30
148006,132,35
148027,132,34
151013,132,35
151020,132,35
151022,132,34
151024,132,34
151040,132,35
154022,132,29
154030,132,35
154057,132,34
154076,132,33
154079,132,35
202001,132,34
202083,132,35
202085,132,29
202109,132,35
202110,132,33
216013,132,34
220005,132,34
220030,132,32
220034,132,33
508030,132,11
510007,132,31
510010,132,22
510014,132,26
517005,132,31
101005,156,35
101012,156,35
102022,156,35
102027,156,35
102032,156,35
102040,156,35
105022,156,24
107007,156,35
107017,156,28
107028,156,35
107056,156,34
107057,156,35
107058,156,34
109031,156,34
109044,156,35
109056,156,35
109057,156,34
109075,156,34
111026,156,35
112029,156,31
112039,156,35
112043,156,35
112055,156,29
112072,156,35
112075,156,35
115013,156,35
116023,156,35
116029,156,35
116032,156,35
116034,156,35
116035,156,35
118003,156,33
120009,156,34
121002,156,31
121003,156,32
123005,156,35
123017,156,35
123020,156,35
123022,156,35
123024,156,35
123025,156,34
123028,156,35
123031,156,35
151001,156,32
505015,156,30
508005,156,24
510016,156,34
517010,156,29
601002,156,33
601007,156,27
101006,156,31
101011,156,32
101026,156,34
102015,156,35
102017,156,35
102020,156,35
102021,156,35
102024,156,35
102026,156,35
102034,156,35
102035,156,35
104001,156,34
104026,156,25
107003,156,35
107005,156,26
107010,156,35
107014,156,35
107018,156,30
107022,156,35
107023,156,35
107024,156,35
107025,156,35
107029,156,35
107031,156,35
107033,156,35
107044,156,35
107045,156,35
107047,156,34
109011,156,33
109017,156,35
109041,156,35
109045,156,33
109062,156,35
109070,156,35
109077,156,35
109083,156,35
109102,156,33
111015,156,35
111018,156,35
111033,156,19
111041,156,35
112027,156,35
112062,156,35
115004,156,35
115012,156,32
115038,156,35
118007,156,35
123003,156,34
123012,156,35
123013,156,35
123018,156,35
123036,156,35
151004,156,34
508017,156,34
508029,156,34
510009,156,33
517007,156,27
517022,156,34
517024,156,33
529010,156,12
600002,156,25
600003,156,33
102012,204,35
102013,204,35
102014,204,35
102019,204,35
105027,204,32
105030,204,28
107001,204,35
107009,204,35
107015,204,35
107060,204,34
109001,204,27
109039,204,35
109058,204,35
109071,204,35
112037,204,35
116047,204,35
116052,204,35
116053,204,35
116064,204,35
116065,204,35
116074,204,35
116075,204,35
116076,204,35
123066,204,35
154001,204,35
154007,204,35
154014,204,35
154026,204,35
101004,204,29
102016,204,35
102025,204,35
102028,204,35
102030,204,35
102031,204,35
102038,204,35
102039,204,35
105026,204,30
107002,204,34
107011,204,35
107012,204,35
107013,204,35
107053,204,35
107059,204,31
109024,204,35
109036,204,35
109040,204,35
109072,204,34
109076,204,34
111016,204,35
111040,204,35
112005,204,35
112014,204,35
112015,204,35
112016,204,35
112019,204,35
112028,204,35
112048,204,35
112049,204,35
112054,204,35
112057,204,35
112058,204,35
112059,204,35
112060,204,34
112061,204,35
112063,204,35
112064,204,35
112065,204,35
112066,204,35
112073,204,35
112074,204,35
116030,204,35
120010,204,35
123001,204,34
123004,204,35
123011,204,35
123016,204,35
123030,204,35
123044,204,35
123045,204,35
131033,204,35
302010,204,35
508007,204,32
529018,204,33
529020,204,20
529021,204,35
529024,204,35
601011,204,26
114021,NA,27
120033,NA,23
120035,NA,17
120036,NA,29
125051,NA,13
128012,NA,35
134015,NA,35
134038,NA,34
154959,NA,34
201001,NA,25
201002,NA,30
201017,NA,30
201018,NA,33
201019,NA,33
201021,NA,33
201024,NA,13
201028,NA,22
201029,NA,30
201039,NA,32
201044,NA,29
201045,NA,19
201051,NA,28
201055,NA,32
206007,NA,30
206009,NA,27
206011,NA,33
206013,NA,34
206016,NA,26
220014,NA,31
526002,NA,1
609001,NA,4
609004,NA,10
