ID,agestrat,GDS_parent
138001,132,530
138003,108,527
138004,84,574
138005,96,566
138007,120,529
138008,78,502
138009,54,466
138010,132,529
138011,28,561
138012,132,490
138013,108,534
138014,2,521
138015,4,528
138016,120,502
138017,96,538
138018,12,489
148001,84,445
148002,132,466
148003,66,445
148004,18,525
148005,48,633
148006,132,529
148007,108,557
148008,96,430
148009,132,488
148012,78,568
148013,84,524
148015,132,520
148016,48,504
148017,60,588
148018,28,512
148020,14,550
148021,48,535
148022,108,460
148023,78,582
148024,42,514
148025,96,540
148026,78,535
148027,132,523
148028,60,536
148029,72,493
148030,84,505
148031,108,514
148032,18,564
154001,204,500
154002,42,492
154003,10,452
154004,204,457
154005,84,593
154007,204,500
154008,204,497
154010,120,561
154011,204,500
154012,204,452
154013,204,500
154014,204,500
154015,204,500
154016,204,500
154017,132,472
154018,120,522
154019,204,500
154020,204,460
154021,132,535
154022,132,459
154023,204,489
154024,84,626
154025,132,492
154026,204,500
154027,204,500
154028,108,532
154052,54,742
202001,132,513
202006,54,624
202008,96,553
202009,42,656
202010,4,523
202011,8,518
202012,132,475
202020,6,520
202021,54,499
202022,28,431
202023,8,484
202024,24,572
202025,6,531
202026,48,600
202027,78,533
202028,42,578
202031,60,651
202039,78,657
202042,42,547
202043,32,617
202044,36,625
202045,20,555
202046,16,539
202047,48,525
202048,96,557
202049,42,572
202050,96,502
202051,96,575
202052,78,619
202054,6,544
202055,32,659
202056,54,705
202057,18,580
202059,18,424
202060,48,464
202061,48,470
202062,42,631
202063,20,477
202064,0,482
202065,14,528
202066,42,493
202067,54,568
202068,28,470
202069,24,504
202071,54,671
202072,10,548
202073,72,590
202074,18,532
202075,8,534
202076,120,549
202077,96,472
202078,12,440
202079,24,334
202080,36,347
202081,24,380
202082,108,461
202083,132,445
202085,132,427
202086,12,381
202087,42,294
202088,48,737
202089,78,664
202090,72,537
202091,96,589
202092,42,526
202093,60,493
202094,120,507
202095,28,370
202096,96,550
202097,84,542
211019,132,521
302001,96,615
302002,108,591
302010,204,500
302011,132,535
506003,78,372
506008,120,541
506009,84,432
506014,54,345
506015,72,285
506016,42,361
506022,78,294
508001,60,386
508002,60,383
508005,156,486
508007,204,416
508008,42,441
508009,72,455
508010,72,466
508011,66,443
508013,54,243
508016,108,488
508017,156,507
508019,36,286
508021,36,281
508022,36,270
508024,84,482
508026,120,391
508027,60,263
508029,156,479
508033,48,243
508034,84,540
517001,78,411
517017,84,435
517018,42,412
517021,120,515
517023,66,575
517026,96,514
517028,66,428
527001,36,250
527004,108,265
529001,72,461
529008,96,559
529015,96,514
529018,204,500
529020,204,497
529021,204,500
529022,132,524
529023,132,514
529024,204,500
529025,72,483
529026,66,592
529029,66,313
601002,156,380
601011,204,393
602005,84,355
602006,78,345
602007,72,396
605002,96,263
607004,78,523
607005,60,550
608001,42,547
608002,48,418
608003,54,567
608004,78,456
608005,36,682
608006,28,331
608007,54,622
608008,132,503
608009,42,572
608010,42,519
608011,66,547
608012,78,430
608013,32,440
612001,60,658
612002,54,576
612005,28,412
612006,28,497
612007,120,339
612008,108,494
612009,24,300
612010,28,365
612012,96,494
612013,108,471
612014,120,491
612017,78,475
