ID,adpscore_teacher,agestrat
125012,23,60
125013,27,60
125014,25,60
125015,25,54
125016,34,66
125017,34,72
125018,31,54
125019,31,60
125020,35,84
125021,26,60
125022,24,60
125023,28,60
125024,29,60
125026,20,28
125028,23,72
125031,29,60
125033,29,60
125037,28,72
125040,16,32
125046,32,60
125047,31,48
125048,33,60
125051,17,32
125055,14,24
126001,31,66
126002,34,132
126003,38,108
126004,37,84
126005,32,60
126006,38,108
126007,37,96
126008,29,54
126009,24,54
126010,29,72
126011,27,66
126012,31,78
126013,29,60
126014,32,66
126015,38,132
126016,28,54
126017,37,132
126018,32,72
126019,38,108
126020,11,24
127002,38,132
127004,31,78
127006,25,36
127007,31,54
127011,27,66
127014,29,42
127015,24,48
127016,38,66
127017,25,42
127019,23,24
127020,28,32
127022,31,84
127023,37,120
127024,31,54
127028,31,42
127029,36,66
127031,30,48
127032,31,36
127033,38,78
127034,36,132
127035,38,84
128001,38,96
128002,38,132
128003,38,132
128004,38,96
128005,37,120
128006,38,132
128008,36,72
128009,38,132
128011,38,120
128012,38,132
128014,35,132
128019,38,84
128021,32,78
128023,38,132
128024,38,96
128025,37,120
129001,37,120
129002,30,84
129004,23,36
129005,22,42
129006,29,84
129007,21,42
129008,19,36
129009,18,28
129010,25,54
129011,38,108
129012,33,84
129013,38,120
129014,22,36
129015,21,48
129016,28,78
129017,32,66
129019,29,48
129021,24,48
129022,34,78
129023,25,36
129024,25,36
129025,28,48
129027,38,108
129028,21,36
129029,26,78
129030,38,132
130001,36,54
130002,36,96
130003,33,60
130004,33,60
130005,34,72
130006,35,72
130007,34,84
130008,33,72
130009,33,72
130010,30,72
130011,37,84
130012,38,84
130013,38,84
130014,38,84
130015,31,54
130016,36,84
130017,35,84
130018,36,96
130019,38,96
130020,38,96
130021,38,96
130022,38,108
130023,37,108
130024,37,108
130025,38,108
130026,38,120
130027,38,120
130028,38,132
130029,38,132
131004,33,72
131005,27,54
131006,24,36
131009,23,36
131012,38,84
131014,24,42
131015,33,84
131016,37,96
131018,38,132
131019,38,108
131028,34,96
131029,32,66
131033,38,204
131034,16,36
131040,33,96
131041,24,42
131042,26,48
131043,23,42
131046,36,108
131047,36,84
131055,26,42
131056,34,96
131057,36,72
131059,38,84
132010,37,108
132015,30,72
132021,37,84
132023,28,54
132024,38,132
132025,38,108
133002,37,120
133013,33,54
134001,37,132
134002,37,132
134003,36,96
134004,37,96
134005,27,96
134006,36,84
134007,29,72
134008,37,132
134009,38,132
134010,31,96
134011,37,96
134012,33,96
134013,34,96
134014,33,96
134015,38,132
134016,31,72
134017,34,72
134018,32,72
134019,35,78
134020,38,132
134021,38,132
134022,31,66
134023,38,96
134024,35,96
134025,35,96
134026,35,84
134031,15,24
134033,18,32
134034,34,96
134035,33,72
134038,37,108
134039,34,108
134041,16,32
134042,18,24
134044,38,108
135001,38,96
135004,28,66
135006,29,54
135007,30,54
135008,35,78
135009,26,66
135010,35,96
135019,31,54
135026,35,72
135027,35,60
136001,38,132
136004,38,132
136005,38,120
137001,37,132
137003,32,66
137004,18,36
137005,34,120
137006,33,84
137007,16,28
137008,30,48
137010,17,36
137012,26,54
137017,30,72
137018,26,48
137020,38,96
137021,20,54
137026,38,66
137027,38,96
137028,34,72
137029,34,108
137030,28,78
137032,31,84
137033,36,108
137034,27,48
137035,38,108
137036,33,72
137037,38,96
137038,28,78
137039,29,54
137051,33,66
138003,37,108
138004,36,84
138005,36,96
138007,38,120
138008,32,78
138010,38,132
138011,13,24
138016,38,120
138017,38,96
138021,14,24
139009,27,48
139013,26,42
139018,26,48
139019,15,32
139020,30,60
139021,24,48
141026,23,28
141027,23,24
141028,23,32
141029,23,32
141030,19,28
141031,23,36
141032,24,36
141033,23,36
141034,24,42
141035,23,36
141036,25,42
141037,22,36
141038,19,42
141039,19,36
141040,22,42
141041,25,42
141042,24,42
141043,20,42
141044,23,54
141045,25,48
141046,25,54
141047,25,54
141048,25,48
141049,27,54
143001,38,132
143002,36,108
143003,31,48
143004,38,84
143005,35,84
143006,35,96
143007,33,72
143008,30,78
143009,32,60
143010,37,54
143011,33,32
143013,28,72
143017,29,60
143018,35,96
143019,38,132
143021,38,132
143022,38,132
143023,35,96
143024,23,32
143025,38,120
148001,30,84
148002,36,132
148003,26,66
148005,27,54
148006,38,132
148007,37,108
148009,36,132
148012,34,84
148013,33,84
148017,31,60
148018,20,28
148019,30,72
148022,33,108
148023,36,84
148024,26,48
148025,31,96
148026,35,78
148027,37,132
148028,27,60
148029,32,72
148030,33,84
148031,34,108
151001,34,156
151002,38,120
151003,37,108
151004,38,156
151005,26,48
151006,23,36
151008,33,78
151010,24,42
151011,21,42
151012,32,84
151013,38,132
151014,26,36
151015,33,108
151016,31,78
151017,19,36
151018,38,132
151019,38,120
151020,38,132
151021,38,108
151022,38,132
151023,38,120
151024,38,132
151025,38,132
151026,38,120
151027,29,60
151028,28,66
151029,25,54
151030,28,66
151031,38,96
151032,32,96
151033,38,120
151034,36,132
151035,19,54
151036,35,96
151037,38,96
151038,33,108
151039,38,120
151040,38,132
151041,16,36
151042,31,84
151043,33,84
151044,32,84
151045,18,36
151046,34,84
151047,34,96
151048,37,120
151049,38,96
151050,13,24
151051,37,108
151052,31,84
151053,31,84
151054,37,108
151055,34,120
151056,28,96
151057,38,84
151058,33,84
151059,35,84
151060,38,96
154002,30,42
154005,37,84
154010,37,120
154017,38,132
154018,38,120
154022,37,132
154028,38,108
154029,38,108
154030,38,132
154037,28,72
154040,31,84
154041,24,60
154042,18,42
154043,9,28
154047,36,120
154052,35,54
154055,35,66
154056,38,108
154057,38,132
154058,37,108
154076,38,132
154077,34,108
154078,31,84
154079,37,132
154080,38,120
154081,35,108
154959,37,78
201001,27,66
201002,28,54
201003,26,66
201004,29,66
201007,32,72
201008,37,72
201009,34,78
201010,37,78
201011,20,66
201012,37,72
201013,28,66
201014,28,72
201015,31,66
201016,26,78
201017,31,60
201018,32,60
201019,34,60
201020,32,54
201021,29,60
201022,35,72
201024,18,78
201028,25,72
201029,27,60
201039,30,66
201040,23,66
201044,26,66
201045,29,72
201051,27,66
201052,22,42
201053,23,66
201055,27,66
201056,28,60
202001,38,132
202002,37,108
202003,18,48
202004,38,108
202005,34,66
202006,28,54
202008,37,96
202009,33,42
202012,37,132
202014,12,42
202015,27,78
202017,35,120
202018,23,48
202021,30,54
202022,16,28
202024,22,24
202026,28,48
202027,32,78
202028,24,42
202029,30,60
202031,37,60
202032,26,42
202035,21,28
202037,34,42
202038,37,42
202039,31,78
202042,28,42
202043,19,32
202044,29,36
202047,23,48
202048,36,96
202049,23,42
202050,37,96
202051,37,96
202052,31,78
202055,21,32
202056,27,54
202058,25,48
202060,22,48
202061,23,48
202062,27,42
202066,23,42
202067,29,54
202068,22,28
202071,31,54
202073,35,72
202076,38,120
202077,25,96
202081,13,24
202082,35,108
202083,38,132
202085,35,132
202087,22,42
202088,26,48
202089,32,78
202090,36,72
202091,37,96
202092,25,42
202093,32,60
202094,38,120
202095,10,28
202096,36,96
202097,28,84
202098,38,108
202099,38,132
202101,26,48
202103,34,66
202105,17,24
202106,37,60
202107,38,132
202109,38,132
202110,38,132
206001,16,42
206005,29,84
206007,38,84
206008,28,84
206009,34,84
206010,38,84
206011,38,84
206013,36,84
206016,30,96
206017,33,84
206020,38,78
206024,32,84
207001,34,72
207004,38,96
207007,27,84
207009,34,120
207010,26,48
207013,13,24
207015,10,24
207017,35,120
207018,38,96
207021,30,60
207024,25,84
208001,21,54
208002,27,54
208003,29,54
208004,22,48
208005,26,48
208006,34,66
208007,27,60
208008,25,54
211002,30,60
211003,38,120
211004,38,132
211005,36,108
211006,32,54
211007,27,42
211008,38,132
211009,33,78
211012,15,24
211014,24,28
211020,36,108
215001,30,84
215002,29,48
215004,37,84
215005,35,120
216001,38,84
216009,35,84
216013,35,132
216016,36,96
216017,34,84
218003,35,66
218004,27,36
218007,19,24
218009,38,72
219001,37,78
219002,38,108
219003,35,54
219004,31,84
219005,34,84
219006,35,96
219007,34,72
219008,36,120
219009,32,96
219010,29,66
220001,35,108
220002,35,78
220003,24,42
220004,12,24
220005,38,132
220007,29,54
220008,36,108
220009,33,84
220011,30,66
220012,27,60
220013,24,66
220014,29,60
220015,30,60
220016,26,48
220017,35,66
220018,29,78
220020,29,78
220021,23,24
220022,19,24
220023,27,54
220028,38,96
220030,35,132
220031,38,132
220032,34,120
220034,38,132
220036,38,120
221001,22,36
221004,18,28
221005,36,72
221006,33,72
221007,18,32
221008,36,72
221009,34,72
221012,35,72
223001,27,42
223002,24,24
223004,35,72
223005,33,96
223006,20,36
223007,17,24
223008,30,96
223009,36,108
223010,12,28
224001,37,96
224002,36,78
224003,30,66
224004,18,32
224005,35,96
224006,35,72
224007,27,48
224008,17,28
224009,32,72
224010,36,96
224011,17,36
224012,13,36
224013,30,60
224014,23,60
224015,16,48
224016,18,42
224017,32,60
224018,19,48
224019,32,72
224020,34,66
227002,5,32
227003,33,66
227007,16,28
227010,17,28
227012,12,28
227014,17,24
227018,20,32
302001,38,96
302002,37,108
302005,34,78
302006,38,84
302007,38,120
302008,38,96
302009,35,78
302010,38,204
302011,37,132
501001,23,60
501002,24,48
501003,13,84
501006,20,48
501009,37,132
501021,36,72
501029,28,60
501032,30,48
503001,15,66
505005,27,60
505015,34,156
505016,14,66
505021,33,132
505024,17,42
505035,17,48
505036,15,54
505037,18,54
505038,9,42
505039,11,42
505040,17,60
506001,2,54
506003,21,78
506004,30,96
506005,27,72
506008,36,120
506009,30,84
506011,15,42
506014,22,54
506015,18,78
506016,13,42
506022,21,78
507005,18,54
508001,26,60
508002,24,60
508005,33,156
508007,35,204
508008,27,42
508009,24,72
508010,24,72
508011,29,66
508013,19,54
508014,28,120
508015,13,42
508016,30,108
508017,35,156
508019,9,36
508021,11,36
508022,10,42
508023,22,84
508024,24,84
508025,23,84
508026,33,120
508027,15,54
508028,22,96
508029,35,156
508030,23,132
508031,13,60
508032,10,54
508033,11,48
508034,34,84
510001,35,96
510004,26,72
510005,29,108
510007,35,132
510008,33,120
510009,37,156
510010,32,132
510014,30,132
510016,35,156
517001,25,78
517003,6,54
517004,36,108
517005,35,132
517007,35,156
517009,36,120
517010,35,156
517011,33,84
517012,30,96
517013,27,60
517017,29,84
517018,18,42
517020,33,78
517021,36,120
517022,36,156
517023,32,66
517024,35,156
517026,36,96
517028,28,66
526003,11,48
527002,3,132
527004,25,108
527005,6,24
529001,27,72
529008,34,96
529015,33,96
529018,35,204
529020,38,204
529021,38,204
529022,37,132
529023,34,132
529024,38,204
529025,31,72
529026,28,66
529029,14,66
600001,32,132
600003,32,156
600006,28,96
600007,27,120
600008,28,120
600009,28,108
600010,25,108
601002,38,156
601007,35,156
601011,35,204
602001,30,120
602002,24,60
602003,21,66
602004,22,66
602005,23,84
602006,22,78
602007,18,72
602008,10,78
605002,12,96
605003,28,96
607004,33,78
608001,18,42
608002,19,54
608003,26,60
608004,32,78
608005,21,36
608006,10,28
608007,28,60
608008,34,132
608009,20,42
608010,21,42
608011,26,66
608012,25,78
608013,15,32
608014,29,66
609003,14,54
612001,29,60
612002,26,54
612003,12,36
612004,15,24
612005,12,28
612006,18,28
612007,22,120
612008,30,108
612009,9,24
612010,10,28
612012,30,96
612013,31,108
612014,36,120
612017,29,84
701004,27,132
705002,12,78
