ID,agestrat,GDS_teacher
117012,36,420
117014,54,511
117015,28,486
117022,54,584
117023,54,573
117024,48,580
117030,36,556
117038,108,568
117041,84,566
117042,36,546
117050,132,300
117061,72,451
117062,42,520
118001,66,505
118002,32,543
118003,156,523
118004,132,536
118006,48,525
118007,156,533
118008,132,532
118009,42,545
118010,120,484
118011,78,620
118016,96,575
118017,66,632
119002,132,487
119003,132,536
119004,108,516
119007,96,569
119009,78,472
119011,72,625
119013,132,536
119014,96,546
119015,78,603
119016,84,533
119017,132,497
119018,96,545
119019,84,567
119021,96,576
120009,156,525
120010,204,526
120011,36,477
120012,54,491
120015,42,571
120016,28,599
120017,48,464
120020,84,586
120021,132,506
120023,66,624
120024,108,518
120025,132,506
120027,78,485
120028,108,463
120029,48,467
120030,72,511
120031,60,436
120032,60,477
120033,66,421
120035,60,401
120036,60,502
120038,72,584
120042,54,453
120043,108,413
120044,108,545
120045,132,536
120046,96,561
120048,28,531
120049,54,435
120050,72,582
120051,108,527
120052,32,529
120053,60,517
120056,78,494
120057,78,505
120058,108,452
120059,72,417
120062,42,553
120064,48,617
120065,72,427
120067,72,542
120070,78,449
120072,132,416
120073,120,529
121002,156,494
121003,156,501
121007,36,533
121016,42,561
121018,84,602
121019,132,536
121020,36,494
122001,36,526
122002,60,571
122005,60,559
122006,84,559
122007,120,528
122010,96,437
123001,204,515
123002,84,546
123003,156,516
123004,204,526
123005,156,533
123006,54,457
123007,54,425
123008,132,496
123009,84,540
123010,96,561
123011,204,526
123012,156,533
123013,156,533
123014,120,553
123015,78,444
123016,204,526
123017,156,516
123018,156,533
123019,132,544
123020,156,533
123021,36,569
123022,156,533
123023,120,513
123024,156,533
123025,156,525
123026,132,536
123027,66,487
123028,156,533
123029,132,536
123030,204,526
123031,156,533
123032,120,536
123033,42,496
123034,42,495
123035,132,544
123036,156,533
123037,132,536
123038,132,536
123039,96,543
123040,36,572
123041,132,544
123042,72,519
123043,132,536
123044,204,526
123045,204,526
123046,66,519
123047,132,544
123048,72,512
123049,120,529
123050,132,530
123051,132,544
123052,66,521
123053,78,501
123054,132,536
123055,132,544
123056,120,553
123057,72,526
123058,132,536
123059,132,524
123060,132,544
123061,120,543
123062,132,544
123063,42,502
123064,132,544
123065,108,568
123066,204,526
123067,132,544
123068,108,568
123069,120,553
123070,132,544
123071,36,486
123072,36,526
123073,42,593
123074,132,524
123075,132,544
123076,108,568
123077,132,544
123078,120,553
123079,54,580
123080,96,521
125001,108,558
125002,48,529
125003,48,535
125004,54,520
125005,60,491
125006,54,464
125007,60,481
125008,60,528
125009,54,489
125010,60,537
125011,66,500
125012,60,423
125013,60,456
125014,60,409
125015,54,434
125016,66,529
125017,72,557
125018,54,554
125019,60,524
125020,84,555
125021,60,474
125022,60,437
125023,60,531
125024,60,533
125026,28,543
125028,72,402
125031,60,541
125033,60,522
125037,72,544
125040,32,498
125046,60,537
125047,48,594
125048,60,576
125051,32,480
125055,24,490
126001,66,542
126002,132,494
126003,108,584
126004,84,558
126005,60,605
126006,108,547
126007,96,569
126008,54,526
126009,54,481
126010,72,520
126011,66,463
126012,78,528
126013,60,578
126014,66,525
126015,132,502
126016,54,552
126017,132,506
126018,72,536
126019,108,543
126020,24,469
127002,132,532
127004,78,535
127006,36,521
127007,54,602
127011,66,488
127014,42,604
127015,48,516
127016,66,673
127017,42,605
127019,24,597
127020,32,621
127022,84,472
127023,120,494
127024,54,609
127028,42,609
127029,66,581
127031,48,579
127032,36,670
127033,78,603
127034,132,513
127035,84,579
128001,96,591
128002,132,536
128003,132,544
128004,96,564
128005,120,519
128006,132,544
128008,72,591
128009,132,506
128011,120,560
128012,132,544
128014,132,449
128019,84,632
128021,78,539
128023,132,544
128024,96,599
128025,120,518
129001,120,510
129002,84,500
129004,36,496
129005,42,503
129006,84,480
129007,42,474
129008,36,498
129009,28,547
129010,54,497
129011,108,584
129012,84,539
129013,120,553
129014,36,542
129015,48,477
129016,78,511
129017,66,549
129019,48,561
129021,48,494
129022,78,556
129023,36,578
129024,36,532
129025,48,526
129027,108,568
129028,36,474
129029,78,423
129030,132,544
130001,54,688
130002,96,532
130003,60,603
130004,60,618
130005,72,576
130006,72,607
130007,84,519
130008,72,577
130009,72,578
130010,72,543
130011,84,586
130012,84,589
130013,84,600
130014,84,575
130015,54,595
130016,84,578
130017,84,566
130018,96,550
130019,96,583
130020,96,583
130021,96,591
130022,108,568
130023,108,568
130024,108,568
130025,108,568
130026,120,560
130027,120,560
130028,132,544
130029,132,544
131004,72,563
131005,54,486
131006,36,529
131009,36,543
131012,84,583
131014,42,532
131015,84,548
131016,96,559
131018,132,544
131019,108,566
131028,96,524
131029,66,567
131033,204,526
131034,36,487
131040,96,498
131041,42,547
131042,48,558
131043,42,535
131046,108,567
131047,84,566
131055,42,571
131056,96,533
131057,72,635
131059,84,604
132010,108,512
132015,72,560
132021,84,604
132023,54,468
132024,132,518
132025,108,576
133002,120,536
133013,54,603
134001,132,532
134002,132,532
134003,96,521
134004,96,519
134005,96,417
134006,84,594
134007,72,446
134008,132,532
134009,132,544
134010,96,447
134011,96,576
134012,96,527
134013,96,531
134014,96,547
134015,132,544
134016,72,552
134017,72,550
134018,72,551
134019,78,534
134020,132,544
134021,132,544
134022,66,532
134023,96,572
134024,96,469
134025,96,538
134026,84,552
134031,24,507
134033,32,490
134034,96,528
134035,72,543
134038,108,529
134039,108,516
134041,32,489
134042,24,527
134044,108,570
135001,96,564
135004,66,518
135006,54,568
135007,54,602
135008,78,564
135009,66,519
135010,96,516
135019,54,578
135026,72,622
135027,60,618
136001,132,544
136004,132,527
136005,120,531
137001,132,428
137003,66,514
137004,36,446
137005,120,486
137006,84,514
137007,28,534
137008,48,637
137010,36,457
137012,54,488
137017,72,509
137018,48,500
137020,96,572
137021,54,449
137026,66,670
137027,96,591
137028,72,563
137029,108,498
137030,78,470
137032,84,510
137033,108,559
137034,48,547
137035,108,567
137036,72,571
137037,96,573
137038,78,511
137039,54,564
137051,66,559
138003,108,533
138004,84,578
138005,96,562
138007,120,560
138008,78,529
138010,132,535
138011,24,547
138016,120,500
138017,96,545
138021,24,510
139009,48,508
139013,42,567
139018,48,547
139019,32,470
139020,60,572
139021,48,509
141026,28,584
141027,24,601
141028,32,538
141029,32,531
141030,28,520
141031,36,502
141032,36,537
141033,36,513
141034,42,494
141035,36,527
141036,42,512
141037,36,497
141038,42,444
141039,36,474
141040,42,474
141041,42,518
141042,42,538
141043,42,470
141044,54,465
141045,48,480
141046,54,471
141047,54,469
141048,48,516
141049,54,510
143001,132,544
143002,108,534
143003,48,591
143004,84,577
143005,84,579
143006,96,505
143007,72,538
143008,78,488
143009,60,575
143010,54,665
143011,32,696
143013,72,505
143017,60,547
143018,96,557
143019,132,544
143021,132,544
143022,132,544
143023,96,532
143024,32,547
143025,120,560
148001,84,461
148002,132,479
148003,66,501
148005,54,553
148006,132,544
148007,108,537
148009,132,504
148012,84,557
148013,84,530
148017,60,555
148018,28,535
148019,72,493
148022,108,474
148023,84,531
148024,48,507
148025,96,532
148026,78,521
148027,132,524
148028,60,547
148029,72,492
148030,84,494
148031,108,501
151001,156,465
151002,120,546
151003,108,545
151004,156,514
151005,48,542
151006,36,524
151008,78,577
151010,42,489
151011,42,481
151012,84,551
151013,132,544
151014,36,531
151015,108,478
151016,78,491
151017,36,470
151018,132,544
151019,120,553
151020,132,526
151021,108,568
151022,132,524
151023,120,553
151024,132,536
151025,132,536
151026,120,560
151027,60,523
151028,66,526
151029,54,498
151030,66,528
151031,96,577
151032,96,492
151033,120,513
151034,132,516
151035,54,428
151036,96,524
151037,96,579
151038,108,496
151039,120,560
151040,132,544
151041,36,452
151042,84,522
151043,84,568
151044,84,497
151045,36,460
151046,84,548
151047,96,452
151048,120,516
151049,96,526
151050,24,475
151051,108,515
151052,84,457
151053,84,472
151054,108,539
151055,120,510
151056,96,380
151057,84,565
151058,84,510
151059,84,527
151060,96,580
154002,42,559
154005,84,593
154010,120,511
154017,132,495
154018,120,553
154022,132,458
154028,108,557
154029,108,555
154030,132,544
154037,72,376
154040,84,500
154041,60,478
154042,42,439
154043,28,431
154047,120,543
154052,54,622
154055,66,481
154056,108,576
154057,132,536
154058,108,568
154076,132,499
154077,108,437
154078,84,496
154079,132,532
154080,120,502
154081,108,521
154959,78,592
201001,66,484
201002,54,523
201003,66,506
201004,66,539
201007,72,501
201008,72,618
201009,78,543
201010,78,599
201011,66,367
201012,72,624
201013,66,507
201014,72,519
201015,66,585
201016,78,360
201017,60,592
201018,60,637
201019,60,646
201020,54,604
201021,60,563
201022,72,552
201024,78,288
201028,72,378
201029,60,503
201039,66,525
201040,66,464
201044,66,466
201045,72,450
201051,66,493
201052,42,455
201053,66,417
201055,66,504
201056,60,523
202001,132,536
202002,108,544
202003,48,452
202004,108,564
202005,66,614
202006,54,546
202008,96,592
202009,42,580
202012,132,485
202014,42,406
202015,78,468
202017,120,497
202018,48,440
202021,54,515
202022,28,481
202024,24,589
202026,48,553
202027,78,533
202028,42,537
202029,60,556
202031,60,620
202032,42,560
202035,28,521
202037,42,667
202038,42,706
202039,78,545
202042,42,549
202043,32,550
202044,36,574
202047,48,519
202048,96,513
202049,42,555
202050,96,536
202051,96,524
202052,78,583
202055,32,592
202056,54,556
202058,48,487
202060,48,477
202061,48,489
202062,42,560
202066,42,517
202067,54,576
202068,28,615
202071,54,571
202073,72,574
202076,120,553
202077,96,393
202081,24,482
202082,108,508
202083,132,523
202085,132,497
202087,42,486
202088,48,623
202089,78,527
202090,72,571
202091,96,556
202092,42,546
202093,60,521
202094,120,501
202095,28,445
202096,96,516
202097,84,452
202098,108,560
202099,132,530
202101,48,581
202103,66,571
202105,24,518
202106,60,608
202107,132,526
202109,132,538
202110,132,489
206001,42,434
206005,84,431
206007,84,554
206008,84,388
206009,84,488
206010,84,593
206011,84,597
206013,84,513
206016,96,413
206017,84,483
206020,78,576
206024,84,486
207001,72,551
207004,96,551
207007,84,444
207009,120,496
207010,48,531
207013,24,539
207015,24,480
207017,120,531
207018,96,504
207021,60,568
207024,84,460
208001,54,463
208002,54,496
208003,54,528
208004,48,409
208005,48,543
208006,66,554
208007,60,480
208008,54,560
211002,60,572
211003,120,560
211004,132,523
211005,108,508
211006,54,562
211007,42,518
211008,132,529
211009,78,559
211012,24,504
211014,28,612
211020,108,477
215001,84,444
215002,48,588
215004,84,552
215005,120,493
216001,84,625
216009,84,580
216013,132,483
216016,96,506
216017,84,530
218003,66,600
218004,36,549
218007,24,565
218009,72,538
219001,78,616
219002,108,500
219003,54,614
219004,84,503
219005,84,566
219006,96,542
219007,72,500
219008,120,526
219009,96,503
219010,66,452
220001,108,479
220002,78,571
220003,42,536
220004,24,477
220005,132,536
220007,54,565
220008,108,528
220009,84,495
220011,66,505
220012,60,475
220013,66,424
220014,60,557
220015,60,562
220016,48,489
220017,66,566
220018,78,496
220020,78,446
220021,24,592
220022,24,521
220023,54,520
220028,96,549
220030,132,482
220031,132,511
220032,120,475
220034,132,526
220036,120,534
221001,36,510
221004,28,548
221005,72,608
221006,72,514
221007,32,476
221008,72,618
221009,72,580
221012,72,599
223001,42,516
223002,24,552
223004,72,532
223005,96,517
223006,36,505
223007,24,499
223008,96,444
223009,108,500
223010,28,471
224001,96,572
224002,78,561
224003,66,514
224004,32,485
224005,96,528
224006,72,602
224007,48,542
224008,28,477
224009,72,554
224010,96,562
224011,36,475
224012,36,439
224013,60,517
224014,60,491
224015,48,434
224016,42,467
224017,60,568
224018,48,454
224019,72,507
224020,66,596
227002,32,447
227003,66,578
227007,28,498
227010,28,512
227012,28,448
227014,24,513
227018,32,471
302001,96,595
302002,108,527
302005,78,525
302006,84,618
302007,120,560
302008,96,569
302009,78,560
302010,204,521
302011,132,524
501001,60,429
501002,48,482
501003,84,269
501006,48,460
501009,132,517
501021,72,556
501029,60,532
501032,48,543
503001,66,313
505005,60,460
505015,156,468
505016,66,358
505021,132,452
505024,42,491
505035,48,410
505036,54,307
505037,54,345
505038,42,341
505039,42,319
505040,60,378
506001,54,226
506003,78,259
506004,96,333
506005,72,387
506008,120,464
506009,84,430
506011,42,386
506014,54,424
506015,78,268
506016,42,357
506022,78,359
507005,54,414
508001,60,410
508002,60,426
508005,156,417
508007,204,490
508008,42,564
508009,72,368
508010,72,341
508011,66,440
508013,54,381
508014,120,364
508015,42,364
508016,108,419
508017,156,509
508019,36,363
508021,36,377
508022,42,368
508023,84,348
508024,84,343
508025,84,365
508026,120,467
508027,54,377
508028,96,296
508029,156,466
508030,132,294
508031,60,336
508032,54,313
508033,48,326
508034,84,527
510001,96,498
510004,72,371
510005,108,389
510007,132,449
510008,120,431
510009,156,445
510010,132,352
510014,132,424
510016,156,444
517001,78,393
517003,54,225
517004,108,516
517005,132,446
517007,156,483
517009,120,464
517010,156,487
517011,84,449
517012,96,418
517013,60,454
517017,84,419
517018,42,426
517020,78,515
517021,120,514
517022,156,513
517023,66,569
517024,156,470
517026,96,500
517028,66,442
526003,48,320
527002,132,212
527004,108,299
527005,24,408
529001,72,454
529008,96,549
529015,96,499
529018,204,497
529020,204,489
529021,204,526
529022,132,499
529023,132,515
529024,204,526
529025,72,506
529026,66,478
529029,66,326
600001,132,391
600003,156,445
600006,96,397
600007,120,431
600008,120,387
600009,108,403
600010,108,373
601002,156,508
601007,156,478
601011,204,432
602001,120,423
602002,60,430
602003,66,377
602004,66,430
602005,84,387
602006,78,366
602007,72,383
602008,78,306
605002,96,235
605003,96,351
607004,78,537
608001,42,504
608002,54,464
608003,60,530
608004,78,499
608005,36,495
608006,28,431
608007,60,533
608008,132,441
608009,42,495
608010,42,492
608011,66,459
608012,78,414
608013,32,429
608014,66,521
609003,54,369
612001,60,577
612002,54,526
612003,36,396
612004,24,493
612005,28,464
612006,28,526
612007,120,257
612008,108,388
612009,24,428
612010,28,407
612012,96,456
612013,108,451
612014,120,473
612017,84,442
701004,132,317
705002,78,260
