ID,agestrat,PHYscoreP
601011,204,28
118014,NA,4
120019,NA,36
120033,NA,27
120034,NA,19
120035,NA,26
120055,NA,35
127041,NA,6
136022,NA,10
136026,NA,36
211019,NA,37
504002,NA,30
504005,NA,21
504007,NA,24
504008,NA,28
504009,NA,31
504016,NA,21
504030,NA,33
504031,NA,21
504032,NA,25
607001,NA,37
609001,NA,18
609007,NA,11
