ID,socscore_teacher,agestrat
109035,30,42
109036,35,204
109037,35,120
109038,14,54
109039,35,204
109040,35,204
109041,35,156
109042,35,120
109043,35,84
109044,35,156
109045,33,156
109046,23,84
109048,32,132
109049,18,120
109050,33,108
109051,33,84
109052,16,108
109054,22,42
109055,34,66
109056,35,156
109057,34,156
109058,35,204
109060,32,48
109061,35,96
109062,35,156
109063,12,36
109068,34,108
109069,34,78
109070,35,156
109071,35,204
109072,34,204
109073,34,132
109075,34,156
109076,34,204
109077,35,156
109078,19,32
109079,35,108
109080,28,54
109081,25,36
109083,35,156
109084,34,108
109085,34,84
109086,34,78
109087,21,32
109090,34,48
109091,35,66
109094,34,120
109095,32,108
109096,26,48
109097,33,72
109102,33,156
110004,33,96
111001,34,84
111002,29,42
111003,34,120
111006,30,84
111007,33,132
111009,29,60
111010,30,42
111011,34,108
111012,21,36
111014,35,120
111015,35,156
111016,35,204
111018,35,156
111019,17,42
111020,28,42
111021,34,108
111022,23,36
111024,31,42
111025,35,132
111026,35,156
111029,22,60
111030,30,48
111032,30,60
111033,19,156
111035,34,120
111036,34,132
111038,28,54
111040,35,204
111041,35,156
111042,34,132
111043,34,120
111044,32,72
111047,17,28
111049,31,48
111052,28,60
111054,15,32
111055,23,32
112001,20,32
112002,27,72
112003,22,84
112004,11,36
112005,35,204
112006,31,78
112007,26,72
112008,12,28
112009,17,36
112010,10,24
112011,9,24
112012,20,48
112013,25,132
112014,35,204
112015,35,204
112016,35,204
112017,25,96
112018,19,84
112019,35,204
112020,20,84
112021,20,36
112022,22,48
112023,18,54
112024,21,36
112025,20,32
112026,7,32
112027,35,156
112028,35,204
112029,31,156
112030,27,132
112031,17,66
112032,25,72
112033,22,84
112034,16,78
112035,25,120
112036,25,96
112037,35,204
112038,21,78
112039,35,156
112040,24,96
112041,28,120
112042,25,84
112043,35,156
112044,28,108
112045,25,108
112046,29,108
112047,29,96
112048,35,204
112049,35,204
112050,19,84
112051,28,84
112052,24,84
112053,33,132
112054,35,204
112055,29,156
112056,32,120
112057,35,204
112058,35,204
112059,35,204
112060,34,204
112061,35,204
112062,35,156
112063,35,204
112064,35,204
112065,35,204
112066,35,204
112067,32,132
112068,25,96
112069,35,132
112070,25,84
112071,28,120
112072,35,156
112073,35,204
112074,35,204
112075,35,156
114001,25,54
114002,27,72
114003,33,132
114004,32,54
114016,30,78
114021,27,54
114023,35,84
115001,17,48
115002,33,84
115003,32,132
115004,35,156
115007,32,60
115009,32,84
115012,32,156
115013,35,156
115015,17,48
115033,30,60
115034,30,84
115035,20,108
115036,34,120
115038,35,156
115043,28,78
115048,30,84
115049,28,108
115050,22,120
115120,19,54
116001,16,24
116002,17,36
116003,15,36
116004,17,36
116006,18,32
116008,17,42
116010,13,28
116011,35,132
116014,16,28
116015,35,132
116016,35,132
116017,18,42
116020,21,32
116021,35,132
116022,35,132
116023,35,156
116024,34,108
116025,29,66
116026,14,32
116027,14,28
116029,35,156
116030,35,204
116032,35,156
116034,35,156
116035,35,156
116036,28,66
116037,35,132
116040,34,132
116041,32,108
116042,35,132
116043,18,72
116044,35,132
116045,35,132
116046,33,120
116047,35,204
116048,35,132
116049,17,28
116050,18,32
116051,35,132
116052,35,204
116053,35,204
116054,34,132
116055,18,28
116056,16,32
116057,35,132
116058,34,120
116059,34,132
116060,35,132
116061,33,120
116062,13,24
116063,15,24
116064,35,204
116065,35,204
116069,34,132
116071,34,132
116072,35,132
116073,14,32
116074,35,204
116075,35,204
116076,35,204
116077,35,132
116078,35,132
116079,16,28
116080,14,32
117001,16,32
117002,28,66
117003,33,120
117012,12,36
117014,23,54
117015,11,28
117022,32,54
117023,31,54
117024,31,48
117030,21,36
117038,34,108
117041,27,84
117042,24,36
117050,16,132
117061,31,72
117062,24,42
118001,29,66
118002,22,32
118003,33,156
118004,34,132
118006,15,48
118007,35,156
118008,35,132
118009,29,42
118010,30,120
118011,34,78
118016,32,96
118017,33,66
119002,32,132
119003,34,132
119004,30,108
119007,33,96
119009,28,78
119011,33,72
119013,34,132
119014,32,96
119015,32,78
119016,31,84
119017,32,132
119018,32,96
119019,32,84
119021,32,96
120009,34,156
120010,35,204
120011,12,36
120012,23,54
120015,24,42
120016,28,28
120017,24,48
120020,34,84
120021,34,132
120023,32,66
120024,33,108
120025,34,132
120027,31,78
120028,29,108
120029,16,48
120030,31,72
120031,15,60
120032,24,60
120033,23,66
120035,17,60
120036,29,60
120038,30,72
120042,19,54
120043,23,108
120044,34,108
120045,34,132
120046,33,96
120048,16,28
120049,16,54
120050,31,72
120051,33,108
120052,23,32
120053,29,60
120056,33,78
120057,31,78
120058,22,108
120059,21,72
120062,23,42
120064,32,48
120065,24,72
120067,31,72
120070,29,78
120072,22,132
120073,33,120
121002,31,156
121003,32,156
121007,20,36
121016,24,42
121018,34,84
121019,34,132
121020,17,36
122001,23,36
122002,31,60
122005,32,60
122006,34,84
122007,35,120
122010,24,96
123001,34,204
123002,32,84
123003,34,156
123004,35,204
123005,35,156
123006,27,54
123007,15,54
123008,32,132
123009,31,84
123010,33,96
123011,35,204
123012,35,156
123013,35,156
123014,34,120
123015,24,78
123016,35,204
123017,35,156
123018,35,156
123019,35,132
123020,35,156
123021,26,36
123022,35,156
123023,30,120
123024,35,156
123025,34,156
123026,34,132
123027,29,66
123028,35,156
123029,34,132
123030,35,204
123031,35,156
123032,34,120
123033,20,42
123034,22,42
123035,35,132
123036,35,156
123037,34,132
123038,34,132
123039,33,96
123040,24,36
123041,35,132
123042,31,72
123043,34,132
123044,35,204
123045,35,204
123046,29,66
123047,35,132
123048,30,72
123049,33,120
123050,34,132
123051,35,132
123052,29,66
123053,31,78
123054,34,132
123055,35,132
123056,34,120
123057,31,72
123058,34,132
123059,34,132
123060,35,132
123061,34,120
123062,35,132
123063,19,42
123064,35,132
123065,33,108
123066,35,204
123067,35,132
123068,34,108
123069,34,120
123070,35,132
123071,19,36
123072,23,36
123073,29,42
123074,34,132
123075,35,132
123076,33,108
123077,35,132
123078,34,120
123079,28,54
123080,31,96
125001,34,108
125002,25,48
125003,29,48
125004,28,54
125005,27,60
125006,25,54
125007,28,60
125008,30,60
125009,26,54
125010,30,60
125011,32,66
125012,21,60
125013,26,60
125014,11,60
125015,19,54
125016,28,66
125017,33,72
125018,25,54
125019,27,60
125020,34,84
125021,29,60
125022,26,60
125023,32,60
125024,32,60
125026,20,28
125028,26,72
125031,32,60
125033,29,60
125037,33,72
125040,15,32
125046,28,60
125047,30,48
125048,27,60
125051,13,32
125055,13,24
126001,29,66
126002,35,132
126003,35,108
126004,33,84
126005,33,60
126006,34,108
126007,33,96
126008,27,54
126009,26,54
126010,31,72
126011,29,66
126012,33,78
126013,30,60
126014,30,66
126015,32,132
126016,28,54
126017,34,132
126018,33,72
126019,29,108
126020,12,24
127002,33,132
127004,31,78
127006,18,36
127007,33,54
127011,29,66
127014,31,42
127015,23,48
127016,34,66
127017,33,42
127019,22,24
127020,27,32
127022,29,84
127023,33,120
127024,32,54
127028,32,42
127029,33,66
127031,29,48
127032,29,36
127033,34,78
127034,32,132
127035,33,84
128001,34,96
128002,34,132
128003,35,132
128004,34,96
128005,34,120
128006,35,132
128008,32,72
128009,32,132
128011,35,120
128012,35,132
128014,30,132
128019,35,84
128021,33,78
128023,35,132
128024,34,96
128025,32,120
129001,34,120
129002,29,84
129004,22,36
129005,17,42
129006,26,84
129007,18,42
129008,18,36
129009,18,28
129010,19,54
129011,35,108
129012,29,84
129013,34,120
129014,26,36
129015,21,48
129016,30,78
129017,31,66
129019,26,48
129021,17,48
129022,31,78
129023,24,36
129024,20,36
129025,20,48
129027,33,108
129028,15,36
129029,20,78
129030,35,132
130001,34,54
130002,31,96
130003,33,60
130004,33,60
130005,32,72
130006,32,72
130007,31,84
130008,33,72
130009,32,72
130010,33,72
130011,35,84
130012,35,84
130013,35,84
130014,34,84
130015,30,54
130016,32,84
130017,33,84
130018,34,96
130019,32,96
130020,32,96
130021,33,96
130022,33,108
130023,34,108
130024,34,108
130025,33,108
130026,35,120
130027,35,120
130028,35,132
130029,35,132
131004,31,72
131005,24,54
131006,21,36
131009,21,36
131012,33,84
131014,24,42
131015,33,84
131016,28,96
131018,35,132
131019,34,108
131028,33,96
131029,28,66
131033,35,204
131034,18,36
131040,32,96
131041,24,42
131042,24,48
131043,24,42
131046,35,108
131047,33,84
131055,25,42
131056,30,96
131057,34,72
131059,34,84
132010,31,108
132015,31,72
132021,34,84
132023,26,54
132024,31,132
132025,34,108
133002,33,120
133013,27,54
134001,35,132
134002,35,132
134003,31,96
134004,32,96
134005,20,96
134006,34,84
134007,23,72
134008,35,132
134009,35,132
134010,29,96
134011,33,96
134012,33,96
134013,33,96
134014,33,96
134015,35,132
134016,33,72
134017,33,72
134018,34,72
134019,28,78
134020,35,132
134021,35,132
134022,31,66
134023,34,96
134024,28,96
134025,33,96
134026,34,84
134031,12,24
134033,14,32
134034,34,96
134035,30,72
134038,34,108
134039,34,108
134041,15,32
134042,13,24
134044,35,108
135001,32,96
135004,26,66
135006,31,54
135007,33,54
135008,28,78
135009,27,66
135010,29,96
135019,31,54
135026,35,72
135027,34,60
136001,35,132
136004,31,132
136005,33,120
137001,34,132
137003,31,66
137004,15,36
137005,32,120
137006,30,84
137007,23,28
137008,31,48
137010,14,36
137012,20,54
137017,28,72
137018,23,48
137020,34,96
137021,21,54
137026,34,66
137027,34,96
137028,29,72
137029,32,108
137030,29,78
137032,30,84
137033,34,108
137034,24,48
137035,34,108
137036,30,72
137037,34,96
137038,32,78
137039,29,54
137051,34,66
138003,34,108
138004,32,84
138005,33,96
138007,35,120
138008,33,78
138010,35,132
138011,13,24
138016,29,120
138017,30,96
138021,16,24
139009,26,48
139013,22,42
139018,28,48
139019,12,32
139020,31,60
139021,24,48
141026,18,28
141027,20,24
141028,19,32
141029,19,32
141030,18,28
141031,19,36
141032,21,36
141033,20,36
141034,20,42
141035,20,36
141036,20,42
141037,18,36
141038,18,42
141039,18,36
141040,19,42
141041,20,42
141042,22,42
141043,18,42
141044,20,54
141045,21,48
141046,21,54
141047,21,54
141048,25,48
141049,23,54
143001,35,132
143002,33,108
143003,25,48
143004,32,84
143005,31,84
143006,31,96
143007,29,72
143008,28,78
143009,32,60
143010,35,54
143011,31,32
143013,32,72
143017,28,60
143018,34,96
143019,35,132
143021,35,132
143022,35,132
143023,33,96
143024,24,32
143025,35,120
148001,31,84
148002,30,132
148003,21,66
148005,29,54
148006,35,132
148007,33,108
148009,32,132
148012,32,84
148013,33,84
148017,28,60
148018,17,28
148019,28,72
148022,28,108
148023,33,84
148024,20,48
148025,33,96
148026,30,78
148027,34,132
148028,32,60
148029,30,72
148030,32,84
148031,30,108
151001,32,156
151002,33,120
151003,33,108
151004,34,156
151005,21,48
151006,20,36
151008,32,78
151010,17,42
151011,17,42
151012,31,84
151013,35,132
151014,20,36
151015,30,108
151016,32,78
151017,12,36
151018,35,132
151019,34,120
151020,35,132
151021,33,108
151022,34,132
151023,34,120
151024,34,132
151025,34,132
151026,35,120
151027,30,60
151028,30,66
151029,26,54
151030,32,66
151031,34,96
151032,29,96
151033,31,120
151034,33,132
151035,15,54
151036,31,96
151037,34,96
151038,33,108
151039,35,120
151040,35,132
151041,12,36
151042,30,84
151043,32,84
151044,27,84
151045,12,36
151046,30,84
151047,24,96
151048,31,120
151049,28,96
151050,11,24
151051,33,108
151052,26,84
151053,21,84
151054,34,108
151055,32,120
151056,25,96
151057,31,84
151058,28,84
151059,32,84
151060,33,96
154002,24,42
154005,34,84
154010,30,120
154017,30,132
154018,34,120
154022,29,132
154028,34,108
154029,28,108
154030,35,132
154037,8,72
154040,26,84
154041,23,60
154042,14,42
154043,12,28
154047,35,120
154052,32,54
154055,25,66
154056,34,108
154057,34,132
154058,34,108
154076,33,132
154077,27,108
154078,28,84
154079,35,132
154080,34,120
154081,32,108
154959,34,78
201001,25,66
201002,30,54
201003,29,66
201004,31,66
201007,28,72
201008,33,72
201009,33,78
201010,33,78
201011,12,66
201012,34,72
201013,27,66
201014,31,72
201015,34,66
201016,21,78
201017,30,60
201018,33,60
201019,33,60
201020,33,54
201021,33,60
201022,33,72
201024,13,78
201028,22,72
201029,30,60
201039,32,66
201040,26,66
201044,29,66
201045,19,72
201051,28,66
201052,15,42
201053,25,66
201055,32,66
201056,25,60
202001,34,132
202002,34,108
202003,25,48
202004,32,108
202005,34,66
202006,30,54
202008,34,96
202009,28,42
202012,29,132
202014,6,42
202015,26,78
202017,27,120
202018,14,48
202021,30,54
202022,18,28
202024,27,24
202026,29,48
202027,31,78
202028,28,42
202029,17,60
202031,31,60
202032,25,42
202035,17,28
202037,33,42
202038,29,42
202039,33,78
202042,26,42
202043,26,32
202044,25,36
202047,22,48
202048,31,96
202049,30,42
202050,31,96
202051,31,96
202052,31,78
202055,23,32
202056,28,54
202058,19,48
202060,20,48
202061,20,48
202062,27,42
202066,20,42
202067,30,54
202068,29,28
202071,31,54
202073,31,72
202076,34,120
202077,15,96
202081,14,24
202082,33,108
202083,35,132
202085,29,132
202087,21,42
202088,31,48
202089,33,78
202090,32,72
202091,33,96
202092,30,42
202093,28,60
202094,32,120
202095,11,28
202096,33,96
202097,28,84
202098,35,108
202099,34,132
202101,32,48
202103,33,66
202105,15,24
202106,33,60
202107,35,132
202109,35,132
202110,33,132
206001,14,42
206005,26,84
206007,30,84
206008,18,84
206009,27,84
206010,33,84
206011,33,84
206013,34,84
206016,26,96
206017,24,84
206020,31,78
206024,14,84
207001,30,72
207004,35,96
207007,24,84
207009,30,120
207010,19,48
207013,15,24
207015,13,24
207017,35,120
207018,31,96
207021,28,60
207024,30,84
208001,24,54
208002,23,54
208003,26,54
208004,12,48
208005,26,48
208006,32,66
208007,25,60
208008,26,54
211002,33,60
211003,35,120
211004,32,132
211005,33,108
211006,32,54
211007,21,42
211008,35,132
211009,30,78
211012,14,24
211014,22,28
211020,28,108
215001,27,84
215002,30,48
215004,34,84
215005,29,120
216001,35,84
216009,34,84
216013,34,132
216016,30,96
216017,33,84
218003,34,66
218004,25,36
218007,18,24
218009,31,72
219001,33,78
219002,32,108
219003,28,54
219004,31,84
219005,33,84
219006,32,96
219007,29,72
219008,32,120
219009,24,96
219010,21,66
220001,30,108
220002,32,78
220003,23,42
220004,10,24
220005,34,132
220007,31,54
220008,32,108
220009,27,84
220011,26,66
220012,23,60
220013,21,66
220014,31,60
220015,31,60
220016,24,48
220017,31,66
220018,14,78
220020,29,78
220021,21,24
220022,15,24
220023,26,54
220028,31,96
220030,32,132
220031,33,132
220032,31,120
220034,33,132
220036,32,120
221001,21,36
221004,18,28
221005,31,72
221006,28,72
221007,15,32
221008,33,72
221009,33,72
221012,33,72
223001,20,42
223002,17,24
223004,21,72
223005,25,96
223006,17,36
223007,14,24
223008,21,96
223009,32,108
223010,10,28
224001,34,96
224002,33,78
224003,27,66
224004,16,32
224005,33,96
224006,33,72
224007,30,48
224008,15,28
224009,33,72
224010,34,96
224011,17,36
224012,15,36
224013,28,60
224014,29,60
224015,17,48
224016,17,42
224017,33,60
224018,18,48
224019,30,72
224020,32,66
227002,15,32
227003,31,66
227007,14,28
227010,14,28
227012,10,28
227014,15,24
227018,14,32
302001,35,96
302002,33,108
302005,28,78
302006,34,84
302007,35,120
302008,31,96
302009,31,78
302010,35,204
302011,34,132
501001,18,60
501002,21,48
501003,17,84
501006,18,48
501009,32,132
501021,34,72
501029,26,60
501032,23,48
503001,17,66
505005,29,60
505015,30,156
505016,19,66
505021,29,132
505024,30,42
505035,13,48
505036,3,54
505037,4,54
505038,8,42
505039,3,42
505040,16,60
506001,5,54
506003,17,78
506004,24,96
506005,20,72
506008,20,120
506009,25,84
506011,12,42
506014,22,54
506015,12,78
506016,6,42
506022,19,78
507005,14,54
508001,19,60
508002,23,60
508005,24,156
508007,32,204
508008,27,42
508009,14,72
508010,12,72
508011,19,66
508013,14,54
508014,18,120
508015,9,42
508016,24,108
508017,34,156
508019,7,36
508021,10,36
508022,10,42
508023,16,84
508024,17,84
508025,15,84
508026,31,120
508027,14,54
508028,12,96
508029,34,156
508030,11,132
508031,13,60
508032,8,54
508033,8,48
508034,34,84
510001,31,96
510004,18,72
510005,23,108
510007,31,132
510008,26,120
510009,33,156
510010,22,132
510014,26,132
510016,34,156
517001,23,78
517003,2,54
517004,34,108
517005,31,132
517007,27,156
517009,31,120
517010,29,156
517011,25,84
517012,24,96
517013,16,60
517017,25,84
517018,16,42
517020,25,78
517021,33,120
517022,34,156
517023,26,66
517024,33,156
517026,23,96
517028,23,66
526003,15,48
527002,9,132
527004,18,108
527005,11,24
529001,10,72
529008,32,96
529015,28,96
529018,33,204
529020,20,204
529021,35,204
529022,33,132
529023,35,132
529024,35,204
529025,19,72
529026,18,66
529029,14,66
600001,25,132
600003,33,156
600006,18,96
600007,23,120
600008,19,120
600009,17,108
600010,18,108
601002,33,156
601007,27,156
601011,26,204
602001,17,120
602002,21,60
602003,16,66
602004,13,66
602005,15,84
602006,18,78
602007,21,72
602008,18,78
605002,11,96
605003,23,96
607004,25,78
608001,20,42
608002,21,54
608003,29,60
608004,28,78
608005,20,36
608006,11,28
608007,27,60
608008,24,132
608009,20,42
608010,22,42
608011,24,66
608012,23,78
608013,10,32
608014,22,66
609003,13,54
612001,33,60
612002,29,54
612003,12,36
612004,13,24
612005,11,28
612006,15,28
612007,16,120
612008,20,108
612009,8,24
612010,8,28
612012,30,96
612013,22,108
612014,28,120
612017,21,84
701004,21,132
705002,16,78
