ID,comscore_teacher,agestrat
207017,31,120
207018,26,96
207021,28,60
207024,28,84
208001,23,54
208002,21,54
208003,23,54
208004,14,48
208005,24,48
208006,26,66
208007,22,60
208008,28,54
211002,29,60
211003,31,120
211004,31,132
211005,29,108
211006,21,54
211007,18,42
211008,31,132
211009,30,78
211012,18,24
211014,27,28
211020,26,108
215001,26,84
215002,26,48
215004,29,84
215005,30,120
216001,31,84
216009,31,84
216013,30,132
216016,29,96
216017,30,84
218003,30,66
218004,24,36
218007,18,24
218009,27,72
219001,31,78
219002,27,108
219003,29,54
219004,29,84
219005,30,84
219006,31,96
219007,27,72
219008,31,120
219009,27,96
219010,23,66
220001,28,108
220002,30,78
220003,24,42
220004,16,24
220005,31,132
220007,27,54
220008,31,108
220009,28,84
220011,28,66
220012,24,60
220013,24,66
220014,27,60
220015,27,60
220016,24,48
220017,30,66
220018,27,78
220020,26,78
220021,21,24
220022,12,24
220023,25,54
220028,30,96
220030,28,132
220031,30,132
220032,28,120
220034,31,132
220036,31,120
221001,22,36
221004,23,28
221005,30,72
221006,27,72
221007,21,32
221008,30,72
221009,30,72
221012,30,72
223001,23,42
223002,20,24
223004,27,72
223005,29,96
223006,22,36
223007,15,24
223008,26,96
223009,28,108
223010,15,28
224001,30,96
224002,29,78
224003,28,66
224004,20,32
224005,28,96
224006,30,72
224007,24,48
224008,17,28
224009,30,72
224010,31,96
224011,21,36
224012,21,36
224013,27,60
224014,29,60
224015,23,48
224016,22,42
224017,29,60
224018,24,48
224019,28,72
224020,29,66
227002,20,32
227003,27,66
227007,20,28
227010,19,28
227012,15,28
227014,14,24
227018,19,32
302001,30,96
302002,30,108
302005,28,78
302006,31,84
302007,31,120
302008,30,96
302009,30,78
302010,31,204
302011,31,132
501001,22,60
501002,23,48
501003,14,84
501006,20,48
501009,31,132
501021,26,72
501029,27,60
501032,22,48
503001,18,66
505005,22,60
505015,30,156
505016,21,66
505021,25,132
505024,20,42
505035,18,48
505036,5,54
505037,9,54
505038,8,42
505039,3,42
505040,17,60
506001,2,54
506003,10,78
506004,18,96
506005,18,72
506008,31,120
506009,26,84
506011,15,42
506014,20,54
506015,14,78
506016,9,42
506022,21,78
507005,21,54
508001,19,60
508002,19,60
508005,24,156
508007,30,204
508008,24,42
508009,20,72
508010,17,72
508011,20,66
508013,19,54
508014,23,120
508015,14,42
508016,25,108
508017,31,156
508019,14,36
508021,14,36
508022,17,42
508023,23,84
508024,23,84
508025,23,84
508026,26,120
508027,20,54
508028,20,96
508029,27,156
508030,23,132
508031,18,60
508032,14,54
508033,13,48
508034,26,84
510001,29,96
510004,18,72
510005,22,108
510007,26,132
510008,25,120
510009,25,156
510010,22,132
510014,28,132
510016,25,156
517001,25,78
517003,2,54
517004,29,108
517005,28,132
517007,30,156
517009,25,120
517010,30,156
517011,25,84
517012,25,96
517013,21,60
517017,25,84
517018,17,42
517020,27,78
517021,30,120
517022,31,156
517023,29,66
517024,29,156
517026,28,96
517028,21,66
526003,12,48
527002,7,132
527004,18,108
527005,7,24
529001,24,72
529008,31,96
529015,30,96
529018,31,204
529020,31,204
529021,31,204
529022,30,132
529023,31,132
529024,31,204
529025,28,72
529026,24,66
529029,14,66
600001,21,132
600003,25,156
600006,21,96
600007,26,120
600008,24,120
600009,23,108
600010,23,108
601002,31,156
601007,30,156
601011,28,204
602001,27,120
602002,21,60
602003,23,66
602004,25,66
602005,27,84
602006,22,78
602007,24,72
602008,23,78
605002,19,96
605003,22,96
607004,26,78
608001,25,42
608002,24,54
608003,27,60
608004,25,78
608005,21,36
608006,12,28
608007,28,60
608008,26,132
608009,26,42
608010,25,42
608011,26,66
608012,24,78
608013,12,32
608014,29,66
609003,18,54
612001,27,60
612002,25,54
612003,12,36
612004,14,24
612005,15,28
612006,19,28
612007,22,120
612008,25,108
612009,10,24
612010,8,28
612012,27,96
612013,29,108
612014,30,120
612017,29,84
701004,23,132
705002,17,78
