ID,physcore_teacher,agestrat
109035,24,42
109036,34,204
109037,34,120
109038,21,54
109039,34,204
109040,34,204
109041,34,156
109042,34,120
109043,34,84
109044,34,156
109045,32,156
109046,32,84
109048,34,132
109049,32,120
109050,33,108
109051,34,84
109052,31,108
109054,28,42
109055,32,66
109056,34,156
109057,34,156
109058,34,204
109060,32,48
109061,32,96
109062,33,156
109063,24,36
109068,34,108
109069,33,78
109070,34,156
109071,34,204
109072,34,204
109073,34,132
109075,34,156
109076,34,204
109077,34,156
109078,23,32
109079,34,108
109080,30,54
109081,27,36
109083,34,156
109084,34,108
109085,33,84
109086,32,78
109087,20,32
109090,32,48
109091,32,66
109094,34,120
109095,33,108
109096,32,48
109097,33,72
109102,31,156
110004,34,96
111001,33,84
111002,31,42
111003,34,120
111006,32,84
111007,34,132
111009,32,60
111010,26,42
111011,32,108
111012,26,36
111014,34,120
111015,34,156
111016,34,204
111018,34,156
111019,26,42
111020,20,42
111021,34,108
111022,24,36
111024,26,42
111025,34,132
111026,34,156
111029,28,60
111030,26,48
111032,30,60
111033,34,156
111035,34,120
111036,34,132
111038,32,54
111040,34,204
111041,34,156
111042,34,132
111043,34,120
111044,30,72
111047,19,28
111049,30,48
111052,27,60
111054,22,32
111055,29,32
112001,24,32
112002,34,72
112003,32,84
112004,28,36
112005,34,204
112006,33,78
112007,34,72
112008,28,28
112009,23,36
112010,22,24
112011,14,24
112012,31,48
112013,34,132
112014,34,204
112015,34,204
112016,34,204
112017,31,96
112018,29,84
112019,34,204
112020,30,84
112021,27,36
112022,29,48
112023,30,54
112024,28,36
112025,21,32
112026,6,32
112027,34,156
112028,34,204
112029,34,156
112030,32,132
112031,23,66
112032,29,72
112033,27,84
112034,25,78
112035,33,120
112036,31,96
112037,34,204
112038,24,78
112039,34,156
112040,31,96
112041,30,120
112042,31,84
112043,34,156
112044,34,108
112045,31,108
112046,29,108
112047,30,96
112048,34,204
112049,34,204
112050,27,84
112051,27,84
112052,32,84
112053,33,132
112054,34,204
112055,33,156
112056,33,120
112057,34,204
112058,34,204
112059,34,204
112060,34,204
112061,34,204
112062,34,156
112063,34,204
112064,34,204
112065,34,204
112066,34,204
112067,34,132
112068,30,96
112069,34,132
112070,27,84
112071,33,120
112072,34,156
112073,34,204
112074,34,204
112075,34,156
114001,29,54
114002,33,72
114003,34,132
114004,31,54
114016,30,78
114021,29,54
114023,34,84
115001,18,48
115002,34,84
115003,29,132
115004,34,156
115007,27,60
115009,33,84
115012,34,156
115013,33,156
115015,17,48
115033,30,60
115034,31,84
115035,32,108
115036,34,120
115038,34,156
115043,33,78
115048,34,84
115049,33,108
115050,28,120
115120,25,54
116001,26,24
116002,28,36
116003,30,36
116004,28,36
116006,26,32
116008,30,42
116010,21,28
116011,34,132
116014,20,28
116015,34,132
116016,34,132
116017,30,42
116020,32,32
116021,34,132
116022,34,132
116023,34,156
116024,34,108
116025,32,66
116026,18,32
116027,19,28
116029,34,156
116030,34,204
116032,34,156
116034,34,156
116035,34,156
116036,33,66
116037,34,132
116040,34,132
116041,34,108
116042,34,132
116043,31,72
116044,34,132
116045,34,132
116046,34,120
116047,34,204
116048,34,132
116049,21,28
116050,20,32
116051,34,132
116052,34,204
116053,34,204
116054,34,132
116055,20,28
116056,20,32
116057,34,132
116058,34,120
116059,34,132
116060,34,132
116061,34,120
116062,20,24
116063,20,24
116064,34,204
116065,34,204
116069,34,132
116071,34,132
116072,34,132
116073,20,32
116074,34,204
116075,34,204
116076,34,204
116077,34,132
116078,34,132
116079,20,28
116080,20,32
117001,21,32
117002,30,66
117003,34,120
117012,18,36
117014,29,54
117015,17,28
117022,32,54
117023,30,54
117024,28,48
117030,25,36
117038,34,108
117041,34,84
117042,27,36
117050,24,132
117061,27,72
117062,25,42
118001,30,66
118002,22,32
118003,34,156
118004,34,132
118006,30,48
118007,34,156
118008,34,132
118009,27,42
118010,33,120
118011,33,78
118016,34,96
118017,32,66
119002,33,132
119003,34,132
119004,34,108
119007,34,96
119009,32,78
119011,34,72
119013,34,132
119014,33,96
119015,34,78
119016,33,84
119017,32,132
119018,33,96
119019,33,84
119021,34,96
120009,34,156
120010,34,204
120011,22,36
120012,29,54
120015,28,42
120016,27,28
120017,20,48
120020,34,84
120021,34,132
120023,34,66
120024,34,108
120025,34,132
120027,31,78
120028,28,108
120029,27,48
120030,29,72
120031,28,60
120032,29,60
120033,22,66
120035,21,60
120036,30,60
120038,33,72
120042,25,54
120043,27,108
120044,34,108
120045,34,132
120046,34,96
120048,21,28
120049,20,54
120050,34,72
120051,33,108
120052,19,32
120053,29,60
120056,31,78
120057,32,78
120058,33,108
120059,27,72
120062,29,42
120064,31,48
120065,29,72
120067,30,72
120070,31,78
120072,33,132
120073,34,120
121002,33,156
121003,34,156
121007,29,36
121016,26,42
121018,31,84
121019,34,132
121020,23,36
122001,22,36
122002,32,60
122005,31,60
122006,33,84
122007,34,120
122010,32,96
123001,34,204
123002,33,84
123003,34,156
123004,34,204
123005,34,156
123006,26,54
123007,12,54
123008,34,132
123009,33,84
123010,34,96
123011,34,204
123012,34,156
123013,34,156
123014,34,120
123015,33,78
123016,34,204
123017,34,156
123018,34,156
123019,34,132
123020,34,156
123021,26,36
123022,34,156
123023,34,120
123024,34,156
123025,34,156
123026,34,132
123027,30,66
123028,34,156
123029,34,132
123030,34,204
123031,34,156
123032,34,120
123033,26,42
123034,25,42
123035,34,132
123036,34,156
123037,34,132
123038,34,132
123039,33,96
123040,30,36
123041,34,132
123042,33,72
123043,34,132
123044,34,204
123045,34,204
123046,33,66
123047,34,132
123048,33,72
123049,34,120
123050,34,132
123051,34,132
123052,33,66
123053,33,78
123054,34,132
123055,34,132
123056,34,120
123057,33,72
123058,34,132
123059,34,132
123060,34,132
123061,34,120
123062,34,132
123063,26,42
123064,34,132
123065,34,108
123066,34,204
123067,34,132
123068,34,108
123069,34,120
123070,34,132
123071,24,36
123072,26,36
123073,32,42
123074,34,132
123075,34,132
123076,34,108
123077,34,132
123078,34,120
123079,33,54
123080,33,96
125001,33,108
125002,26,48
125003,26,48
125004,28,54
125005,31,60
125006,26,54
125007,28,60
125008,31,60
125009,26,54
125010,31,60
125011,30,66
125012,26,60
125013,29,60
125014,24,60
125015,24,54
125016,33,66
125017,33,72
125018,31,54
125019,33,60
125020,34,84
125021,26,60
125022,25,60
125023,31,60
125024,31,60
125026,23,28
125028,25,72
125031,31,60
125033,31,60
125037,33,72
125040,21,32
125046,31,60
125047,32,48
125048,32,60
125051,22,32
125055,18,24
126001,33,66
126002,34,132
126003,34,108
126004,33,84
126005,33,60
126006,32,108
126007,34,96
126008,28,54
126009,27,54
126010,33,72
126011,25,66
126012,33,78
126013,31,60
126014,32,66
126015,30,132
126016,31,54
126017,34,132
126018,33,72
126019,34,108
126020,18,24
127002,34,132
127004,34,78
127006,24,36
127007,32,54
127011,26,66
127014,29,42
127015,27,48
127016,34,66
127017,29,42
127019,25,24
127020,29,32
127022,29,84
127023,33,120
127024,30,54
127028,28,42
127029,31,66
127031,31,48
127032,33,36
127033,33,78
127034,34,132
127035,34,84
128001,34,96
128002,34,132
128003,34,132
128004,34,96
128005,33,120
128006,34,132
128008,32,72
128009,34,132
128011,34,120
128012,34,132
128014,32,132
128019,34,84
128021,33,78
128023,34,132
128024,34,96
128025,34,120
129001,34,120
129002,32,84
129004,22,36
129005,23,42
129006,31,84
129007,19,42
129008,22,36
129009,22,28
129010,30,54
129011,34,108
129012,34,84
129013,34,120
129014,25,36
129015,25,48
129016,33,78
129017,29,66
129019,27,48
129021,24,48
129022,33,78
129023,30,36
129024,27,36
129025,27,48
129027,34,108
129028,24,36
129029,31,78
129030,34,132
130001,33,54
130002,34,96
130003,32,60
130004,32,60
130005,32,72
130006,34,72
130007,34,84
130008,32,72
130009,32,72
130010,33,72
130011,34,84
130012,33,84
130013,34,84
130014,33,84
130015,31,54
130016,34,84
130017,34,84
130018,34,96
130019,34,96
130020,34,96
130021,34,96
130022,34,108
130023,34,108
130024,34,108
130025,34,108
130026,34,120
130027,34,120
130028,34,132
130029,34,132
131004,31,72
131005,25,54
131006,28,36
131009,27,36
131012,34,84
131014,29,42
131015,32,84
131016,34,96
131018,34,132
131019,33,108
131028,34,96
131029,32,66
131033,34,204
131034,28,36
131040,34,96
131041,27,42
131042,28,48
131043,25,42
131046,34,108
131047,34,84
131055,30,42
131056,34,96
131057,31,72
131059,34,84
132010,33,108
132015,32,72
132021,34,84
132023,30,54
132024,33,132
132025,34,108
133002,34,120
133013,31,54
134001,34,132
134002,34,132
134003,33,96
134004,34,96
134005,31,96
134006,34,84
134007,25,72
134008,34,132
134009,34,132
134010,32,96
134011,34,96
134012,34,96
134013,33,96
134014,34,96
134015,34,132
134016,34,72
134017,34,72
134018,34,72
134019,33,78
134020,34,132
134021,34,132
134022,30,66
134023,34,96
134024,33,96
134025,34,96
134026,33,84
134031,23,24
134033,26,32
134034,33,96
134035,32,72
134038,34,108
134039,34,108
134041,25,32
134042,25,24
134044,34,108
135001,33,96
135004,31,66
135006,31,54
135007,32,54
135008,34,78
135009,32,66
135010,33,96
135019,30,54
135026,33,72
135027,32,60
136001,34,132
136004,34,132
136005,34,120
137001,29,132
137003,31,66
137004,17,36
137005,33,120
137006,33,84
137007,20,28
137008,32,48
137010,19,36
137012,24,54
137017,29,72
137018,27,48
137020,34,96
137021,23,54
137026,34,66
137027,34,96
137028,31,72
137029,33,108
137030,30,78
137032,33,84
137033,34,108
137034,28,48
137035,34,108
137036,32,72
137037,33,96
137038,32,78
137039,29,54
137051,30,66
138003,34,108
138004,34,84
138005,34,96
138007,34,120
138008,33,78
138010,33,132
138011,28,24
138016,34,120
138017,34,96
138021,18,24
139009,23,48
139013,29,42
139018,28,48
139019,20,32
139020,32,60
139021,25,48
141026,25,28
141027,23,24
141028,21,32
141029,22,32
141030,17,28
141031,20,36
141032,25,36
141033,22,36
141034,23,42
141035,23,36
141036,24,42
141037,19,36
141038,17,42
141039,18,36
141040,20,42
141041,25,42
141042,25,42
141043,20,42
141044,25,54
141045,23,48
141046,25,54
141047,24,54
141048,25,48
141049,25,54
143001,34,132
143002,34,108
143003,30,48
143004,34,84
143005,34,84
143006,34,96
143007,33,72
143008,32,78
143009,31,60
143010,34,54
143011,32,32
143013,29,72
143017,29,60
143018,34,96
143019,34,132
143021,34,132
143022,34,132
143023,34,96
143024,20,32
143025,34,120
148001,28,84
148002,33,132
148003,33,66
148005,27,54
148006,34,132
148007,34,108
148009,33,132
148012,34,84
148013,33,84
148017,27,60
148018,17,28
148019,31,72
148022,33,108
148023,32,84
148024,25,48
148025,32,96
148026,32,78
148027,34,132
148028,32,60
148029,31,72
148030,33,84
148031,33,108
151001,31,156
151002,34,120
151003,32,108
151004,34,156
151005,30,48
151006,28,36
151008,31,78
151010,24,42
151011,22,42
151012,34,84
151013,34,132
151014,26,36
151015,32,108
151016,31,78
151017,26,36
151018,34,132
151019,34,120
151020,34,132
151021,34,108
151022,34,132
151023,34,120
151024,34,132
151025,34,132
151026,34,120
151027,25,60
151028,30,66
151029,24,54
151030,30,66
151031,34,96
151032,33,96
151033,34,120
151034,34,132
151035,24,54
151036,34,96
151037,34,96
151038,34,108
151039,34,120
151040,34,132
151041,16,36
151042,32,84
151043,34,84
151044,33,84
151045,20,36
151046,34,84
151047,32,96
151048,32,120
151049,33,96
151050,14,24
151051,33,108
151052,30,84
151053,31,84
151054,31,108
151055,34,120
151056,23,96
151057,34,84
151058,33,84
151059,31,84
151060,33,96
154002,29,42
154005,34,84
154010,33,120
154017,34,132
154018,34,120
154022,31,132
154028,33,108
154029,34,108
154030,34,132
154037,32,72
154040,34,84
154041,31,60
154042,22,42
154043,15,28
154047,34,120
154052,31,54
154055,28,66
154056,34,108
154057,34,132
154058,34,108
154076,29,132
154077,32,108
154078,33,84
154079,34,132
154080,33,120
154081,34,108
154959,34,78
201001,27,66
201002,29,54
201003,27,66
201004,30,66
201007,31,72
201008,31,72
201009,32,78
201010,32,78
201011,25,66
201012,31,72
201013,28,66
201014,32,72
201015,33,66
201016,26,78
201017,32,60
201018,32,60
201019,32,60
201020,30,54
201021,31,60
201022,31,72
201024,15,78
201028,25,72
201029,29,60
201039,28,66
201040,22,66
201044,22,66
201045,23,72
201051,30,66
201052,20,42
201053,24,66
201055,31,66
201056,31,60
202001,34,132
202002,32,108
202003,21,48
202004,34,108
202005,32,66
202006,28,54
202008,34,96
202009,21,42
202012,34,132
202014,21,42
202015,29,78
202017,34,120
202018,26,48
202021,25,54
202022,17,28
202024,21,24
202026,27,48
202027,32,78
202028,27,42
202029,33,60
202031,32,60
202032,27,42
202035,23,28
202037,31,42
202038,32,42
202039,32,78
202042,29,42
202043,25,32
202044,29,36
202047,29,48
202048,32,96
202049,25,42
202050,33,96
202051,34,96
202052,33,78
202055,26,32
202056,30,54
202058,28,48
202060,26,48
202061,25,48
202062,29,42
202066,27,42
202067,27,54
202068,31,28
202071,33,54
202073,34,72
202076,34,120
202077,31,96
202081,12,24
202082,32,108
202083,32,132
202085,34,132
202087,25,42
202088,31,48
202089,33,78
202090,33,72
202091,34,96
202092,26,42
202093,32,60
202094,33,120
202095,17,28
202096,33,96
202097,34,84
202098,34,108
202099,34,132
202101,33,48
202103,32,66
202105,19,24
202106,31,60
202107,34,132
202109,34,132
202110,34,132
206001,17,42
206005,29,84
206007,34,84
206008,33,84
206009,34,84
206010,34,84
206011,34,84
206013,28,84
206016,34,96
206017,34,84
206020,33,78
206024,34,84
207001,32,72
207004,33,96
207007,33,84
207009,34,120
207010,31,48
207013,22,24
207015,18,24
207017,34,120
207018,32,96
207021,34,60
207024,33,84
208001,25,54
208002,32,54
208003,32,54
208004,25,48
208005,32,48
208006,33,66
208007,31,60
208008,34,54
211002,32,60
211003,34,120
211004,34,132
211005,34,108
211006,34,54
211007,31,42
211008,32,132
211009,34,78
211012,19,24
211014,25,28
211020,34,108
215001,31,84
215002,32,48
215004,33,84
215005,34,120
216001,34,84
216009,33,84
216013,33,132
216016,34,96
216017,33,84
218003,32,66
218004,23,36
218007,24,24
218009,30,72
219001,34,78
219002,30,108
219003,31,54
219004,33,84
219005,34,84
219006,33,96
219007,30,72
219008,34,120
219009,34,96
219010,28,66
220001,32,108
220002,32,78
220003,29,42
220004,18,24
220005,34,132
220007,30,54
220008,33,108
220009,29,84
220011,30,66
220012,29,60
220013,23,66
220014,30,60
220015,31,60
220016,23,48
220017,29,66
220018,34,78
220020,28,78
220021,24,24
220022,24,24
220023,30,54
220028,31,96
220030,34,132
220031,33,132
220032,33,120
220034,34,132
220036,33,120
221001,24,36
221004,23,28
221005,33,72
221006,31,72
221007,18,32
221008,33,72
221009,33,72
221012,32,72
223001,25,42
223002,20,24
223004,34,72
223005,34,96
223006,25,36
223007,15,24
223008,34,96
223009,34,108
223010,17,28
224001,34,96
224002,32,78
224003,31,66
224004,21,32
224005,34,96
224006,33,72
224007,28,48
224008,16,28
224009,31,72
224010,34,96
224011,23,36
224012,14,36
224013,30,60
224014,20,60
224015,17,48
224016,22,42
224017,28,60
224018,21,48
224019,32,72
224020,33,66
227002,17,32
227003,33,66
227007,21,28
227010,22,28
227012,16,28
227014,21,24
227018,17,32
302001,34,96
302002,33,108
302005,32,78
302006,34,84
302007,34,120
302008,34,96
302009,31,78
302010,34,204
302011,34,132
501001,25,60
501002,21,48
501003,12,84
501006,27,48
501009,34,132
501021,33,72
501029,30,60
501032,30,48
503001,15,66
505005,26,60
505015,32,156
505016,18,66
505021,34,132
505024,19,42
505035,22,48
505036,20,54
505037,23,54
505038,15,42
505039,16,42
505040,25,60
506001,5,54
506003,17,78
506004,23,96
506005,26,72
506008,32,120
506009,30,84
506011,11,42
506014,19,54
506015,18,78
506016,18,42
506022,24,78
507005,23,54
508001,25,60
508002,29,60
508005,33,156
508007,34,204
508008,28,42
508009,23,72
508010,26,72
508011,29,66
508013,16,54
508014,29,120
508015,14,42
508016,32,108
508017,34,156
508019,11,36
508021,10,36
508022,12,42
508023,25,84
508024,23,84
508025,31,84
508026,34,120
508027,17,54
508028,26,96
508029,34,156
508030,31,132
508031,18,60
508032,15,54
508033,12,48
508034,31,84
510001,33,96
510004,25,72
510005,33,108
510007,34,132
510008,34,120
510009,33,156
510010,28,132
510014,33,132
510016,34,156
517001,24,78
517003,11,54
517004,34,108
517005,34,132
517007,34,156
517009,34,120
517010,34,156
517011,33,84
517012,33,96
517013,31,60
517017,32,84
517018,21,42
517020,34,78
517021,34,120
517022,34,156
517023,33,66
517024,34,156
517026,34,96
517028,31,66
526003,5,48
527002,0,132
527004,20,108
527005,8,24
529001,34,72
529008,34,96
529015,34,96
529018,34,204
529020,34,204
529021,34,204
529022,34,132
529023,34,132
529024,34,204
529025,34,72
529026,34,66
529029,23,66
600001,34,132
600003,34,156
600006,34,96
600007,34,120
600008,32,120
600009,34,108
600010,32,108
601002,33,156
601007,34,156
601011,31,204
602001,34,120
602002,23,60
602003,18,66
602004,28,66
602005,29,84
602006,25,78
602007,27,72
602008,16,78
605002,10,96
605003,26,96
607004,34,78
608001,25,42
608002,29,54
608003,31,60
608004,34,78
608005,21,36
608006,15,28
608007,31,60
608008,33,132
608009,19,42
608010,24,42
608011,30,66
608012,32,78
608013,21,32
608014,33,66
609003,18,54
612001,32,60
612002,31,54
612003,13,36
612004,20,24
612005,21,28
612006,25,28
612007,22,120
612008,31,108
612009,14,24
612010,15,28
612012,33,96
612013,34,108
612014,32,120
612017,30,84
701004,26,132
705002,10,78
