agestrat,socscore_teacher,n,perc,cum_per
42,20,8,10.5263,47.3684
42,21,2,2.6316,50
42,22,5,6.5789,56.5789
42,23,2,2.6316,59.2105
42,24,8,10.5263,69.7368
42,25,2,2.6316,72.3684
42,26,1,1.3158,73.6842
42,27,2,2.6316,76.3158
42,28,3,3.9474,80.2632
42,29,4,5.2632,85.5263
42,30,5,6.5789,92.1053
42,31,2,2.6316,94.7368
42,32,1,1.3158,96.0526
42,33,2,2.6316,98.6842
42,35,1,1.3158,100
48,8,1,1.5385,1.5385
48,12,2,3.0769,4.6154
48,13,1,1.5385,6.1538
48,14,1,1.5385,7.6923
48,15,3,4.6154,12.3077
48,16,1,1.5385,13.8462
48,17,4,6.1538,20
48,18,2,3.0769,23.0769
48,19,2,3.0769,26.1538
48,20,5,7.6923,33.8462
48,21,4,6.1538,40
48,22,2,3.0769,43.0769
48,23,4,6.1538,49.2308
48,24,5,7.6923,56.9231
48,25,5,7.6923,64.6154
48,26,5,7.6923,72.3077
48,28,2,3.0769,75.3846
48,29,3,4.6154,80
48,30,4,6.1538,86.1538
48,31,5,7.6923,93.8462
48,32,3,4.6154,98.4615
48,34,1,1.5385,100
54,2,1,1.2346,1.2346
54,3,1,1.2346,2.4691
54,4,1,1.2346,3.7037
54,5,1,1.2346,4.9383
54,7,1,1.2346,6.1728
54,8,1,1.2346,7.4074
54,12,1,1.2346,8.642
54,13,1,1.2346,9.8765
54,14,4,4.9383,14.8148
54,15,2,2.4691,17.284
54,16,1,1.2346,18.5185
54,18,1,1.2346,19.7531
54,19,4,4.9383,24.6914
54,20,2,2.4691,27.1605
54,21,4,4.9383,32.0988
54,22,1,1.2346,33.3333
54,23,4,4.9383,38.2716
54,24,3,3.7037,41.9753
54,25,3,3.7037,45.679
54,26,7,8.642,54.321
54,27,6,7.4074,61.7284
54,28,8,9.8765,71.6049
54,29,3,3.7037,75.3086
54,30,5,6.1728,81.4815
54,31,5,6.1728,87.6543
54,32,5,6.1728,93.8272
54,33,3,3.7037,97.5309
54,34,1,1.2346,98.7654
54,35,1,1.2346,100
60,11,1,1.2048,1.2048
60,13,1,1.2048,2.4096
60,15,1,1.2048,3.6145
60,16,3,3.6145,7.2289
60,17,2,2.4096,9.6386
60,18,1,1.2048,10.8434
60,19,1,1.2048,12.0482
60,21,2,2.4096,14.4578
60,22,1,1.2048,15.6627
60,23,3,3.6145,19.2771
60,24,2,2.4096,21.6867
60,25,3,3.6145,25.3012
60,26,4,4.8193,30.1205
60,27,6,7.2289,37.3494
60,28,8,9.6386,46.988
60,29,9,10.8434,57.8313
60,30,8,9.6386,67.4699
60,31,5,6.0241,73.494
60,32,8,9.6386,83.1325
60,33,11,13.253,96.3855
60,34,3,3.6145,100
66,12,1,1.4286,1.4286
66,13,1,1.4286,2.8571
66,14,1,1.4286,4.2857
66,16,1,1.4286,5.7143
66,17,2,2.8571,8.5714
66,18,1,1.4286,10
66,19,2,2.8571,12.8571
66,21,3,4.2857,17.1429
66,22,1,1.4286,18.5714
66,23,2,2.8571,21.4286
66,24,1,1.4286,22.8571
66,25,3,4.2857,27.1429
66,26,5,7.1429,34.2857
66,27,3,4.2857,38.5714
66,28,5,7.1429,45.7143
66,29,11,15.7143,61.4286
66,30,3,4.2857,65.7143
66,31,6,8.5714,74.2857
66,32,7,10,84.2857
66,33,3,4.2857,88.5714
66,34,7,10,98.5714
66,35,1,1.4286,100
72,8,1,1.1364,1.1364
72,10,1,1.1364,2.2727
72,12,1,1.1364,3.4091
72,14,1,1.1364,4.5455
72,18,2,2.2727,6.8182
72,19,2,2.2727,9.0909
72,20,1,1.1364,10.2273
72,21,4,4.5455,14.7727
72,22,1,1.1364,15.9091
72,23,2,2.2727,18.1818
72,24,1,1.1364,19.3182
72,25,1,1.1364,20.4545
72,26,3,3.4091,23.8636
72,27,4,4.5455,28.4091
72,28,4,4.5455,32.9545
72,29,4,4.5455,37.5
72,30,7,7.9545,45.4545
72,31,13,14.7727,60.2273
72,32,8,9.0909,69.3182
72,33,20,22.7273,92.0455
72,34,6,6.8182,98.8636
72,35,1,1.1364,100
78,12,1,1.4706,1.4706
78,13,1,1.4706,2.9412
78,14,1,1.4706,4.4118
78,16,2,2.9412,7.3529
78,17,1,1.4706,8.8235
78,18,2,2.9412,11.7647
78,19,1,1.4706,13.2353
78,20,1,1.4706,14.7059
78,21,2,2.9412,17.6471
78,23,2,2.9412,20.5882
78,24,1,1.4706,22.0588
78,25,2,2.9412,25
78,26,1,1.4706,26.4706
78,28,8,11.7647,38.2353
78,29,4,5.8824,44.1176
78,30,4,5.8824,50
78,31,12,17.6471,67.6471
78,32,6,8.8235,76.4706
78,33,10,14.7059,91.1765
78,34,6,8.8235,100
84,14,1,0.9174,0.9174
84,15,2,1.8349,2.7523
84,16,1,0.9174,3.6697
84,17,2,1.8349,5.5046
84,18,1,0.9174,6.422
84,19,2,1.8349,8.2569
84,20,1,0.9174,9.1743
84,21,2,1.8349,11.0092
84,22,2,1.8349,12.844
84,23,1,0.9174,13.7615
84,24,3,2.7523,16.5138
84,25,5,4.5872,21.1009
84,26,4,3.6697,24.7706
84,27,5,4.5872,29.3578
84,28,5,4.5872,33.945
84,29,3,2.7523,36.6972
84,30,9,8.2569,44.9541
84,31,8,7.3394,52.2936
84,32,10,9.1743,61.4679
84,33,16,14.6789,76.1468
84,34,18,16.5138,92.6606
84,35,8,7.3394,100
96,11,1,0.9804,0.9804
96,12,1,0.9804,1.9608
96,15,1,0.9804,2.9412
96,18,1,0.9804,3.9216
96,20,1,0.9804,4.902
96,21,1,0.9804,5.8824
96,22,1,0.9804,6.8627
96,23,2,1.9608,8.8235
96,24,7,6.8627,15.6863
96,25,5,4.902,20.5882
96,26,1,0.9804,21.5686
96,28,4,3.9216,25.4902
96,29,4,3.9216,29.4118
96,30,5,4.902,34.3137
96,31,13,12.7451,47.0588
96,32,11,10.7843,57.8431
96,33,23,22.549,80.3922
96,34,15,14.7059,95.098
96,35,5,4.902,100
108,16,1,1.1494,1.1494
108,17,1,1.1494,2.2989
108,18,2,2.2989,4.5977
108,20,2,2.2989,6.8966
108,22,2,2.2989,9.1954
108,23,2,2.2989,11.4943
108,24,1,1.1494,12.6437
108,25,1,1.1494,13.7931
108,27,1,1.1494,14.9425
108,28,5,5.7471,20.6897
108,29,3,3.4483,24.1379
108,30,4,4.5977,28.7356
108,31,1,1.1494,29.8851
108,32,9,10.3448,40.2299
108,33,17,19.5402,59.7701
108,34,27,31.0345,90.8046
108,35,8,9.1954,100
120,16,1,1.2048,1.2048
120,17,1,1.2048,2.4096
120,18,2,2.4096,4.8193
120,19,1,1.2048,6.0241
120,20,1,1.2048,7.2289
120,22,1,1.2048,8.4337
120,23,1,1.2048,9.6386
120,25,1,1.2048,10.8434
120,26,1,1.2048,12.0482
120,27,1,1.2048,13.253
120,28,3,3.6145,16.8675
120,29,2,2.4096,19.2771
120,30,4,4.8193,24.0964
120,31,5,6.0241,30.1205
120,32,8,9.6386,39.759
120,33,12,14.4578,54.2169
120,34,21,25.3012,79.5181
120,35,17,20.4819,100
132,9,1,0.6061,0.6061
132,11,1,0.6061,1.2121
132,16,1,0.6061,1.8182
132,21,1,0.6061,2.4242
132,22,2,1.2121,3.6364
132,24,1,0.6061,4.2424
132,25,2,1.2121,5.4545
132,26,1,0.6061,6.0606
132,27,1,0.6061,6.6667
132,29,5,3.0303,9.697
132,30,3,1.8182,11.5152
132,31,5,3.0303,14.5455
132,32,15,9.0909,23.6364
132,33,10,6.0606,29.697
132,34,41,24.8485,54.5455
132,35,75,45.4545,100
156,19,1,0.9091,0.9091
156,24,2,1.8182,2.7273
156,25,1,0.9091,3.6364
156,26,1,0.9091,4.5455
156,27,2,1.8182,6.3636
156,28,1,0.9091,7.2727
156,29,2,1.8182,9.0909
156,30,2,1.8182,10.9091
156,31,3,2.7273,13.6364
156,32,4,3.6364,17.2727
156,33,8,7.2727,24.5455
156,34,16,14.5455,39.0909
156,35,67,60.9091,100
204,20,1,1.2346,1.2346
204,26,1,1.2346,2.4691
204,27,1,1.2346,3.7037
204,28,1,1.2346,4.9383
204,29,1,1.2346,6.1728
204,31,1,1.2346,7.4074
204,32,2,2.4691,9.8765
204,33,1,1.2346,11.1111
204,34,6,7.4074,18.5185
204,35,66,81.4815,100
