agestrat,comscore_teacher,n,perc,cum_per
60,21,5,6.0241,14.4578
60,22,5,6.0241,20.4819
60,23,1,1.2048,21.6867
60,24,7,8.4337,30.1205
60,25,2,2.4096,32.5301
60,26,7,8.4337,40.9639
60,27,15,18.0723,59.0361
60,28,13,15.6627,74.6988
60,29,16,19.2771,93.9759
60,30,2,2.4096,96.3855
60,31,3,3.6145,100
66,14,1,1.4286,1.4286
66,18,1,1.4286,2.8571
66,19,1,1.4286,4.2857
66,20,1,1.4286,5.7143
66,21,3,4.2857,10
66,22,1,1.4286,11.4286
66,23,4,5.7143,17.1429
66,24,4,5.7143,22.8571
66,25,4,5.7143,28.5714
66,26,9,12.8571,41.4286
66,27,8,11.4286,52.8571
66,28,8,11.4286,64.2857
66,29,15,21.4286,85.7143
66,30,7,10,95.7143
66,31,3,4.2857,100
72,14,1,1.1364,1.1364
72,17,2,2.2727,3.4091
72,18,2,2.2727,5.6818
72,19,2,2.2727,7.9545
72,20,2,2.2727,10.2273
72,21,1,1.1364,11.3636
72,23,1,1.1364,12.5
72,24,3,3.4091,15.9091
72,25,4,4.5455,20.4545
72,26,5,5.6818,26.1364
72,27,9,10.2273,36.3636
72,28,17,19.3182,55.6818
72,29,12,13.6364,69.3182
72,30,18,20.4545,89.7727
72,31,9,10.2273,100
78,10,1,1.4706,1.4706
78,14,1,1.4706,2.9412
78,17,3,4.4118,7.3529
78,20,1,1.4706,8.8235
78,21,2,2.9412,11.7647
78,22,3,4.4118,16.1765
78,23,1,1.4706,17.6471
78,24,2,2.9412,20.5882
78,25,4,5.8824,26.4706
78,26,6,8.8235,35.2941
78,27,7,10.2941,45.5882
78,28,5,7.3529,52.9412
78,29,15,22.0588,75
78,30,8,11.7647,86.7647
78,31,9,13.2353,100
84,14,1,0.9174,0.9174
84,20,1,0.9174,1.8349
84,21,3,2.7523,4.5872
84,22,1,0.9174,5.5046
84,23,4,3.6697,9.1743
84,24,1,0.9174,10.0917
84,25,4,3.6697,13.7615
84,26,7,6.422,20.1835
84,27,7,6.422,26.6055
84,28,14,12.844,39.4495
84,29,19,17.4312,56.8807
84,30,22,20.1835,77.0642
84,31,25,22.9358,100
96,18,1,0.9804,0.9804
96,19,1,0.9804,1.9608
96,20,1,0.9804,2.9412
96,21,1,0.9804,3.9216
96,22,2,1.9608,5.8824
96,23,1,0.9804,6.8627
96,24,4,3.9216,10.7843
96,25,6,5.8824,16.6667
96,26,3,2.9412,19.6078
96,27,4,3.9216,23.5294
96,28,10,9.8039,33.3333
96,29,15,14.7059,48.0392
96,30,22,21.5686,69.6078
96,31,31,30.3922,100
108,18,1,1.1494,1.1494
108,22,1,1.1494,2.2989
108,23,2,2.2989,4.5977
108,25,5,5.7471,10.3448
108,26,3,3.4483,13.7931
108,27,3,3.4483,17.2414
108,28,8,9.1954,26.4368
108,29,5,5.7471,32.1839
108,30,20,22.9885,55.1724
108,31,39,44.8276,100
120,22,2,2.4096,2.4096
120,23,1,1.2048,3.6145
120,24,1,1.2048,4.8193
120,25,4,4.8193,9.6386
120,26,3,3.6145,13.253
120,27,2,2.4096,15.6627
120,28,6,7.2289,22.8916
120,29,5,6.0241,28.9157
120,30,9,10.8434,39.759
120,31,50,60.241,100
132,7,1,0.6061,0.6061
132,20,1,0.6061,1.2121
132,21,2,1.2121,2.4242
132,22,1,0.6061,3.0303
132,23,2,1.2121,4.2424
132,24,3,1.8182,6.0606
132,25,1,0.6061,6.6667
132,26,3,1.8182,8.4848
132,27,1,0.6061,9.0909
132,28,6,3.6364,12.7273
132,29,7,4.2424,16.9697
132,30,16,9.697,26.6667
132,31,121,73.3333,100
156,24,1,0.9091,0.9091
156,25,3,2.7273,3.6364
156,26,1,0.9091,4.5455
156,27,1,0.9091,5.4545
156,28,3,2.7273,8.1818
156,29,2,1.8182,10
156,30,8,7.2727,17.2727
156,31,91,82.7273,100
204,26,1,1.2346,1.2346
204,28,2,2.4691,3.7037
204,29,1,1.2346,4.9383
204,30,4,4.9383,9.8765
204,31,73,90.1235,100
