agestrat,cogscore_teacher,n,perc,cum_per
78,23,1,1.4706,8.8235
78,24,2,2.9412,11.7647
78,25,3,4.4118,16.1765
78,26,1,1.4706,17.6471
78,27,1,1.4706,19.1176
78,28,3,4.4118,23.5294
78,29,2,2.9412,26.4706
78,31,4,5.8824,32.3529
78,32,3,4.4118,36.7647
78,33,5,7.3529,44.1176
78,34,6,8.8235,52.9412
78,35,2,2.9412,55.8824
78,36,3,4.4118,60.2941
78,37,6,8.8235,69.1176
78,38,6,8.8235,77.9412
78,39,10,14.7059,92.6471
78,40,3,4.4118,97.0588
78,41,1,1.4706,98.5294
78,42,1,1.4706,100
84,23,3,2.7523,2.7523
84,24,2,1.8349,4.5872
84,26,1,0.9174,5.5046
84,27,3,2.7523,8.2569
84,28,2,1.8349,10.0917
84,29,1,0.9174,11.0092
84,30,6,5.5046,16.5138
84,31,2,1.8349,18.3486
84,32,6,5.5046,23.8532
84,33,5,4.5872,28.4404
84,34,4,3.6697,32.1101
84,35,1,0.9174,33.0275
84,36,5,4.5872,37.6147
84,37,7,6.422,44.0367
84,38,13,11.9266,55.9633
84,39,21,19.2661,75.2294
84,40,15,13.7615,88.9908
84,41,8,7.3394,96.3303
84,42,4,3.6697,100
96,16,1,0.9804,0.9804
96,20,1,0.9804,1.9608
96,21,1,0.9804,2.9412
96,22,1,0.9804,3.9216
96,23,1,0.9804,4.902
96,27,1,0.9804,5.8824
96,28,2,1.9608,7.8431
96,30,1,0.9804,8.8235
96,31,1,0.9804,9.8039
96,33,3,2.9412,12.7451
96,35,4,3.9216,16.6667
96,36,7,6.8627,23.5294
96,37,3,2.9412,26.4706
96,38,9,8.8235,35.2941
96,39,17,16.6667,51.9608
96,40,12,11.7647,63.7255
96,41,20,19.6078,83.3333
96,42,17,16.6667,100
108,28,2,2.2989,2.2989
108,31,2,2.2989,4.5977
108,33,1,1.1494,5.7471
108,34,2,2.2989,8.046
108,35,1,1.1494,9.1954
108,36,2,2.2989,11.4943
108,37,4,4.5977,16.092
108,38,6,6.8966,22.9885
108,39,8,9.1954,32.1839
108,40,8,9.1954,41.3793
108,41,17,19.5402,60.9195
108,42,34,39.0805,100
120,21,1,1.2048,1.2048
120,32,2,2.4096,3.6145
120,33,2,2.4096,6.0241
120,35,4,4.8193,10.8434
120,36,2,2.4096,13.253
120,37,2,2.4096,15.6627
120,38,2,2.4096,18.0723
120,39,3,3.6145,21.6867
120,40,4,4.8193,26.506
120,41,14,16.8675,43.3735
120,42,47,56.6265,100
132,23,1,0.6061,0.6061
132,24,1,0.6061,1.2121
132,29,1,0.6061,1.8182
132,30,2,1.2121,3.0303
132,31,1,0.6061,3.6364
132,33,2,1.2121,4.8485
132,34,2,1.2121,6.0606
132,35,3,1.8182,7.8788
132,36,1,0.6061,8.4848
132,37,1,0.6061,9.0909
132,38,5,3.0303,12.1212
132,39,4,2.4242,14.5455
132,40,16,9.697,24.2424
132,41,20,12.1212,36.3636
132,42,105,63.6364,100
156,33,1,0.9091,0.9091
156,35,1,0.9091,1.8182
156,36,1,0.9091,2.7273
156,37,1,0.9091,3.6364
156,38,3,2.7273,6.3636
156,39,3,2.7273,9.0909
156,40,2,1.8182,10.9091
156,41,11,10,20.9091
156,42,87,79.0909,100
204,35,1,1.2346,1.2346
204,38,1,1.2346,2.4691
204,39,1,1.2346,3.7037
204,40,3,3.7037,7.4074
204,41,6,7.4074,14.8148
204,42,69,85.1852,100
