GDS_parent,n,perc,cum_per
469,1,0.1845,22.3247
470,3,0.5535,22.8782
471,3,0.5535,23.4317
472,3,0.5535,23.9852
473,1,0.1845,24.1697
475,4,0.738,24.9077
476,2,0.369,25.2768
477,1,0.1845,25.4613
478,2,0.369,25.8303
479,3,0.5535,26.3838
482,3,0.5535,26.9373
483,3,0.5535,27.4908
484,3,0.5535,28.0443
485,1,0.1845,28.2288
486,1,0.1845,28.4133
487,1,0.1845,28.5978
488,2,0.369,28.9668
489,2,0.369,29.3358
490,2,0.369,29.7048
491,2,0.369,30.0738
492,5,0.9225,30.9963
493,5,0.9225,31.9188
494,4,0.738,32.6568
495,1,0.1845,32.8413
496,1,0.1845,33.0258
497,4,0.738,33.7638
498,2,0.369,34.1328
499,2,0.369,34.5018
500,32,5.9041,40.4059
501,1,0.1845,40.5904
502,5,0.9225,41.5129
503,3,0.5535,42.0664
504,3,0.5535,42.6199
505,5,0.9225,43.5424
506,2,0.369,43.9114
507,2,0.369,44.2804
508,1,0.1845,44.4649
509,1,0.1845,44.6494
510,1,0.1845,44.8339
511,1,0.1845,45.0185
512,5,0.9225,45.941
513,1,0.1845,46.1255
514,14,2.583,48.7085
515,2,0.369,49.0775
517,3,0.5535,49.631
518,21,3.8745,53.5055
519,3,0.5535,54.059
520,4,0.738,54.797
521,4,0.738,55.5351
522,2,0.369,55.9041
523,4,0.738,56.6421
524,3,0.5535,57.1956
525,5,0.9225,58.1181
526,4,0.738,58.8561
527,2,0.369,59.2251
528,4,0.738,59.9631
529,7,1.2915,61.2546
530,2,0.369,61.6236
531,2,0.369,61.9926
532,6,1.107,63.0996
533,4,0.738,63.8376
534,2,0.369,64.2066
535,15,2.7675,66.9742
536,2,0.369,67.3432
537,2,0.369,67.7122
538,3,0.5535,68.2657
539,4,0.738,69.0037
540,3,0.5535,69.5572
541,1,0.1845,69.7417
542,2,0.369,70.1107
543,2,0.369,70.4797
544,6,1.107,71.5867
545,3,0.5535,72.1402
546,2,0.369,72.5092
547,4,0.738,73.2472
548,3,0.5535,73.8007
549,3,0.5535,74.3542
550,4,0.738,75.0923
551,3,0.5535,75.6458
552,2,0.369,76.0148
553,2,0.369,76.3838
554,1,0.1845,76.5683
555,1,0.1845,76.7528
556,1,0.1845,76.9373
557,2,0.369,77.3063
559,1,0.1845,77.4908
560,1,0.1845,77.6753
561,4,0.738,78.4133
562,1,0.1845,78.5978
563,1,0.1845,78.7823
564,1,0.1845,78.9668
565,2,0.369,79.3358
566,2,0.369,79.7048
567,1,0.1845,79.8893
568,3,0.5535,80.4428
569,1,0.1845,80.6273
570,1,0.1845,80.8118
572,3,0.5535,81.3653
574,1,0.1845,81.5498
575,2,0.369,81.9188
576,2,0.369,82.2878
577,1,0.1845,82.4723
578,1,0.1845,82.6568
580,1,0.1845,82.8413
582,3,0.5535,83.3948
583,3,0.5535,83.9483
584,2,0.369,84.3173
586,3,0.5535,84.8708
588,2,0.369,85.2399
589,1,0.1845,85.4244
590,1,0.1845,85.6089
591,1,0.1845,85.7934
592,3,0.5535,86.3469
593,1,0.1845,86.5314
594,3,0.5535,87.0849
599,1,0.1845,87.2694
600,2,0.369,87.6384
601,1,0.1845,87.8229
602,1,0.1845,88.0074
603,1,0.1845,88.1919
604,2,0.369,88.5609
605,1,0.1845,88.7454
607,2,0.369,89.1144
608,2,0.369,89.4834
611,1,0.1845,89.6679
612,1,0.1845,89.8524
613,1,0.1845,90.0369
614,2,0.369,90.4059
615,1,0.1845,90.5904
617,1,0.1845,90.7749
618,3,0.5535,91.3284
619,1,0.1845,91.5129
621,1,0.1845,91.6974
622,1,0.1845,91.8819
624,1,0.1845,92.0664
625,2,0.369,92.4354
626,2,0.369,92.8044
631,1,0.1845,92.9889
633,1,0.1845,93.1734
634,1,0.1845,93.3579
635,2,0.369,93.7269
641,1,0.1845,93.9114
643,1,0.1845,94.0959
644,1,0.1845,94.2804
646,1,0.1845,94.4649
647,1,0.1845,94.6494
651,1,0.1845,94.8339
656,3,0.5535,95.3875
657,1,0.1845,95.572
658,1,0.1845,95.7565
659,2,0.369,96.1255
664,1,0.1845,96.31
671,1,0.1845,96.4945
672,1,0.1845,96.679
682,1,0.1845,96.8635
687,2,0.369,97.2325
688,1,0.1845,97.417
693,1,0.1845,97.6015
696,2,0.369,97.9705
699,1,0.1845,98.155
703,1,0.1845,98.3395
705,2,0.369,98.7085
727,1,0.1845,98.893
737,1,0.1845,99.0775
740,1,0.1845,99.262
742,1,0.1845,99.4465
747,1,0.1845,99.631
789,1,0.1845,99.8155
800,1,0.1845,100
