GDS_teacher,n,perc,cum_per
456,4,0.2784,15.8664
457,4,0.2784,16.1447
458,1,0.0696,16.2143
459,1,0.0696,16.2839
460,7,0.4871,16.7711
461,2,0.1392,16.9102
462,2,0.1392,17.0494
463,3,0.2088,17.2582
464,8,0.5567,17.8149
465,2,0.1392,17.9541
466,3,0.2088,18.1628
467,3,0.2088,18.3716
468,4,0.2784,18.65
469,3,0.2088,18.8587
470,5,0.3479,19.2067
471,6,0.4175,19.6242
472,4,0.2784,19.9026
473,1,0.0696,19.9722
474,7,0.4871,20.4593
475,7,0.4871,20.9464
476,3,0.2088,21.1552
477,9,0.6263,21.7815
478,8,0.5567,22.3382
479,2,0.1392,22.4774
480,5,0.3479,22.8253
481,6,0.4175,23.2429
482,6,0.4175,23.6604
483,5,0.3479,24.0084
484,5,0.3479,24.3563
485,3,0.2088,24.5651
486,6,0.4175,24.9826
487,6,0.4175,25.4001
488,4,0.2784,25.6785
489,10,0.6959,26.3744
490,4,0.2784,26.6527
491,8,0.5567,27.2095
492,5,0.3479,27.5574
493,6,0.4175,27.9749
494,9,0.6263,28.6013
495,5,0.3479,28.9492
496,9,0.6263,29.5755
497,8,0.5567,30.1322
498,9,0.6263,30.7585
499,8,0.5567,31.3152
500,10,0.6959,32.0111
501,9,0.6263,32.6374
502,7,0.4871,33.1246
503,4,0.2784,33.4029
504,6,0.4175,33.8205
505,9,0.6263,34.4468
506,10,0.6959,35.1427
507,4,0.2784,35.421
508,7,0.4871,35.9081
509,6,0.4175,36.3257
510,11,0.7655,37.0912
511,6,0.4175,37.5087
512,6,0.4175,37.9262
513,9,0.6263,38.5525
514,7,0.4871,39.0397
515,9,0.6263,39.666
516,17,1.183,40.849
517,9,0.6263,41.4753
518,10,0.6959,42.1712
519,10,0.6959,42.8671
520,9,0.6263,43.4934
521,15,1.0438,44.5372
522,4,0.2784,44.8156
523,11,0.7655,45.5811
524,19,1.3222,46.9033
525,13,0.9047,47.8079
526,75,5.2192,53.0271
527,10,0.6959,53.723
528,11,0.7655,54.4885
529,11,0.7655,55.254
530,7,0.4871,55.7411
531,11,0.7655,56.5066
532,20,1.3918,57.8984
533,62,4.3145,62.2129
534,4,0.2784,62.4913
535,11,0.7655,63.2568
536,30,2.0877,65.3445
537,8,0.5567,65.9012
538,11,0.7655,66.6667
539,6,0.4175,67.0842
540,2,0.1392,67.2234
541,3,0.2088,67.4322
542,7,0.4871,67.9193
543,15,1.0438,68.9631
544,49,3.4099,72.373
545,7,0.4871,72.8601
546,9,0.6263,73.4864
547,11,0.7655,74.2519
548,4,0.2784,74.5303
549,6,0.4175,74.9478
550,6,0.4175,75.3653
551,6,0.4175,75.7829
552,8,0.5567,76.3396
553,20,1.3918,77.7314
554,5,0.3479,78.0793
555,4,0.2784,78.3577
556,8,0.5567,78.9144
557,10,0.6959,79.6103
558,5,0.3479,79.9582
559,7,0.4871,80.4454
560,18,1.2526,81.698
561,5,0.3479,82.0459
562,4,0.2784,82.3243
563,3,0.2088,82.5331
564,7,0.4871,83.0202
565,5,0.3479,83.3681
566,6,0.4175,83.7857
567,5,0.3479,84.1336
568,16,1.1134,85.247
569,6,0.4175,85.6646
570,1,0.0696,85.7342
571,8,0.5567,86.2909
572,7,0.4871,86.778
573,4,0.2784,87.0564
574,4,0.2784,87.3347
575,4,0.2784,87.6131
576,11,0.7655,88.3786
577,5,0.3479,88.7265
578,7,0.4871,89.2136
579,4,0.2784,89.492
580,7,0.4871,89.9791
581,2,0.1392,90.1183
582,3,0.2088,90.3271
583,5,0.3479,90.675
584,12,0.8351,91.5101
585,2,0.1392,91.6493
586,3,0.2088,91.858
587,1,0.0696,91.9276
588,1,0.0696,91.9972
589,2,0.1392,92.1364
590,1,0.0696,92.206
591,8,0.5567,92.7627
592,5,0.3479,93.1106
593,3,0.2088,93.3194
594,4,0.2784,93.5978
595,4,0.2784,93.8761
596,3,0.2088,94.0849
597,4,0.2784,94.3633
598,1,0.0696,94.4328
599,5,0.3479,94.7808
600,2,0.1392,94.92
601,1,0.0696,94.9896
602,4,0.2784,95.2679
603,4,0.2784,95.5463
604,4,0.2784,95.8246
605,3,0.2088,96.0334
606,2,0.1392,96.1726
607,1,0.0696,96.2422
608,2,0.1392,96.3814
609,2,0.1392,96.5205
610,1,0.0696,96.5901
611,1,0.0696,96.6597
612,1,0.0696,96.7293
614,2,0.1392,96.8685
615,1,0.0696,96.9381
616,1,0.0696,97.0077
617,1,0.0696,97.0772
618,5,0.3479,97.4252
619,1,0.0696,97.4948
620,3,0.2088,97.7035
621,1,0.0696,97.7731
622,2,0.1392,97.9123
623,1,0.0696,97.9819
624,2,0.1392,98.1211
625,2,0.1392,98.2603
628,1,0.0696,98.3299
630,2,0.1392,98.469
632,4,0.2784,98.7474
635,1,0.0696,98.817
637,2,0.1392,98.9562
641,1,0.0696,99.0257
646,2,0.1392,99.1649
656,1,0.0696,99.2345
665,1,0.0696,99.3041
667,1,0.0696,99.3737
670,2,0.1392,99.5129
673,1,0.0696,99.5825
680,1,0.0696,99.6521
684,1,0.0696,99.7216
687,1,0.0696,99.7912
688,1,0.0696,99.8608
696,1,0.0696,99.9304
706,1,0.0696,100
