agestrat,physcore_teacher,n,perc,cum_per
96,26,2,1.9608,4.902
96,30,2,1.9608,6.8627
96,31,8,7.8431,14.7059
96,32,8,7.8431,22.549
96,33,24,23.5294,46.0784
96,34,55,53.9216,100
108,20,1,1.1494,1.1494
108,27,1,1.1494,2.2989
108,28,1,1.1494,3.4483
108,29,1,1.1494,4.5977
108,30,1,1.1494,5.7471
108,31,4,4.5977,10.3448
108,32,11,12.6437,22.9885
108,33,16,18.3908,41.3793
108,34,51,58.6207,100
120,22,1,1.2048,1.2048
120,28,1,1.2048,2.4096
120,29,1,1.2048,3.6145
120,30,1,1.2048,4.8193
120,32,5,6.0241,10.8434
120,33,13,15.6627,26.506
120,34,61,73.494,100
132,0,1,0.6061,0.6061
132,24,1,0.6061,1.2121
132,26,1,0.6061,1.8182
132,28,1,0.6061,2.4242
132,29,3,1.8182,4.2424
132,30,1,0.6061,4.8485
132,31,4,2.4242,7.2727
132,32,6,3.6364,10.9091
132,33,13,7.8788,18.7879
132,34,134,81.2121,100
156,31,3,2.7273,2.7273
156,32,6,5.4545,8.1818
156,33,11,10,18.1818
156,34,90,81.8182,100
204,29,1,1.2346,1.2346
204,31,1,1.2346,2.4691
204,32,2,2.4691,4.9383
204,34,77,95.0617,100
