SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
142,-,-,-,12,-,-,-,-,-,-,-,25,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,8,-,-,-,-,15,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,10,-,-,-,-,-,-,-,23,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,13,-,-,18,-,-,-,-,26,-,29,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,36,37,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,11,-,-,16,-,-,21,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,7,-,-,-,-,-,-,-,-,-,-,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,9,-,-,14,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,7,-,-,12,-,-,17,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,10,-,-,-,-,-,-,-,-,25,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,6,-,-,-,-,-,15,-,-,20,-,-,-,-,-,-,-,-,33,-,-,-,37,-,-,-,-,-,-,-,-,-,-
130,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,36,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,13,-,-,18,-,-,23,-,26,-,29,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
128,-,6,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,16,-,-,21,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,5,-,-,9,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,7,-,-,-,14,-,-,19,-,-,-,-,27,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-
123,-,5,-,-,-,-,-,-,17,-,-,22,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,10,-,-,-,-,-,-,-,-,25,-,28,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
121,-,-,-,8,-,-,-,15,-,-,20,-,-,-,-,-,-,-,-,33,34,35,-,-,-,-,-,-,-,-,-,-,-
120,4,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,6,-,-,-,-,-,-,18,-,-,23,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,4,-,-,-,11,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-
117,-,-,-,-,9,-,-,-,16,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,3,-,-,7,-,-,-,14,-,-,-,-,-,24,-,27,-,-,31,-,-,-,-,36,-,-,-,-,-,-,-,-,-
114,-,-,5,-,-,-,12,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,35,-,-,37,-,-,-,-,-,-,-
112,-,3,-,-,-,10,-,-,-,17,-,-,22,-,-,-,28,-,-,-,33,34,-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,-,8,-,-,-,15,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,2,-,-,6,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,4,-,-,-,-,13,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-
108,-,-,-,-,-,-,11,-,-,-,18,-,-,23,-,26,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-
107,-,2,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,-,-,-,-,7,-,-,-,-,16,-,-,21,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,37,37
105,1,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,37,-,-,-,-,-
104,-,-,-,5,-,-,-,-,-,-,-,-,-,-,24,-,27,-,-,-,32,33,34,-,-,-,-,-,-,-,-,-,-
103,-,-,3,-,-,-,-,12,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,37,-,-
102,-,1,-,-,-,-,10,-,-,-,17,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,37,37,-,-,-
101,-,-,-,-,-,8,-,-,-,-,-,-,-,22,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,0,-,-,-,6,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,-,-,-,4,-,-,-,-,13,-,-,-,20,-,-,-,-,-,29,-,-,-,-,-,35,-,36,-,-,-,-,-,-
98,-,-,2,-,-,-,-,11,-,-,-,18,-,-,23,-,26,-,-,30,31,-,33,34,-,-,-,-,-,-,-,36,36
97,-,0,-,-,-,-,9,-,-,-,16,-,-,-,-,-,-,-,-,-,-,32,-,-,-,35,-,36,-,-,36,-,-
96,-,-,-,-,-,7,-,-,-,-,-,-,-,21,-,24,-,27,-,-,-,-,-,-,-,-,-,-,36,36,-,-,-
95,-,-,-,3,5,-,-,-,-,14,-,-,19,-,-,-,-,-,28,-,-,-,-,-,34,-,-,-,-,-,-,-,-
94,-,-,1,-,-,-,-,-,12,-,-,-,-,-,22,-,25,-,-,29,-,-,-,33,-,-,35,-,-,-,-,-,-
93,-,-,-,-,-,-,8,10,-,-,-,17,-,-,-,-,-,-,-,-,30,31,32,-,-,-,-,35,-,-,-,35,35
92,-,-,-,-,-,6,-,-,-,-,15,-,-,20,-,-,-,26,-,-,-,-,-,-,-,34,-,-,35,35,35,-,-
91,-,-,-,-,4,-,-,-,-,13,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,-,-,-,2,-,-,-,-,11,-,-,-,18,-,-,-,-,-,27,-,-,-,-,-,33,-,34,-,-,-,-,-,-
89,-,-,0,-,-,-,-,9,-,-,-,16,-,-,21,-,24,-,-,28,29,-,31,32,-,-,-,-,-,-,-,34,34
88,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,33,-,34,-,-,-,-,-
87,-,-,-,-,-,5,-,-,-,-,14,-,-,19,-,22,-,25,-,-,-,-,-,-,-,-,-,-,34,34,34,-,-
86,-,-,-,-,3,-,-,-,-,12,-,-,-,-,-,-,-,-,26,-,-,-,-,-,32,-,-,-,-,-,-,-,-
85,-,-,-,1,-,-,-,-,10,-,-,-,17,-,-,-,-,-,-,27,-,-,-,31,-,-,33,-,-,-,-,-,-
84,-,-,-,-,-,-,-,8,-,-,-,15,-,-,20,-,23,-,-,-,28,29,30,-,-,-,-,33,-,-,-,33,33
83,-,-,-,-,-,-,6,-,-,-,13,-,-,18,-,-,-,24,-,-,-,-,-,-,-,32,-,-,33,33,33,-,-
82,-,-,-,-,2,4,-,-,-,11,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,-,-,-,0,-,-,-,-,9,-,-,-,16,-,-,-,-,-,25,-,-,-,-,-,31,-,32,-,-,-,-,-,-
80,-,-,-,-,-,-,-,7,-,-,-,-,-,-,19,-,22,-,-,26,-,-,-,30,-,-,-,-,-,-,-,32,32
79,-,-,-,-,-,-,5,-,-,-,-,14,-,-,-,-,-,-,-,-,27,28,29,-,-,31,-,32,-,-,-,-,-
78,-,-,-,-,-,3,-,-,-,-,12,-,-,17,-,-,-,23,-,-,-,-,-,-,-,-,-,-,32,32,32,-,-
77,-,-,-,-,1,-,-,-,-,10,-,-,-,-,-,20,-,-,24,-,-,-,-,-,30,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,8,-,-,-,15,-,-,-,-,-,-,25,-,-,-,29,-,-,31,-,-,-,-,-,-
75,-,-,-,-,-,-,-,6,-,-,-,13,-,-,18,-,21,-,-,-,26,27,28,-,-,-,-,31,-,-,-,31,31
74,-,-,-,-,-,-,4,-,-,-,11,-,-,-,-,-,-,22,-,-,-,-,-,-,-,30,-,-,31,31,31,-,-
73,-,-,-,-,-,2,-,-,-,-,-,-,-,16,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,0,-,-,-,-,9,-,-,14,-,-,-,-,-,23,-,-,-,-,-,29,-,30,-,-,-,-,-,-
71,-,-,-,-,-,-,-,-,7,-,-,-,-,-,17,-,20,-,-,24,-,-,-,28,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,3,5,-,-,-,12,-,-,-,-,-,-,-,-,25,26,27,-,-,-,-,30,-,-,-,30,30
69,-,-,-,-,-,1,-,-,-,-,10,-,-,15,-,-,-,21,-,-,-,-,-,-,-,29,-,-,30,30,30,-,-
68,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,18,-,-,22,-,-,-,-,-,28,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,-,-,6,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-
66,-,-,-,-,-,-,-,4,-,-,-,11,-,-,16,-,19,-,-,23,24,25,26,27,-,-,-,29,-,-,-,29,29
65,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,29,-,29,-,-
64,-,-,-,-,-,0,-,-,-,-,9,-,-,14,-,17,-,20,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-
63,-,-,-,-,-,-,-,-,-,7,-,-,12,-,-,-,-,-,21,-,-,-,-,-,27,-,28,-,-,-,-,-,-
62,-,-,-,-,-,-,-,-,5,-,-,-,-,-,15,-,18,-,-,22,-,-,-,26,-,-,-,-,-,-,-,-,-
61,-,-,-,-,-,-,-,3,-,-,-,10,-,-,-,-,-,-,-,-,23,24,25,-,-,-,-,28,-,-,-,28,28
60,-,-,-,-,-,-,1,-,-,-,8,-,-,13,-,-,-,19,-,-,-,-,-,-,-,27,-,-,28,28,28,-,-
59,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,16,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,4,-,-,-,11,-,-,-,-,-,20,-,-,-,-,-,-,-,27,-,-,-,-,-,-
57,-,-,-,-,-,-,-,2,-,-,-,9,-,-,14,-,17,-,-,21,22,-,24,25,-,-,-,27,-,-,-,27,27
56,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,26,-,-,27,-,27,-,-
55,-,-,-,-,-,-,-,-,-,-,7,-,-,12,-,15,-,18,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-
54,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,19,-,-,-,-,-,25,-,26,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,3,-,-,-,10,-,-,-,16,-,-,20,-,-,-,24,-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-,1,-,-,-,8,-,-,13,-,-,-,-,-,21,22,23,-,-,-,-,26,-,-,-,26,26
51,-,-,-,-,-,-,-,-,-,-,6,-,-,11,-,-,-,17,-,-,-,-,-,-,-,25,-,-,26,26,26,-,-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-,4,-,-,9,-,-,-,-,-,18,-,-,-,-,-,-,-,25,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,2,-,-,-,-,-,12,-,15,-,-,19,20,-,22,23,-,-,-,25,-,-,-,25,25
47,-,-,-,-,-,-,-,0,-,-,-,7,-,-,-,-,-,-,-,-,-,21,-,-,-,24,-,-,25,-,25,-,-
46,-,-,-,-,-,-,-,-,-,-,5,-,-,10,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-
45,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,13,-,-,17,-,-,-,-,-,23,-,24,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,1,-,-,-,8,-,-,-,-,-,-,18,-,-,-,22,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-,-,-,6,-,-,11,-,14,-,-,-,19,20,21,-,-,-,-,24,-,-,-,24,24
42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,23,-,-,24,24,24,-,-
41,-,-,-,-,-,-,-,-,-,-,4,-,-,9,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,0,0--2,0--3,0--5,0--7,0--8,0--10,0--11,0--13,0--14,0--16,0--17,0--18,0--19,0--20,0--21,0--22,0--22,0--23,0--23,0--23,0--23,0--23,0--23,0--23
