rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,140,129,116,104,96,91,86,82,78,75,73,72,72,72,73
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,147,135,123,111,100,94,89,85,81,79,76,75,75,75,76
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,142,130,118,107,98,93,88,85,82,80,78,78,78,79
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,149,137,125,114,103,96,92,88,85,83,81,81,82,82
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,144,132,121,110,100,95,91,88,86,84,84,85,85
38,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,140,128,117,107,99,95,92,89,88,88,88,88
39,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,147,135,125,114,105,98,95,92,91,91,91,91
40,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,143,132,122,112,103,98,96,94,94,94,94
41,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,150,139,129,120,111,104,99,97,97,97,97
42,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,147,137,128,119,112,106,101,100,100,100
