rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
25,160,160,160,160,160,160,160,160,160,160,160,154,145,136,127,117,107,98,92,86,80,75,71,67,63,61,58,56,55,54,54,55,56
26,160,160,160,160,160,160,160,160,160,160,160,159,151,142,132,123,113,103,95,89,84,79,74,70,67,64,61,59,58,57,57,58,58
27,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,128,118,109,99,93,87,82,78,74,70,67,64,62,61,60,60,61,61
28,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,134,124,114,104,97,91,86,81,77,73,70,68,66,64,63,63,63,64
29,160,160,160,160,160,160,160,160,160,160,160,160,160,158,149,139,130,120,110,100,94,89,84,80,76,73,71,69,67,66,66,66,67
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,145,135,126,116,106,98,93,88,83,80,76,74,72,70,69,69,69,70
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,131,122,112,103,96,91,87,83,80,77,75,73,72,72,72,72
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,137,128,118,108,100,95,90,86,83,80,78,76,75,75,75,75
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,133,124,114,105,98,93,89,86,83,81,79,78,78,78,78
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,149,139,130,120,111,102,97,93,89,86,84,82,81,80,81,81
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,145,136,126,117,108,100,96,92,89,87,85,84,83,83,84
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,132,123,114,106,99,96,92,90,88,87,86,86,86
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,129,121,112,105,99,96,93,91,90,89,89,89
38,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,144,135,127,118,111,104,99,96,94,93,92,92,92
39,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,150,141,133,125,117,110,104,99,97,96,95,95,95
40,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,139,131,123,116,110,105,100,99,98,98,98
41,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,145,137,130,123,117,111,107,104,102,101,101
